Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Краснодар, Центральная"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	385	5	6	4	4	5	15	4	4	19	3	7	8	5	7	7	10	14	8	4	11	12	10	11	7	12	7	3	5	8	7	8	2	4	2	5	6	5	3	12	3	3	5	5	2	9	6	10	12	5	3	5	11	10	5	3	9	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1115	11	17	15	29	20	29	20	27	17	19	24	11	21	10	17	20	21	18	18	29	16	6	10	24	19	20	12	37	32	10	12	11	17	24	47	19	18	14	36	17	13	13	1	11	10	12	19	14	30	25	19	16	24	31	27	8	5	15	1	12	13	2	0									
		2.33%	1.12%	1.90%	1.95%	2.51%	2.87%	2.55%	3.39%	2.76%	2.14%	2.41%	3.42%	2.19%	2.48%	1.28%	1.97%	2.22%	2.35%	2.13%	2.32%	2.82%	1.87%	0.72%	1.41%	2.09%	1.78%	2.65%	2.01%	3.37%	3.62%	2.34%	1.76%	2.48%	2.46%	2.68%	4.94%	2.66%	2.60%	2.35%	3.68%	2.51%	2.43%	2.81%	0.12%	1.52%	1.08%	2.22%	1.25%	2.78%	3.47%	2.88%	2.55%	2.36%	2.99%	2.96%	3.33%	1.73%	1.36%	1.21%	1.41%	2.25%	2.89%	2.33%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	991	24	17	26	14	18	18	17	19	9	13	17	13	12	21	19	15	14	20	29	24	18	14	16	28	19	17	8	22	17	5	12	15	10	17	20	17	13	10	15	11	17	14	0	14	15	11	15	6	25	29	18	12	21	28	19	11	14	18	2	14	19	5	1									
		2.07%	2.45%	1.90%	3.39%	1.21%	2.59%	1.58%	2.88%	1.94%	1.13%	1.65%	2.43%	2.58%	1.42%	2.69%	2.20%	1.67%	1.57%	2.37%	3.74%	2.34%	2.11%	1.69%	2.26%	2.43%	1.78%	2.25%	1.34%	2.01%	1.92%	1.17%	1.76%	3.39%	1.45%	1.90%	2.10%	2.38%	1.88%	1.68%	1.53%	1.62%	3.18%	3.03%	0.00%	1.94%	1.61%	2.04%	0.98%	1.19%	2.89%	3.34%	2.42%	1.77%	2.62%	2.67%	2.34%	2.38%	3.81%	1.45%	2.82%	2.63%	4.22%	5.81%	0.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	973	11	14	20	11	12	14	14	18	14	11	18	15	24	18	15	16	18	12	24	28	17	16	10	35	34	13	9	23	14	9	15	11	23	23	24	21	11	17	15	17	17	10	2	17	3	8	14	10	24	26	17	10	15	13	21	8	13	19	2	23	12	2	3									
		2.03%	1.12%	1.57%	2.60%	0.95%	1.72%	1.23%	2.37%	1.84%	1.76%	1.40%	2.57%	2.98%	2.83%	2.30%	1.74%	1.78%	2.02%	1.42%	3.09%	2.73%	1.99%	1.93%	1.41%	3.04%	3.19%	1.72%	1.51%	2.10%	1.58%	2.11%	2.20%	2.48%	3.33%	2.57%	2.52%	2.94%	1.59%	2.85%	1.53%	2.51%	3.18%	2.16%	0.25%	2.35%	0.32%	1.48%	0.92%	1.99%	2.77%	2.99%	2.28%	1.47%	1.87%	1.24%	2.59%	1.73%	3.54%	1.53%	2.82%	4.32%	2.67%	2.33%	1.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24301	620	485	272	706	342	714	227	599	440	378	340	211	355	393	470	446	494	402	324	532	390	434	368	528	611	388	368	600	480	180	361	172	379	475	479	358	298	286	477	363	250	190	501	295	676	286	1131	221	344	364	334	312	361	471	335	184	212	381	30	305	209	46	118									
		50.82%	63.39%	54.31%	35.42%	61.13%	49.14%	62.80%	38.47%	61.12%	55.42%	48.03%	48.50%	41.95%	41.91%	50.32%	54.46%	49.61%	55.32%	47.57%	41.75%	51.80%	45.67%	52.42%	51.90%	45.87%	57.26%	51.39%	61.64%	54.69%	54.24%	42.15%	52.93%	38.83%	54.85%	53.01%	50.32%	50.07%	43.00%	47.91%	48.72%	53.62%	46.82%	41.13%	62.08%	40.80%	72.77%	52.96%	74.12%	43.94%	39.77%	41.89%	44.89%	45.95%	44.96%	44.99%	41.26%	39.74%	57.77%	30.78%	42.25%	57.22%	46.44%	53.49%	72.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	484	5	7	6	15	9	7	3	9	6	14	7	12	10	7	13	15	11	6	7	7	9	10	3	14	13	4	14	11	4	3	5	8	4	4	11	8	8	10	13	7	9	3	0	15	0	3	8	8	8	12	11	4	14	13	7	6	2	13	1	6	1	0	1									
		1.01%	0.51%	0.78%	0.78%	1.30%	1.29%	0.62%	0.51%	0.92%	0.76%	1.78%	0.99%	2.39%	1.18%	0.90%	1.51%	1.67%	1.23%	0.71%	0.90%	0.68%	1.05%	1.21%	0.42%	1.22%	1.22%	0.53%	2.35%	1.00%	0.45%	0.70%	0.73%	1.81%	0.58%	0.45%	1.16%	1.12%	1.15%	1.68%	1.33%	1.03%	1.69%	0.65%	0.00%	2.07%	0.00%	0.56%	0.52%	1.59%	0.92%	1.38%	1.48%	0.59%	1.74%	1.24%	0.86%	1.30%	0.54%	1.05%	1.41%	1.13%	0.22%	0.00%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	86	2	0	1	4	1	1	0	1	1	0	0	2	4	2	5	1	1	2	1	1	5	1	0	1	2	0	1	1	2	0	0	1	1	1	1	2	0	0	4	0	2	1	0	1	0	0	1	2	1	1	1	1	1	0	4	1	1	13	0	0	2	0	0									
		0.18%	0.20%	0.00%	0.13%	0.35%	0.14%	0.09%	0.00%	0.10%	0.13%	0.00%	0.00%	0.40%	0.47%	0.26%	0.58%	0.11%	0.11%	0.24%	0.13%	0.10%	0.59%	0.12%	0.00%	0.09%	0.19%	0.00%	0.17%	0.09%	0.23%	0.00%	0.00%	0.23%	0.14%	0.11%	0.11%	0.28%	0.00%	0.00%	0.41%	0.00%	0.37%	0.22%	0.00%	0.14%	0.00%	0.00%	0.07%	0.40%	0.12%	0.12%	0.13%	0.15%	0.12%	0.00%	0.49%	0.22%	0.27%	1.05%	0.00%	0.00%	0.44%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6511	96	142	121	130	91	128	115	88	40	97	94	70	140	115	103	142	103	133	161	118	121	127	110	167	122	67	44	105	102	80	113	61	86	97	148	84	96	65	113	73	68	56	19	110	73	72	93	77	146	132	111	98	124	137	141	70	37	514	19	86	87	15	18									
		13.62%	9.82%	15.90%	15.76%	11.26%	13.07%	11.26%	19.49%	8.98%	5.04%	12.33%	13.41%	13.92%	16.53%	14.72%	11.94%	15.80%	11.53%	15.74%	20.75%	11.49%	14.17%	15.34%	15.51%	14.51%	11.43%	8.87%	7.37%	9.57%	11.53%	18.74%	16.57%	13.77%	12.45%	10.83%	15.55%	11.75%	13.85%	10.89%	11.54%	10.78%	12.73%	12.12%	2.35%	15.21%	7.86%	13.33%	6.09%	15.31%	16.88%	15.19%	14.92%	14.43%	15.44%	13.09%	17.36%	15.12%	10.08%	41.52%	26.76%	16.14%	19.33%	17.44%	11.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	590	8	8	7	24	5	11	9	5	6	5	6	6	7	13	22	12	10	10	9	8	9	6	10	27	12	6	9	14	15	12	11	9	3	11	7	12	13	16	18	8	10	8	0	12	7	6	4	3	12	16	12	14	8	11	14	4	1	22	0	3	3	1	0									
		1.23%	0.82%	0.90%	0.91%	2.08%	0.72%	0.97%	1.53%	0.51%	0.76%	0.64%	0.86%	1.19%	0.83%	1.66%	2.55%	1.33%	1.12%	1.18%	1.16%	0.78%	1.05%	0.72%	1.41%	2.35%	1.12%	0.79%	1.51%	1.28%	1.69%	2.81%	1.61%	2.03%	0.43%	1.23%	0.74%	1.68%	1.88%	2.68%	1.84%	1.18%	1.87%	1.73%	0.00%	1.66%	0.75%	1.11%	0.26%	0.60%	1.39%	1.84%	1.61%	2.06%	0.99%	1.05%	1.72%	0.86%	0.27%	1.78%	0.00%	0.56%	0.67%	1.16%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1090	5	21	16	25	16	14	11	16	24	17	18	7	18	15	16	14	24	29	14	18	17	19	16	31	26	34	8	27	20	14	15	12	14	20	29	23	17	14	26	13	12	14	25	28	13	8	23	23	23	22	18	17	18	25	30	25	7	11	2	5	4	1	3									
		2.28%	0.51%	2.35%	2.08%	2.16%	2.30%	1.23%	1.86%	1.63%	3.02%	2.16%	2.57%	1.39%	2.13%	1.92%	1.85%	1.56%	2.69%	3.43%	1.80%	1.75%	1.99%	2.29%	2.26%	2.69%	2.44%	4.50%	1.34%	2.46%	2.26%	3.28%	2.20%	2.71%	2.03%	2.23%	3.05%	3.22%	2.45%	2.35%	2.66%	1.92%	2.25%	3.03%	3.10%	3.87%	1.40%	1.48%	1.51%	4.57%	2.66%	2.53%	2.42%	2.50%	2.24%	2.39%	3.69%	5.40%	1.91%	0.89%	2.82%	0.94%	0.89%	1.16%	1.84%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	66	1	0	1	0	2	0	0	0	3	1	1	0	1	2	12	5	0	1	0	0	1	0	1	2	0	3	0	0	0	0	1	0	1	0	0	0	3	1	1	0	0	2	0	2	0	0	2	1	1	0	0	2	0	1	0	1	1	8	0	0	1	0	0									
		0.14%	0.10%	0.00%	0.13%	0.00%	0.29%	0.00%	0.00%	0.00%	0.38%	0.13%	0.14%	0.00%	0.12%	0.26%	1.39%	0.56%	0.00%	0.12%	0.00%	0.00%	0.12%	0.00%	0.14%	0.17%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.14%	0.00%	0.00%	0.00%	0.43%	0.17%	0.10%	0.00%	0.00%	0.43%	0.00%	0.28%	0.00%	0.00%	0.13%	0.20%	0.12%	0.00%	0.00%	0.29%	0.00%	0.10%	0.00%	0.22%	0.27%	0.65%	0.00%	0.00%	0.22%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1058	11	6	14	35	11	10	13	8	13	23	15	15	36	14	22	16	11	21	15	27	21	21	15	29	31	17	14	23	13	16	8	17	11	39	21	21	37	15	33	12	20	7	0	20	7	7	20	8	28	12	28	15	25	25	24	20	7	17	4	6	6	1	1									
		2.21%	1.12%	0.67%	1.82%	3.03%	1.58%	0.88%	2.20%	0.82%	1.64%	2.92%	2.14%	2.98%	4.25%	1.79%	2.55%	1.78%	1.23%	2.49%	1.93%	2.63%	2.46%	2.54%	2.12%	2.52%	2.91%	2.25%	2.35%	2.10%	1.47%	3.75%	1.17%	3.84%	1.59%	4.35%	2.21%	2.94%	5.34%	2.51%	3.37%	1.77%	3.75%	1.52%	0.00%	2.77%	0.75%	1.30%	1.31%	1.59%	3.24%	1.38%	3.76%	2.21%	3.11%	2.39%	2.96%	4.32%	1.91%	1.37%	5.63%	1.13%	1.33%	1.16%	0.61%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7810	144	127	148	112	119	143	126	152	192	164	114	99	157	145	121	151	142	147	132	158	175	137	113	205	110	161	95	194	166	72	98	91	109	136	113	121	134	113	174	108	80	108	210	141	88	105	146	97	169	161	133	129	156	215	142	92	37	42	10	46	63	8	14									
		16.33%	14.72%	14.22%	19.27%	9.70%	17.10%	12.58%	21.36%	15.51%	24.18%	20.84%	16.26%	19.68%	18.54%	18.57%	14.02%	16.80%	15.90%	17.40%	17.01%	15.38%	20.49%	16.55%	15.94%	17.81%	10.31%	21.32%	15.91%	17.68%	18.76%	16.86%	14.37%	20.54%	15.77%	15.18%	11.87%	16.92%	19.34%	18.93%	17.77%	15.95%	14.98%	23.38%	26.02%	19.50%	9.47%	19.44%	9.57%	19.28%	19.54%	18.53%	17.88%	18.99%	19.43%	20.53%	17.49%	19.87%	10.08%	3.39%	14.08%	8.63%	14.00%	9.30%	8.59%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	210	3	2	4	2	4	4	3	2	1	1	0	1	4	5	1	1	6	5	1	7	6	2	4	5	10	2	2	4	3	3	3	1	2	3	2	4	4	5	6	4	3	3	1	3	3	2	2	0	11	6	2	5	7	9	5	2	3	6	0	2	1	1	1									
		0.44%	0.31%	0.22%	0.52%	0.17%	0.57%	0.35%	0.51%	0.20%	0.13%	0.13%	0.00%	0.20%	0.47%	0.64%	0.12%	0.11%	0.67%	0.59%	0.13%	0.68%	0.70%	0.24%	0.56%	0.43%	0.94%	0.26%	0.34%	0.36%	0.34%	0.70%	0.44%	0.23%	0.29%	0.33%	0.21%	0.56%	0.58%	0.84%	0.61%	0.59%	0.56%	0.65%	0.12%	0.41%	0.32%	0.37%	0.13%	0.00%	1.27%	0.69%	0.27%	0.74%	0.87%	0.86%	0.62%	0.43%	0.82%	0.48%	0.00%	0.38%	0.22%	1.16%	0.61%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1614	20	24	25	24	31	39	18	21	20	29	35	30	46	17	15	40	26	30	24	53	34	31	25	39	46	21	11	36	17	14	22	23	20	32	28	18	23	14	33	31	23	26	48	35	33	20	30	26	18	41	31	31	22	31	34	19	16	12	0	13	15	3	2									
		3.38%	2.04%	2.69%	3.26%	2.08%	4.45%	3.43%	3.05%	2.14%	2.52%	3.68%	4.99%	5.96%	5.43%	2.18%	1.74%	4.45%	2.91%	3.55%	3.09%	5.16%	3.98%	3.74%	3.53%	3.39%	4.31%	2.78%	1.84%	3.28%	1.92%	3.28%	3.23%	5.19%	2.89%	3.57%	2.94%	2.52%	3.32%	2.35%	3.37%	4.58%	4.31%	5.63%	5.95%	4.84%	3.55%	3.70%	1.97%	5.17%	2.08%	4.72%	4.17%	4.57%	2.74%	2.96%	4.19%	4.10%	4.36%	0.97%	0.00%	2.44%	3.33%	3.49%	1.23%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
