Выборы Президента Российской Федерации																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Раменская																																																																																																																	
																																																																																																																	
Итоги голосования 																																																																																																																	
																																																																																																																	
		Сумма	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399					
11	Число полученных открепительных  удостоверений	2820	30	30	30	30	30	30	30	30	30	50	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	60	30	30	30	30	30	30	50	50	50	50	30	20	20	30	20	20	40	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	1382	13	18	11	17	10	25	24	9	23	22	24	16	16	21	25	28	17	17	16	17	15	17	18	14	16	7	17	18	7	25	19	29	23	9	16	14	8	27	7	30	10	60	8	10	10	8	3	22	21	27	33	29	11	11	18	25	4	13	33	3	6	2	7	2	8	12	0	12	16	13	15	0	12	12	7	0	16	13	12	4	6	11	7	0	4	0	0	1	2	11	9	14	3	5	7	6	11	4	7	6	11	10	0	0	11	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1451	9	3	4	12	1	14	8	13	16	6	9	6	12	9	3	11	18	9	12	10	7	14	82	7	11	7	13	25	7	16	11	19	17	29	30	14	66	51	14	37	38	25	21	23	61	28	23	8	14	17	39	24	52	22	1	8	22	10	5	11	12	14	7	3	8	3	5	17	3	6	2	3	1	14	4	6	10	4	18	5	7	10	3	4	12	2	3	5	8	6	14	11	1	11	24	2	7	5	6	5	13	5	4	4	12	8					
14	Число неиспользованных открепительных удостоверений	1438	17	12	19	13	20	5	6	21	7	28	6	14	14	9	5	12	13	13	14	13	15	13	12	16	14	23	13	12	23	5	11	1	7	21	14	16	22	3	23	0	20	0	22	20	20	22	27	8	29	23	17	21	19	9	2	5	16	7	7	17	14	18	13	18	12	8	20	8	4	7	5	20	8	8	13	20	4	7	8	16	14	9	13	20	16	20	20	19	18	9	11	6	17	15	13	14	9	16	13	14	9	10	20	20	9	17					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																	
18	. Глазьев Сергей Юрьевич	5208	67	69	57	56	34	42	61	44	70	61	82	94	26	73	120	85	63	85	68	43	38	74	91	52	103	59	59	60	63	91	67	64	58	33	63	41	78	39	31	62	34	95	45	57	22	66	24	97	78	67	98	65	49	44	25	18	45	38	44	26	30	18	37	14	41	46	16	52	87	59	39	11	30	16	29	9	47	46	35	25	77	64	32	26	47	16	19	50	12	51	70	65	18	19	52	19	6	38	36	32	69	40	27	9	52	12					
		4.92%	7.07%	6.44%	6.67%	5.79%	4.35%	3.88%	4.41%	4.63%	4.95%	5.39%	6.09%	6.17%	2.50%	5.91%	8.36%	5.77%	6.29%	6.06%	5.30%	6.08%	4.85%	6.33%	5.78%	4.33%	5.74%	7.64%	4.40%	5.87%	5.56%	5.50%	3.83%	4.26%	5.00%	4.95%	6.12%	4.76%	6.47%	4.29%	6.37%	6.25%	4.76%	6.55%	8.15%	9.60%	4.87%	7.90%	4.44%	7.48%	5.79%	3.89%	7.37%	5.85%	6.73%	3.51%	3.50%	3.92%	3.38%	3.54%	2.64%	4.30%	3.96%	4.38%	4.14%	3.34%	5.68%	5.05%	5.65%	4.02%	6.20%	5.74%	3.64%	5.21%	2.86%	1.54%	3.46%	2.40%	3.66%	4.05%	4.53%	3.05%	5.31%	3.56%	3.90%	4.25%	3.52%	4.05%	9.74%	4.30%	3.02%	5.00%	4.34%	4.18%	3.36%	2.95%	3.45%	3.56%	1.07%	6.68%	3.56%	3.28%	5.87%	4.01%	5.28%	2.27%	4.13%	3.45%					
19	. Малышкин Олег Александрович	1549	8	11	7	19	19	10	17	8	20	26	30	18	14	19	12	18	14	16	21	9	6	12	16	16	14	31	12	5	12	16	21	15	12	3	8	15	14	11	5	14	7	21	16	11	1	18	8	23	28	29	19	8	11	13	9	7	22	16	29	6	14	9	25	9	13	21	4	25	17	15	12	5	19	24	5	5	16	12	20	22	21	28	13	9	24	4	8	20	3	26	22	16	2	6	17	15	3	8	12	26	34	35	2	7	16	4					
		1.46%	0.84%	1.03%	0.82%	1.96%	2.43%	0.92%	1.23%	0.84%	1.41%	2.30%	2.23%	1.18%	1.34%	1.54%	0.84%	1.22%	1.40%	1.14%	1.64%	1.27%	0.77%	1.03%	1.02%	1.33%	0.78%	4.02%	0.90%	0.49%	1.06%	0.97%	1.20%	1.00%	1.03%	0.45%	0.78%	1.74%	1.16%	1.21%	1.03%	1.41%	0.98%	1.45%	2.90%	1.85%	0.22%	2.16%	1.48%	1.77%	2.08%	1.68%	1.43%	0.72%	1.51%	1.04%	1.26%	1.53%	1.65%	1.49%	1.74%	0.99%	1.85%	2.19%	2.80%	2.15%	1.80%	2.31%	1.41%	1.93%	1.21%	1.46%	1.12%	2.37%	1.81%	2.31%	0.60%	1.33%	1.25%	1.06%	2.59%	2.68%	1.45%	1.56%	1.59%	1.47%	1.80%	1.01%	4.10%	1.72%	0.75%	2.55%	1.36%	1.03%	0.37%	0.93%	1.13%	2.81%	0.54%	1.41%	1.19%	2.66%	2.89%	3.51%	0.39%	1.76%	1.27%	1.15%					
20	. Миронов Сергей Михайлович	554	8	1	3	4	8	8	7	8	7	7	9	6	8	6	4	6	2	19	7	7	1	6	10	9	4	26	8	7	10	7	7	9	2	8	5	7	11	4	7	2	3	6	0	3	0	9	3	7	5	9	11	9	7	7	1	2	3	3	12	1	1	5	9	0	0	6	1	9	4	2	6	2	1	4	1	2	5	4	3	1	9	5	6	6	5	2	1	6	2	10	6	2	0	2	2	8	3	2	0	3	1	3	2	2	11	3					
		0.52%	0.84%	0.09%	0.35%	0.41%	1.02%	0.74%	0.51%	0.84%	0.49%	0.62%	0.67%	0.39%	0.77%	0.49%	0.28%	0.41%	0.20%	1.36%	0.55%	0.99%	0.13%	0.51%	0.64%	0.75%	0.22%	3.37%	0.60%	0.68%	0.88%	0.42%	0.40%	0.60%	0.17%	1.20%	0.49%	0.81%	0.91%	0.44%	1.44%	0.20%	0.42%	0.41%	0.00%	0.51%	0.00%	1.08%	0.56%	0.54%	0.37%	0.52%	0.83%	0.81%	0.96%	0.56%	0.14%	0.44%	0.23%	0.28%	0.72%	0.17%	0.13%	1.22%	1.01%	0.00%	0.00%	0.66%	0.35%	0.70%	0.28%	0.19%	0.56%	0.95%	0.10%	0.39%	0.12%	0.53%	0.39%	0.35%	0.39%	0.12%	0.62%	0.28%	0.73%	0.98%	0.37%	0.51%	0.51%	0.52%	0.50%	0.98%	0.37%	0.13%	0.00%	0.31%	0.13%	1.50%	0.54%	0.35%	0.00%	0.31%	0.09%	0.30%	0.39%	0.50%	0.87%	0.86%					
21	. Путин Владимир Владимирович	79372	689	799	644	712	597	869	1035	595	1003	815	978	1108	864	872	996	1054	721	997	896	504	594	820	1117	925	1334	480	1024	742	821	1155	1419	1088	858	466	695	608	837	628	359	759	528	1046	383	398	304	580	401	927	881	1301	849	772	504	997	597	351	1110	868	1327	483	566	308	666	329	569	702	229	1070	1037	768	804	156	836	845	704	316	1065	949	628	611	1149	1394	659	480	989	310	137	926	321	757	1283	1282	447	511	1169	379	485	409	814	751	815	707	419	289	961	287					
		74.94%	72.68%	74.53%	75.32%	73.63%	76.44%	80.31%	74.89%	62.63%	70.88%	72.06%	72.66%	72.70%	83.00%	70.55%	69.36%	71.60%	71.96%	71.11%	69.84%	71.29%	75.86%	70.15%	70.97%	76.96%	74.36%	62.18%	76.42%	72.60%	72.40%	69.83%	81.18%	72.34%	73.97%	69.87%	67.48%	70.62%	69.46%	69.01%	73.72%	76.51%	73.95%	72.14%	69.38%	67.00%	67.26%	69.46%	74.26%	71.53%	65.45%	75.46%	63.88%	69.49%	69.23%	79.51%	83.61%	76.47%	83.40%	80.97%	79.65%	79.97%	74.67%	74.94%	74.50%	78.52%	78.81%	77.06%	80.92%	82.82%	73.86%	74.78%	75.00%	73.93%	79.69%	81.49%	83.91%	84.27%	82.88%	83.54%	81.24%	74.51%	79.19%	77.53%	80.37%	78.43%	74.03%	78.48%	70.26%	79.55%	80.65%	74.22%	79.59%	82.39%	83.55%	79.22%	77.52%	70.97%	86.61%	71.88%	80.51%	76.95%	69.30%	70.84%	82.00%	72.80%	76.39%	82.47%					
22	. Хакамада Ирина Муцуовна	3826	32	45	32	32	23	37	65	28	72	47	54	71	22	58	79	80	59	50	84	46	37	58	92	43	69	45	64	50	50	81	58	87	60	37	41	60	82	31	31	34	45	97	34	30	31	47	36	53	89	51	67	70	42	36	6	30	28	15	22	9	14	10	16	10	11	21	4	20	51	19	35	5	18	18	10	1	28	35	9	17	33	43	15	18	54	10	8	22	7	22	28	28	7	16	16	22	5	13	18	11	34	23	14	3	33	7					
		3.61%	3.38%	4.20%	3.74%	3.31%	2.94%	3.42%	4.70%	2.95%	5.09%	4.16%	4.01%	4.66%	2.11%	4.69%	5.50%	5.43%	5.89%	3.57%	6.55%	6.51%	4.73%	4.96%	5.84%	3.58%	3.85%	5.83%	4.78%	4.89%	4.41%	4.90%	3.32%	5.78%	5.17%	5.55%	3.98%	6.97%	6.80%	3.41%	6.37%	3.43%	6.30%	6.69%	6.16%	5.05%	6.86%	5.63%	6.67%	4.09%	6.61%	2.96%	5.04%	6.30%	5.77%	2.87%	0.84%	6.54%	2.10%	1.40%	1.32%	1.49%	1.85%	2.43%	1.79%	2.39%	1.52%	2.31%	1.41%	1.55%	3.63%	1.85%	3.26%	2.37%	1.72%	1.74%	1.19%	0.27%	2.18%	3.08%	1.16%	2.07%	2.27%	2.39%	1.83%	2.94%	4.04%	2.53%	4.10%	1.89%	1.76%	2.16%	1.74%	1.80%	1.31%	2.48%	1.06%	4.12%	0.89%	2.28%	1.78%	1.13%	2.89%	2.30%	2.74%	0.76%	2.62%	2.01%					
23	. Харитонов Николай Михайлович	9792	77	101	77	103	66	74	147	83	146	118	121	144	59	117	126	134	83	136	121	54	55	128	158	97	152	81	111	113	103	152	113	130	120	86	144	70	127	125	33	70	57	101	47	57	68	74	45	108	176	129	207	134	70	102	44	31	76	89	178	62	82	49	94	33	52	70	22	67	158	124	118	19	89	92	63	35	75	53	54	102	100	195	60	50	144	41	13	108	44	101	125	103	36	54	174	67	49	70	87	98	130	137	32	67	126	20					
		9.25%	8.12%	9.42%	9.01%	10.65%	8.45%	6.84%	10.64%	8.74%	10.32%	10.43%	8.99%	9.45%	5.67%	9.47%	8.77%	9.10%	8.28%	9.70%	9.43%	7.64%	7.02%	10.95%	10.04%	8.07%	8.47%	10.49%	8.28%	11.06%	9.08%	9.19%	6.46%	8.64%	10.34%	12.89%	13.98%	8.13%	10.54%	13.74%	6.78%	7.06%	7.98%	6.97%	8.51%	9.60%	15.04%	8.86%	8.33%	8.33%	13.08%	7.48%	15.58%	12.06%	9.62%	8.13%	6.16%	6.75%	5.71%	8.30%	10.68%	10.26%	10.82%	11.92%	10.51%	7.88%	7.20%	7.68%	7.77%	5.19%	11.25%	12.07%	11.01%	9.00%	8.48%	8.87%	7.51%	9.33%	5.84%	4.67%	6.99%	12.44%	6.89%	10.85%	7.32%	8.17%	10.78%	10.38%	6.67%	9.28%	11.06%	9.90%	7.75%	6.62%	6.73%	8.37%	11.54%	12.55%	8.75%	12.30%	8.61%	10.04%	11.05%	13.73%	6.26%	16.88%	10.02%	5.75%					
																																																																																																																	
24	Против всех	4783	54	44	25	34	34	36	42	163	86	52	63	68	37	79	87	90	56	80	83	40	50	59	78	54	102	45	55	39	71	141	50	85	40	29	70	54	50	64	17	47	38	71	22	28	25	32	16	79	89	116	78	44	40	48	26	18	31	35	41	9	41	11	36	18	27	36	7	44	44	36	51	12	38	31	27	5	38	27	20	35	53	66	24	17	64	7	8	27	8	43	68	54	21	30	52	24	2	26	34	29	76	47	6	15	50	9					
		4.52%	5.70%	4.10%	2.92%	3.52%	4.35%	3.33%	3.04%	17.16%	6.08%	4.60%	4.68%	4.46%	3.55%	6.39%	6.06%	6.11%	5.59%	5.71%	6.47%	5.66%	6.39%	5.05%	4.96%	4.49%	5.69%	5.83%	4.10%	3.82%	6.26%	8.52%	2.86%	5.65%	3.45%	4.35%	6.80%	6.27%	4.15%	7.03%	3.49%	4.74%	5.32%	4.90%	3.99%	4.71%	5.53%	3.83%	2.96%	6.10%	6.61%	6.73%	5.87%	3.96%	5.49%	3.83%	3.64%	3.92%	2.33%	3.26%	2.46%	1.49%	5.41%	2.68%	4.03%	4.30%	3.74%	3.95%	2.47%	3.41%	3.13%	3.51%	4.76%	5.69%	3.62%	2.99%	3.22%	1.33%	2.96%	2.38%	2.59%	4.27%	3.65%	3.67%	2.93%	2.78%	4.79%	1.77%	4.10%	2.32%	2.01%	4.22%	4.22%	3.47%	3.93%	4.65%	3.45%	4.49%	0.36%	4.57%	3.36%	2.97%	6.46%	4.71%	1.17%	3.78%	3.97%	2.59%					
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
