7	Число избирательных бюллетеней в переносных ящиках для голосования	6028	46	50	94	26	30	55	20	43	109	69	59	66	96	202	74	137	45	42	33	44	43	23	20	35	42	20	28	20	22	43	29	35	73	27	7	20	100	43	1	126	55	33	35	26	80	35	52	29	29	34	40	28	22	49	181	25	73	80	85	80	103	32	94	74	62	21	32	114	54	20	132	39	35	41	43	119	42	51	28	34	34	45	97	36	14	46	5	36	22	40	12	35	60	86	56	116	51	34	52	50	21	157	99	101	71	92	142	80					
8	Число бюллетеней в стационарных ящиках для голосования	108424	1559	1377	1421	1518	1658	1485	1483	1101	117	1235	1481	1447	1318	1220	586	771	1069	1165	1431	1551	1097	1080	1142	1522	1604	1589	700	1380	1436	1399	1229	1235	1229	1208	93	959	494	702	1555	986	765	351	242	675	473	384	709	718	1609	789	1411	1649	1699	1567	1232	849	396	916	1504	542	1737	318	984	450	1152	541	738	1005	817	906	1044	1232	211	1042	989	432	378	730	1162	1388	1198	221	755	768	1441	1820	842	544	218	436	738	1315	588	803	836	318	1859	1624	703	491	513	1336	660	947	982	517	1335	1248					
9	Число недействительных избирательных бюллетеней	1455	22	30	16	43	0	26	30	22	1	23	12	15	30	36	16	14	22	25	36	29	18	30	35	29	32	32	14	43	43	37	26	0	11	23	4	16	1	19	4	18	12	3	1	5	7	11	19	6	12	9	2	25	22	0	13	2	3	8	8	4	14	0	0	1	17	7	8	17	13	13	12	24	1	16	3	2	0	14	12	2	0	3	2	5	0	22	0	0	1	4	11	15	10	0	0	2	32	23	10	1	6	20	3	5	13	11	9	16					
10	Число действительных избирательных бюллетеней	112997	1583	1397	1499	1501	1688	1514	1473	1122	225	1281	1528	1498	1384	1386	644	894	1092	1182	1428	1566	1122	1073	1127	1528	1614	1577	714	1357	1415	1405	1232	1270	1291	1212	96	963	593	726	1552	1094	808	381	276	696	546	408	742	741	1626	814	1449	1652	1699	1616	1400	872	466	988	1581	618	1826	350	1078	523	1197	555	762	1102	858	913	1164	1247	245	1067	1029	549	420	767	1178	1420	1232	263	850	799	1455	1844	847	580	239	472	739	1335	638	889	892	432	1878	1635	745	540	528	1473	756	1043	1040	598	1468	1312					
11	Число полученных открепительных  удостоверений	4630	80	70	65	50	65	50	80	58	0	60	80	50	50	60	50	50	50	50	65	50	65	80	60	80	65	100	30	50	50	80	50	60	60	40	10	30	20	40	60	60	60	30	10	30	40	30	30	40	75	40	75	40	60	60	52	30	30	30	20	20	70	20	30	20	55	20	35	30	20	30	45	55	10	20	20	20	20	40	50	50	40	10	30	30	45	60	50	20	10	20	20	50	20	30	30	10	100	100	20	20	20	40	20	30	30	20	40	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	4630	80	70	65	50	65	50	80	58	0	60	80	50	50	60	50	50	50	50	65	50	65	80	60	80	65	100	30	50	50	80	50	60	60	40	10	30	20	40	60	60	60	30	10	30	40	30	30	40	75	40	75	40	60	60	52	30	30	30	20	20	70	20	30	20	55	20	35	30	20	30	45	55	10	20	20	20	20	40	50	50	40	10	30	30	45	60	50	20	10	20	20	50	20	30	30	10	100	100	20	20	20	40	20	30	30	20	40	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1196	8	6	5	14	11	2	9	8	7	8	8	7	7	18	10	9	9	4	7	15	14	19	8	6	30	12	19	14	25	12	5	9	18	17	0	5	8	8	11	30	7	12	5	7	17	79	3	17	6	7	17	17	15	19	9	9	4	130	104	3	3	4	3	12	2	1	10	3	2	10	2	6	5	1	5	0	0	23	3	8	5	6	3	5	8	9	3	1	6	6	2	8	7	3	8	7	10	8	5	8	5	8	3	3	7	5	7	8					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	311	11	9	3	5	9	7	11	15	0	5	6	1	2	4	5	3	5	4	8	2	3	7	6	5	11	7	3	3	4	9	1	2	3	4	0	5	2	0	2	3	3	2	0	1	0	1	1	0	4	1	0	0	6	3	0	2	0	3	1	2	4	1	1	0	2	0	1	2	1	4	4	4	0	1	2	2	0	2	5	2	4	0	4	0	2	4	2	1	0	2	1	1	1	1	3	0	1	4	1	3	0	2	4	2	3	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																			
18	Богданов Андрей Владимирович	1582	49	16	22	22	0	17	32	30	4	24	21	23	23	26	13	11	28	20	29	34	19	20	20	35	35	30	11	39	42	31	28	0	25	34	2	15	12	17	8	27	12	3	4	19	4	9	13	4	13	14	16	20	27	22	14	8	9	11	14	6	20	0	0	2	15	2	7	25	20	9	15	11	3	8	8	5	8	8	8	12	20	1	10	4	0	29	0	0	3	1	7	8	7	0	0	8	21	33	10	6	4	13	11	6	11	6	26	15					
		1.38%	3.05%	1.12%	1.45%	1.42%	0.00%	1.10%	2.13%	2.62%	1.77%	1.84%	1.36%	1.52%	1.63%	1.83%	1.97%	1.21%	2.51%	1.66%	1.98%	2.13%	1.67%	1.81%	1.72%	2.25%	2.13%	1.86%	1.51%	2.79%	2.88%	2.15%	2.23%	0.00%	1.92%	2.75%	2.00%	1.53%	2.02%	2.28%	0.51%	2.43%	1.46%	0.78%	1.44%	2.71%	0.72%	2.15%	1.71%	0.54%	0.79%	1.70%	1.10%	1.19%	1.57%	1.36%	0.99%	0.92%	1.92%	1.10%	0.88%	0.96%	1.09%	0.00%	0.00%	0.38%	1.24%	0.36%	0.91%	2.23%	2.30%	0.97%	1.28%	0.87%	1.22%	0.74%	0.78%	0.91%	1.90%	1.02%	0.67%	0.84%	1.62%	0.38%	1.17%	0.50%	0.00%	1.55%	0.00%	0.00%	1.25%	0.21%	0.93%	0.59%	1.08%	0.00%	0.00%	1.84%	1.10%	1.99%	1.32%	1.11%	0.75%	0.87%	1.45%	0.57%	1.04%	0.99%	1.76%	1.13%					
19	Жириновский Владимир Вольфович	10705	186	156	156	157	79	144	199	138	27	154	216	140	150	120	69	85	123	96	156	135	122	118	126	157	185	166	100	140	157	130	140	17	117	145	5	128	60	91	100	125	85	51	28	60	47	46	81	27	143	76	114	202	136	121	136	66	54	84	196	40	174	5	10	79	104	65	72	114	116	114	133	157	38	101	92	47	26	68	101	105	95	16	87	98	45	211	27	5	24	49	17	21	69	10	14	41	170	161	137	48	92	123	101	127	107	46	135	100					
		9.35%	11.59%	10.93%	10.30%	10.17%	4.68%	9.35%	13.24%	12.06%	11.95%	11.81%	14.03%	9.25%	10.61%	8.44%	10.45%	9.36%	11.04%	7.95%	10.66%	8.46%	10.70%	10.70%	10.84%	10.08%	11.24%	10.32%	13.74%	10.00%	10.77%	9.02%	11.13%	1.34%	8.99%	11.74%	5.00%	13.07%	10.10%	12.21%	6.43%	11.24%	10.37%	13.28%	10.11%	8.56%	8.50%	10.98%	10.64%	3.61%	8.73%	9.23%	7.86%	12.05%	7.90%	7.49%	9.62%	7.55%	11.51%	8.43%	12.33%	6.43%	9.46%	1.43%	0.93%	15.08%	8.57%	11.57%	9.35%	10.19%	13.32%	12.31%	11.31%	12.35%	15.45%	9.33%	8.91%	8.53%	6.19%	8.71%	8.49%	7.38%	7.71%	6.02%	10.21%	12.19%	3.09%	11.31%	3.19%	0.86%	10.00%	10.29%	2.27%	1.56%	10.65%	1.12%	1.57%	9.45%	8.90%	9.71%	18.15%	8.87%	17.23%	8.24%	13.31%	12.12%	10.16%	7.55%	9.14%	7.53%					
20	Зюганов Геннадий Андреевич	18924	352	292	289	328	97	262	254	254	54	190	276	287	308	316	120	164	238	274	320	282	256	228	268	323	342	277	107	284	337	285	312	27	245	236	21	144	86	131	300	168	144	41	61	147	93	87	175	67	264	149	258	241	326	315	191	110	52	140	120	89	264	25	56	143	248	81	130	232	182	165	276	252	26	158	135	75	50	149	118	190	180	35	150	129	70	338	46	27	29	72	76	194	103	22	21	90	262	218	107	69	107	238	102	143	104	109	288	236					
		16.53%	21.93%	20.46%	19.08%	21.24%	5.75%	17.01%	16.90%	22.20%	23.89%	14.57%	17.92%	18.97%	21.78%	22.22%	18.18%	18.06%	21.36%	22.70%	21.86%	17.68%	22.46%	20.67%	23.06%	20.75%	20.78%	17.22%	14.70%	20.29%	23.11%	19.76%	24.80%	2.13%	18.82%	19.11%	21.00%	14.71%	14.48%	17.58%	19.28%	15.11%	17.56%	10.68%	22.02%	20.97%	16.82%	20.76%	22.99%	8.97%	16.12%	18.10%	17.78%	14.37%	18.94%	19.49%	13.52%	12.59%	11.09%	14.06%	7.55%	14.31%	14.35%	7.14%	5.19%	27.29%	20.43%	14.41%	16.88%	20.73%	20.90%	17.82%	23.47%	19.83%	10.57%	14.59%	13.08%	13.61%	11.90%	19.08%	9.92%	13.36%	14.61%	13.16%	17.61%	16.04%	4.81%	18.11%	5.43%	4.66%	12.08%	15.13%	10.13%	14.37%	15.90%	2.47%	2.35%	20.74%	13.72%	13.15%	14.17%	12.75%	20.04%	15.94%	13.44%	13.65%	9.88%	17.90%	19.50%	17.77%					
21	Медведев Дмитрий Анатольевич	81786	996	933	1032	994	1512	1091	988	700	140	913	1015	1048	903	924	442	634	703	792	923	1115	725	707	713	1013	1052	1104	496	894	879	959	752	1226	904	797	68	676	435	487	1144	774	567	286	183	470	402	266	473	643	1206	575	1061	1189	1210	1158	1059	688	351	753	1251	483	1368	320	1012	299	830	407	553	731	540	625	740	827	178	800	794	422	336	542	951	1113	937	211	603	568	1340	1266	774	548	183	350	639	1112	459	857	857	293	1425	1223	491	417	325	1099	542	767	818	437	1019	961					
		71.46%	62.06%	65.38%	68.12%	64.38%	89.57%	70.84%	65.74%	61.19%	61.95%	70.02%	65.91%	69.27%	63.86%	64.98%	66.97%	69.82%	63.11%	65.62%	63.05%	69.91%	63.60%	64.10%	61.36%	65.06%	63.91%	68.61%	68.13%	63.86%	60.29%	66.50%	59.78%	96.54%	69.43%	64.53%	68.00%	69.05%	73.23%	65.37%	73.52%	69.60%	69.15%	74.48%	66.06%	67.05%	72.69%	63.48%	62.16%	86.08%	73.63%	69.87%	73.12%	70.90%	70.31%	71.66%	74.95%	78.72%	74.84%	75.60%	78.73%	77.65%	74.35%	91.43%	93.88%	57.06%	68.37%	72.42%	71.82%	65.33%	61.99%	67.49%	62.93%	65.07%	72.36%	73.87%	76.94%	76.59%	80.00%	69.40%	79.92%	78.27%	76.06%	79.32%	70.77%	70.65%	92.10%	67.85%	91.38%	94.48%	76.25%	73.53%	85.20%	82.37%	70.83%	96.40%	96.08%	67.51%	74.61%	73.76%	65.03%	77.08%	60.86%	73.61%	71.41%	73.19%	77.68%	71.76%	68.99%	72.36%					
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
