Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
Наименование Избирательной комиссии:    Можайская																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №3502									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1039	25	25	10	25	25	25	25	25	10	25	25	10	10	25	25	10	25	14	20	25	10	25	25	25	19	10	25	10	10	10	10	10	15	8	8	8	10	10	8	10	8	25	8	10	10	10	8	10	45	25	25	25	25	10	25	25	10	10	10	10	10	10	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	502	7	11	4	12	6	10	16	15	6	15	13	7	9	16	16	7	18	9	15	3	9	11	9	11	12	3	20	1	1	6	5	1	10	1	2	4	9	5	2	8	1	12	5	6	0	6	0	3	41	12	12	6	11	0	14	6	2	4	1	6	3	3	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	790	14	14	104	15	7	14	10	34	5	3	17	15	9	6	7	5	5	14	11	7	7	44	37	14	3	6	9	4	25	21	2	2	11	7	2	7	32	10	13	3	7	26	18	3	7	4	0	7	21	4	2	0	30	5	6	7	18	5	8	9	3	5	0	20									
14	Число погашенных неиспользованных открепительных удостоверений	537	18	14	6	13	19	15	9	10	4	10	12	3	1	9	9	3	7	5	5	22	1	14	16	14	7	7	5	9	9	4	5	9	5	7	6	4	1	5	6	2	7	13	3	4	10	4	8	7	4	13	13	19	14	10	11	19	8	6	9	4	7	7	7	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	344	10	5	3	6	9	15	8	9	9	10	9	4	3	6	4	5	5	9	3	2	1	9	9	23	13	2	42	4	4	7	7	3	7	2	2	1	4	2	0	0	1	0	1	3	2	5	0	3	21	0	2	3	7	0	3	5	2	3	1	0	1	3	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	349	8	6	3	7	7	16	12	6	6	11	9	7	8	7	8	2	11	4	5	7	3	0	17	6	5	4	11	6	7	6	4	3	6	1	1	3	6	8	2	3	3	8	2	3	6	4	0	1	11	10	6	5	6	0	6	1	5	3	3	3	5	3	3	0									
		1.61%	1.67%	1.26%	1.06%	1.22%	1.38%	2.61%	1.97%	1.46%	2.86%	1.94%	1.80%	4.00%	2.70%	1.25%	2.52%	1.20%	2.10%	1.58%	1.47%	1.95%	2.40%	0.00%	2.88%	0.93%	1.44%	1.52%	2.74%	2.16%	2.98%	2.65%	1.38%	1.14%	1.93%	0.99%	1.10%	2.54%	2.08%	4.30%	1.39%	1.27%	2.94%	1.61%	1.80%	1.07%	2.03%	1.25%	0.00%	0.31%	0.66%	2.28%	1.97%	1.76%	1.23%	0.00%	1.55%	0.25%	5.00%	2.61%	1.26%	2.14%	2.96%	2.04%	1.71%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	550	16	6	6	16	24	11	8	6	3	14	12	4	3	22	6	0	20	7	11	9	4	12	14	15	11	8	17	8	9	16	11	8	14	5	1	2	7	0	3	8	0	12	1	7	10	13	4	12	12	5	6	12	23	2	10	17	2	0	8	2	7	4	2	2									
		2.54%	3.33%	1.26%	2.12%	2.78%	4.73%	1.80%	1.31%	1.46%	1.43%	2.47%	2.40%	2.29%	1.01%	3.94%	1.89%	0.00%	3.82%	2.77%	3.24%	2.51%	3.20%	2.12%	2.37%	2.33%	3.16%	3.04%	4.24%	2.88%	3.83%	7.08%	3.81%	3.03%	4.50%	4.95%	1.10%	1.69%	2.42%	0.00%	2.08%	3.38%	0.00%	2.41%	0.90%	2.49%	3.38%	4.06%	6.25%	3.76%	0.72%	1.14%	1.97%	4.23%	4.73%	1.79%	2.59%	4.21%	2.00%	0.00%	3.36%	1.43%	4.14%	2.72%	1.14%	0.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	506	21	1	2	16	14	21	24	19	10	14	11	3	7	19	8	4	12	4	14	3	5	12	21	21	10	7	6	8	5	3	7	7	13	4	2	2	1	4	4	3	3	6	0	5	8	10	4	8	8	16	4	7	8	1	12	10	1	6	3	3	7	2	1	1									
		2.34%	4.38%	0.21%	0.71%	2.78%	2.76%	3.43%	3.93%	4.62%	4.76%	2.47%	2.20%	1.71%	2.36%	3.40%	2.52%	2.40%	2.29%	1.58%	4.12%	0.84%	4.00%	2.12%	3.56%	3.26%	2.87%	2.66%	1.50%	2.88%	2.13%	1.33%	2.42%	2.65%	4.18%	3.96%	2.20%	1.69%	0.35%	2.15%	2.78%	1.27%	2.94%	1.21%	0.00%	1.78%	2.70%	3.13%	6.25%	2.51%	0.48%	3.64%	1.31%	2.46%	1.65%	0.89%	3.11%	2.48%	1.00%	5.22%	1.26%	2.14%	4.14%	1.36%	0.57%	0.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10256	166	181	160	243	210	220	232	175	84	227	193	72	125	230	138	76	222	103	128	142	42	302	248	270	122	94	123	88	84	89	127	108	104	39	51	49	201	112	88	129	44	348	85	131	100	121	27	132	1304	273	138	128	224	57	184	158	41	43	103	64	74	99	107	474									
		47.44%	34.58%	38.03%	56.54%	42.19%	41.42%	35.95%	38.03%	42.58%	40.00%	40.04%	38.60%	41.14%	42.23%	41.14%	43.40%	45.51%	42.37%	40.71%	37.65%	39.55%	33.60%	53.36%	42.03%	41.93%	35.06%	35.74%	30.67%	31.65%	35.74%	39.38%	43.94%	40.91%	33.44%	38.61%	56.04%	41.53%	69.55%	60.22%	61.11%	54.43%	43.14%	70.02%	76.58%	46.62%	33.78%	37.81%	42.19%	41.38%	77.76%	62.19%	45.25%	45.07%	46.09%	50.89%	47.67%	39.11%	41.00%	37.39%	43.28%	45.71%	43.79%	67.35%	61.14%	90.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	233	5	1	4	5	8	8	10	5	3	9	6	1	4	8	5	3	10	1	1	2	2	9	5	11	3	6	6	3	0	4	7	0	1	2	1	4	1	5	1	2	1	5	0	2	2	2	1	1	9	4	6	9	4	2	4	2	2	1	1	1	1	1	0	0									
		1.08%	1.04%	0.21%	1.41%	0.87%	1.58%	1.31%	1.64%	1.22%	1.43%	1.59%	1.20%	0.57%	1.35%	1.43%	1.57%	1.80%	1.91%	0.40%	0.29%	0.56%	1.60%	1.59%	0.85%	1.71%	0.86%	2.28%	1.50%	1.08%	0.00%	1.77%	2.42%	0.00%	0.32%	1.98%	1.10%	3.39%	0.35%	2.69%	0.69%	0.84%	0.98%	1.01%	0.00%	0.71%	0.68%	0.63%	1.56%	0.31%	0.54%	0.91%	1.97%	3.17%	0.82%	1.79%	1.04%	0.50%	2.00%	0.87%	0.42%	0.71%	0.59%	0.68%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	116	0	0	1	3	0	1	0	0	0	2	0	1	0	1	0	1	0	0	0	0	1	2	0	2	2	1	1	1	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	46	1	0	0	0	4	1	0	0	2	0	0	1	0	1	0	31	1	0	2	0									
		0.54%	0.00%	0.00%	0.35%	0.52%	0.00%	0.16%	0.00%	0.00%	0.00%	0.35%	0.00%	0.57%	0.00%	0.18%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.80%	0.35%	0.00%	0.31%	0.57%	0.38%	0.25%	0.36%	1.70%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	16.37%	0.34%	0.00%	0.00%	0.00%	0.24%	0.23%	0.00%	0.00%	0.41%	0.00%	0.00%	0.25%	0.00%	0.87%	0.00%	22.14%	0.59%	0.00%	1.14%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3506	101	147	40	102	79	104	117	63	38	115	84	36	56	93	50	27	86	63	69	58	28	82	95	119	58	48	72	60	48	32	53	53	68	23	8	27	33	21	19	23	21	35	7	1	63	51	6	34	213	39	65	57	83	27	53	82	21	23	29	1	29	12	30	26									
		16.22%	21.04%	30.88%	14.13%	17.71%	15.58%	16.99%	19.18%	15.33%	18.10%	20.28%	16.80%	20.57%	18.92%	16.64%	15.72%	16.17%	16.41%	24.90%	20.29%	16.16%	22.40%	14.49%	16.10%	18.48%	16.67%	18.25%	17.96%	21.58%	20.43%	14.16%	18.34%	20.08%	21.86%	22.77%	8.79%	22.88%	11.42%	11.29%	13.19%	9.70%	20.59%	7.04%	6.31%	0.36%	21.28%	15.94%	9.38%	10.66%	12.70%	8.88%	21.31%	20.07%	17.08%	24.11%	13.73%	20.30%	21.00%	20.00%	12.18%	0.71%	17.16%	8.16%	17.14%	4.96%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	162	3	0	0	5	5	7	6	8	3	7	5	2	3	4	0	1	1	0	2	5	0	1	6	10	4	0	8	2	1	0	1	2	2	0	1	2	2	0	1	1	0	3	2	3	1	2	0	0	7	5	3	4	2	1	5	2	0	0	1	3	0	2	1	4									
		0.75%	0.63%	0.00%	0.00%	0.87%	0.99%	1.14%	0.98%	1.95%	1.43%	1.23%	1.00%	1.14%	1.01%	0.72%	0.00%	0.60%	0.19%	0.00%	0.59%	1.39%	0.00%	0.18%	1.02%	1.55%	1.15%	0.00%	1.99%	0.72%	0.43%	0.00%	0.35%	0.76%	0.64%	0.00%	1.10%	1.69%	0.69%	0.00%	0.69%	0.42%	0.00%	0.60%	1.80%	1.07%	0.34%	0.63%	0.00%	0.00%	0.42%	1.14%	0.98%	1.41%	0.41%	0.89%	1.30%	0.50%	0.00%	0.00%	0.42%	2.14%	0.00%	1.36%	0.57%	0.76%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	246	8	4	2	7	5	14	14	9	4	11	7	1	2	2	2	0	9	7	2	3	5	0	8	14	5	4	6	3	1	2	0	1	3	2	2	0	1	3	2	4	1	4	1	1	0	2	0	1	13	2	1	1	5	0	0	5	1	1	6	21	0	1	0	0									
		1.14%	1.67%	0.84%	0.71%	1.22%	0.99%	2.29%	2.30%	2.19%	1.90%	1.94%	1.40%	0.57%	0.68%	0.36%	0.63%	0.00%	1.72%	2.77%	0.59%	0.84%	4.00%	0.00%	1.36%	2.17%	1.44%	1.52%	1.50%	1.08%	0.43%	0.88%	0.00%	0.38%	0.96%	1.98%	2.20%	0.00%	0.35%	1.61%	1.39%	1.69%	0.98%	0.80%	0.90%	0.36%	0.00%	0.63%	0.00%	0.31%	0.78%	0.46%	0.33%	0.35%	1.03%	0.00%	0.00%	1.24%	1.00%	0.87%	2.52%	15.00%	0.00%	0.68%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	39	1	0	1	2	0	0	1	0	0	1	0	0	0	0	0	1	5	0	1	1	2	0	2	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	1	0	3	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0									
		0.18%	0.21%	0.00%	0.35%	0.35%	0.00%	0.00%	0.16%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.95%	0.00%	0.29%	0.28%	1.60%	0.00%	0.34%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.20%	0.00%	1.07%	0.00%	0.31%	0.00%	0.63%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.74%	0.00%	2.14%	1.18%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	416	9	8	3	9	8	11	14	12	7	5	19	7	1	8	6	3	5	2	6	7	4	4	9	7	4	8	5	6	3	10	1	3	4	2	1	1	0	0	0	1	1	2	1	56	1	2	2	6	1	7	4	1	12	0	5	11	3	1	65	4	5	0	3	0									
		1.92%	1.88%	1.68%	1.06%	1.56%	1.58%	1.80%	2.30%	2.92%	3.33%	0.88%	3.80%	4.00%	0.34%	1.43%	1.89%	1.80%	0.95%	0.79%	1.76%	1.95%	3.20%	0.71%	1.53%	1.09%	1.15%	3.04%	1.25%	2.16%	1.28%	4.42%	0.35%	1.14%	1.29%	1.98%	1.10%	0.85%	0.00%	0.00%	0.00%	0.42%	0.98%	0.40%	0.90%	19.93%	0.34%	0.63%	3.13%	1.88%	0.06%	1.59%	1.31%	0.35%	2.47%	0.00%	1.30%	2.72%	3.00%	0.87%	27.31%	2.86%	2.96%	0.00%	1.71%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3649	106	57	35	123	93	141	112	72	38	112	104	25	61	96	69	28	103	48	72	83	26	120	103	114	91	67	90	55	58	39	52	59	73	16	18	21	23	21	19	26	18	61	10	2	87	100	17	101	54	58	53	49	89	20	82	79	16	24	1	0	29	18	12	0									
		16.88%	22.08%	11.97%	12.37%	21.35%	18.34%	23.04%	18.36%	17.52%	18.10%	19.75%	20.80%	14.29%	20.61%	17.17%	21.70%	16.77%	19.66%	18.97%	21.18%	23.12%	20.80%	21.20%	17.46%	17.70%	26.15%	25.48%	22.44%	19.78%	24.68%	17.26%	17.99%	22.35%	23.47%	15.84%	19.78%	17.80%	7.96%	11.29%	13.19%	10.97%	17.65%	12.27%	9.01%	0.71%	29.39%	31.25%	26.56%	31.66%	3.22%	13.21%	17.38%	17.25%	18.31%	17.86%	21.24%	19.55%	16.00%	20.87%	0.42%	0.00%	17.16%	12.24%	6.86%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	286	6	7	5	6	8	10	16	7	2	10	16	1	4	14	4	2	3	6	5	10	2	2	11	14	3	2	5	15	6	8	4	2	8	1	0	1	0	2	2	4	2	0	0	6	0	1	1	2	8	4	2	3	2	0	2	5	1	2	11	0	0	0	0	0									
		1.32%	1.25%	1.47%	1.77%	1.04%	1.58%	1.63%	2.62%	1.70%	0.95%	1.76%	3.20%	0.57%	1.35%	2.50%	1.26%	1.20%	0.57%	2.37%	1.47%	2.79%	1.60%	0.35%	1.86%	2.17%	0.86%	0.76%	1.25%	5.40%	2.55%	3.54%	1.38%	0.76%	2.57%	0.99%	0.00%	0.85%	0.00%	1.08%	1.39%	1.69%	1.96%	0.00%	0.00%	2.14%	0.00%	0.31%	1.56%	0.63%	0.48%	0.91%	0.66%	1.06%	0.41%	0.00%	0.52%	1.24%	1.00%	1.74%	4.62%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	596	21	9	12	7	22	23	21	15	7	19	18	8	12	27	14	8	20	3	14	8	1	8	28	17	17	7	36	8	4	10	6	9	4	3	4	0	11	7	2	8	0	8	2	0	10	8	2	7	12	8	8	4	12	1	10	11	2	2	0	0	1	1	8	1									
		2.76%	4.38%	1.89%	4.24%	1.22%	4.34%	3.76%	3.44%	3.65%	3.33%	3.35%	3.60%	4.57%	4.05%	4.83%	4.40%	4.79%	3.82%	1.19%	4.12%	2.23%	0.80%	1.41%	4.75%	2.64%	4.89%	2.66%	8.98%	2.88%	1.70%	4.42%	2.08%	3.41%	1.29%	2.97%	4.40%	0.00%	3.81%	3.76%	1.39%	3.38%	0.00%	1.61%	1.80%	0.00%	3.38%	2.50%	3.13%	2.19%	0.72%	1.82%	2.62%	1.41%	2.47%	0.89%	2.59%	2.72%	2.00%	1.74%	0.00%	0.00%	0.59%	0.68%	4.57%	0.19%									
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
