Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Сосновоборская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №695									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1614	174	172	156	121	125	134	187	136	199	175	35									
		13.46%	16.05%	13.56%	12.24%	11.21%	11.22%	10.91%	14.96%	12.06%	17.63%	15.99%	10.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	566	52	54	53	57	63	60	58	36	57	60	16									
		4.72%	4.80%	4.26%	4.16%	5.28%	5.66%	4.89%	4.64%	3.19%	5.05%	5.48%	4.66%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	544	38	49	36	54	64	64	65	52	46	62	14									
		4.54%	3.51%	3.86%	2.83%	5.00%	5.75%	5.21%	5.20%	4.61%	4.07%	5.67%	4.08%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
