Выборы Президента Российской Федерации																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Итоги голосования 																																																																																																													
																																																																																																													
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
		0.19%	0.00%	0.07%	0.00%	1.29%	0.08%	0.41%	0.00%	0.00%	0.00%	0.13%	0.17%	0.00%	0.07%	0.64%	0.00%	0.00%	0.55%	0.38%	0.00%	0.00%	0.22%	0.48%	0.00%	0.22%	0.21%	0.00%	1.00%	0.21%	0.34%	0.00%	0.00%	0.39%	0.05%	0.00%	0.27%	1.01%	0.31%	0.19%	0.27%	0.00%	0.25%	0.37%	0.21%	0.15%	0.36%	0.00%	0.00%	0.40%	0.00%	0.13%	0.00%	0.00%	0.19%	0.09%	0.13%	0.00%	0.24%	0.00%	0.12%	0.11%	0.40%	0.67%	0.15%	0.00%	0.16%	0.06%	0.05%	0.30%	0.22%	0.12%	0.80%	0.16%	0.19%	0.32%	0.16%	0.08%	0.30%	0.00%	1.20%	0.30%	0.14%	0.08%	0.08%	0.08%	0.35%	0.00%	0.06%	0.07%	0.15%	0.61%	0.14%	0.16%	0.46%	0.18%	0.14%	0.73%	0.00%	0.00%	0.00%	0.13%	0.48%	0.10%					
21	. Путин Владимир Владимирович	138818	2052	1465	1490	1420	1216	643	1224	2352	1400	693	2212	1469	1409	1893	2190	1926	803	990	1317	1809	1347	1530	1536	1125	895	1648	873	1390	1252	653	1346	1088	1742	863	717	979	868	1341	681	2120	1930	1223	1214	1307	1639	1780	1995	1413	1812	2189	1086	483	481	1121	1348	1154	1112	2029	794	1734	692	1125	1151	1601	1245	1717	1750	1298	1295	1615	1402	2338	1365	807	1169	1127	967	1021	871	1947	1330	1104	2404	1163	1443	1944	1299	1344	1309	1262	1306	1802	966	1609	1326	931	1117	2311	874	1362	1404	894					
		93.26%	97.02%	98.59%	98.48%	96.27%	98.94%	86.89%	89.28%	96.20%	93.09%	93.02%	96.22%	99.53%	96.24%	92.57%	97.16%	96.30%	74.01%	94.11%	94.82%	95.92%	96.70%	91.34%	96.18%	80.88%	95.01%	97.00%	97.00%	97.00%	84.48%	96.88%	88.84%	85.87%	93.16%	96.10%	96.11%	82.41%	90.70%	85.31%	90.80%	92.98%	96.21%	89.99%	86.59%	95.33%	97.68%	96.27%	99.75%	80.51%	97.58%	95.05%	98.73%	92.88%	93.22%	97.90%	90.11%	96.97%	87.35%	98.40%	92.43%	97.64%	92.02%	75.76%	89.09%	97.62%	96.51%	97.95%	88.92%	95.93%	96.50%	96.19%	86.76%	93.22%	86.23%	84.86%	96.21%	95.75%	96.70%	95.42%	87.19%	97.30%	93.33%	92.38%	94.68%	95.96%	84.88%	97.05%	82.16%	95.93%	97.98%	95.53%	92.10%	95.95%	88.54%	96.00%	96.02%	84.95%	97.05%	98.01%	93.48%	89.84%	84.17%	90.95%					
22	. Хакамада Ирина Муцуовна	965	0	0	4	0	2	15	5	10	0	5	7	0	4	9	0	4	26	3	4	12	6	15	12	38	4	0	0	10	28	3	0	16	4	0	5	30	19	32	12	23	3	32	1	7	6	1	0	20	8	18	0	4	4	1	15	1	10	4	1	2	2	44	17	5	8	6	33	2	0	10	22	2	30	14	1	2	2	8	7	7	3	13	11	8	29	2	27	9	4	11	0	14	4	10	3	36	2	0	6	10	26	10					
		0.65%	0.00%	0.00%	0.26%	0.00%	0.16%	2.03%	0.36%	0.41%	0.00%	0.67%	0.30%	0.00%	0.27%	0.44%	0.00%	0.20%	2.40%	0.29%	0.29%	0.64%	0.43%	0.90%	0.75%	2.73%	0.42%	0.00%	0.00%	0.70%	1.89%	0.45%	0.00%	1.26%	0.21%	0.00%	0.67%	2.53%	1.99%	2.04%	1.60%	1.01%	0.15%	2.35%	0.07%	0.51%	0.36%	0.05%	0.00%	1.14%	0.43%	0.78%	0.00%	0.77%	0.78%	0.09%	1.00%	0.08%	0.79%	0.19%	0.12%	0.11%	0.27%	2.96%	1.32%	0.30%	0.62%	0.34%	1.68%	0.15%	0.00%	0.60%	1.36%	0.08%	1.90%	1.47%	0.08%	0.17%	0.20%	0.75%	0.70%	0.35%	0.21%	1.09%	0.43%	0.66%	1.71%	0.10%	1.71%	0.64%	0.30%	0.83%	0.00%	0.75%	0.37%	0.60%	0.22%	3.28%	0.17%	0.00%	0.64%	0.66%	1.56%	1.02%					
23	. Харитонов Николай Михайлович	6456	63	4	13	31	9	31	118	58	96	27	42	0	39	63	52	64	170	35	52	48	29	105	27	181	32	45	11	25	152	12	165	125	120	33	13	120	41	137	34	100	56	57	121	40	15	66	5	164	32	65	14	21	22	12	94	27	113	14	55	33	43	193	104	33	31	26	126	15	38	24	113	160	127	97	38	40	21	34	82	20	84	46	111	27	149	48	175	37	17	23	100	29	81	33	31	87	28	45	45	91	184	72					
		4.34%	2.98%	0.27%	0.86%	2.10%	0.73%	4.19%	8.61%	2.37%	6.38%	3.62%	1.83%	0.00%	2.66%	3.08%	2.31%	3.20%	15.67%	3.33%	3.74%	2.55%	2.08%	6.27%	1.69%	13.01%	3.40%	2.65%	1.22%	1.74%	10.26%	1.78%	10.89%	9.87%	6.42%	3.67%	1.74%	10.10%	4.28%	8.72%	4.53%	4.39%	2.79%	4.19%	8.63%	2.92%	0.89%	3.57%	0.25%	9.34%	1.72%	2.82%	1.27%	4.04%	4.26%	1.05%	6.28%	2.27%	8.88%	0.68%	6.40%	1.86%	5.72%	13.00%	8.05%	2.01%	2.40%	1.48%	6.40%	1.11%	2.83%	1.43%	6.99%	6.38%	8.02%	10.20%	3.13%	3.40%	2.10%	3.18%	8.21%	1.00%	5.89%	3.85%	4.37%	2.23%	8.76%	2.40%	11.07%	2.64%	1.27%	1.74%	7.05%	1.54%	7.42%	1.97%	2.24%	7.94%	2.43%	1.91%	4.81%	6.00%	11.03%	7.32%					
																																																																																																													
24	Против всех	626	0	0	0	0	0	13	5	5	1	9	0	4	0	8	0	4	17	10	7	4	3	5	12	0	2	0	0	4	14	3	4	10	0	0	7	9	14	10	8	12	0	10	4	5	6	0	0	15	0	10	0	5	5	1	11	4	10	3	4	1	7	49	11	0	0	0	22	11	4	17	17	0	11	9	3	1	4	2	8	5	1	14	0	6	22	1	24	6	0	4	2	16	3	5	5	9	0	0	3	17	9	0					
		0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	1.76%	0.36%	0.20%	0.07%	1.21%	0.00%	0.27%	0.00%	0.39%	0.00%	0.20%	1.57%	0.95%	0.50%	0.21%	0.22%	0.30%	0.75%	0.00%	0.21%	0.00%	0.00%	0.28%	0.94%	0.45%	0.26%	0.79%	0.00%	0.00%	0.94%	0.76%	1.46%	0.64%	1.07%	0.53%	0.00%	0.74%	0.29%	0.36%	0.36%	0.00%	0.00%	0.85%	0.00%	0.43%	0.00%	0.96%	0.97%	0.09%	0.74%	0.34%	0.79%	0.15%	0.47%	0.06%	0.93%	3.30%	0.85%	0.00%	0.00%	0.00%	1.12%	0.81%	0.30%	1.01%	1.05%	0.00%	0.69%	0.95%	0.25%	0.08%	0.40%	0.19%	0.80%	0.25%	0.07%	1.17%	0.00%	0.50%	1.29%	0.05%	1.52%	0.43%	0.00%	0.30%	0.14%	0.85%	0.27%	0.30%	0.36%	0.82%	0.00%	0.00%	0.32%	1.12%	0.54%	0.00%					
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
