Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																															
Дата голосования: 18.09.2016																																																																																															
																																																																																															
Наименование Избирательной комиссии:    Клинская																																																																																															
																																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																															
																																																																																															
		Сумма	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1865	20	25	20	15	5	40	30	25	30	25	25	10	30	30	10	20	35	15	20	15	20	35	40	25	10	20	30	40	25	15	15	25	20	20	20	25	25	30	30	25	15	35	25	30	45	30	20	35	30	15	5	15	10	10	5	10	10	25	25	10	15	15	45	20	35	40	30	25	15	15	15	15	30	25	10	15	5	10	30	25	35	25	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1087	10	9	10	9	4	19	10	12	12	12	16	5	17	12	4	10	16	5	12	9	10	21	14	12	7	4	10	19	13	10	7	14	4	14	7	6	14	11	9	14	6	18	21	16	42	18	20	25	17	9	3	2	4	10	0	9	8	23	16	4	5	15	38	15	25	40	13	23	13	15	15	9	26	15	8	14	2	1	20	21	24	14	6	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	904	9	7	9	9	13	15	6	10	15	4	23	11	14	11	2	9	11	10	10	10	7	16	12	12	13	7	23	8	17	5	12	11	3	7	12	12	8	10	15	13	6	25	11	12	15	6	8	6	10	7	6	4	8	20	11	9	11	17	10	7	6	1	15	17	9	14	15	6	10	7	10	8	20	15	7	12	11	8	17	8	15	6	4	23									
14	Число погашенных неиспользованных открепительных удостоверений	778	10	16	10	6	1	21	20	13	18	13	9	5	13	18	6	10	19	10	8	6	10	14	26	13	3	16	20	21	12	5	8	11	16	6	13	19	11	19	21	11	9	17	4	14	3	12	0	10	13	6	2	13	6	0	5	1	2	2	9	6	10	0	7	5	10	0	17	2	2	0	0	6	4	10	2	1	3	9	10	4	11	11	4	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	291	5	6	2	0	3	7	3	3	3	4	3	4	10	8	4	2	9	3	3	6	4	5	5	6	0	2	2	6	4	2	5	4	8	6	6	6	6	5	8	4	4	3	6	3	9	3	4	9	5	0	0	3	2	1	1	2	1	1	1	1	1	1	8	3	3	2	3	2	1	3	1	0	0	1	0	2	2	2	4	2	5	1	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0									
																																																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	675	7	14	6	2	4	9	7	10	6	8	0	7	16	10	8	8	9	4	4	7	11	17	22	9	6	2	17	15	12	8	7	3	6	11	8	6	10	6	17	14	6	9	11	8	16	12	10	23	12	3	0	3	1	2	7	1	6	9	10	2	5	4	18	10	7	6	6	10	5	8	3	4	8	4	2	4	5	2	8	17	16	7	3	9									
		1.62%	1.48%	2.51%	1.07%	0.52%	1.46%	1.12%	1.17%	2.20%	0.93%	1.34%	0.00%	2.67%	2.56%	1.41%	2.22%	1.58%	0.93%	0.72%	1.30%	1.66%	2.72%	2.22%	2.11%	1.42%	2.76%	0.70%	2.60%	1.87%	2.18%	2.68%	1.18%	0.61%	1.55%	2.12%	1.80%	1.37%	1.54%	1.00%	2.42%	2.37%	1.58%	1.23%	1.55%	1.51%	1.07%	1.85%	2.04%	3.02%	1.91%	2.08%	0.00%	1.57%	0.47%	1.34%	3.15%	0.47%	2.69%	1.18%	2.11%	1.24%	1.92%	3.39%	1.71%	3.40%	0.91%	0.96%	0.86%	1.73%	0.92%	1.95%	1.15%	2.30%	2.03%	1.35%	0.65%	1.12%	2.91%	1.00%	1.48%	2.95%	2.03%	0.99%	1.61%	2.29%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	770	9	3	10	6	9	12	6	9	9	10	5	4	9	12	6	11	12	5	9	13	11	13	14	6	4	5	19	15	10	5	9	5	14	12	5	3	1	12	11	13	8	16	16	10	9	13	5	21	20	0	2	4	5	1	1	3	4	17	5	21	5	1	22	10	13	9	14	17	9	9	10	5	5	2	8	14	2	5	17	11	20	13	3	9									
		1.85%	1.90%	0.54%	1.78%	1.55%	3.28%	1.49%	1.01%	1.98%	1.39%	1.68%	0.84%	1.53%	1.44%	1.69%	1.67%	2.17%	1.24%	0.90%	2.93%	3.09%	2.72%	1.69%	1.34%	0.95%	1.84%	1.76%	2.91%	1.87%	1.81%	1.68%	1.52%	1.01%	3.61%	2.31%	1.13%	0.69%	0.15%	2.00%	1.56%	2.20%	2.11%	2.19%	2.25%	1.89%	0.60%	2.01%	1.02%	2.76%	3.18%	0.00%	1.41%	2.09%	2.36%	0.67%	0.45%	1.41%	1.79%	2.23%	1.05%	13.04%	1.92%	0.85%	2.09%	3.40%	1.70%	1.44%	2.01%	2.94%	1.65%	2.19%	3.83%	2.87%	1.27%	0.67%	2.61%	3.91%	1.16%	2.50%	3.15%	1.91%	2.53%	1.85%	1.61%	2.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	898	4	10	4	8	6	23	5	6	5	11	11	7	21	18	10	16	22	10	7	11	11	15	30	10	6	6	16	14	12	8	13	3	5	19	5	19	9	12	10	10	3	15	15	12	23	19	9	28	12	1	4	2	6	5	0	8	6	21	13	2	0	2	27	9	18	15	13	7	10	9	7	7	11	1	4	6	10	8	16	27	7	15	3	14									
		2.15%	0.84%	1.80%	0.71%	2.06%	2.19%	2.85%	0.84%	1.32%	0.77%	1.85%	1.84%	2.67%	3.36%	2.53%	2.78%	3.16%	2.27%	1.81%	2.28%	2.61%	2.72%	1.96%	2.88%	1.58%	2.76%	2.11%	2.45%	1.75%	2.18%	2.68%	2.20%	0.61%	1.29%	3.65%	1.13%	4.35%	1.38%	2.00%	1.42%	1.69%	0.79%	2.05%	2.11%	2.26%	1.54%	2.94%	1.84%	3.68%	1.91%	0.69%	2.82%	1.05%	2.83%	3.36%	0.00%	3.76%	2.69%	2.75%	2.74%	1.24%	0.00%	1.69%	2.57%	3.06%	2.35%	2.40%	1.87%	1.21%	1.83%	2.19%	2.68%	4.02%	2.78%	0.34%	1.30%	1.68%	5.81%	4.00%	2.97%	4.68%	0.89%	2.14%	1.61%	3.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20743	254	343	332	205	116	434	390	202	339	264	408	117	299	305	153	251	582	334	134	178	145	286	438	290	96	117	276	417	227	129	355	388	158	212	252	189	356	296	368	264	176	391	320	218	865	270	259	296	323	79	69	108	83	67	132	92	90	374	282	89	139	77	504	144	432	311	377	307	236	154	156	73	220	175	149	189	70	115	189	241	404	322	94	183									
		49.75%	53.59%	61.58%	59.07%	52.84%	42.34%	53.78%	65.44%	44.49%	52.31%	44.37%	68.34%	44.66%	47.84%	42.90%	42.50%	49.51%	60.12%	60.29%	43.65%	42.28%	35.89%	37.29%	41.99%	45.89%	44.24%	41.20%	42.20%	51.99%	41.20%	43.29%	59.97%	78.70%	40.72%	40.77%	56.76%	43.25%	54.77%	49.42%	52.35%	44.67%	46.32%	53.42%	45.07%	41.13%	58.01%	41.73%	52.86%	38.90%	51.43%	54.86%	48.59%	56.54%	39.15%	44.97%	59.46%	43.19%	40.36%	49.02%	59.49%	55.28%	53.26%	65.25%	47.91%	48.98%	56.40%	49.76%	54.09%	53.02%	43.30%	37.47%	59.77%	41.95%	55.70%	58.92%	48.53%	52.79%	40.70%	57.50%	35.06%	41.77%	51.20%	45.87%	50.54%	46.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	402	1	5	7	6	3	9	4	6	5	7	4	7	2	12	6	4	11	6	2	3	8	7	10	9	3	4	3	10	4	3	9	1	4	5	6	5	3	7	5	6	3	12	8	5	7	8	5	11	7	0	1	0	4	3	1	2	2	9	4	0	4	0	9	2	10	5	7	5	7	6	1	2	5	2	0	2	1	1	6	2	1	5	0	5									
		0.96%	0.21%	0.90%	1.25%	1.55%	1.09%	1.12%	0.67%	1.32%	0.77%	1.18%	0.67%	2.67%	0.32%	1.69%	1.67%	0.79%	1.14%	1.08%	0.65%	0.71%	1.98%	0.91%	0.96%	1.42%	1.38%	1.41%	0.46%	1.25%	0.73%	1.01%	1.52%	0.20%	1.03%	0.96%	1.35%	1.14%	0.46%	1.17%	0.71%	1.02%	0.79%	1.64%	1.13%	0.94%	0.47%	1.24%	1.02%	1.45%	1.11%	0.00%	0.70%	0.00%	1.89%	2.01%	0.45%	0.94%	0.90%	1.18%	0.84%	0.00%	1.53%	0.00%	0.86%	0.68%	1.31%	0.80%	1.00%	0.86%	1.28%	1.46%	0.38%	1.15%	1.27%	0.67%	0.00%	0.56%	0.58%	0.50%	1.11%	0.35%	0.13%	0.71%	0.00%	1.27%									
24	"6. Политическая партия ""Гражданская Платформа"""	53	3	0	0	1	1	2	0	0	1	0	1	2	1	1	1	0	1	1	0	0	0	0	0	0	1	0	2	1	2	0	0	0	0	0	1	0	0	1	1	1	0	1	0	4	0	1	1	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	2	1	2	0	0	0	0	0	2	0	0	2	0	0	3	0	0									
		0.13%	0.63%	0.00%	0.00%	0.26%	0.36%	0.25%	0.00%	0.00%	0.15%	0.00%	0.17%	0.76%	0.16%	0.14%	0.28%	0.00%	0.10%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.31%	0.12%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.17%	0.14%	0.17%	0.00%	0.14%	0.00%	0.75%	0.00%	0.15%	0.20%	0.26%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.26%	0.00%	0.00%	0.35%	0.18%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.37%	0.00%	0.00%	0.43%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6733	90	65	81	78	53	77	65	81	105	124	57	45	102	136	70	95	108	71	52	64	65	152	196	135	33	52	103	121	100	55	65	34	66	97	53	83	94	103	94	84	55	74	128	88	267	99	64	121	119	26	29	31	50	25	33	42	46	138	71	32	47	18	158	55	117	87	126	73	94	90	32	46	69	65	64	57	34	25	84	94	126	140	26	64									
		16.15%	18.99%	11.67%	14.41%	20.10%	19.34%	9.54%	10.91%	17.84%	16.20%	20.84%	9.55%	17.18%	16.32%	19.13%	19.44%	18.74%	11.16%	12.82%	16.94%	15.20%	16.09%	19.82%	18.79%	21.36%	15.21%	18.31%	15.75%	15.09%	18.15%	18.46%	10.98%	6.90%	17.01%	18.65%	11.94%	18.99%	14.46%	17.20%	13.37%	14.21%	14.47%	10.11%	18.03%	16.60%	17.91%	15.30%	13.06%	15.90%	18.95%	18.06%	20.42%	16.23%	23.58%	16.78%	14.86%	19.72%	20.63%	18.09%	14.98%	19.88%	18.01%	15.25%	15.02%	18.71%	15.27%	13.92%	18.08%	12.61%	17.25%	21.90%	12.26%	26.44%	17.47%	21.89%	20.85%	15.92%	19.77%	12.50%	15.58%	16.29%	15.97%	19.94%	13.98%	16.28%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	321	4	5	3	4	4	9	1	3	7	4	4	2	3	0	4	3	5	3	2	6	5	10	8	6	2	0	4	8	7	7	6	0	4	6	9	3	4	4	6	3	3	6	5	5	9	5	3	6	7	0	2	2	2	2	2	2	0	2	3	0	6	0	10	0	1	3	6	5	8	5	2	1	2	0	1	3	0	1	7	3	5	3	2	3									
		0.77%	0.84%	0.90%	0.53%	1.03%	1.46%	1.12%	0.17%	0.66%	1.08%	0.67%	0.67%	0.76%	0.48%	0.00%	1.11%	0.59%	0.52%	0.54%	0.65%	1.43%	1.24%	1.30%	0.77%	0.95%	0.92%	0.00%	0.61%	0.99%	1.27%	2.35%	1.01%	0.00%	1.03%	1.15%	2.03%	0.69%	0.62%	0.67%	0.85%	0.51%	0.79%	0.82%	0.70%	0.94%	0.60%	0.77%	0.61%	0.79%	1.11%	0.00%	1.41%	1.05%	0.94%	1.34%	0.90%	0.94%	0.00%	0.26%	0.63%	0.00%	2.30%	0.00%	0.95%	0.00%	0.13%	0.48%	0.86%	0.86%	1.47%	1.22%	0.77%	0.57%	0.51%	0.00%	0.33%	0.84%	0.00%	0.50%	1.30%	0.52%	0.63%	0.43%	1.08%	0.76%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	528	3	2	5	1	2	6	5	4	5	8	8	2	13	12	5	6	10	4	5	8	6	15	19	10	1	3	11	11	8	5	12	5	10	7	4	1	7	7	12	9	14	7	14	4	17	10	13	15	6	3	0	9	2	2	2	5	8	5	3	2	3	1	18	3	4	10	3	5	17	6	2	2	2	1	2	1	0	3	8	4	8	7	0	0									
		1.27%	0.63%	0.36%	0.89%	0.26%	0.73%	0.74%	0.84%	0.88%	0.77%	1.34%	1.34%	0.76%	2.08%	1.69%	1.39%	1.18%	1.03%	0.72%	1.63%	1.90%	1.49%	1.96%	1.82%	1.58%	0.46%	1.06%	1.68%	1.37%	1.45%	1.68%	2.03%	1.01%	2.58%	1.35%	0.90%	0.23%	1.08%	1.17%	1.71%	1.52%	3.68%	0.96%	1.97%	0.75%	1.14%	1.55%	2.65%	1.97%	0.96%	2.08%	0.00%	4.71%	0.94%	1.34%	0.90%	2.35%	3.59%	0.66%	0.63%	1.24%	1.15%	0.85%	1.71%	1.02%	0.52%	1.60%	0.43%	0.86%	3.12%	1.46%	0.77%	1.15%	0.51%	0.34%	0.65%	0.28%	0.00%	1.50%	1.48%	0.69%	1.01%	0.99%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	61	1	0	2	0	1	2	0	1	0	5	0	1	0	0	1	0	1	0	0	1	0	0	2	4	2	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	2	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	0	1	2	0	2	4	1	0	0	0	1	2	0	0	1	0	2	2	0	1									
		0.15%	0.21%	0.00%	0.36%	0.00%	0.36%	0.25%	0.00%	0.22%	0.00%	0.84%	0.00%	0.38%	0.00%	0.00%	0.28%	0.00%	0.10%	0.00%	0.00%	0.24%	0.00%	0.00%	0.19%	0.63%	0.92%	0.00%	0.00%	0.12%	0.18%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.17%	0.00%	0.00%	0.26%	0.00%	0.14%	0.38%	0.00%	0.15%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.38%	0.00%	0.19%	0.68%	0.00%	0.16%	0.29%	0.00%	0.37%	0.97%	0.38%	0.00%	0.00%	0.00%	0.33%	0.56%	0.00%	0.00%	0.19%	0.00%	0.25%	0.28%	0.00%	0.25%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	689	2	6	8	6	4	16	3	12	4	12	21	4	18	12	7	12	14	10	5	11	8	15	12	11	9	6	6	11	23	7	9	6	12	8	12	10	14	12	19	13	7	14	26	12	18	15	11	14	8	3	1	4	5	4	0	3	5	6	5	3	4	0	14	0	6	5	5	6	5	4	1	1	1	4	2	7	2	2	10	7	9	5	5	10									
		1.65%	0.42%	1.08%	1.42%	1.55%	1.46%	1.98%	0.50%	2.64%	0.62%	2.02%	3.52%	1.53%	2.88%	1.69%	1.94%	2.37%	1.45%	1.81%	1.63%	2.61%	1.98%	1.96%	1.15%	1.74%	4.15%	2.11%	0.92%	1.37%	4.17%	2.35%	1.52%	1.22%	3.09%	1.54%	2.70%	2.29%	2.15%	2.00%	2.70%	2.20%	1.84%	1.91%	3.66%	2.26%	1.21%	2.32%	2.24%	1.84%	1.27%	2.08%	0.70%	2.09%	2.36%	2.68%	0.00%	1.41%	2.24%	0.79%	1.05%	1.86%	1.53%	0.00%	1.33%	0.00%	0.78%	0.80%	0.72%	1.04%	0.92%	0.97%	0.38%	0.57%	0.25%	1.35%	0.65%	1.96%	1.16%	1.00%	1.86%	1.21%	1.14%	0.71%	2.69%	2.54%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6133	59	64	61	49	46	119	56	72	104	95	46	39	93	111	63	55	120	61	44	70	68	144	188	68	35	42	126	111	82	36	60	23	55	81	55	76	95	103	99	109	56	106	98	87	167	139	76	150	80	13	22	23	33	24	33	33	37	104	55	2	36	12	129	44	101	115	99	79	109	72	30	24	50	33	52	44	32	30	152	103	133	124	37	72									
		14.71%	12.45%	11.49%	10.85%	12.63%	16.79%	14.75%	9.40%	15.86%	16.05%	15.97%	7.71%	14.89%	14.88%	15.61%	17.50%	10.85%	12.40%	11.01%	14.33%	16.63%	16.83%	18.77%	18.02%	10.76%	16.13%	14.79%	19.27%	13.84%	14.88%	12.08%	10.14%	4.67%	14.18%	15.58%	12.39%	17.39%	14.62%	17.20%	14.08%	18.44%	14.74%	14.48%	13.80%	16.42%	11.20%	21.48%	15.51%	19.71%	12.74%	9.03%	15.49%	12.04%	15.57%	16.11%	14.86%	15.49%	16.59%	13.63%	11.60%	1.24%	13.79%	10.17%	12.26%	14.97%	13.19%	18.40%	14.20%	13.64%	20.00%	17.52%	11.49%	13.79%	12.66%	11.11%	16.94%	12.29%	18.60%	15.00%	28.20%	17.85%	16.86%	17.66%	19.89%	18.32%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	211	1	1	1	0	1	6	3	2	3	3	0	2	3	7	3	1	4	3	2	3	4	1	11	5	0	0	3	2	2	4	1	1	4	1	3	3	1	2	3	3	1	1	2	1	8	4	2	7	5	0	1	1	3	2	1	0	2	5	3	0	1	0	9	2	6	0	2	4	4	5	1	0	2	2	1	2	4	1	1	4	3	4	1	0									
		0.51%	0.21%	0.18%	0.18%	0.00%	0.36%	0.74%	0.50%	0.44%	0.46%	0.50%	0.00%	0.76%	0.48%	0.98%	0.83%	0.20%	0.41%	0.54%	0.65%	0.71%	0.99%	0.13%	1.05%	0.79%	0.00%	0.00%	0.46%	0.25%	0.36%	1.34%	0.17%	0.20%	1.03%	0.19%	0.68%	0.69%	0.15%	0.33%	0.43%	0.51%	0.26%	0.14%	0.28%	0.19%	0.54%	0.62%	0.41%	0.92%	0.80%	0.00%	0.70%	0.52%	1.42%	1.34%	0.45%	0.00%	0.90%	0.66%	0.63%	0.00%	0.38%	0.00%	0.86%	0.68%	0.78%	0.00%	0.29%	0.69%	0.73%	1.22%	0.38%	0.00%	0.51%	0.67%	0.33%	0.56%	2.33%	0.50%	0.19%	0.69%	0.38%	0.57%	0.54%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2407	28	28	36	11	12	68	44	35	45	40	20	11	33	51	12	34	69	28	26	33	45	79	66	51	15	31	59	39	49	23	39	19	39	50	21	24	44	26	43	42	37	65	43	56	64	36	25	44	14	12	7	4	12	9	8	20	10	39	11	6	5	3	43	11	28	31	28	24	11	27	10	9	12	8	11	17	10	3	16	33	34	24	6	13									
		5.77%	5.91%	5.03%	6.41%	2.84%	4.38%	8.43%	7.38%	7.71%	6.94%	6.72%	3.35%	4.20%	5.28%	7.17%	3.33%	6.71%	7.13%	5.05%	8.47%	7.84%	11.14%	10.30%	6.33%	8.07%	6.91%	10.92%	9.02%	4.86%	8.89%	7.72%	6.59%	3.85%	10.05%	9.62%	4.73%	5.49%	6.77%	4.34%	6.12%	7.11%	9.74%	8.88%	6.06%	10.57%	4.29%	5.56%	5.10%	5.78%	2.23%	8.33%	4.93%	2.09%	5.66%	6.04%	3.60%	9.39%	4.48%	5.11%	2.32%	3.73%	1.92%	2.54%	4.09%	3.74%	3.66%	4.96%	4.02%	4.15%	2.02%	6.57%	3.83%	5.17%	3.04%	2.69%	3.58%	4.75%	5.81%	1.50%	2.97%	5.72%	4.31%	3.42%	3.23%	3.31%									
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
