Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Подольская городская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3281	56	54	33	33	49	51	55	53	15	13	53	26	18	42	55	53	27	47	40	36	49	53	28	42	56	36	53	53	54	55	47	40	40	51	53	44	52	53	33	46	36	44	51	45	38	52	50	28	40	48	46	32	45	49	24	39	64	53	45	48	15	21	41	22	26	39	42	48	33	51	44	32	48	56	52	32	55	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2101	36	38	15	24	31	22	34	13	4	8	47	9	16	33	36	51	19	32	17	11	34	29	15	25	54	19	39	41	27	25	32	39	34	22	35	35	41	42	27	23	25	37	46	30	22	27	34	21	21	32	28	23	20	36	17	21	58	52	16	25	4	11	22	14	9	23	22	31	22	33	22	19	35	41	31	12	25	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1790	27	23	14	13	21	18	20	5	8	11	18	15	12	39	24	23	20	16	14	22	24	24	35	22	23	28	51	26	71	16	47	8	11	22	7	18	10	35	9	22	47	59	18	43	19	42	6	6	20	19	25	20	24	17	26	13	17	12	12	48	9	12	15	13	16	14	19	16	10	17	8	20	34	25	10	11	7	29	137	3					
14	Число погашенных неиспользованных открепительных удостоверений	1180	20	16	18	9	18	29	21	40	11	5	6	17	2	9	19	2	8	15	23	25	15	24	13	17	2	17	14	12	27	30	15	1	6	29	18	9	11	11	6	23	11	7	5	15	16	25	16	7	19	16	18	9	25	13	7	18	6	1	29	23	11	10	19	8	17	16	20	17	11	18	22	13	13	15	21	20	30	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	2	0	0	2	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	1	0	0	2	0	0	1	1	2	0	0	1	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	2	0	0	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12161	154	142	108	110	167	200	153	159	50	37	124	69	46	190	295	281	173	205	178	128	217	233	120	89	102	105	232	210	243	155	153	90	133	173	207	164	200	66	153	201	158	117	192	256	153	239	195	107	156	171	140	87	170	165	83	148	161	97	146	189	49	138	160	69	107	159	182	193	138	245	182	135	228	237	143	137	187	24	97	6					
		14.16%	9.88%	12.22%	13.94%	17.66%	15.68%	16.16%	15.81%	11.91%	13.81%	13.17%	14.66%	6.57%	11.62%	18.79%	17.79%	21.26%	21.12%	18.11%	19.12%	15.72%	15.20%	11.97%	14.63%	5.76%	7.15%	8.02%	17.47%	18.83%	12.52%	10.70%	12.72%	8.50%	10.80%	14.33%	15.92%	12.71%	14.94%	4.20%	19.90%	19.44%	18.04%	8.57%	15.92%	17.44%	18.37%	19.37%	16.26%	18.61%	12.71%	11.18%	9.92%	16.42%	17.02%	17.26%	10.67%	13.03%	11.61%	6.06%	13.46%	16.77%	17.38%	19.30%	14.68%	17.38%	18.74%	16.49%	16.77%	12.31%	18.96%	20.52%	17.53%	17.90%	16.26%	17.91%	15.61%	14.08%	10.97%	14.91%	12.88%	5.45%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9960	169	174	118	97	180	147	184	146	42	37	131	56	36	129	199	154	89	137	129	123	161	174	81	102	163	100	148	167	167	79	135	79	102	145	163	128	136	133	97	128	98	145	168	149	117	157	161	91	108	142	136	78	121	107	64	128	149	107	132	124	47	128	143	73	97	93	132	150	77	151	124	112	189	205	163	119	178	14	205	13					
		11.59%	10.85%	14.97%	15.23%	15.57%	16.90%	11.87%	19.01%	10.94%	11.60%	13.17%	15.48%	5.33%	9.09%	12.76%	12.00%	11.65%	10.87%	12.10%	13.86%	15.11%	11.27%	8.94%	9.88%	6.60%	11.42%	7.64%	11.14%	14.98%	8.60%	5.45%	11.22%	7.46%	8.28%	12.01%	12.54%	9.92%	10.16%	8.46%	12.61%	12.38%	11.19%	10.62%	13.93%	10.15%	14.05%	12.72%	13.43%	15.83%	8.80%	9.28%	9.64%	14.72%	12.11%	11.19%	8.23%	11.27%	10.74%	6.68%	12.17%	11.00%	16.67%	17.90%	13.12%	18.39%	16.99%	9.65%	12.17%	9.57%	10.58%	12.65%	11.95%	14.85%	13.48%	15.50%	17.79%	12.23%	10.45%	8.70%	27.22%	11.82%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1002	19	12	16	12	20	16	11	22	3	1	10	12	1	18	24	20	8	11	15	17	22	17	12	7	29	15	27	21	20	9	10	6	8	12	13	11	15	12	18	15	15	7	24	10	7	17	14	5	9	12	9	6	7	10	33	7	18	5	6	10	2	3	13	0	5	5	21	11	4	23	11	7	32	18	17	10	10	2	10	0					
		1.17%	1.22%	1.03%	2.06%	1.93%	1.88%	1.29%	1.14%	1.65%	0.83%	0.36%	1.18%	1.14%	0.25%	1.78%	1.45%	1.51%	0.98%	0.97%	1.61%	2.09%	1.54%	0.87%	1.46%	0.45%	2.03%	1.15%	2.03%	1.88%	1.03%	0.62%	0.83%	0.57%	0.65%	0.99%	1.00%	0.85%	1.12%	0.76%	2.34%	1.45%	1.71%	0.51%	1.99%	0.68%	0.84%	1.38%	1.17%	0.87%	0.73%	0.78%	0.64%	1.13%	0.70%	1.05%	4.24%	0.62%	1.30%	0.31%	0.55%	0.89%	0.71%	0.42%	1.19%	0.00%	0.88%	0.52%	1.94%	0.70%	0.55%	1.93%	1.06%	0.93%	2.28%	1.36%	1.86%	1.03%	0.59%	1.24%	1.33%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	20247	207	205	175	169	239	295	243	254	78	52	218	183	84	308	445	405	208	391	260	236	303	370	183	266	365	262	418	322	431	160	334	166	299	351	330	344	330	353	249	325	272	247	395	372	243	297	304	130	251	323	343	173	290	248	118	276	311	305	234	326	91	148	100	101	153	313	263	305	156	341	292	192	213	332	271	204	319	34	136	9					
		23.57%	13.29%	17.64%	22.58%	27.13%	22.44%	23.83%	25.10%	19.03%	21.55%	18.51%	25.77%	17.43%	21.21%	30.46%	26.84%	30.64%	25.40%	34.54%	27.93%	28.99%	21.22%	19.00%	22.32%	17.21%	25.58%	20.02%	31.48%	28.88%	22.21%	11.04%	27.76%	15.68%	24.27%	29.08%	25.38%	26.67%	24.65%	22.46%	32.38%	31.43%	31.05%	18.10%	32.75%	25.34%	29.17%	24.07%	25.35%	22.61%	20.46%	21.11%	24.31%	32.64%	29.03%	25.94%	15.17%	24.30%	22.42%	19.05%	21.57%	28.93%	32.27%	20.70%	9.17%	25.44%	26.80%	32.47%	24.24%	19.45%	21.43%	28.56%	28.13%	25.46%	15.19%	25.09%	29.59%	20.97%	18.72%	21.12%	18.06%	8.18%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4742	51	64	59	54	92	55	54	38	15	23	56	37	28	85	133	94	68	96	76	52	108	98	71	36	111	23	100	99	95	57	50	25	61	62	68	71	73	32	49	85	51	57	110	96	64	88	84	27	67	55	72	50	57	65	34	45	78	29	47	51	18	26	83	25	31	57	58	67	39	75	54	52	93	69	51	37	44	8	23	1					
		5.52%	3.27%	5.51%	7.61%	8.67%	8.64%	4.44%	5.58%	2.85%	4.14%	8.19%	6.62%	3.52%	7.07%	8.41%	8.02%	7.11%	8.30%	8.48%	8.16%	6.39%	7.56%	5.03%	8.66%	2.33%	7.78%	1.76%	7.53%	8.88%	4.89%	3.93%	4.16%	2.36%	4.95%	5.14%	5.23%	5.50%	5.45%	2.04%	6.37%	8.22%	5.82%	4.18%	9.12%	6.54%	7.68%	7.13%	7.01%	4.70%	5.46%	3.59%	5.10%	9.43%	5.71%	6.80%	4.37%	3.96%	5.62%	1.81%	4.33%	4.53%	6.38%	3.64%	7.61%	6.30%	5.43%	5.91%	5.35%	4.27%	5.36%	6.28%	5.20%	6.90%	6.63%	5.22%	5.57%	3.80%	2.58%	4.97%	3.05%	0.91%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	35167	929	535	276	161	335	491	284	665	172	116	283	680	185	229	495	320	252	247	239	230	538	1013	321	1025	620	785	352	263	931	972	478	677	572	407	487	540	534	960	184	232	240	775	269	529	221	400	401	190	567	741	659	125	311	336	435	500	645	1048	483	401	70	259	560	121	159	300	400	801	284	313	335	233	608	434	241	430	932	66	254	76					
		40.93%	59.63%	46.04%	35.61%	25.84%	31.46%	39.66%	29.34%	49.81%	47.51%	41.28%	33.45%	64.76%	46.72%	22.65%	29.86%	24.21%	30.77%	21.82%	25.67%	28.26%	37.68%	52.03%	39.15%	66.30%	43.45%	59.97%	26.51%	23.59%	47.96%	67.08%	39.73%	63.93%	46.43%	33.72%	37.46%	41.86%	39.88%	61.07%	23.93%	22.44%	27.40%	56.78%	22.31%	36.04%	26.53%	32.41%	33.44%	33.04%	46.21%	48.43%	46.70%	23.58%	31.13%	35.15%	55.91%	44.01%	46.50%	65.46%	44.52%	35.58%	24.82%	36.22%	51.38%	30.48%	27.85%	31.12%	36.87%	51.08%	39.01%	26.21%	32.27%	30.90%	43.37%	32.80%	26.31%	44.19%	54.69%	40.99%	33.73%	69.09%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	759	8	15	11	6	12	17	6	9	2	5	6	2	3	9	20	17	7	13	10	7	18	15	12	8	17	5	19	8	12	9	15	2	10	14	12	12	13	16	5	15	17	6	14	17	7	10	13	8	16	9	6	5	6	8	4	10	11	3	7	9	1	4	11	2	7	8	10	16	9	12	9	9	16	4	9	6	10	2	6	0					
		0.88%	0.51%	1.29%	1.42%	0.96%	1.13%	1.37%	0.62%	0.67%	0.55%	1.78%	0.71%	0.19%	0.76%	0.89%	1.21%	1.29%	0.85%	1.15%	1.07%	0.86%	1.26%	0.77%	1.46%	0.52%	1.19%	0.38%	1.43%	0.72%	0.62%	0.62%	1.25%	0.19%	0.81%	1.16%	0.92%	0.93%	0.97%	1.02%	0.65%	1.45%	1.94%	0.44%	1.16%	1.16%	0.84%	0.81%	1.08%	1.39%	1.30%	0.59%	0.43%	0.94%	0.60%	0.84%	0.51%	0.88%	0.79%	0.19%	0.65%	0.80%	0.35%	0.56%	1.01%	0.50%	1.23%	0.83%	0.92%	1.02%	1.24%	1.01%	0.87%	1.19%	1.14%	0.30%	0.98%	0.62%	0.59%	1.24%	0.80%	0.00%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
