Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    район Строгино																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064									
		2.97%	2.67%	2.22%	2.92%	3.71%	3.19%	3.72%	4.46%	3.26%	2.62%	2.93%	2.61%	2.05%	1.95%	3.06%	3.75%	1.91%	3.55%	4.80%	3.72%	2.80%	3.33%	2.73%	1.55%	2.72%	2.07%	3.36%	2.87%	2.35%	2.88%	3.53%	3.24%	1.77%	2.32%	2.78%	3.76%	3.27%	3.57%	3.93%	2.52%	2.68%	2.54%	2.85%	2.82%	2.96%	1.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10686	295	309	245	312	316	225	119	199	121	277	284	204	138	184	228	199	285	144	315	271	260	262	184	249	274	281	263	227	182	303	223	203	272	156	200	294	322	280	283	222	188	255	235	290	108									
		33.42%	35.80%	32.63%	29.77%	32.16%	35.95%	28.88%	31.23%	36.05%	45.32%	32.44%	37.12%	29.87%	33.58%	26.78%	34.23%	34.55%	33.69%	31.44%	34.50%	34.52%	34.67%	34.11%	35.66%	35.67%	35.45%	32.52%	37.79%	35.64%	32.73%	33.44%	31.41%	35.87%	35.01%	27.08%	31.30%	33.15%	33.82%	35.49%	37.53%	34.96%	39.75%	26.96%	27.65%	30.66%	43.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	462	9	8	17	14	13	14	11	7	0	14	8	13	6	11	6	7	8	5	14	7	13	18	13	6	7	15	11	7	9	12	15	8	10	5	3	11	15	14	10	14	6	17	13	13	5									
		1.44%	1.09%	0.84%	2.07%	1.44%	1.48%	1.80%	2.89%	1.27%	0.00%	1.64%	1.05%	1.90%	1.46%	1.60%	0.90%	1.22%	0.95%	1.09%	1.53%	0.89%	1.73%	2.34%	2.52%	0.86%	0.91%	1.74%	1.58%	1.10%	1.62%	1.32%	2.11%	1.41%	1.29%	0.87%	0.47%	1.24%	1.58%	1.77%	1.33%	2.20%	1.27%	1.80%	1.53%	1.37%	2.03%									
24	"6. Политическая партия ""Гражданская Платформа"""	145	2	1	2	4	4	3	2	2	1	3	4	5	4	5	2	3	6	0	5	5	1	3	0	3	1	7	1	3	4	3	1	2	6	2	3	2	8	4	2	3	3	2	6	10	2									
		0.45%	0.24%	0.11%	0.24%	0.41%	0.46%	0.39%	0.52%	0.36%	0.37%	0.35%	0.52%	0.73%	0.97%	0.73%	0.30%	0.52%	0.71%	0.00%	0.55%	0.64%	0.13%	0.39%	0.00%	0.43%	0.13%	0.81%	0.14%	0.47%	0.72%	0.33%	0.14%	0.35%	0.77%	0.35%	0.47%	0.23%	0.84%	0.51%	0.27%	0.47%	0.63%	0.21%	0.71%	1.06%	0.81%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3946	101	115	95	101	97	105	41	87	49	136	83	84	58	71	75	54	99	43	133	136	108	90	77	70	93	105	105	77	76	101	100	60	75	89	66	95	94	122	92	70	69	93	95	124	37									
		12.34%	12.26%	12.14%	11.54%	10.41%	11.04%	13.48%	10.76%	15.76%	18.35%	15.93%	10.85%	12.30%	14.11%	10.33%	11.26%	9.38%	11.70%	9.39%	14.57%	17.32%	14.40%	11.72%	14.92%	10.03%	12.03%	12.15%	15.09%	12.09%	13.67%	11.15%	14.08%	10.60%	9.65%	15.45%	10.33%	10.71%	9.87%	15.46%	12.20%	11.02%	14.59%	9.83%	11.18%	13.11%	15.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	680	17	17	18	6	13	14	13	7	0	8	21	17	14	22	19	12	26	7	22	19	14	23	13	13	27	23	10	10	11	23	18	9	17	17	13	17	12	9	21	18	9	21	18	21	1									
		2.13%	2.06%	1.80%	2.19%	0.62%	1.48%	1.80%	3.41%	1.27%	0.00%	0.94%	2.75%	2.49%	3.41%	3.20%	2.85%	2.08%	3.07%	1.53%	2.41%	2.42%	1.87%	2.99%	2.52%	1.86%	3.49%	2.66%	1.44%	1.57%	1.98%	2.54%	2.54%	1.59%	2.19%	2.95%	2.03%	1.92%	1.26%	1.14%	2.79%	2.83%	1.90%	2.22%	2.12%	2.22%	0.41%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1123	18	36	39	31	33	24	21	19	6	9	22	18	12	36	19	32	44	21	24	20	30	31	16	16	21	18	10	27	16	31	24	17	29	27	37	32	27	22	27	26	9	63	44	33	6									
		3.51%	2.18%	3.80%	4.74%	3.20%	3.75%	3.08%	5.51%	3.44%	2.25%	1.05%	2.88%	2.64%	2.92%	5.24%	2.85%	5.56%	5.20%	4.59%	2.63%	2.55%	4.00%	4.04%	3.10%	2.29%	2.72%	2.08%	1.44%	4.24%	2.88%	3.42%	3.38%	3.00%	3.73%	4.69%	5.79%	3.61%	2.84%	2.79%	3.58%	4.09%	1.90%	6.66%	5.18%	3.49%	2.44%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	90	0	2	3	4	2	0	0	4	1	5	1	0	2	1	1	1	0	4	0	0	3	2	1	1	0	6	1	2	2	3	2	4	5	2	2	3	2	5	4	2	1	1	1	2	2									
		0.28%	0.00%	0.21%	0.36%	0.41%	0.23%	0.00%	0.00%	0.72%	0.37%	0.59%	0.13%	0.00%	0.49%	0.15%	0.15%	0.17%	0.00%	0.87%	0.00%	0.00%	0.40%	0.26%	0.19%	0.14%	0.00%	0.69%	0.14%	0.31%	0.36%	0.33%	0.28%	0.71%	0.64%	0.35%	0.31%	0.34%	0.21%	0.63%	0.53%	0.31%	0.21%	0.11%	0.12%	0.21%	0.81%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3852	88	122	122	133	100	94	42	54	18	96	91	87	50	92	69	90	116	62	90	94	82	101	37	58	99	85	56	65	79	112	85	77	92	73	102	118	116	63	84	93	32	180	128	111	14									
		12.05%	10.68%	12.88%	14.82%	13.71%	11.38%	12.07%	11.02%	9.78%	6.74%	11.24%	11.90%	12.74%	12.17%	13.39%	10.36%	15.63%	13.71%	13.54%	9.86%	11.97%	10.93%	13.15%	7.17%	8.31%	12.81%	9.84%	8.05%	10.20%	14.21%	12.36%	11.97%	13.60%	11.84%	12.67%	15.96%	13.30%	12.18%	7.98%	11.14%	14.65%	6.77%	19.03%	15.06%	11.73%	5.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4487	131	159	103	132	123	113	49	74	32	121	121	110	55	128	104	55	106	54	123	86	98	98	66	144	115	145	99	72	75	132	98	78	112	83	94	123	156	92	98	64	53	123	127	134	29									
		14.03%	15.90%	16.79%	12.52%	13.61%	13.99%	14.51%	12.86%	13.41%	11.99%	14.17%	15.82%	16.11%	13.38%	18.63%	15.62%	9.55%	12.53%	11.79%	13.47%	10.96%	13.07%	12.76%	12.79%	20.63%	14.88%	16.78%	14.22%	11.30%	13.49%	14.57%	13.80%	13.78%	14.41%	14.41%	14.71%	13.87%	16.39%	11.66%	12.99%	10.08%	11.21%	13.00%	14.94%	14.16%	11.79%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	149	1	3	9	5	0	3	0	3	0	6	1	3	1	5	4	4	3	4	7	2	4	3	2	2	2	1	6	3	2	8	3	4	1	5	1	3	3	3	6	3	0	4	12	2	2									
		0.47%	0.12%	0.32%	1.09%	0.52%	0.00%	0.39%	0.00%	0.54%	0.00%	0.70%	0.13%	0.44%	0.24%	0.73%	0.60%	0.69%	0.35%	0.87%	0.77%	0.25%	0.53%	0.39%	0.39%	0.29%	0.26%	0.12%	0.86%	0.47%	0.36%	0.88%	0.42%	0.71%	0.13%	0.87%	0.16%	0.34%	0.32%	0.38%	0.80%	0.47%	0.00%	0.42%	1.41%	0.21%	0.81%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2324	50	80	44	95	70	70	31	41	10	67	44	60	29	45	41	41	47	25	74	55	48	42	45	56	58	62	49	60	32	66	58	43	71	55	34	65	66	65	30	43	36	69	73	64	15									
		7.27%	6.07%	8.45%	5.35%	9.79%	7.96%	8.99%	8.14%	7.43%	3.75%	7.85%	5.75%	8.78%	7.06%	6.55%	6.16%	7.12%	5.56%	5.46%	8.11%	7.01%	6.40%	5.47%	8.72%	8.02%	7.50%	7.18%	7.04%	9.42%	5.76%	7.28%	8.17%	7.60%	9.14%	9.55%	5.32%	7.33%	6.93%	8.24%	3.98%	6.77%	7.61%	7.29%	8.59%	6.77%	6.10%									
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
