Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Боградская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	0	0	0	0	1	0	1	0	1	1	1	3	0	0	1	0	1	1	1	2	1	3	2	0	0	0	3					
14	Число погашенных открепительных удостоверений	99	5	3	5	4	4	4	4	0	4	4	3	6	3	3	4	4	3	2	5	1	3	2	4	3	4	7	5					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	58	5	2	2	4	0	1	2	5	0	3	0	4	0	2	1	2	3	3	3	3	0	0	3	2	1	4	3					
		0.85%	1.52%	3.70%	0.37%	2.94%	0.0%	1.51%	0.29%	6.94%	0.0%	1.14%	0.0%	0.79%	0.0%	1.50%	1.14%	0.61%	4.16%	0.39%	0.39%	0.84%	0.0%	0.0%	0.86%	2.0%	1.49%	1.21%	0.87%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	81	8	0	0	2	1	1	16	1	1	1	0	3	1	1	0	1	0	8	24	5	0	0	3	1	1	0	2					
		1.20%	2.43%	0.0%	0.0%	1.47%	1.58%	1.51%	2.39%	1.38%	0.67%	0.38%	0.0%	0.59%	1.31%	0.75%	0.0%	0.30%	0.0%	1.06%	3.16%	1.41%	0.0%	0.0%	0.86%	1.0%	1.49%	0.0%	0.58%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	156	5	1	12	4	4	0	19	0	2	7	1	8	2	2	3	9	4	11	17	9	0	0	7	6	1	5	17					
		2.31%	1.52%	1.85%	2.26%	2.94%	6.34%	0.0%	2.84%	0.0%	1.34%	2.66%	1.16%	1.59%	2.63%	1.50%	3.44%	2.76%	5.55%	1.45%	2.23%	2.54%	0.0%	0.0%	2.01%	6.0%	1.49%	1.51%	4.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	93	4	1	5	1	2	0	6	1	4	4	1	8	4	3	3	3	1	9	10	6	0	0	3	3	1	4	6					
		1.37%	1.21%	1.85%	0.94%	0.73%	3.17%	0.0%	0.89%	1.38%	2.68%	1.52%	1.16%	1.59%	5.26%	2.25%	3.44%	0.92%	1.38%	1.19%	1.31%	1.69%	0.0%	0.0%	0.86%	3.0%	1.49%	1.21%	1.75%					
22	"5. ""За Русь Святую"""	29	0	0	3	2	0	0	8	0	2	0	0	0	0	1	1	1	0	1	8	0	0	0	0	2	0	0	0					
		0.42%	0.0%	0.0%	0.56%	1.47%	0.0%	0.0%	1.19%	0.0%	1.34%	0.0%	0.0%	0.0%	0.0%	0.75%	1.14%	0.30%	0.0%	0.13%	1.05%	0.0%	0.0%	0.0%	0.0%	2.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	41	2	0	4	0	2	0	4	2	2	1	0	10	1	1	1	2	0	2	5	1	0	0	0	0	0	1	0					
		0.60%	0.60%	0.0%	0.75%	0.0%	3.17%	0.0%	0.59%	2.77%	1.34%	0.38%	0.0%	1.98%	1.31%	0.75%	1.14%	0.61%	0.0%	0.26%	0.65%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	34	1	0	7	1	0	1	5	0	0	0	0	3	0	0	0	3	0	1	3	5	1	0	0	0	0	2	1					
		0.50%	0.30%	0.0%	1.32%	0.73%	0.0%	1.51%	0.74%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.92%	0.0%	0.13%	0.39%	1.41%	1.51%	0.0%	0.0%	0.0%	0.0%	0.60%	0.29%					
25	"8. ""Народно-республиканская партия России"""	11	2	1	1	0	0	0	0	0	1	1	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0					
		0.16%	0.60%	1.85%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.38%	3.48%	0.0%	0.0%	0.0%	0.0%	0.0%	1.38%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	0	0	3	0	0	0	1	0	0	1	0	3	0	0	0	0	0	2	2	0	0	0	2	1	0	0	0					
		0.22%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.38%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.26%	0.0%	0.0%	0.0%	0.57%	1.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	389	11	2	33	25	2	0	46	5	7	16	0	28	1	6	5	19	1	35	46	13	3	0	51	8	0	22	4					
		5.76%	3.35%	3.70%	6.23%	18.38%	3.17%	0.0%	6.87%	6.94%	4.69%	6.08%	0.0%	5.56%	1.31%	4.51%	5.74%	5.84%	1.38%	4.64%	6.06%	3.68%	4.54%	0.0%	14.69%	8.0%	0.0%	6.66%	1.16%					
28	"11. ""Истинные патриоты России"""	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	1.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	37	4	0	2	1	0	0	3	1	0	2	0	1	0	5	0	2	0	3	1	2	2	0	4	1	0	3	0					
		0.54%	1.21%	0.0%	0.37%	0.73%	0.0%	0.0%	0.44%	1.38%	0.0%	0.76%	0.0%	0.19%	0.0%	3.75%	0.0%	0.61%	0.0%	0.39%	0.13%	0.56%	3.03%	0.0%	1.15%	1.0%	0.0%	0.90%	0.0%					
30	"13. ""Демократическая партия России"""	12	0	0	2	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	2	1	0	0	1	0	0	1	0					
		0.17%	0.0%	0.0%	0.37%	0.0%	0.0%	1.51%	0.14%	0.0%	0.67%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	0.0%	0.0%	0.13%	0.26%	0.28%	0.0%	0.0%	0.28%	0.0%	0.0%	0.30%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	2	0	1	0	0	0	3	0	4	1	0	0	0	3	0	0	1	1	2	0	0	0	1	1	0	2	0					
		0.32%	0.60%	0.0%	0.18%	0.0%	0.0%	0.0%	0.44%	0.0%	2.68%	0.38%	0.0%	0.0%	0.0%	2.25%	0.0%	0.0%	1.38%	0.13%	0.26%	0.0%	0.0%	0.0%	0.28%	1.0%	0.0%	0.60%	0.0%					
32	"15. ""Партия СЛОН"""	7	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.28%	0.0%	0.0%	0.28%	2.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	277	11	2	18	5	1	2	35	1	4	8	3	26	2	8	0	12	5	41	37	21	1	1	5	2	1	14	11					
		4.10%	3.35%	3.70%	3.40%	3.67%	1.58%	3.03%	5.23%	1.38%	2.68%	3.04%	3.48%	5.16%	2.63%	6.01%	0.0%	3.69%	6.94%	5.43%	4.87%	5.94%	1.51%	5.55%	1.44%	2.0%	1.49%	4.24%	3.21%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	0	0	3	1	0	2	2	0	0	0	0	2	1	0	0	1	1	1	0	2	0	0	0	0	0	4	1					
		0.31%	0.0%	0.0%	0.56%	0.73%	0.0%	3.03%	0.29%	0.0%	0.0%	0.0%	0.0%	0.39%	1.31%	0.0%	0.0%	0.30%	1.38%	0.13%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.29%					
35	"18. ""ЛДПР"""	979	36	15	60	25	8	15	129	12	16	29	16	48	21	39	22	44	15	112	104	53	24	3	36	3	24	32	38					
		14.51%	10.97%	27.77%	11.34%	18.38%	12.69%	22.72%	19.28%	16.66%	10.73%	11.02%	18.60%	9.54%	27.63%	29.32%	25.28%	13.53%	20.83%	14.85%	13.70%	15.01%	36.36%	16.66%	10.37%	3.0%	35.82%	9.69%	11.11%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	120	14	0	9	0	0	1	12	0	3	1	1	12	1	0	0	8	3	13	16	4	0	0	8	4	0	4	6					
		1.77%	4.26%	0.0%	1.70%	0.0%	0.0%	1.51%	1.79%	0.0%	2.01%	0.38%	1.16%	2.38%	1.31%	0.0%	0.0%	2.46%	4.16%	1.72%	2.10%	1.13%	0.0%	0.0%	2.30%	4.0%	0.0%	1.21%	1.75%					
37	"20. ""Политическая партия ""Единая Россия"""	2262	109	7	229	47	10	32	244	27	45	66	30	163	29	41	36	119	16	272	249	98	10	5	79	18	16	113	152					
		33.52%	33.23%	12.96%	43.28%	34.55%	15.87%	48.48%	36.47%	37.5%	30.20%	25.09%	34.88%	32.40%	38.15%	30.82%	41.37%	36.61%	22.22%	36.07%	32.80%	27.76%	15.15%	27.77%	22.76%	18.0%	23.88%	34.24%	44.44%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1					
		0.14%	0.30%	0.0%	0.0%	0.73%	0.0%	1.51%	0.0%	1.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.13%	0.13%	0.28%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	0.29%					
39	"22. ""Развитие предпринимательства"""	18	0	0	2	2	2	0	3	0	0	0	0	3	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1					
		0.26%	0.0%	0.0%	0.37%	1.47%	3.17%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.59%	1.31%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.30%	0.29%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1741	93	18	120	10	30	2	108	12	46	105	24	141	9	11	9	87	13	210	199	111	18	6	126	37	14	102	80					
		25.80%	28.35%	33.33%	22.68%	7.35%	47.61%	3.03%	16.14%	16.66%	30.87%	39.92%	27.90%	28.03%	11.84%	8.27%	10.34%	26.76%	18.05%	27.85%	26.21%	31.44%	27.27%	33.33%	36.31%	37.0%	20.89%	30.90%	23.39%					
																																		
41	Против всех	216	11	4	6	4	1	3	13	2	3	13	4	25	1	10	4	8	8	16	24	16	4	3	11	0	3	8	11					
		3.20%	3.35%	7.40%	1.13%	2.94%	1.58%	4.54%	1.94%	2.77%	2.01%	4.94%	4.65%	4.97%	1.31%	7.51%	4.59%	2.46%	11.11%	2.12%	3.16%	4.53%	6.06%	16.66%	3.17%	0.0%	4.47%	2.42%	3.21%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
