Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Красноярск, Ленинская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №2278	УИК №2317	УИК №2318									
		37.82%	34.17%	38.29%	38.32%	37.80%	35.65%	37.32%	38.66%	45.31%	39.20%	38.39%	35.71%	34.91%	37.80%	36.77%	42.34%	35.01%	53.63%	37.22%	35.33%	35.40%	36.21%	40.12%	42.05%	35.82%	37.02%	40.26%	34.87%	41.50%	38.87%	36.38%	33.33%	36.23%	30.60%	46.30%	35.74%	39.41%	39.45%	30.63%	40.84%	37.46%	38.87%	34.61%	38.54%	37.45%	35.54%	39.36%	41.82%	41.34%	36.32%	34.77%	41.63%	38.98%	36.58%	36.44%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	480	11	16	10	5	1	7	10	14	14	7	5	19	10	17	11	11	2	15	19	24	9	9	8	8	4	2	5	8	10	6	4	5	9	11	6	7	6	4	4	4	10	10	8	4	8	9	2	13	4	11	8	11	17	8									
		1.52%	1.84%	2.36%	1.36%	1.02%	0.17%	1.25%	1.52%	2.05%	2.80%	1.56%	1.12%	2.36%	2.20%	2.74%	2.11%	1.63%	0.69%	1.97%	2.15%	2.48%	1.50%	1.73%	1.32%	1.30%	0.90%	0.44%	1.10%	1.77%	1.77%	1.34%	0.91%	0.89%	1.75%	1.73%	1.08%	1.22%	1.27%	0.79%	0.80%	0.66%	1.48%	1.32%	0.94%	0.85%	1.29%	1.38%	0.47%	1.98%	0.61%	1.89%	1.67%	1.52%	2.72%	1.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	73	1	2	2	3	0	2	3	1	0	2	0	3	2	1	0	4	3	1	1	2	1	1	0	0	2	0	1	0	3	1	2	1	3	2	1	1	1	3	1	0	1	0	2	0	1	1	0	2	4	0	0	3	2	0									
		0.23%	0.17%	0.29%	0.27%	0.61%	0.00%	0.36%	0.46%	0.15%	0.00%	0.45%	0.00%	0.37%	0.44%	0.16%	0.00%	0.59%	1.04%	0.13%	0.11%	0.21%	0.17%	0.19%	0.00%	0.00%	0.45%	0.00%	0.22%	0.00%	0.53%	0.22%	0.46%	0.18%	0.58%	0.31%	0.18%	0.17%	0.21%	0.59%	0.20%	0.00%	0.15%	0.00%	0.24%	0.00%	0.16%	0.15%	0.00%	0.30%	0.61%	0.00%	0.00%	0.41%	0.32%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5505	96	88	119	70	110	72	103	110	85	88	97	126	81	60	81	110	43	127	145	144	102	85	91	128	84	100	95	106	103	97	82	109	106	118	135	125	83	116	105	96	124	139	151	94	100	98	80	98	112	103	97	123	88	77									
		17.45%	16.08%	12.96%	16.17%	14.23%	18.68%	12.86%	15.68%	16.13%	17.00%	19.64%	21.65%	15.65%	17.80%	9.68%	15.52%	16.32%	14.88%	16.64%	16.42%	14.86%	16.94%	16.31%	15.07%	20.75%	18.96%	21.88%	20.83%	23.40%	18.20%	21.65%	18.72%	19.36%	20.66%	18.58%	24.37%	21.70%	17.51%	22.92%	20.92%	15.84%	18.40%	18.29%	17.74%	20.00%	16.16%	15.01%	18.69%	14.89%	17.02%	17.73%	20.29%	16.94%	14.06%	16.31%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	304	4	7	3	4	8	5	5	8	4	8	4	15	6	8	7	8	1	7	15	7	4	2	4	4	7	7	1	6	6	6	0	9	2	8	7	3	10	9	2	2	5	6	3	1	3	9	7	7	4	3	3	4	10	6									
		0.96%	0.67%	1.03%	0.41%	0.81%	1.36%	0.89%	0.76%	1.17%	0.80%	1.79%	0.89%	1.86%	1.32%	1.29%	1.34%	1.19%	0.35%	0.92%	1.70%	0.72%	0.66%	0.38%	0.66%	0.65%	1.58%	1.53%	0.22%	1.32%	1.06%	1.34%	0.00%	1.60%	0.39%	1.26%	1.26%	0.52%	2.11%	1.78%	0.40%	0.33%	0.74%	0.79%	0.35%	0.21%	0.48%	1.38%	1.64%	1.06%	0.61%	0.52%	0.63%	0.55%	1.60%	1.27%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	413	16	15	6	12	10	13	9	9	5	2	0	25	18	12	12	12	0	9	16	10	9	1	7	6	4	7	3	1	6	5	3	9	4	6	2	4	5	5	4	6	4	10	8	5	10	6	6	10	7	6	3	8	19	3									
		1.31%	2.68%	2.21%	0.82%	2.44%	1.70%	2.32%	1.37%	1.32%	1.00%	0.45%	0.00%	3.11%	3.96%	1.94%	2.30%	1.78%	0.00%	1.18%	1.81%	1.03%	1.50%	0.19%	1.16%	0.97%	0.90%	1.53%	0.66%	0.22%	1.06%	1.12%	0.68%	1.60%	0.78%	0.94%	0.36%	0.69%	1.05%	0.99%	0.80%	0.99%	0.59%	1.32%	0.94%	1.06%	1.62%	0.92%	1.40%	1.52%	1.06%	1.03%	0.63%	1.10%	3.04%	0.64%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	38	1	0	1	0	1	2	1	1	1	0	0	0	1	0	1	3	2	0	1	0	1	0	1	0	1	1	2	0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	2	1	0	1	0	2	1	1	0	0	1	0									
		0.12%	0.17%	0.00%	0.14%	0.00%	0.17%	0.36%	0.15%	0.15%	0.20%	0.00%	0.00%	0.00%	0.22%	0.00%	0.19%	0.45%	0.69%	0.00%	0.11%	0.00%	0.17%	0.00%	0.17%	0.00%	0.23%	0.22%	0.44%	0.00%	0.18%	0.00%	0.23%	0.18%	0.00%	0.00%	0.00%	0.17%	0.21%	0.00%	0.20%	0.17%	0.00%	0.00%	0.24%	0.21%	0.00%	0.15%	0.00%	0.30%	0.15%	0.17%	0.00%	0.00%	0.16%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	623	16	18	15	9	10	16	18	15	9	12	6	8	13	24	10	14	2	19	14	31	17	11	11	13	5	10	7	4	11	11	6	7	12	5	7	11	4	5	12	15	11	19	9	5	10	11	8	8	10	7	11	15	27	9									
		1.97%	2.68%	2.65%	2.04%	1.83%	1.70%	2.86%	2.74%	2.20%	1.80%	2.68%	1.34%	0.99%	2.86%	3.87%	1.92%	2.08%	0.69%	2.49%	1.59%	3.20%	2.82%	2.11%	1.82%	2.11%	1.13%	2.19%	1.54%	0.88%	1.94%	2.46%	1.37%	1.24%	2.34%	0.79%	1.26%	1.91%	0.84%	0.99%	2.39%	2.48%	1.63%	2.50%	1.06%	1.06%	1.62%	1.68%	1.87%	1.22%	1.52%	1.20%	2.30%	2.07%	4.31%	1.91%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3941	79	112	114	66	83	80	89	75	55	47	55	112	42	98	74	107	24	102	112	135	94	70	76	66	51	51	66	42	48	44	66	74	75	66	79	62	62	68	54	57	76	99	100	62	89	70	36	72	79	81	37	83	64	61									
		12.49%	13.23%	16.49%	15.49%	13.41%	14.09%	14.29%	13.55%	10.99%	11.00%	10.49%	12.28%	13.91%	9.23%	15.81%	14.18%	15.88%	8.30%	13.37%	12.68%	13.93%	15.61%	13.44%	12.58%	10.70%	11.51%	11.16%	14.47%	9.27%	8.48%	9.82%	15.07%	13.14%	14.62%	10.39%	14.26%	10.76%	13.08%	13.44%	10.76%	9.41%	11.28%	13.03%	11.75%	13.19%	14.38%	10.72%	8.41%	10.94%	12.01%	13.94%	7.74%	11.43%	10.22%	12.92%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	2997	74	68	63	53	52	74	70	43	56	51	45	92	44	61	36	55	17	63	100	100	57	39	51	50	35	39	50	34	55	41	34	55	59	39	44	54	37	55	52	49	60	68	67	33	60	74	41	62	76	68	57	83	67	35									
		9.50%	12.40%	10.01%	8.56%	10.77%	8.83%	13.21%	10.65%	6.30%	11.20%	11.38%	10.04%	11.43%	9.67%	9.84%	6.90%	8.16%	5.88%	8.26%	11.33%	10.32%	9.47%	7.49%	8.44%	8.10%	7.90%	8.53%	10.96%	7.51%	9.72%	9.15%	7.76%	9.77%	11.50%	6.14%	7.94%	9.38%	7.81%	10.87%	10.36%	8.09%	8.90%	8.95%	7.87%	7.02%	9.69%	11.33%	9.58%	9.42%	11.55%	11.70%	11.92%	11.43%	10.70%	7.42%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1973	21	24	37	33	36	29	35	33	27	20	27	45	33	32	26	45	18	59	51	74	29	23	32	63	34	19	17	18	38	35	25	28	40	37	21	28	23	29	20	64	57	74	78	34	43	49	25	44	55	36	11	57	40	42									
		6.25%	3.52%	3.53%	5.03%	6.71%	6.11%	5.18%	5.33%	4.84%	5.40%	4.46%	6.03%	5.59%	7.25%	5.16%	4.98%	6.68%	6.23%	7.73%	5.78%	7.64%	4.82%	4.41%	5.30%	10.21%	7.67%	4.16%	3.73%	3.97%	6.71%	7.81%	5.71%	4.97%	7.80%	5.83%	3.79%	4.86%	4.85%	5.73%	3.98%	10.56%	8.46%	9.74%	9.17%	7.23%	6.95%	7.50%	5.84%	6.69%	8.36%	6.20%	2.30%	7.85%	6.39%	8.90%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
