Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
Наименование Избирательной комиссии:    Гулькевичская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170					
		9.76%	11.17%	7.69%	11.76%	9.34%	11.66%	10.09%	9.53%	11.05%	3.19%	14.66%	10.62%	10.25%	10.52%	9.59%	4.06%	14.91%	11.87%	5.66%	8.07%	9.38%	14.29%	12.78%	14.82%	9.50%	4.63%	9.81%	10.11%	10.26%	6.43%	11.39%	15.15%	11.81%	14.11%	8.84%	4.71%	12.19%	10.21%	15.30%	9.77%	11.94%	13.07%	12.07%	16.86%	13.59%	9.93%	5.92%	8.49%	4.30%	8.04%	4.82%	14.49%	8.85%	11.26%	7.14%	7.56%	18.00%	7.85%	10.56%	9.08%	6.89%	9.21%	13.95%	9.43%	10.93%	11.26%	7.22%	6.61%	13.96%	10.21%	17.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4999	95	101	196	193	43	84	114	48	44	77	105	133	55	114	162	14	73	140	91	15	124	130	22	41	89	164	108	46	65	111	40	47	47	24	19	146	87	151	61	46	5	27	40	72	76	48	10	123	74	19	21	24	95	123	142	6	25	57	74	25	67	24	128	27	13	27	8	41	107	6					
		9.49%	13.44%	7.76%	15.36%	11.71%	7.38%	8.83%	8.62%	6.32%	3.60%	15.46%	10.42%	7.33%	9.48%	8.68%	13.15%	3.21%	9.96%	12.38%	10.64%	15.63%	11.65%	13.84%	4.35%	9.74%	13.73%	12.28%	9.93%	8.00%	4.97%	9.50%	15.15%	19.83%	14.42%	4.82%	5.59%	20.00%	13.06%	11.55%	10.83%	13.73%	2.84%	4.66%	11.43%	11.25%	6.29%	5.57%	9.43%	13.21%	12.94%	8.33%	15.22%	10.62%	8.70%	9.06%	10.33%	6.00%	3.78%	3.93%	6.22%	8.20%	7.71%	11.16%	10.59%	14.75%	4.44%	7.50%	3.11%	5.90%	9.75%	4.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	333	8	16	13	14	1	2	12	8	10	2	12	2	5	15	2	0	7	14	7	0	15	2	1	3	1	7	6	1	1	12	3	0	5	0	2	3	13	9	2	3	0	2	2	4	2	5	0	7	6	1	0	2	5	3	4	0	1	4	7	0	9	0	6	3	1	4	1	10	5	0					
		0.63%	1.13%	1.23%	1.02%	0.85%	0.17%	0.21%	0.91%	1.05%	0.82%	0.40%	1.19%	0.11%	0.86%	1.14%	0.16%	0.00%	0.95%	1.24%	0.82%	0.00%	1.41%	0.21%	0.20%	0.71%	0.15%	0.52%	0.55%	0.17%	0.08%	1.03%	1.14%	0.00%	1.53%	0.00%	0.59%	0.41%	1.95%	0.69%	0.36%	0.90%	0.00%	0.34%	0.57%	0.63%	0.17%	0.58%	0.00%	0.75%	1.05%	0.44%	0.00%	0.88%	0.46%	0.22%	0.29%	0.00%	0.15%	0.28%	0.59%	0.00%	1.04%	0.00%	0.50%	1.64%	0.34%	1.11%	0.39%	1.44%	0.46%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9013	137	202	307	235	105	206	212	103	225	120	105	303	176	172	250	84	123	190	175	25	339	214	91	83	80	126	84	88	263	251	31	46	73	109	44	102	98	288	60	49	33	101	45	135	212	165	8	225	105	26	15	7	125	241	186	17	115	249	187	56	85	37	153	13	47	76	39	164	157	15					
		17.11%	19.38%	15.53%	24.06%	14.26%	18.01%	21.66%	16.04%	13.55%	18.40%	24.10%	10.42%	16.70%	30.34%	13.09%	20.29%	19.27%	16.78%	16.80%	20.47%	26.04%	31.86%	22.79%	17.98%	19.71%	12.35%	9.44%	7.72%	15.30%	20.12%	21.49%	11.74%	19.41%	22.39%	21.89%	12.94%	13.97%	14.71%	22.04%	10.66%	14.63%	18.75%	17.41%	12.86%	21.09%	17.54%	19.14%	7.55%	24.17%	18.36%	11.40%	10.87%	3.10%	11.45%	17.75%	13.53%	17.00%	17.37%	17.18%	15.71%	18.36%	9.78%	17.21%	12.66%	7.10%	16.04%	21.11%	15.18%	23.60%	14.31%	10.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	567	20	30	29	37	3	4	25	13	2	6	16	2	13	17	6	1	6	18	16	0	26	4	4	2	15	14	12	2	1	24	2	0	7	0	3	8	14	18	6	3	0	0	7	13	2	7	0	9	1	7	1	3	5	3	19	2	6	8	4	0	3	0	19	0	0	0	1	1	14	3					
		1.08%	2.83%	2.31%	2.27%	2.25%	0.51%	0.42%	1.89%	1.71%	0.16%	1.20%	1.59%	0.11%	2.24%	1.29%	0.49%	0.23%	0.82%	1.59%	1.87%	0.00%	2.44%	0.43%	0.79%	0.48%	2.31%	1.05%	1.10%	0.35%	0.08%	2.05%	0.76%	0.00%	2.15%	0.00%	0.88%	1.10%	2.10%	1.38%	1.07%	0.90%	0.00%	0.00%	2.00%	2.03%	0.17%	0.81%	0.00%	0.97%	0.17%	3.07%	0.72%	1.33%	0.46%	0.22%	1.38%	2.00%	0.91%	0.55%	0.34%	0.00%	0.35%	0.00%	1.57%	0.00%	0.00%	0.00%	0.39%	0.14%	1.28%	2.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31819	355	846	555	992	360	552	809	488	872	211	650	1185	264	865	745	263	421	686	482	46	386	465	310	246	424	880	741	373	878	613	134	113	139	303	250	374	372	616	366	191	115	354	188	327	792	582	79	507	331	159	78	165	732	883	906	54	451	965	795	199	611	120	769	119	195	203	153	374	694	98					
		60.42%	50.21%	65.03%	43.50%	60.19%	61.75%	58.04%	61.20%	64.21%	71.30%	42.37%	64.48%	65.33%	45.52%	65.83%	60.47%	60.32%	57.44%	60.65%	56.37%	47.92%	36.28%	49.52%	61.26%	58.43%	65.43%	65.92%	68.11%	64.87%	67.18%	52.48%	50.76%	47.68%	42.64%	60.84%	73.53%	51.23%	55.86%	47.13%	65.01%	57.01%	65.34%	61.03%	53.71%	51.09%	65.51%	67.52%	74.53%	54.46%	57.87%	69.74%	56.52%	73.01%	67.03%	65.02%	65.89%	54.00%	68.13%	66.60%	66.81%	65.25%	70.31%	55.81%	63.61%	65.03%	66.55%	56.39%	59.53%	53.81%	63.26%	65.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	176	4	6	6	6	2	5	4	6	6	3	5	1	3	5	2	1	3	5	3	1	2	3	2	1	2	2	2	0	0	1	1	3	0	0	1	0	1	7	2	0	0	0	2	0	4	2	0	3	4	2	0	2	5	4	5	1	4	4	1	1	8	0	3	0	2	0	2	4	6	0					
		0.33%	0.57%	0.46%	0.47%	0.36%	0.34%	0.53%	0.30%	0.79%	0.49%	0.60%	0.50%	0.06%	0.52%	0.38%	0.16%	0.23%	0.41%	0.44%	0.35%	1.04%	0.19%	0.32%	0.40%	0.24%	0.31%	0.15%	0.18%	0.00%	0.00%	0.09%	0.38%	1.27%	0.00%	0.00%	0.29%	0.00%	0.15%	0.54%	0.36%	0.00%	0.00%	0.00%	0.57%	0.00%	0.33%	0.23%	0.00%	0.32%	0.70%	0.88%	0.00%	0.88%	0.46%	0.29%	0.36%	1.00%	0.60%	0.28%	0.08%	0.33%	0.92%	0.00%	0.25%	0.00%	0.68%	0.00%	0.78%	0.58%	0.55%	0.00%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
