Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																														
Дата голосования: 04.12.2011																																																																																																																																														
																																																																																																																																														
Наименование Избирательной комиссии:    Старооскольская																																																																																																																																														
																																																																																																																																														
Сводная таблица результатов выборов																																																																																																																																														
																																																																																																																																														
		Сумма	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2352	20	20	20	20	20	10	25	20	20	15	20	20	20	10	25	28	20	20	20	20	20	20	20	20	25	20	20	30	20	35	12	0	27	15	15	0	15	7	15	7	10	15	15	5	15	0	6	15	15	15	10	10	15	15	15	15	15	20	20	30	20	10	20	20	12	20	20	28	20	26	10	20	20	20	20	20	20	20	20	20	32	20	25	20	20	10	12	20	20	20	25	20	20	28	20	20	20	30	39	0	15	15	15	20	18	15	21	10	15	4	30	15	15	5	40	15	6	15	21	20	15	8	15	15	2	15	15	15	10	20	15	15	15	15	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1751	7	13	13	20	13	6	24	20	13	14	9	10	9	1	21	20	9	18	13	13	12	14	16	11	20	17	17	18	17	31	12	0	25	8	9	0	5	4	8	5	5	2	3	0	8	0	4	4	8	12	6	7	8	15	10	5	9	13	18	30	12	10	15	18	11	14	13	22	17	19	10	15	15	17	17	17	20	20	16	13	26	17	24	17	18	9	11	17	16	15	24	10	12	26	20	10	13	22	36	0	15	15	10	16	17	4	21	10	8	3	29	15	14	5	36	12	6	15	19	19	9	4	9	4	1	12	11	12	1	20	6	10	13	4	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1204	7	16	6	6	6	7	4	7	7	5	6	6	2	5	13	16	5	13	10	7	2	6	9	10	6	5	25	12	16	6	10	43	9	7	114	33	5	5	3	5	4	5	11	4	4	4	7	10	6	22	13	13	11	4	9	6	6	10	9	13	6	5	12	5	5	5	12	6	6	10	20	6	5	12	7	7	4	9	11	7	14	24	15	14	1	8	8	4	1	5	10	7	2	15	2	7	5	5	18	8	11	1	24	2	20	2	4	1	5	10	4	8	6	8	9	12	2	15	9	3	3	6	6	3	3	2	1	4	2	3	7	2	5	3	9					
14	Число погашенных неиспользованных открепительных удостоверений	601	13	7	7	0	7	4	1	0	7	1	11	10	11	9	4	8	11	2	7	7	8	6	4	9	5	3	3	12	3	4	0	0	2	7	6	0	10	3	7	2	5	13	12	5	7	0	2	11	7	3	4	3	7	0	5	10	6	7	2	0	8	0	5	2	1	6	7	6	3	7	0	5	5	3	3	3	0	0	4	7	6	3	1	3	2	1	1	3	4	5	1	10	8	2	0	10	7	8	3	0	0	0	5	4	1	11	0	0	7	1	1	0	1	0	4	3	0	0	2	1	6	4	6	11	1	3	4	3	9	0	9	5	2	11	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	90	0	2	4	2	0	0	0	0	0	1	2	0	0	0	0	1	0	0	2	0	0	1	4	0	1	0	1	2	1	1	2	0	0	0	2	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	1	0	2	1	2	0	1	1	1	1	2	2	0	2	1	0	0	3	3	1	1	0	1	3	0	2	1	0	1	1	1	0	0	1	1	1	1	1	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	17855	164	165	122	105	129	102	189	227	188	166	164	189	142	16	182	225	138	67	131	224	127	209	137	184	172	135	160	145	185	247	119	75	223	180	89	4	54	90	147	117	166	75	51	69	66	16	72	50	92	125	122	69	72	67	117	68	122	158	166	157	187	105	205	207	183	245	188	176	133	143	122	119	189	210	202	207	253	192	250	235	225	282	272	185	172	189	174	204	198	181	236	203	169	264	297	153	167	275	298	31	64	43	94	103	50	65	82	25	75	16	50	38	63	72	46	107	27	134	89	70	36	48	136	77	22	30	41	59	7	68	49	107	89	38	75					
		13.78%	15.10%	16.27%	15.50%	11.38%	15.09%	12.42%	14.75%	17.28%	16.43%	13.73%	15.62%	15.96%	13.64%	11.85%	14.24%	16.26%	15.65%	7.49%	15.47%	15.92%	14.06%	18.76%	13.58%	14.86%	12.78%	12.04%	13.39%	15.33%	15.33%	16.37%	15.43%	13.44%	14.18%	14.68%	12.95%	2.45%	15.08%	15.46%	16.96%	14.23%	15.17%	14.51%	13.82%	12.41%	13.81%	15.69%	13.43%	10.85%	13.18%	12.81%	14.77%	13.19%	16.44%	12.03%	15.04%	14.20%	14.75%	13.63%	15.31%	13.72%	12.43%	7.75%	15.43%	14.17%	12.41%	15.75%	14.55%	15.78%	14.73%	12.50%	13.50%	7.13%	13.24%	16.27%	15.26%	14.51%	18.15%	12.59%	14.36%	15.22%	13.24%	17.87%	16.58%	15.69%	16.04%	14.24%	16.75%	15.53%	17.10%	17.69%	16.83%	13.99%	14.19%	17.39%	18.41%	13.28%	14.96%	15.29%	17.27%	13.19%	11.49%	6.38%	8.86%	9.68%	10.68%	8.28%	11.73%	11.26%	9.01%	9.47%	11.29%	9.72%	12.99%	9.30%	15.18%	10.86%	8.11%	11.81%	11.08%	14.64%	11.76%	17.39%	13.11%	15.16%	5.90%	4.88%	6.03%	7.41%	5.74%	7.56%	9.25%	10.36%	9.05%	5.99%	6.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	15597	125	142	123	50	101	98	209	197	152	189	176	187	136	17	135	151	118	67	109	158	117	147	150	163	142	162	174	117	148	223	92	75	210	184	110	13	47	69	79	113	117	63	52	68	50	14	53	72	100	115	111	67	55	69	86	58	115	150	163	179	139	155	144	237	179	216	158	145	136	179	133	136	166	166	182	200	126	171	177	221	214	206	193	134	108	150	135	156	133	123	163	177	120	204	170	137	111	239	255	15	64	70	74	89	30	68	70	29	105	21	50	58	69	64	22	90	40	125	83	43	40	25	113	70	29	34	30	57	8	77	47	105	115	60	82					
		12.04%	11.51%	14.00%	15.63%	5.42%	11.81%	11.94%	16.32%	14.99%	13.29%	15.63%	16.76%	15.79%	13.06%	12.59%	10.56%	10.91%	13.38%	7.49%	12.87%	11.23%	12.96%	13.20%	14.87%	13.17%	10.55%	14.45%	14.56%	12.37%	12.26%	14.78%	11.93%	13.44%	13.35%	15.01%	16.01%	7.98%	13.13%	11.86%	9.11%	13.75%	10.69%	12.19%	14.09%	12.23%	10.46%	13.73%	9.89%	15.62%	14.33%	11.78%	13.44%	12.81%	12.56%	12.39%	11.05%	12.11%	13.91%	12.94%	15.04%	15.65%	9.24%	11.44%	10.84%	16.22%	12.14%	13.88%	12.23%	13.00%	15.06%	15.65%	14.71%	8.14%	11.63%	12.86%	13.75%	14.02%	9.04%	11.21%	10.17%	14.31%	12.59%	13.05%	11.76%	11.37%	10.07%	11.30%	12.99%	11.87%	11.49%	12.02%	11.63%	12.20%	10.08%	13.44%	10.54%	11.89%	9.95%	13.29%	14.77%	6.38%	11.49%	10.39%	6.97%	8.36%	6.41%	8.66%	10.01%	13.06%	12.62%	12.43%	11.29%	14.83%	14.23%	8.27%	7.26%	9.14%	12.01%	11.01%	10.34%	8.99%	13.07%	9.06%	10.90%	13.78%	7.77%	5.53%	4.41%	7.16%	6.56%	8.57%	8.87%	10.16%	11.70%	9.46%	6.96%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1659	16	15	15	11	8	9	18	13	13	18	18	15	14	2	18	16	14	13	10	23	11	18	13	13	12	13	9	13	20	22	12	6	12	20	5	0	3	5	12	6	15	4	6	5	8	0	7	2	13	11	14	9	4	4	10	7	10	12	13	11	13	12	21	21	11	29	12	25	13	15	12	12	31	24	11	17	20	16	30	30	30	26	24	14	21	20	14	17	18	14	24	16	16	19	21	14	29	27	28	3	5	8	8	6	3	7	8	1	4	2	6	0	5	5	6	9	7	16	15	3	7	0	14	6	1	0	1	1	0	11	4	9	33	0	9					
		1.28%	1.47%	1.48%	1.91%	1.19%	0.94%	1.10%	1.41%	0.99%	1.14%	1.49%	1.71%	1.27%	1.34%	1.48%	1.41%	1.16%	1.59%	1.45%	1.18%	1.63%	1.22%	1.62%	1.29%	1.05%	0.89%	1.16%	0.75%	1.37%	1.66%	1.46%	1.56%	1.08%	0.76%	1.63%	0.73%	0.00%	0.84%	0.86%	1.38%	0.73%	1.37%	0.77%	1.63%	0.90%	1.67%	0.00%	1.31%	0.43%	1.86%	1.13%	1.69%	1.72%	0.91%	0.72%	1.29%	1.46%	1.21%	1.04%	1.20%	0.96%	0.86%	0.89%	1.58%	1.44%	0.75%	1.86%	0.93%	2.24%	1.44%	1.31%	1.33%	0.72%	2.17%	1.86%	0.83%	1.19%	1.43%	1.05%	1.72%	1.94%	1.76%	1.65%	1.46%	1.19%	1.96%	1.51%	1.35%	1.29%	1.55%	1.37%	1.71%	1.10%	1.34%	1.25%	1.30%	1.22%	2.60%	1.50%	1.62%	1.28%	0.90%	1.19%	0.75%	0.56%	0.64%	0.89%	1.14%	0.45%	0.48%	1.18%	1.35%	0.00%	1.03%	0.65%	1.98%	0.91%	2.10%	1.41%	1.87%	0.63%	2.29%	0.00%	1.35%	1.18%	0.27%	0.00%	0.15%	0.13%	0.00%	1.22%	0.75%	0.87%	3.36%	0.00%	0.76%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	39018	385	368	247	288	303	293	398	429	392	373	357	405	365	33	433	427	309	275	298	433	269	334	341	359	404	333	390	303	359	520	261	149	556	350	195	12	117	162	288	281	368	161	102	187	155	36	155	131	220	309	239	169	124	188	221	176	267	402	342	358	337	390	432	414	449	426	316	331	295	385	311	353	349	416	443	515	418	483	565	479	497	461	460	409	373	398	325	443	394	308	458	479	449	460	569	422	331	384	478	81	126	246	244	260	116	109	176	67	231	47	139	122	104	137	48	247	77	292	230	81	58	62	293	142	77	133	152	138	47	138	164	281	318	188	338					
		30.11%	35.45%	36.29%	31.39%	31.20%	35.44%	35.69%	31.07%	32.65%	34.27%	30.85%	34.00%	34.21%	35.06%	24.44%	33.88%	30.85%	35.03%	30.73%	35.18%	30.77%	29.79%	29.98%	33.80%	28.99%	30.01%	29.71%	32.64%	32.03%	29.74%	34.46%	33.85%	26.70%	35.35%	28.55%	28.38%	7.36%	32.68%	27.84%	33.22%	34.18%	33.64%	31.14%	27.64%	33.63%	32.43%	35.29%	28.92%	28.42%	31.52%	31.66%	28.93%	32.31%	28.31%	33.75%	28.41%	36.74%	32.29%	34.69%	31.55%	31.29%	22.41%	28.78%	32.51%	28.34%	30.44%	27.38%	24.46%	29.69%	32.67%	33.65%	34.40%	21.14%	24.46%	32.22%	33.46%	36.09%	29.99%	31.67%	32.45%	31.02%	29.24%	29.21%	28.03%	34.69%	34.79%	29.99%	31.28%	33.71%	34.02%	30.11%	32.67%	33.01%	37.70%	30.30%	35.28%	36.63%	29.66%	21.36%	27.69%	34.47%	22.62%	36.50%	22.99%	24.44%	24.79%	13.89%	25.18%	30.18%	27.76%	27.81%	31.38%	31.20%	21.44%	17.70%	15.84%	25.08%	23.12%	25.73%	28.64%	16.95%	18.95%	22.46%	28.25%	27.95%	20.64%	21.63%	22.35%	17.34%	38.52%	15.35%	30.94%	27.20%	32.35%	29.65%	28.69%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3846	27	24	13	19	26	23	49	34	30	35	23	25	17	6	33	39	17	30	24	44	20	30	17	35	37	23	23	28	36	49	28	15	42	43	16	1	11	22	44	22	46	14	11	13	14	0	20	14	24	41	19	14	6	13	22	15	21	42	33	21	25	35	69	49	18	49	35	46	19	27	18	38	31	32	75	42	65	69	56	58	79	82	87	42	36	45	41	50	43	68	61	59	36	50	77	41	53	108	113	5	3	3	19	8	3	9	6	3	8	7	5	5	12	13	5	32	6	33	17	1	5	1	13	9	2	8	1	10	0	11	11	17	34	3	8					
		2.97%	2.49%	2.37%	1.65%	2.06%	3.04%	2.80%	3.83%	2.59%	2.62%	2.89%	2.19%	2.11%	1.63%	4.44%	2.58%	2.82%	1.93%	3.35%	2.83%	3.13%	2.21%	2.69%	1.68%	2.83%	2.75%	2.05%	1.92%	2.96%	2.98%	3.25%	3.63%	2.69%	2.67%	3.51%	2.33%	0.61%	3.07%	3.78%	5.07%	2.68%	4.20%	2.71%	2.98%	2.34%	2.93%	0.00%	3.73%	3.04%	3.44%	4.20%	2.30%	2.68%	1.37%	2.33%	2.83%	3.13%	2.54%	3.62%	3.04%	1.84%	1.66%	2.58%	5.19%	3.35%	1.22%	3.15%	2.71%	4.13%	2.10%	2.36%	1.99%	2.28%	2.17%	2.48%	5.66%	2.94%	4.66%	4.52%	3.22%	3.76%	4.65%	5.20%	5.30%	3.56%	3.36%	3.39%	3.95%	3.81%	3.71%	6.65%	4.35%	4.07%	3.02%	3.29%	4.77%	3.56%	4.75%	6.01%	6.55%	2.13%	0.54%	0.45%	1.79%	0.75%	0.64%	1.15%	0.86%	1.35%	0.96%	4.14%	1.13%	1.28%	2.47%	1.68%	1.65%	3.25%	1.80%	2.91%	2.12%	0.21%	1.63%	0.36%	1.25%	1.77%	0.54%	1.30%	0.15%	1.26%	0.00%	1.22%	2.08%	1.65%	3.46%	0.47%	0.68%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	48029	343	268	237	430	263	264	387	389	345	387	284	332	337	56	443	491	255	425	253	492	343	344	321	455	553	416	409	320	426	423	243	223	486	423	254	77	116	219	283	266	348	187	141	203	175	33	209	172	236	348	312	183	171	199	292	145	271	363	329	379	789	618	424	429	611	537	550	362	278	372	287	983	634	404	370	404	476	548	613	465	621	488	568	365	333	474	328	414	343	302	426	491	353	463	438	351	390	724	513	89	287	285	609	574	258	455	339	94	402	71	182	165	225	465	168	477	169	513	348	258	154	136	449	190	231	406	435	371	59	572	246	488	356	328	659					
		37.07%	31.58%	26.43%	30.11%	46.59%	30.76%	32.16%	30.21%	29.60%	30.16%	32.01%	27.05%	28.04%	32.37%	41.48%	34.66%	35.48%	28.91%	47.49%	29.87%	34.97%	37.98%	30.88%	31.81%	36.75%	41.08%	37.11%	34.23%	33.83%	35.29%	28.03%	31.52%	39.96%	30.90%	34.50%	36.97%	47.24%	32.40%	37.63%	32.64%	32.36%	31.81%	36.17%	38.21%	36.51%	36.61%	32.35%	38.99%	37.31%	33.81%	35.66%	37.77%	34.99%	39.04%	35.73%	37.53%	30.27%	32.77%	31.32%	30.35%	33.13%	52.46%	45.61%	31.90%	29.36%	41.42%	34.51%	42.57%	32.47%	30.79%	32.52%	31.75%	58.86%	44.43%	31.29%	27.95%	28.31%	34.15%	35.93%	35.21%	30.12%	36.53%	30.93%	34.61%	30.96%	31.06%	35.72%	31.57%	31.51%	29.62%	29.52%	30.39%	33.84%	29.64%	30.50%	27.15%	30.47%	34.95%	40.27%	29.72%	37.87%	51.53%	42.28%	57.40%	53.95%	55.13%	57.96%	48.50%	42.34%	48.32%	42.01%	41.08%	42.20%	46.39%	60.08%	55.45%	48.43%	50.75%	45.20%	43.34%	53.97%	50.33%	49.28%	43.30%	37.40%	61.93%	66.02%	63.97%	46.61%	48.36%	63.63%	46.42%	47.24%	36.22%	51.74%	55.94%					
