Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Вельская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	614	15	15	15	15	15	15	25	15	15	15	15	15	15	15	0	0	15	15	15	15	15	10	10	6	10	5	5	6	5	6	5	10	6	6	6	6	5	10	10	6	5	6	5	6	6	10	6	6	6	6	6	6	6	10	10	6	6	6	6	6	6	10	6	6	6	5	6	5	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	241	2	5	8	7	9	7	22	2	10	2	4	1	4	0	0	0	0	5	11	6	8	9	9	5	8	0	0	1	0	0	0	4	4	0	2	5	0	5	1	4	3	2	5	1	3	3	0	0	2	3	1	0	6	6	9	2	0	0	1	1	0	8	0	6	1	1	6	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	160	3	3	6	2	5	4	10	2	5	4	6	3	1	0	0	5	3	2	2	3	2	6	7	2	4	0	0	0	0	1	0	1	1	0	1	1	1	1	7	5	1	2	0	2	2	2	1	1	1	5	1	3	5	3	0	2	1	4	0	2	1	1	1	1	5	0	3	1	0					
14	Число погашенных открепительных удостоверений	373	13	10	7	8	6	8	3	13	5	13	11	14	11	15	0	0	15	10	4	9	7	1	1	1	2	5	5	5	5	6	5	6	2	6	4	1	5	5	9	2	2	4	0	5	3	7	6	6	4	3	5	6	0	4	1	4	6	6	5	5	6	2	6	0	5	4	0	4	6					
15	Число открепительных удостоверений выданных ТИК	7	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
18	"1. ""ЕДИНЕНИЕ"""	322	6	5	7	3	2	4	11	6	4	3	6	3	5	0	4	6	6	9	6	4	6	16	3	9	11	7	2	9	1	3	1	14	0	4	2	3	3	5	11	2	0	3	4	7	2	10	3	2	2	3	1	2	2	7	12	0	4	1	9	3	4	3	0	10	6	2	6	0	2					
		1.19%	0.68%	0.98%	0.93%	0.50%	0.21%	0.61%	0.92%	1.12%	0.45%	0.39%	0.77%	0.67%	0.73%	0.0%	1.36%	2.85%	1.39%	1.54%	0.81%	0.67%	0.83%	1.70%	0.37%	1.80%	1.64%	4.96%	2.04%	5.66%	1.11%	1.54%	0.81%	2.51%	0.0%	1.78%	0.84%	1.74%	2.15%	0.89%	1.60%	0.73%	0.0%	1.33%	5.12%	1.95%	1.98%	1.32%	2.43%	1.98%	1.03%	0.60%	0.68%	2.29%	0.68%	1.50%	2.24%	0.0%	1.62%	0.52%	4.16%	1.68%	2.64%	0.78%	0.0%	2.36%	2.98%	2.35%	2.4%	0.0%	1.38%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	502	30	13	29	25	22	17	48	8	34	19	19	6	8	17	4	2	3	7	10	4	7	7	8	7	6	1	0	1	1	2	2	3	0	0	5	2	0	29	25	4	0	5	0	4	1	4	1	1	1	4	3	1	4	6	5	7	1	0	3	3	1	4	2	5	0	0	0	0	1					
		1.86%	3.40%	2.55%	3.85%	4.20%	2.41%	2.59%	4.03%	1.50%	3.89%	2.50%	2.46%	1.34%	1.16%	6.11%	1.36%	0.95%	0.69%	1.20%	1.36%	0.67%	0.97%	0.74%	0.99%	1.40%	0.89%	0.70%	0.0%	0.62%	1.11%	1.03%	1.63%	0.53%	0.0%	0.0%	2.11%	1.16%	0.0%	5.16%	3.64%	1.47%	0.0%	2.23%	0.0%	1.11%	0.99%	0.52%	0.81%	0.99%	0.51%	0.81%	2.06%	1.14%	1.36%	1.29%	0.93%	3.21%	0.40%	0.0%	1.38%	1.68%	0.66%	1.04%	1.47%	1.18%	0.0%	0.0%	0.0%	0.0%	0.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1317	45	33	26	33	71	50	61	21	57	35	34	14	37	7	14	6	30	30	48	34	52	36	25	15	15	6	2	3	5	6	7	22	3	11	8	10	8	19	24	10	1	8	5	6	6	48	10	3	4	23	2	6	21	13	34	10	7	13	17	10	10	27	10	27	8	5	7	1	2					
		4.87%	5.10%	6.49%	3.45%	5.55%	7.79%	7.64%	5.12%	3.93%	6.52%	4.61%	4.40%	3.13%	5.40%	2.51%	4.79%	2.85%	6.99%	5.14%	6.53%	5.77%	7.21%	3.83%	3.09%	3.00%	2.24%	4.25%	2.04%	1.88%	5.55%	3.09%	5.73%	3.95%	1.88%	4.91%	3.38%	5.81%	5.75%	3.38%	3.50%	3.69%	2.12%	3.57%	6.41%	1.67%	5.94%	6.34%	8.13%	2.97%	2.06%	4.67%	1.37%	6.89%	7.19%	2.79%	6.36%	4.58%	2.84%	6.77%	7.87%	5.61%	6.62%	7.08%	7.35%	6.39%	3.98%	5.88%	2.8%	1.85%	1.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	573	31	18	25	26	30	39	32	11	24	18	20	13	15	8	5	3	5	11	16	6	16	16	6	8	3	0	3	0	0	0	3	9	1	2	0	5	0	17	19	6	1	3	1	3	3	14	1	0	2	4	1	0	6	19	3	9	4	2	1	0	0	10	1	5	4	1	2	3	0					
		2.12%	3.51%	3.54%	3.32%	4.37%	3.29%	5.96%	2.68%	2.06%	2.74%	2.37%	2.59%	2.90%	2.19%	2.87%	1.71%	1.42%	1.16%	1.88%	2.17%	1.01%	2.21%	1.70%	0.74%	1.60%	0.44%	0.0%	3.06%	0.0%	0.0%	0.0%	2.45%	1.61%	0.62%	0.89%	0.0%	2.90%	0.0%	3.03%	2.77%	2.21%	2.12%	1.33%	1.28%	0.83%	2.97%	1.84%	0.81%	0.0%	1.03%	0.81%	0.68%	0.0%	2.05%	4.08%	0.56%	4.12%	1.62%	1.04%	0.46%	0.0%	0.0%	2.62%	0.73%	1.18%	1.99%	1.17%	0.8%	5.55%	0.0%					
22	"5. ""За Русь Святую"""	125	6	1	3	1	2	5	1	1	11	2	2	1	1	2	4	2	1	6	6	4	6	1	5	4	1	0	1	1	0	2	0	1	1	1	1	1	0	0	0	0	0	3	0	2	0	6	0	0	0	0	0	0	2	0	6	5	3	1	1	0	0	3	1	2	1	0	1	0	0					
		0.46%	0.68%	0.19%	0.39%	0.16%	0.21%	0.76%	0.08%	0.18%	1.25%	0.26%	0.25%	0.22%	0.14%	0.71%	1.36%	0.95%	0.23%	1.02%	0.81%	0.67%	0.83%	0.10%	0.61%	0.80%	0.14%	0.0%	1.02%	0.62%	0.0%	1.03%	0.0%	0.17%	0.62%	0.44%	0.42%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%	0.55%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	1.12%	2.29%	1.21%	0.52%	0.46%	0.0%	0.0%	0.78%	0.73%	0.47%	0.49%	0.0%	0.4%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	91	1	3	3	0	7	1	6	3	1	2	3	1	6	2	0	1	1	6	2	2	3	1	1	0	2	0	1	0	0	1	0	1	1	1	1	0	0	2	3	1	0	1	0	1	0	2	0	0	0	0	3	0	1	2	0	0	0	1	0	4	1	0	1	1	0	1	1	0	1					
		0.33%	0.11%	0.59%	0.39%	0.0%	0.76%	0.15%	0.50%	0.56%	0.11%	0.26%	0.38%	0.22%	0.87%	0.71%	0.0%	0.47%	0.23%	1.02%	0.27%	0.33%	0.41%	0.10%	0.12%	0.0%	0.29%	0.0%	1.02%	0.0%	0.0%	0.51%	0.0%	0.17%	0.62%	0.44%	0.42%	0.0%	0.0%	0.35%	0.43%	0.36%	0.0%	0.44%	0.0%	0.27%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	2.06%	0.0%	0.34%	0.43%	0.0%	0.0%	0.0%	0.52%	0.0%	2.24%	0.66%	0.0%	0.73%	0.23%	0.0%	1.17%	0.4%	0.0%	0.69%					
24	"7. ""Новый курс - Автомобильная Россия"""	177	4	5	10	7	10	8	9	6	4	8	9	6	4	1	1	1	3	6	9	1	3	6	2	3	1	0	0	1	0	0	1	2	1	1	2	0	0	4	5	0	0	1	1	4	1	3	0	0	1	3	0	0	2	2	1	3	0	0	0	1	1	1	0	3	1	0	3	1	0					
		0.65%	0.45%	0.98%	1.32%	1.17%	1.09%	1.22%	0.75%	1.12%	0.45%	1.05%	1.16%	1.34%	0.58%	0.35%	0.34%	0.47%	0.69%	1.02%	1.22%	0.16%	0.41%	0.63%	0.24%	0.60%	0.14%	0.0%	0.0%	0.62%	0.0%	0.0%	0.81%	0.35%	0.62%	0.44%	0.84%	0.0%	0.0%	0.71%	0.72%	0.0%	0.0%	0.44%	1.28%	1.11%	0.99%	0.39%	0.0%	0.0%	0.51%	0.60%	0.0%	0.0%	0.68%	0.43%	0.18%	1.37%	0.0%	0.0%	0.0%	0.56%	0.66%	0.26%	0.0%	0.71%	0.49%	0.0%	1.2%	1.85%	0.0%					
25	"8. ""Народно-республиканская партия России"""	37	2	0	1	0	1	0	2	0	0	0	0	0	1	0	2	1	0	1	3	1	4	0	1	1	2	1	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	1	0	1					
		0.13%	0.22%	0.0%	0.13%	0.0%	0.10%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.68%	0.47%	0.0%	0.17%	0.40%	0.16%	0.55%	0.0%	0.12%	0.20%	0.29%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.71%	0.17%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.71%	0.0%	0.0%	0.4%	0.0%	0.69%					
26	"9. ""Российская экологическая партия ""Зеленые"""	76	6	1	2	1	2	7	2	2	1	3	2	0	1	1	1	0	0	0	0	2	3	3	5	5	3	0	0	0	0	0	1	2	0	0	0	0	0	3	1	1	0	0	1	0	0	3	0	1	0	0	0	0	1	1	1	0	2	0	0	2	0	0	0	0	0	0	1	1	1					
		0.28%	0.68%	0.19%	0.26%	0.16%	0.21%	1.07%	0.16%	0.37%	0.11%	0.39%	0.25%	0.0%	0.14%	0.35%	0.34%	0.0%	0.0%	0.0%	0.0%	0.33%	0.41%	0.31%	0.61%	1.00%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.14%	0.36%	0.0%	0.0%	1.28%	0.0%	0.0%	0.39%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.34%	0.21%	0.18%	0.0%	0.81%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.4%	1.85%	0.69%					
27	"10. ""Аграрная партия России"""	1469	43	24	45	34	30	23	60	20	28	31	32	10	21	6	6	6	24	20	29	20	19	38	17	25	93	7	8	8	15	11	8	25	3	5	27	13	7	40	38	22	8	20	3	47	11	35	4	17	9	60	3	2	22	69	15	14	10	14	15	15	10	29	9	24	12	11	22	11	7					
		5.44%	4.87%	4.72%	5.98%	5.72%	3.29%	3.51%	5.03%	3.75%	3.20%	4.08%	4.15%	2.23%	3.07%	2.15%	2.05%	2.85%	5.59%	3.43%	3.94%	3.39%	2.63%	4.04%	2.10%	5.01%	13.92%	4.96%	8.16%	5.03%	16.66%	5.67%	6.55%	4.49%	1.88%	2.23%	11.44%	7.55%	5.03%	7.13%	5.54%	8.11%	17.02%	8.92%	3.84%	13.12%	10.89%	4.62%	3.25%	16.83%	4.63%	12.19%	2.06%	2.29%	7.53%	14.83%	2.80%	6.42%	4.06%	7.29%	6.94%	8.42%	6.62%	7.61%	6.61%	5.68%	5.97%	12.94%	8.8%	20.37%	4.86%					
28	"11. ""Истинные патриоты России"""	23	0	0	2	0	0	0	1	1	2	0	0	0	1	0	3	1	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.08%	0.18%	0.22%	0.0%	0.0%	0.0%	0.14%	0.0%	1.02%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.20%	0.14%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	330	16	8	15	5	11	9	21	9	12	9	9	7	9	6	1	4	3	8	3	6	8	6	8	11	10	3	1	1	0	2	5	11	2	1	4	0	2	6	7	0	0	2	1	4	3	8	1	1	4	5	2	0	3	8	5	2	4	2	2	0	0	5	2	4	2	0	1	0	0					
		1.22%	1.81%	1.57%	1.99%	0.84%	1.20%	1.37%	1.76%	1.68%	1.37%	1.18%	1.16%	1.56%	1.31%	2.15%	0.34%	1.90%	0.69%	1.37%	0.40%	1.01%	1.10%	0.63%	0.99%	2.20%	1.49%	2.12%	1.02%	0.62%	0.0%	1.03%	4.09%	1.97%	1.25%	0.44%	1.69%	0.0%	1.43%	1.06%	1.02%	0.0%	0.0%	0.89%	1.28%	1.11%	2.97%	1.05%	0.81%	0.99%	2.06%	1.01%	1.37%	0.0%	1.02%	1.72%	0.93%	0.91%	1.62%	1.04%	0.92%	0.0%	0.0%	1.31%	1.47%	0.94%	0.99%	0.0%	0.4%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	92	3	1	2	2	4	0	3	2	3	4	4	4	1	3	3	1	1	2	0	2	8	1	0	2	2	0	0	0	0	0	1	5	0	1	2	0	0	2	2	0	0	0	0	4	0	3	0	0	0	0	0	0	0	2	0	1	2	0	0	1	1	1	0	4	1	0	0	1	0					
		0.34%	0.34%	0.19%	0.26%	0.33%	0.43%	0.0%	0.25%	0.37%	0.34%	0.52%	0.51%	0.89%	0.14%	1.07%	1.02%	0.47%	0.23%	0.34%	0.0%	0.33%	1.10%	0.10%	0.0%	0.40%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.89%	0.0%	0.44%	0.84%	0.0%	0.0%	0.35%	0.29%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.45%	0.81%	0.0%	0.0%	0.56%	0.66%	0.26%	0.0%	0.94%	0.49%	0.0%	0.0%	1.85%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	76	0	1	2	0	2	0	6	2	1	1	3	2	4	0	5	0	2	0	3	0	3	0	3	1	1	0	1	0	0	0	1	0	0	0	0	0	1	2	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	2	2	1	4	0	4	1	1	1	2	2	1	1	1	0	0					
		0.28%	0.0%	0.19%	0.26%	0.0%	0.21%	0.0%	0.50%	0.37%	0.11%	0.13%	0.38%	0.44%	0.58%	0.0%	1.71%	0.0%	0.46%	0.0%	0.40%	0.0%	0.41%	0.0%	0.37%	0.20%	0.14%	0.0%	1.02%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.35%	0.14%	0.36%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.51%	0.20%	0.0%	0.0%	0.34%	0.43%	0.37%	0.45%	1.62%	0.0%	1.85%	0.56%	0.66%	0.26%	1.47%	0.47%	0.49%	1.17%	0.4%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	41	0	0	2	2	1	2	3	2	0	1	2	1	2	0	4	1	0	2	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	0	0					
		0.15%	0.0%	0.0%	0.26%	0.33%	0.10%	0.30%	0.25%	0.37%	0.0%	0.13%	0.25%	0.22%	0.29%	0.0%	1.36%	0.47%	0.0%	0.34%	0.0%	0.0%	0.13%	0.10%	0.0%	0.20%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.42%	0.58%	0.0%	0.17%	0.14%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	1.49%	0.0%	0.4%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2852	138	56	82	85	116	69	161	55	96	72	110	55	86	32	19	22	60	67	123	109	97	106	132	36	27	3	1	10	7	15	5	43	3	12	47	33	12	81	93	22	7	24	1	36	3	28	5	4	16	38	7	2	27	22	22	34	16	19	28	9	7	18	7	20	8	10	13	4	19					
		10.56%	15.64%	11.02%	10.90%	14.30%	12.73%	10.55%	13.51%	10.31%	10.98%	9.48%	14.26%	12.30%	12.57%	11.51%	6.50%	10.47%	13.98%	11.49%	16.73%	18.50%	13.45%	11.28%	16.35%	7.21%	4.04%	2.12%	1.02%	6.28%	7.77%	7.73%	4.09%	7.73%	1.88%	5.35%	19.91%	19.18%	8.63%	14.43%	13.57%	8.11%	14.89%	10.71%	1.28%	10.05%	2.97%	3.69%	4.06%	3.96%	8.24%	7.72%	4.82%	2.29%	9.24%	4.73%	4.11%	15.59%	6.50%	9.89%	12.96%	5.05%	4.63%	4.72%	5.14%	4.73%	3.98%	11.76%	5.2%	7.40%	13.19%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	83	1	1	1	0	0	2	3	3	1	1	1	1	5	0	1	1	3	5	3	0	4	4	2	2	2	0	1	1	1	1	0	6	1	1	1	2	0	1	2	1	0	1	0	0	0	2	0	0	1	4	0	0	0	1	2	0	0	1	0	0	3	0	0	2	0	0	0	0	0					
		0.30%	0.11%	0.19%	0.13%	0.0%	0.0%	0.30%	0.25%	0.56%	0.11%	0.13%	0.12%	0.22%	0.73%	0.0%	0.34%	0.47%	0.69%	0.85%	0.40%	0.0%	0.55%	0.42%	0.24%	0.40%	0.29%	0.0%	1.02%	0.62%	1.11%	0.51%	0.0%	1.07%	0.62%	0.44%	0.42%	1.16%	0.0%	0.17%	0.29%	0.36%	0.0%	0.44%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.51%	0.81%	0.0%	0.0%	0.0%	0.21%	0.37%	0.0%	0.0%	0.52%	0.0%	0.0%	1.98%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3345	95	60	98	64	116	70	151	73	110	86	93	44	96	46	7	29	57	85	94	83	111	129	77	68	60	10	10	22	17	19	21	86	16	44	8	17	22	66	105	31	9	18	5	25	14	110	13	10	25	50	14	13	24	42	88	25	36	29	16	24	23	56	16	60	22	8	36	7	31					
		12.39%	10.77%	11.81%	13.03%	10.77%	12.73%	10.70%	12.67%	13.69%	12.58%	11.33%	12.06%	9.84%	14.03%	16.54%	2.39%	13.80%	13.28%	14.57%	12.78%	14.09%	15.39%	13.73%	9.54%	13.62%	8.98%	7.09%	10.20%	13.83%	18.88%	9.79%	17.21%	15.46%	10.06%	19.64%	3.38%	9.88%	15.82%	11.76%	15.32%	11.43%	19.14%	8.03%	6.41%	6.98%	13.86%	14.53%	10.56%	9.90%	12.88%	10.16%	9.65%	14.94%	8.21%	9.03%	16.47%	11.46%	14.63%	15.10%	7.40%	13.48%	15.23%	14.69%	11.76%	14.21%	10.94%	9.41%	14.4%	12.96%	21.52%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	740	24	11	19	19	20	17	28	20	27	21	22	11	15	10	6	6	10	6	15	19	24	13	35	8	19	8	12	6	3	5	6	25	7	13	3	5	4	16	10	7	0	7	5	20	2	23	3	7	11	13	8	1	9	8	15	2	3	4	5	5	6	7	3	7	4	2	4	1	0					
		2.74%	2.72%	2.16%	2.52%	3.19%	2.19%	2.59%	2.35%	3.75%	3.08%	2.76%	2.85%	2.46%	2.19%	3.59%	2.05%	2.85%	2.33%	1.02%	2.04%	3.22%	3.32%	1.38%	4.33%	1.60%	2.84%	5.67%	12.24%	3.77%	3.33%	2.57%	4.91%	4.49%	4.40%	5.80%	1.27%	2.90%	2.87%	2.85%	1.45%	2.58%	0.0%	3.12%	6.41%	5.58%	1.98%	3.03%	2.43%	6.93%	5.67%	2.64%	5.51%	1.14%	3.08%	1.72%	2.80%	0.91%	1.21%	2.08%	2.31%	2.80%	3.97%	1.83%	2.20%	1.65%	1.99%	2.35%	1.6%	1.85%	0.0%					
