Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Янаульская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	349	12	15	10	5	10	5	12	5	13	5	10	10	10	12	10	10	5	10	10	10	5	5	5	5	5	5	5	7	5	5	5	5	5	5	10	5	5	5	6	5	5	10	5	5	5	5	10	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	258	12	13	9	5	3	5	11	5	13	1	6	6	2	12	10	10	0	6	8	2	5	0	0	1	5	3	5	7	5	0	1	5	3	5	8	4	1	5	6	5	2	10	5	1	5	5	10	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	121	4	1	3	3	0	7	3	1	4	2	3	3	3	5	0	5	2	1	1	3	1	3	5	3	4	3	0	2	2	3	2	4	2	3	2	2	1	1	1	0	4	0	4	1	1	0	7	6									
14	Число погашенных неиспользованных открепительных удостоверений	91	0	2	1	0	7	0	1	0	0	4	4	4	8	0	0	0	5	4	2	8	0	5	5	4	0	2	0	0	0	5	4	0	2	0	2	1	4	0	0	0	3	0	0	4	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	180	13	12	8	1	6	4	7	1	6	1	4	5	7	4	11	12	3	6	6	4	3	3	0	0	2	1	0	2	0	4	2	0	1	2	6	3	4	2	3	5	6	2	2	0	2	2	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	126	2	4	1	1	2	1	3	1	3	0	13	10	7	2	2	2	1	3	2	3	0	2	1	1	2	11	1	0	1	1	8	0	4	1	1	4	1	1	3	7	1	1	1	3	1	0	0	6									
		0.43%	0.15%	0.31%	0.10%	0.30%	0.17%	0.19%	0.26%	0.22%	0.25%	0.00%	2.56%	1.19%	0.94%	0.20%	0.22%	0.19%	0.23%	0.26%	0.17%	0.25%	0.00%	0.34%	0.26%	0.43%	0.39%	2.71%	0.34%	0.00%	0.40%	0.23%	3.20%	0.00%	0.99%	0.22%	0.21%	0.88%	0.21%	0.42%	0.53%	3.02%	0.22%	0.34%	0.34%	1.54%	0.17%	0.00%	0.00%	1.28%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	315	3	2	1	8	3	1	2	1	6	0	12	14	36	1	2	0	1	3	3	42	0	1	1	4	3	21	1	4	1	3	26	15	25	1	1	7	1	1	8	14	1	1	1	7	2	4	0	20									
		1.08%	0.23%	0.16%	0.10%	2.43%	0.25%	0.19%	0.17%	0.22%	0.50%	0.00%	2.37%	1.66%	4.85%	0.10%	0.22%	0.00%	0.23%	0.26%	0.25%	3.49%	0.00%	0.17%	0.26%	1.72%	0.59%	5.17%	0.34%	1.60%	0.40%	0.68%	10.40%	7.61%	6.17%	0.22%	0.21%	1.55%	0.21%	0.42%	1.40%	6.03%	0.22%	0.34%	0.34%	3.59%	0.35%	0.80%	0.00%	4.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	140	1	3	1	8	1	1	3	1	3	0	2	15	14	2	6	0	1	3	3	9	0	1	1	1	2	11	1	4	1	4	1	0	8	1	1	9	1	1	3	1	1	1	1	0	1	3	0	4									
		0.48%	0.08%	0.23%	0.10%	2.43%	0.08%	0.19%	0.26%	0.22%	0.25%	0.00%	0.39%	1.78%	1.88%	0.20%	0.67%	0.00%	0.23%	0.26%	0.25%	0.75%	0.00%	0.17%	0.26%	0.43%	0.39%	2.71%	0.34%	1.60%	0.40%	0.91%	0.40%	0.00%	1.98%	0.22%	0.21%	1.99%	0.21%	0.42%	0.53%	0.43%	0.22%	0.34%	0.34%	0.00%	0.17%	0.60%	0.00%	0.85%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19091	826	682	706	203	796	307	874	353	836	335	398	636	454	568	499	606	329	676	749	874	273	410	211	140	409	241	190	196	163	276	170	132	267	234	298	307	280	135	347	143	322	176	180	134	358	428	634	330									
		65.50%	63.54%	53.28%	70.88%	61.70%	67.00%	58.70%	74.32%	79.33%	69.26%	75.11%	78.50%	75.53%	61.10%	56.80%	55.38%	57.93%	74.60%	58.13%	63.10%	72.59%	69.64%	69.85%	53.83%	60.34%	80.04%	59.36%	65.52%	78.40%	65.20%	62.59%	68.00%	67.01%	65.93%	52.58%	63.81%	67.92%	59.45%	56.49%	60.88%	61.64%	69.40%	60.69%	60.40%	68.72%	62.26%	85.43%	66.53%	70.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	88	4	2	2	1	2	1	3	1	2	1	3	0	9	1	4	4	1	3	3	13	0	2	1	1	0	1	1	1	1	0	0	1	0	1	1	0	1	1	4	2	1	1	1	3	1	0	0	2									
		0.30%	0.31%	0.16%	0.20%	0.30%	0.17%	0.19%	0.26%	0.22%	0.17%	0.22%	0.59%	0.00%	1.21%	0.10%	0.44%	0.38%	0.23%	0.26%	0.25%	1.08%	0.00%	0.34%	0.26%	0.43%	0.00%	0.25%	0.34%	0.40%	0.40%	0.00%	0.00%	0.51%	0.00%	0.22%	0.21%	0.00%	0.21%	0.42%	0.70%	0.86%	0.22%	0.34%	0.34%	1.54%	0.17%	0.00%	0.00%	0.43%									
24	"6. Политическая партия ""Гражданская Платформа"""	122	2	3	3	2	3	1	1	1	2	3	2	0	7	1	2	3	1	1	2	11	0	1	1	1	0	1	1	3	1	0	1	4	5	1	1	1	1	1	3	0	1	1	1	2	2	2	27	8									
		0.42%	0.15%	0.23%	0.30%	0.61%	0.25%	0.19%	0.09%	0.22%	0.17%	0.67%	0.39%	0.00%	0.94%	0.10%	0.22%	0.29%	0.23%	0.09%	0.17%	0.91%	0.00%	0.17%	0.26%	0.43%	0.00%	0.25%	0.34%	1.20%	0.40%	0.00%	0.40%	2.03%	1.23%	0.22%	0.21%	0.22%	0.21%	0.42%	0.53%	0.00%	0.22%	0.34%	0.34%	1.03%	0.35%	0.40%	2.83%	1.71%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	790	17	19	13	45	2	7	12	2	5	5	14	32	79	2	6	32	1	23	23	92	0	4	7	2	5	43	5	4	1	12	12	29	29	1	5	47	7	2	18	34	7	3	4	8	14	5	21	30									
		2.71%	1.31%	1.48%	1.31%	13.68%	0.17%	1.34%	1.02%	0.45%	0.41%	1.12%	2.76%	3.80%	10.63%	0.20%	0.67%	3.06%	0.23%	1.98%	1.94%	7.64%	0.00%	0.68%	1.79%	0.86%	0.98%	10.59%	1.72%	1.60%	0.40%	2.72%	4.80%	14.72%	7.16%	0.22%	1.07%	10.40%	1.49%	0.84%	3.16%	14.66%	1.51%	1.03%	1.34%	4.10%	2.43%	0.99%	2.20%	6.40%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	44	4	3	1	1	1	1	1	0	2	0	0	0	3	1	3	0	1	3	1	0	0	1	1	1	0	1	1	3	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	0	0									
		0.15%	0.31%	0.23%	0.10%	0.30%	0.08%	0.19%	0.09%	0.00%	0.17%	0.00%	0.00%	0.00%	0.40%	0.10%	0.33%	0.00%	0.23%	0.26%	0.08%	0.00%	0.00%	0.17%	0.26%	0.43%	0.00%	0.25%	0.34%	1.20%	0.40%	0.00%	0.00%	0.00%	0.00%	0.22%	0.21%	0.00%	0.21%	0.42%	0.18%	0.00%	0.22%	0.34%	0.34%	0.00%	0.17%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	51	2	1	1	2	2	1	1	0	2	0	3	0	3	1	4	2	1	1	3	2	0	1	1	1	0	3	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	0	2									
		0.17%	0.15%	0.08%	0.10%	0.61%	0.17%	0.19%	0.09%	0.00%	0.17%	0.00%	0.59%	0.00%	0.40%	0.10%	0.44%	0.19%	0.23%	0.09%	0.25%	0.17%	0.00%	0.17%	0.26%	0.43%	0.00%	0.74%	0.34%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.22%	0.21%	0.00%	0.21%	0.42%	0.18%	0.00%	0.22%	0.34%	0.34%	0.00%	0.17%	0.00%	0.00%	0.43%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	59	2	3	2	1	3	1	2	1	2	0	12	0	0	1	1	0	1	3	3	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	4	1	1	0	0	1	1	1	1	1	0	0	2									
		0.20%	0.15%	0.23%	0.20%	0.30%	0.25%	0.19%	0.17%	0.22%	0.17%	0.00%	2.37%	0.00%	0.00%	0.10%	0.11%	0.00%	0.23%	0.26%	0.25%	0.00%	0.00%	0.17%	0.26%	0.43%	0.00%	0.00%	0.34%	0.00%	0.40%	0.00%	0.00%	0.00%	0.25%	0.22%	0.21%	0.88%	0.21%	0.42%	0.00%	0.00%	0.22%	0.34%	0.34%	0.51%	0.17%	0.00%	0.00%	0.43%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	56	2	1	3	0	2	1	2	1	3	0	2	0	6	1	1	0	1	1	2	0	0	1	1	2	0	1	1	1	1	2	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	5									
		0.19%	0.15%	0.08%	0.30%	0.00%	0.17%	0.19%	0.17%	0.22%	0.25%	0.00%	0.39%	0.00%	0.81%	0.10%	0.11%	0.00%	0.23%	0.09%	0.17%	0.00%	0.00%	0.17%	0.26%	0.86%	0.00%	0.25%	0.34%	0.40%	0.40%	0.45%	0.00%	0.00%	0.25%	0.22%	0.21%	0.00%	0.21%	0.42%	0.18%	0.00%	0.22%	0.34%	0.34%	0.51%	0.17%	0.20%	0.00%	1.07%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6236	337	369	169	35	190	131	176	83	204	101	46	119	83	416	360	387	66	419	154	139	88	119	86	32	85	53	53	34	36	140	30	10	47	129	140	49	113	63	174	22	106	75	83	32	101	46	253	53									
		21.39%	25.92%	28.83%	16.97%	10.64%	15.99%	25.05%	14.97%	18.65%	16.90%	22.65%	9.07%	14.13%	11.17%	41.60%	39.96%	36.99%	14.97%	36.03%	12.97%	11.54%	22.45%	20.27%	21.94%	13.79%	16.63%	13.05%	18.28%	13.60%	14.40%	31.75%	12.00%	5.08%	11.60%	28.99%	29.98%	10.84%	23.99%	26.36%	30.53%	9.48%	22.84%	25.86%	27.85%	16.41%	17.57%	9.18%	26.55%	11.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	68	3	10	3	3	3	1	2	0	2	0	0	0	1	1	2	2	1	1	2	7	0	1	1	1	2	1	1	0	1	0	2	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	2									
		0.23%	0.23%	0.78%	0.30%	0.91%	0.25%	0.19%	0.17%	0.00%	0.17%	0.00%	0.00%	0.00%	0.13%	0.10%	0.22%	0.19%	0.23%	0.09%	0.17%	0.58%	0.00%	0.17%	0.26%	0.43%	0.39%	0.25%	0.34%	0.00%	0.40%	0.00%	0.80%	0.51%	0.25%	0.22%	0.21%	0.00%	0.21%	0.42%	0.18%	0.00%	0.22%	0.34%	0.34%	0.00%	0.17%	0.20%	0.00%	0.43%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1886	91	178	90	12	178	68	94	0	132	1	0	16	18	2	9	6	35	23	237	11	31	42	78	44	3	5	32	0	40	3	0	1	9	71	14	13	61	29	6	9	19	26	21	4	90	11	18	5									
		6.47%	7.00%	13.91%	9.04%	3.65%	14.98%	13.00%	7.99%	0.00%	10.94%	0.22%	0.00%	1.90%	2.42%	0.20%	0.99%	0.57%	7.94%	1.98%	19.97%	0.91%	7.91%	7.16%	19.90%	18.97%	0.59%	1.23%	11.03%	0.00%	16.00%	0.68%	0.00%	0.51%	2.22%	15.96%	2.99%	2.88%	12.95%	12.13%	1.05%	3.88%	4.09%	8.97%	7.05%	2.05%	15.65%	2.20%	1.89%	1.07%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
