Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Беловская 																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №245	УИК №246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	2	1	1	0	0	0	0	0	1	0	2	0	1	0	1	0	0	1	0	0	0	0	1	0	2	0	1	0	3	1					
		0.16%	0.13%	0.45%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.94%	0.0%	0.34%	0.0%	0.16%	0.0%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.90%	0.0%	0.34%	0.0%	0.45%	0.33%					
27	"10. ""Аграрная партия России"""	1038	116	9	58	19	41	27	1	56	85	15	17	31	31	22	60	18	19	15	34	17	11	0	55	52	18	16	26	82	70	17					
		9.33%	7.95%	4.07%	10.41%	15.83%	9.64%	14.36%	1.16%	12.49%	9.38%	2.77%	8.01%	7.94%	10.83%	11.39%	9.75%	16.07%	5.57%	14.85%	27.2%	8.25%	4.34%	0.0%	11.67%	10.29%	8.10%	8.74%	8.84%	14.36%	10.67%	5.64%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.99%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	156	11	7	6	3	7	2	2	8	8	5	14	4	9	6	12	2	7	0	0	5	2	3	4	5	2	1	4	4	5	8					
		1.40%	0.75%	3.16%	1.07%	2.5%	1.64%	1.06%	2.32%	1.78%	0.88%	0.92%	6.60%	1.02%	3.14%	3.10%	1.95%	1.78%	2.05%	0.0%	0.0%	2.42%	0.79%	2.30%	0.84%	0.99%	0.90%	0.54%	1.36%	0.70%	0.76%	2.65%					
30	"13. ""Демократическая партия России"""	57	3	4	5	0	0	0	0	2	2	11	1	3	1	1	3	0	2	0	0	1	1	1	2	4	0	0	2	3	3	2					
		0.51%	0.20%	1.80%	0.89%	0.0%	0.0%	0.0%	0.0%	0.44%	0.22%	2.03%	0.47%	0.76%	0.34%	0.51%	0.48%	0.0%	0.58%	0.0%	0.0%	0.48%	0.39%	0.76%	0.42%	0.79%	0.0%	0.0%	0.68%	0.52%	0.45%	0.66%					
31	"14. ""Великая Россия - Евразийский Союз"""	48	2	0	4	0	1	0	0	2	2	5	3	0	0	2	1	0	2	1	0	2	1	1	2	4	2	3	3	2	2	1					
		0.43%	0.13%	0.0%	0.71%	0.0%	0.23%	0.0%	0.0%	0.44%	0.22%	0.92%	1.41%	0.0%	0.0%	1.03%	0.16%	0.0%	0.58%	0.99%	0.0%	0.97%	0.39%	0.76%	0.42%	0.79%	0.90%	1.63%	1.02%	0.35%	0.30%	0.33%					
32	"15. ""Партия СЛОН"""	7	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1					
		0.06%	0.13%	0.0%	0.0%	0.0%	0.23%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.33%					
33	"16. ""Родина"" (народно-патриотический союз)"""	377	73	11	8	1	17	4	5	6	36	15	3	11	11	8	31	0	5	0	4	5	2	1	32	21	5	6	7	22	24	3					
		3.39%	5.00%	4.97%	1.43%	0.83%	4.0%	2.12%	5.81%	1.33%	3.97%	2.77%	1.41%	2.82%	3.84%	4.14%	5.04%	0.0%	1.46%	0.0%	3.2%	2.42%	0.79%	0.76%	6.79%	4.15%	2.25%	3.27%	2.38%	3.85%	3.65%	0.99%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	49	0	1	5	2	0	1	0	2	3	3	2	1	2	0	4	0	2	0	0	0	1	0	1	2	2	1	4	7	1	2					
		0.44%	0.0%	0.45%	0.89%	1.66%	0.0%	0.53%	0.0%	0.44%	0.33%	0.55%	0.94%	0.25%	0.69%	0.0%	0.65%	0.0%	0.58%	0.0%	0.0%	0.0%	0.39%	0.0%	0.21%	0.39%	0.90%	0.54%	1.36%	1.22%	0.15%	0.66%					
35	"18. ""ЛДПР"""	1465	248	34	69	13	37	12	15	62	169	74	30	39	46	16	74	10	36	6	3	39	47	3	65	42	36	26	38	69	79	28					
		13.17%	16.99%	15.38%	12.38%	10.83%	8.70%	6.38%	17.44%	13.83%	18.65%	13.70%	14.15%	10.0%	16.08%	8.29%	12.03%	8.92%	10.55%	5.94%	2.4%	18.93%	18.57%	2.30%	13.80%	8.31%	16.21%	14.20%	12.92%	12.08%	12.04%	9.30%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	209	29	4	16	1	6	2	0	14	17	7	3	9	2	3	19	1	10	2	4	3	1	0	7	6	1	1	5	14	19	3					
		1.88%	1.98%	1.80%	2.87%	0.83%	1.41%	1.06%	0.0%	3.12%	1.87%	1.29%	1.41%	2.30%	0.69%	1.55%	3.08%	0.89%	2.93%	1.98%	3.2%	1.45%	0.39%	0.0%	1.48%	1.18%	0.45%	0.54%	1.70%	2.45%	2.89%	0.99%					
37	"20. ""Политическая партия ""Единая Россия"""	4062	493	73	193	40	165	56	56	168	303	236	84	136	69	78	205	45	150	26	37	82	132	102	167	165	93	74	107	165	196	166					
		36.53%	33.79%	33.03%	34.64%	33.33%	38.82%	29.78%	65.11%	37.49%	33.44%	43.70%	39.62%	34.87%	24.12%	40.41%	33.33%	40.17%	43.98%	25.74%	29.6%	39.80%	52.17%	78.46%	35.45%	32.67%	41.89%	40.43%	36.39%	28.89%	29.87%	55.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	69	6	2	3	0	0	3	0	5	7	8	1	2	2	1	2	0	5	0	0	0	1	1	1	3	1	0	4	2	3	6					
		0.62%	0.41%	0.90%	0.53%	0.0%	0.0%	1.59%	0.0%	1.11%	0.77%	1.48%	0.47%	0.51%	0.69%	0.51%	0.32%	0.0%	1.46%	0.0%	0.0%	0.0%	0.39%	0.76%	0.21%	0.59%	0.45%	0.0%	1.36%	0.35%	0.45%	1.99%					
39	"22. ""Развитие предпринимательства"""	22	8	1	1	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	1	0	2	0	1	0	0	0	2	0	0	1					
		0.19%	0.54%	0.45%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.18%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.29%	0.0%	0.8%	0.0%	0.79%	0.0%	0.21%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.33%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1796	313	43	97	18	72	37	3	46	149	56	17	89	46	21	90	15	62	28	23	20	23	10	42	122	36	33	41	100	120	24					
		16.15%	21.45%	19.45%	17.41%	15.0%	16.94%	19.68%	3.48%	10.26%	16.44%	10.37%	8.01%	22.82%	16.08%	10.88%	14.63%	13.39%	18.18%	27.72%	18.4%	9.70%	9.09%	7.69%	8.91%	24.15%	16.21%	18.03%	13.94%	17.51%	18.29%	7.97%					
																																					
41	Против всех	285	36	8	15	6	8	7	0	6	25	9	4	14	10	8	21	1	8	5	5	6	7	1	16	14	2	2	10	14	13	4					
		2.56%	2.46%	3.61%	2.69%	5.0%	1.88%	3.72%	0.0%	1.33%	2.75%	1.66%	1.88%	3.58%	3.49%	4.14%	3.41%	0.89%	2.34%	4.95%	4.0%	2.91%	2.76%	0.76%	3.39%	2.77%	0.90%	1.09%	3.40%	2.45%	1.98%	1.32%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
