Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																								
Дата голосования: 18.09.2016																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Шебекинская																																																																																								
																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																								
																																																																																								
		Сумма	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	476	15	12	11	5	17	7	13	7	6	10	9	10	12	22	12	21	10	21	8	6	2	5	9	0	5	1	1	2	8	1	0	4	1	0	1	3	2	0	3	16	2	6	1	1	5	5	6	6	8	11	6	4	6	0	3	4	3	12	13	11	2	4	7	0	4	3	5	11	7	5	3	1	3	3	3	4	0									
		1.12%	2.58%	1.21%	1.06%	0.62%	2.03%	0.96%	1.39%	0.70%	0.67%	1.13%	0.85%	1.14%	1.29%	2.84%	1.14%	2.18%	1.12%	2.26%	0.83%	1.61%	0.48%	0.56%	0.97%	0.00%	1.49%	1.05%	0.39%	1.05%	0.90%	0.42%	0.00%	1.08%	0.27%	0.00%	0.64%	0.99%	0.60%	0.00%	0.76%	1.40%	0.51%	0.90%	0.29%	0.23%	0.94%	0.90%	1.01%	0.72%	1.91%	1.55%	1.44%	1.08%	2.33%	0.00%	0.58%	1.42%	0.82%	1.35%	1.71%	1.35%	1.42%	1.75%	0.97%	0.00%	2.45%	0.45%	0.74%	1.76%	1.42%	1.29%	0.56%	0.25%	0.80%	0.87%	0.86%	1.43%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1117	21	34	26	24	14	18	28	24	32	23	41	32	26	19	22	16	18	32	19	12	11	22	19	7	7	1	2	3	19	8	1	3	4	10	4	15	10	2	9	31	5	30	13	14	19	14	20	22	12	20	9	11	3	5	16	10	9	24	27	20	5	5	11	0	2	21	14	14	12	7	11	2	10	7	12	6	6									
		2.62%	3.61%	3.42%	2.51%	2.99%	1.67%	2.48%	2.99%	2.40%	3.58%	2.59%	3.86%	3.65%	2.79%	2.45%	2.09%	1.66%	2.02%	3.45%	1.98%	3.22%	2.63%	2.46%	2.04%	3.43%	2.09%	1.05%	0.78%	1.57%	2.14%	3.38%	0.72%	0.81%	1.09%	4.24%	2.56%	4.98%	3.01%	0.91%	2.27%	2.71%	1.26%	4.51%	3.81%	3.27%	3.57%	2.53%	3.38%	2.63%	2.87%	2.82%	2.15%	2.96%	1.16%	2.46%	3.10%	3.55%	2.45%	2.70%	3.55%	2.46%	3.55%	2.19%	1.52%	0.00%	1.23%	3.18%	2.08%	2.24%	2.43%	1.80%	2.04%	0.50%	2.67%	2.03%	3.44%	2.14%	3.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	775	18	25	18	21	7	19	17	21	24	22	16	15	18	18	16	20	13	15	15	9	5	17	17	3	0	0	5	1	21	0	2	7	0	2	2	9	5	4	4	21	3	3	6	1	7	12	18	7	3	13	6	6	2	2	6	5	6	39	26	16	3	4	10	3	0	15	10	5	10	4	14	6	7	8	8	5	4									
		1.82%	3.09%	2.52%	1.74%	2.62%	0.84%	2.61%	1.82%	2.10%	2.68%	2.48%	1.51%	1.71%	1.93%	2.32%	1.52%	2.07%	1.46%	1.62%	1.56%	2.41%	1.19%	1.90%	1.82%	1.47%	0.00%	0.00%	1.95%	0.52%	2.36%	0.00%	1.44%	1.90%	0.00%	0.85%	1.28%	2.99%	1.51%	1.82%	1.01%	1.84%	0.76%	0.45%	1.76%	0.23%	1.32%	2.17%	3.04%	0.84%	0.72%	1.83%	1.44%	1.61%	0.78%	0.99%	1.16%	1.77%	1.63%	4.38%	3.42%	1.97%	2.13%	1.75%	1.38%	2.05%	0.00%	2.27%	1.49%	0.80%	2.02%	1.03%	2.59%	1.51%	1.87%	2.33%	2.29%	1.79%	2.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19158	216	400	389	304	290	296	324	400	306	324	346	319	289	360	410	374	321	399	375	132	166	353	344	152	230	71	174	122	481	127	81	215	209	124	81	145	160	127	233	532	224	298	188	261	243	226	239	430	187	354	204	221	146	129	304	163	201	330	319	323	93	107	478	101	120	316	326	289	233	184	265	230	145	161	165	176	78									
		44.88%	37.11%	40.28%	37.58%	37.91%	34.65%	40.72%	34.62%	40.04%	34.19%	36.53%	32.55%	36.37%	30.98%	46.45%	38.94%	38.76%	36.03%	42.99%	38.98%	35.39%	39.62%	39.53%	36.91%	74.51%	68.66%	74.74%	67.97%	63.87%	54.11%	53.59%	58.27%	58.27%	56.95%	52.54%	51.92%	48.17%	48.19%	57.73%	58.84%	46.58%	56.57%	44.81%	55.13%	60.98%	45.68%	40.87%	40.37%	51.50%	44.74%	49.86%	48.80%	59.41%	56.59%	63.55%	58.91%	57.80%	54.62%	37.08%	41.92%	39.78%	65.96%	46.93%	65.93%	69.18%	73.62%	47.81%	48.44%	46.31%	47.17%	47.42%	49.07%	57.79%	38.67%	46.80%	47.28%	62.86%	42.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	244	10	8	6	3	3	1	5	6	8	14	7	2	4	8	8	9	8	5	7	4	1	5	6	0	0	1	1	0	2	0	0	3	1	1	0	0	0	1	1	2	1	0	2	1	1	4	1	3	2	3	0	0	2	0	0	0	0	11	4	10	0	1	4	1	0	3	5	8	5	0	4	6	2	3	5	0	1									
		0.57%	1.72%	0.81%	0.58%	0.37%	0.36%	0.14%	0.53%	0.60%	0.89%	1.58%	0.66%	0.23%	0.43%	1.03%	0.76%	0.93%	0.90%	0.54%	0.73%	1.07%	0.24%	0.56%	0.64%	0.00%	0.00%	1.05%	0.39%	0.00%	0.22%	0.00%	0.00%	0.81%	0.27%	0.42%	0.00%	0.00%	0.00%	0.45%	0.25%	0.18%	0.25%	0.00%	0.59%	0.23%	0.19%	0.72%	0.17%	0.36%	0.48%	0.42%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	1.24%	0.53%	1.23%	0.00%	0.44%	0.55%	0.68%	0.00%	0.45%	0.74%	1.28%	1.01%	0.00%	0.74%	1.51%	0.53%	0.87%	1.43%	0.00%	0.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	86	5	1	2	2	1	1	0	0	3	4	0	2	2	2	3	1	1	3	2	0	0	1	2	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	11	0	0	2	0	0	6	0	0	1	0	2	4	1	0	1	0	0	2	0	1	0	1	0	2	1	0	0	3	0									
		0.20%	0.86%	0.10%	0.19%	0.25%	0.12%	0.14%	0.00%	0.00%	0.34%	0.45%	0.00%	0.23%	0.21%	0.26%	0.28%	0.10%	0.11%	0.32%	0.21%	0.00%	0.00%	0.11%	0.21%	0.49%	0.00%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.36%	0.34%	1.32%	0.00%	0.00%	0.48%	0.00%	0.00%	2.96%	0.00%	0.00%	0.27%	0.00%	0.26%	0.49%	0.71%	0.00%	0.14%	0.00%	0.00%	0.30%	0.00%	0.16%	0.00%	0.26%	0.00%	0.50%	0.27%	0.00%	0.00%	1.07%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7396	111	151	184	171	198	131	159	171	159	156	184	137	193	138	200	157	179	220	195	66	88	199	193	24	28	7	38	18	136	51	29	56	59	27	18	38	46	22	51	194	41	101	56	73	88	113	106	117	65	114	89	50	39	13	81	47	68	141	132	136	14	33	91	22	9	132	119	130	105	81	103	69	60	49	60	35	32									
		17.33%	19.07%	15.21%	17.78%	21.32%	23.66%	18.02%	16.99%	17.12%	17.77%	17.59%	17.31%	15.62%	20.69%	17.81%	18.99%	16.27%	20.09%	23.71%	20.27%	17.69%	21.00%	22.28%	20.71%	11.76%	8.36%	7.37%	14.84%	9.42%	15.30%	21.52%	20.86%	15.18%	16.08%	11.44%	11.54%	12.62%	13.86%	10.00%	12.88%	16.99%	10.35%	15.19%	16.42%	17.06%	16.54%	20.43%	17.91%	14.01%	15.55%	16.06%	21.29%	13.44%	15.12%	6.40%	15.70%	16.67%	18.48%	15.84%	17.35%	16.75%	9.93%	14.47%	12.55%	15.07%	5.52%	19.97%	17.68%	20.83%	21.26%	20.88%	19.07%	17.34%	16.00%	14.24%	17.19%	12.50%	17.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	163	2	4	8	7	2	1	14	5	4	5	5	3	4	4	5	4	2	3	4	5	2	1	1	0	0	0	1	2	0	0	1	1	0	0	1	0	1	1	0	4	3	3	1	2	3	1	0	3	0	6	0	0	0	0	0	0	0	3	3	3	0	1	1	0	1	4	6	0	0	1	1	4	0	3	3	0	0									
		0.38%	0.34%	0.40%	0.77%	0.87%	0.24%	0.14%	1.50%	0.50%	0.45%	0.56%	0.47%	0.34%	0.43%	0.52%	0.47%	0.41%	0.22%	0.32%	0.42%	1.34%	0.48%	0.11%	0.11%	0.00%	0.00%	0.00%	0.39%	1.05%	0.00%	0.00%	0.72%	0.27%	0.00%	0.00%	0.64%	0.00%	0.30%	0.45%	0.00%	0.35%	0.76%	0.45%	0.29%	0.47%	0.56%	0.18%	0.00%	0.36%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.39%	0.37%	0.00%	0.44%	0.14%	0.00%	0.61%	0.61%	0.89%	0.00%	0.00%	0.26%	0.19%	1.01%	0.00%	0.87%	0.86%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	212	4	8	6	4	4	1	8	3	6	5	10	4	7	8	8	7	3	5	3	6	1	4	6	0	0	1	0	0	2	1	1	1	0	0	1	2	2	0	0	1	1	0	0	2	2	0	2	4	8	1	2	1	0	0	3	1	1	6	6	13	0	0	0	0	0	3	5	5	3	1	4	0	2	1	2	0	0									
		0.50%	0.69%	0.81%	0.58%	0.50%	0.48%	0.14%	0.85%	0.30%	0.67%	0.56%	0.94%	0.46%	0.75%	1.03%	0.76%	0.73%	0.34%	0.54%	0.31%	1.61%	0.24%	0.45%	0.64%	0.00%	0.00%	1.05%	0.00%	0.00%	0.22%	0.42%	0.72%	0.27%	0.00%	0.00%	0.64%	0.66%	0.60%	0.00%	0.00%	0.09%	0.25%	0.00%	0.00%	0.47%	0.38%	0.00%	0.34%	0.48%	1.91%	0.14%	0.48%	0.27%	0.00%	0.00%	0.58%	0.35%	0.27%	0.67%	0.79%	1.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.74%	0.80%	0.61%	0.26%	0.74%	0.00%	0.53%	0.29%	0.57%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	48	1	1	2	1	1	0	0	1	1	1	1	1	2	0	1	2	1	1	1	1	1	0	2	0	0	1	1	0	1	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	2	0	0	2	0	3	1	1	0	0	0	0									
		0.11%	0.17%	0.10%	0.19%	0.12%	0.12%	0.00%	0.00%	0.10%	0.11%	0.11%	0.09%	0.11%	0.21%	0.00%	0.09%	0.21%	0.11%	0.11%	0.10%	0.27%	0.24%	0.00%	0.21%	0.00%	0.00%	1.05%	0.39%	0.00%	0.11%	0.42%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.12%	0.00%	0.14%	0.24%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.13%	0.12%	0.00%	0.00%	0.14%	0.00%	0.00%	0.30%	0.00%	0.00%	0.40%	0.00%	0.56%	0.25%	0.27%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	272	2	7	8	9	6	5	8	9	9	3	4	13	6	9	18	10	6	4	6	4	3	4	4	2	0	0	0	0	2	0	0	0	0	0	0	3	1	0	2	5	3	5	0	2	3	2	4	3	5	3	2	0	4	0	1	3	1	5	3	10	1	1	5	3	0	6	4	3	2	4	2	3	2	3	0	0	2									
		0.64%	0.34%	0.70%	0.77%	1.12%	0.72%	0.69%	0.85%	0.90%	1.01%	0.34%	0.38%	1.48%	0.64%	1.16%	1.71%	1.04%	0.67%	0.43%	0.62%	1.07%	0.72%	0.45%	0.43%	0.98%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.30%	0.00%	0.51%	0.44%	0.76%	0.75%	0.00%	0.47%	0.56%	0.36%	0.68%	0.36%	1.20%	0.42%	0.48%	0.00%	1.55%	0.00%	0.19%	1.06%	0.27%	0.56%	0.39%	1.23%	0.71%	0.44%	0.69%	2.05%	0.00%	0.91%	0.59%	0.48%	0.40%	1.03%	0.37%	0.75%	0.53%	0.87%	0.00%	0.00%	1.10%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8255	111	236	230	164	155	157	207	199	186	190	259	208	225	137	228	207	207	159	241	91	92	186	191	12	38	7	32	23	157	28	13	61	77	55	35	69	76	52	63	221	81	165	49	45	97	122	115	103	74	127	67	61	40	38	73	41	67	168	145	178	11	24	74	12	19	103	107	115	78	62	104	55	112	82	68	35	53									
		19.34%	19.07%	23.77%	22.22%	20.45%	18.52%	21.60%	22.12%	19.92%	20.78%	21.42%	24.37%	23.72%	24.12%	17.68%	21.65%	21.45%	23.23%	17.13%	25.05%	24.40%	21.96%	20.83%	20.49%	5.88%	11.34%	7.37%	12.50%	12.04%	17.66%	11.81%	9.35%	16.53%	20.98%	23.31%	22.44%	22.92%	22.89%	23.64%	15.91%	19.35%	20.45%	24.81%	14.37%	10.51%	18.23%	22.06%	19.43%	12.34%	17.70%	17.89%	16.03%	16.40%	15.50%	18.72%	14.15%	14.54%	18.21%	18.88%	19.05%	21.92%	7.80%	10.53%	10.21%	8.22%	11.66%	15.58%	15.90%	18.43%	15.79%	15.98%	19.26%	13.82%	29.87%	23.84%	19.48%	12.50%	29.12%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	132	0	0	2	2	3	2	1	4	4	2	1	9	3	1	6	1	5	1	5	1	2	2	1	0	0	0	0	0	6	1	1	1	0	1	1	1	1	1	0	2	1	0	1	2	1	2	1	2	1	1	2	2	4	0	0	1	0	3	3	1	2	1	4	0	1	4	2	4	4	3	2	2	1	0	0	0	0									
		0.31%	0.00%	0.00%	0.19%	0.25%	0.36%	0.28%	0.11%	0.40%	0.45%	0.23%	0.09%	1.03%	0.32%	0.13%	0.57%	0.10%	0.56%	0.11%	0.52%	0.27%	0.48%	0.22%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.42%	0.72%	0.27%	0.00%	0.42%	0.64%	0.33%	0.30%	0.45%	0.00%	0.18%	0.25%	0.00%	0.29%	0.47%	0.19%	0.36%	0.17%	0.24%	0.24%	0.14%	0.48%	0.54%	1.55%	0.00%	0.00%	0.35%	0.00%	0.34%	0.39%	0.12%	1.42%	0.44%	0.55%	0.00%	0.61%	0.61%	0.30%	0.64%	0.81%	0.77%	0.37%	0.50%	0.27%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3576	57	87	123	71	125	73	129	126	128	113	141	111	126	38	100	116	100	45	66	28	31	69	117	0	22	5	1	14	38	15	9	13	8	7	7	11	17	8	26	99	27	38	18	23	53	44	64	104	44	47	19	6	7	9	26	5	9	122	63	70	8	42	25	4	3	37	56	30	28	29	14	14	22	17	11	15	3									
		8.38%	9.79%	8.76%	11.88%	8.85%	14.93%	10.04%	13.78%	12.61%	14.30%	12.74%	13.26%	12.66%	13.50%	4.90%	9.50%	12.02%	11.22%	4.85%	6.86%	7.51%	7.40%	7.73%	12.55%	0.00%	6.57%	5.26%	0.39%	7.33%	4.27%	6.33%	6.47%	3.52%	2.18%	2.97%	4.49%	3.65%	5.12%	3.64%	6.57%	8.67%	6.82%	5.71%	5.28%	5.37%	9.96%	7.96%	10.81%	12.46%	10.53%	6.62%	4.55%	1.61%	2.71%	4.43%	5.04%	1.77%	2.45%	13.71%	8.28%	8.62%	5.67%	18.42%	3.45%	2.74%	1.84%	5.60%	8.32%	4.81%	5.67%	7.47%	2.59%	3.52%	5.87%	4.94%	3.15%	5.36%	1.65%									
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
