Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Буздякская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	5	5	3	5	5	4	3	10	20	15	5	2	2	1	2	5	2	2	8	4	5	5	10	5	5	5	5	5	5	5	10	5	5	20	15	8	20	10	5	5	20	5	3	5	0	0	5	0	10	6	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	248	1	5	3	0	5	4	3	10	16	12	0	0	2	0	0	5	2	2	8	4	5	5	10	0	0	0	0	5	2	2	10	0	1	20	15	8	20	10	5	5	20	2	0	0	0	0	5	0	10	3	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	1	1	0	0	0	1	1	4	4	5	0	0	1	2	0	2	0	0	0	0	0	2	2	1	0	0	0	0	0	0	2	1	0	0	1	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	82	4	0	0	5	0	0	0	0	4	3	5	2	0	1	2	0	0	0	0	0	0	0	0	5	5	5	5	0	3	3	0	5	4	0	0	0	0	0	0	0	0	3	3	5	0	0	0	0	0	3	3	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	2	0	0	1	0	1	5	3	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	149	2	1	4	0	0	6	1	16	14	13	0	2	1	1	3	1	2	0	12	2	0	3	7	2	0	0	2	3	4	2	3	0	1	6	8	0	2	0	0	0	8	7	6	0	0	0	0	0	0	0	3	1									
		0.87%	0.63%	0.37%	2.33%	0.00%	0.00%	1.34%	0.38%	1.11%	1.44%	1.40%	0.00%	3.13%	0.23%	0.37%	1.45%	0.35%	1.12%	0.00%	1.90%	0.88%	0.00%	1.32%	1.21%	0.90%	0.00%	0.00%	0.98%	0.59%	2.50%	0.56%	0.56%	0.00%	1.08%	2.86%	2.48%	0.00%	0.48%	0.00%	0.00%	0.00%	1.09%	2.22%	2.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.65%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	760	16	20	8	7	21	11	14	86	64	61	9	1	7	11	3	6	1	10	40	3	4	23	27	1	1	2	14	8	10	2	10	48	4	16	15	4	21	9	2	7	20	24	25	5	4	2	6	0	18	24	4	1									
		4.43%	5.06%	7.46%	4.65%	6.93%	3.76%	2.45%	5.36%	5.99%	6.57%	6.58%	6.52%	1.56%	1.58%	4.04%	1.45%	2.11%	0.56%	2.65%	6.33%	1.33%	2.65%	10.09%	4.68%	0.45%	1.00%	1.41%	6.83%	1.56%	6.25%	0.56%	1.88%	16.16%	4.30%	7.62%	4.64%	2.60%	5.02%	4.79%	1.85%	7.07%	2.72%	7.62%	10.96%	0.88%	2.92%	2.53%	1.44%	0.00%	5.11%	5.42%	1.23%	0.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	248	3	8	0	0	0	13	9	29	29	18	3	0	11	1	0	2	4	5	0	1	7	1	9	5	2	0	0	5	3	5	8	0	5	4	8	0	11	2	0	2	12	12	1	0	0	0	0	0	2	0	3	5									
		1.45%	0.95%	2.99%	0.00%	0.00%	0.00%	2.90%	3.45%	2.02%	2.98%	1.94%	2.17%	0.00%	2.48%	0.37%	0.00%	0.70%	2.25%	1.33%	0.00%	0.44%	4.64%	0.44%	1.56%	2.26%	2.00%	0.00%	0.00%	0.98%	1.88%	1.41%	1.50%	0.00%	5.38%	1.90%	2.48%	0.00%	2.63%	1.06%	0.00%	2.02%	1.63%	3.81%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.92%	3.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11775	259	172	128	81	436	277	172	882	236	582	78	61	333	230	188	186	149	323	505	210	108	169	265	174	95	123	164	373	118	249	385	205	72	89	215	138	260	162	92	77	408	171	154	487	120	71	332	23	263	322	273	130									
		68.71%	81.96%	64.18%	74.42%	80.20%	78.14%	61.69%	65.90%	61.42%	24.23%	62.78%	56.52%	95.31%	75.17%	84.56%	90.82%	65.49%	83.71%	85.68%	79.91%	92.92%	71.52%	74.12%	45.93%	78.73%	95.00%	86.62%	80.00%	72.85%	73.75%	70.14%	72.23%	69.02%	77.42%	42.38%	66.56%	89.61%	62.20%	86.17%	85.19%	77.78%	55.59%	54.29%	67.54%	85.29%	87.59%	89.87%	79.43%	100.00%	74.72%	72.69%	83.74%	83.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	67	0	1	1	0	0	0	0	14	14	7	2	0	1	0	0	0	1	2	0	0	0	1	1	1	0	1	0	1	0	1	2	0	0	2	0	0	2	0	0	1	7	0	1	0	0	0	0	0	0	0	3	0									
		0.39%	0.00%	0.37%	0.58%	0.00%	0.00%	0.00%	0.00%	0.97%	1.44%	0.76%	1.45%	0.00%	0.23%	0.00%	0.00%	0.00%	0.56%	0.53%	0.00%	0.00%	0.00%	0.44%	0.17%	0.45%	0.00%	0.70%	0.00%	0.20%	0.00%	0.28%	0.38%	0.00%	0.00%	0.95%	0.00%	0.00%	0.48%	0.00%	0.00%	1.01%	0.95%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	89	2	0	3	0	0	0	0	3	10	3	0	0	1	1	0	1	1	3	6	0	1	0	4	0	0	0	1	0	1	2	2	0	0	3	0	0	2	1	0	0	5	0	1	0	0	0	0	0	32	0	0	0									
		0.52%	0.63%	0.00%	1.74%	0.00%	0.00%	0.00%	0.00%	0.21%	1.03%	0.32%	0.00%	0.00%	0.23%	0.37%	0.00%	0.35%	0.56%	0.80%	0.95%	0.00%	0.66%	0.00%	0.69%	0.00%	0.00%	0.00%	0.49%	0.00%	0.63%	0.56%	0.38%	0.00%	0.00%	1.43%	0.00%	0.00%	0.48%	0.53%	0.00%	0.00%	0.68%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	993	4	23	12	4	9	41	20	168	97	56	18	0	31	11	9	33	16	14	31	2	20	14	57	23	2	7	10	15	9	12	29	12	8	18	7	5	33	3	4	3	35	22	11	0	0	0	0	0	0	14	8	13									
		5.79%	1.27%	8.58%	6.98%	3.96%	1.61%	9.13%	7.66%	11.70%	9.96%	6.04%	13.04%	0.00%	6.99%	4.04%	4.35%	11.62%	8.99%	3.71%	4.91%	0.88%	13.25%	6.14%	9.88%	10.41%	2.00%	4.93%	4.88%	2.93%	5.63%	3.38%	5.44%	4.04%	8.60%	8.57%	2.17%	3.25%	7.89%	1.60%	3.70%	3.03%	4.77%	6.98%	4.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.16%	2.45%	8.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	44	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	3	0	1	0	0	0	2	1	1	0	1	0	0	0	1	1	0	0	0	0	0	3	0	1	0	22	0	0	0	0	0	0	0	2	0	0	0									
		0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.10%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	0.00%	0.27%	0.00%	0.00%	0.00%	0.88%	0.17%	0.45%	0.00%	0.70%	0.00%	0.00%	0.00%	0.28%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.93%	0.00%	2.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	65	1	2	0	0	0	0	0	9	12	3	3	0	3	0	1	3	0	1	1	1	0	0	4	0	0	0	0	0	0	4	0	0	0	1	0	0	2	0	1	2	3	4	3	0	0	0	0	0	0	0	1	0									
		0.38%	0.32%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	1.23%	0.32%	2.17%	0.00%	0.68%	0.00%	0.48%	1.06%	0.00%	0.27%	0.16%	0.44%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.48%	0.00%	0.93%	2.02%	0.41%	1.27%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	21	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	3	1	0	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.45%	0.00%	0.70%	0.00%	0.00%	0.00%	0.56%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.93%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.31%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	68	3	1	1	0	0	0	2	8	11	9	0	0	0	0	0	6	0	1	2	0	1	1	6	1	0	0	1	0	0	3	0	4	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0									
		0.40%	0.95%	0.37%	0.58%	0.00%	0.00%	0.00%	0.77%	0.56%	1.13%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	2.11%	0.00%	0.27%	0.32%	0.00%	0.66%	0.44%	1.04%	0.45%	0.00%	0.00%	0.49%	0.00%	0.00%	0.85%	0.00%	1.35%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1714	23	24	7	9	88	86	21	127	126	137	16	0	34	6	2	35	2	12	34	7	9	11	88	9	0	6	3	56	15	12	62	28	3	61	64	7	47	10	6	5	84	68	12	48	13	6	69	0	29	58	25	4									
		10.00%	7.28%	8.96%	4.07%	8.91%	15.77%	19.15%	8.05%	8.84%	12.94%	14.78%	11.59%	0.00%	7.67%	2.21%	0.97%	12.32%	1.12%	3.18%	5.38%	3.10%	5.96%	4.82%	15.25%	4.07%	0.00%	4.23%	1.46%	10.94%	9.38%	3.38%	11.63%	9.43%	3.23%	29.05%	19.81%	4.55%	11.24%	5.32%	5.56%	5.05%	11.44%	21.59%	5.26%	8.41%	9.49%	7.59%	16.51%	0.00%	8.24%	13.09%	7.67%	2.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	103	0	2	3	0	0	0	1	3	7	6	2	0	2	2	1	1	0	2	0	0	1	1	33	1	0	1	4	0	0	20	1	0	0	1	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0									
		0.60%	0.00%	0.75%	1.74%	0.00%	0.00%	0.00%	0.38%	0.21%	0.72%	0.65%	1.45%	0.00%	0.45%	0.74%	0.48%	0.35%	0.00%	0.53%	0.00%	0.00%	0.66%	0.44%	5.72%	0.45%	0.00%	0.70%	1.95%	0.00%	0.00%	5.63%	0.19%	0.00%	0.00%	0.48%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	843	0	3	4	0	0	15	21	41	335	29	6	0	11	1	0	4	1	3	1	0	0	2	37	2	0	0	2	51	0	40	16	0	0	5	4	0	7	0	1	2	124	7	1	31	0	0	11	0	0	22	2	1									
		4.92%	0.00%	1.12%	2.33%	0.00%	0.00%	3.34%	8.05%	2.86%	34.39%	3.13%	4.35%	0.00%	2.48%	0.37%	0.00%	1.41%	0.56%	0.80%	0.16%	0.00%	0.00%	0.88%	6.41%	0.90%	0.00%	0.00%	0.98%	9.96%	0.00%	11.27%	3.00%	0.00%	0.00%	2.38%	1.24%	0.00%	1.67%	0.00%	0.93%	2.02%	16.89%	2.22%	0.44%	5.43%	0.00%	0.00%	2.63%	0.00%	0.00%	4.97%	0.61%	0.65%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
