Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Рошальская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  2424	УИК  2425	УИК  2426	УИК  2427	УИК  2428	УИК  2429	УИК  2430	УИК  2431					
		0.09%	0.18%	0.08%	0.11%	0.0%	0.0%	0.17%	0.18%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	5	5	1	1	8	3	2	2					
		0.32%	0.45%	0.44%	0.11%	0.11%	0.76%	0.25%	0.18%	0.21%					
27	"10. ""Аграрная партия России"""	176	28	19	15	16	17	27	37	17					
		2.14%	2.52%	1.70%	1.67%	1.82%	1.63%	2.30%	3.48%	1.83%					
28	"11. ""Истинные патриоты России"""	11	4	4	1	0	1	0	0	1					
		0.13%	0.36%	0.35%	0.11%	0.0%	0.09%	0.0%	0.0%	0.10%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	106	7	20	14	7	13	14	15	16					
		1.29%	0.63%	1.79%	1.56%	0.79%	1.24%	1.19%	1.41%	1.72%					
30	"13. ""Демократическая партия России"""	21	3	1	1	0	5	5	2	4					
		0.25%	0.27%	0.08%	0.11%	0.0%	0.47%	0.42%	0.18%	0.43%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	1	1	0	2	2	4	1	2					
		0.15%	0.09%	0.08%	0.0%	0.22%	0.19%	0.34%	0.09%	0.21%					
32	"15. ""Партия СЛОН"""	32	1	2	1	1	5	1	1	20					
		0.39%	0.09%	0.17%	0.11%	0.11%	0.47%	0.08%	0.09%	2.15%					
33	"16. ""Родина"" (народно-патриотический союз)"""	663	117	111	43	67	59	84	108	74					
		8.08%	10.55%	9.94%	4.80%	7.63%	5.66%	7.18%	10.15%	7.98%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	22	2	4	3	2	3	2	3	3					
		0.26%	0.18%	0.35%	0.33%	0.22%	0.28%	0.17%	0.28%	0.32%					
35	"18. ""ЛДПР"""	1074	143	151	129	126	130	131	130	134					
		13.10%	12.90%	13.53%	14.42%	14.35%	12.47%	11.20%	12.22%	14.45%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	189	20	20	28	23	19	37	22	20					
		2.30%	1.80%	1.79%	3.13%	2.61%	1.82%	3.16%	2.06%	2.15%					
37	"20. ""Политическая партия ""Единая Россия"""	3551	480	498	406	362	437	541	446	381					
		43.32%	43.32%	44.62%	45.41%	41.23%	41.93%	46.27%	41.95%	41.10%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	3	1	1	2	2	2	2	6					
		0.23%	0.27%	0.08%	0.11%	0.22%	0.19%	0.17%	0.18%	0.64%					
39	"22. ""Развитие предпринимательства"""	18	2	3	4	3	1	2	3	0					
		0.21%	0.18%	0.26%	0.44%	0.34%	0.09%	0.17%	0.28%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	748	90	94	77	102	135	89	95	66					
		9.12%	8.12%	8.42%	8.61%	11.61%	12.95%	7.61%	8.93%	7.11%					
															
41	Против всех	426	60	40	70	40	55	66	47	48					
		5.19%	5.41%	3.58%	7.82%	4.55%	5.27%	5.64%	4.42%	5.17%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
