Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																			
																																																																																																																			
"Наименование Избирательной комиссии:    Новосибирск, Ленинская "																																																																																																																			
																																																																																																																			
Сводная таблица результатов выборов																																																																																																																			
																																																																																																																			
		Сумма	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4593	0	34	72	43	67	40	75	30	23	26	29	53	39	55	56	46	40	44	40	48	20	23	57	23	33	30	38	54	52	60	36	39	45	40	53	49	46	55	50	75	58	75	52	49	66	49	42	47	0	29	47	37	51	32	58	56	35	27	35	27	48	29	55	49	48	54	47	50	46	47	35	63	51	40	106	40	38	18	31	33	34	30	68	35	36	50	27	41	31	35	50	48	43	53	47	58	41	30	35	45	43	45	53	47	30	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	4550	0	34	72	41	67	38	75	30	23	26	27	53	39	54	56	46	40	44	40	48	20	21	57	23	33	30	36	54	52	60	36	38	45	38	53	48	45	55	50	74	57	72	52	49	64	48	42	47	0	29	47	35	51	30	58	56	34	27	34	27	48	29	54	49	48	54	47	50	46	47	35	63	50	39	106	40	38	18	31	33	34	30	68	35	36	49	26	41	31	35	49	47	42	53	47	57	41	28	35	45	42	44	53	47	30	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	4024	8	38	48	26	31	51	29	45	43	42	52	23	46	18	49	36	36	29	6	12	29	115	29	14	76	46	20	53	73	58	22	35	18	43	29	51	23	17	37	48	26	30	48	50	10	30	70	12	9	40	123	128	102	26	30	61	30	31	22	16	30	17	20	14	39	35	23	29	34	23	11	65	34	13	29	24	88	48	67	30	39	3	34	19	16	43	23	15	21	109	47	41	40	46	44	28	44	24	27	68	41	22	41	21	18	3	54	22					
14	Число погашенных неиспользованных открепительных удостоверений	43	0	0	0	2	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	2	0	1	1	0	0	1	1	3	0	0	2	1	0	0	0	0	0	2	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	996	0	10	9	8	10	3	1	5	4	2	5	6	12	2	16	6	8	7	19	2	4	4	1	3	8	3	11	17	17	35	7	12	22	9	12	20	14	7	8	14	10	24	10	8	13	12	8	11	0	3	10	10	12	3	10	14	6	7	8	11	8	5	14	6	8	6	16	15	10	12	8	23	16	20	8	12	11	1	4	4	2	8	7	12	3	10	4	12	9	3	11	11	11	16	9	9	10	5	9	20	8	17	13	10	7	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	16598	9	209	209	173	236	178	162	103	104	126	108	165	179	134	220	201	177	138	79	149	60	49	223	120	69	120	197	202	207	240	157	212	149	175	194	222	169	135	193	185	210	198	149	245	152	183	162	181	27	85	206	140	187	135	277	143	63	107	112	109	144	84	139	170	180	169	190	202	207	175	136	195	212	176	205	182	180	120	136	145	141	89	210	155	103	135	106	136	140	109	166	159	188	208	194	127	124	63	182	201	165	213	193	192	83	34	3	24					
		14.18%	18.37%	16.11%	14.47%	12.75%	17.21%	14.58%	13.76%	14.11%	15.66%	16.71%	12.39%	12.88%	15.51%	14.81%	13.52%	14.71%	13.98%	13.86%	11.93%	11.59%	12.22%	10.72%	15.12%	15.77%	11.60%	14.87%	15.06%	15.03%	14.27%	15.00%	14.67%	16.59%	13.22%	15.19%	14.66%	15.70%	13.66%	10.99%	13.81%	12.52%	16.17%	14.44%	14.58%	18.65%	12.69%	15.02%	13.02%	15.38%	17.53%	10.47%	15.07%	13.04%	12.92%	14.42%	18.79%	11.61%	10.34%	13.08%	14.34%	13.49%	13.15%	11.19%	11.78%	15.03%	14.16%	14.01%	13.83%	14.73%	14.10%	13.84%	14.42%	13.25%	15.05%	15.40%	15.38%	14.65%	15.99%	15.42%	15.18%	17.30%	14.89%	11.59%	15.38%	15.14%	13.96%	12.78%	13.15%	13.89%	11.81%	10.98%	13.73%	12.14%	14.52%	14.65%	13.69%	15.25%	14.04%	12.83%	14.50%	13.88%	14.18%	15.59%	13.84%	14.37%	11.59%	17.99%	2.56%	10.91%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	18810	4	184	225	215	235	204	299	103	81	104	106	167	134	102	211	211	221	175	138	236	86	73	250	122	108	143	191	213	222	263	179	182	191	194	210	230	234	219	233	251	258	242	149	194	215	167	235	162	29	162	236	154	216	138	188	210	146	165	156	152	185	140	198	210	204	209	218	208	236	187	175	224	264	203	234	189	172	109	148	115	141	145	216	133	131	174	121	160	159	120	184	192	194	226	211	151	130	71	164	252	178	212	208	210	109	39	2	26					
		16.07%	8.16%	14.19%	15.58%	15.84%	17.14%	16.71%	25.40%	14.11%	12.20%	13.79%	12.16%	13.04%	11.61%	11.27%	12.97%	15.45%	17.46%	17.57%	20.85%	18.35%	17.52%	15.97%	16.95%	16.03%	18.15%	17.72%	14.60%	15.85%	15.30%	16.44%	16.73%	14.24%	16.95%	16.84%	15.87%	16.27%	18.92%	17.83%	16.67%	16.98%	19.86%	17.65%	14.58%	14.76%	17.95%	13.71%	18.89%	13.76%	18.83%	19.95%	17.26%	14.34%	14.93%	14.74%	12.75%	17.05%	23.97%	20.17%	19.97%	18.81%	16.89%	18.64%	16.78%	18.57%	16.05%	17.33%	15.87%	15.17%	16.08%	14.79%	18.56%	15.22%	18.74%	17.76%	17.55%	15.22%	15.28%	14.01%	16.52%	13.72%	14.89%	18.88%	15.82%	12.99%	17.75%	16.48%	15.01%	16.34%	13.42%	12.08%	15.22%	14.66%	14.98%	15.92%	14.89%	18.13%	14.72%	14.46%	13.07%	17.40%	15.29%	15.52%	14.91%	15.72%	15.22%	20.63%	1.71%	11.82%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1279	1	11	21	22	10	17	24	7	4	5	13	23	16	12	18	11	16	5	8	13	7	4	15	7	6	8	11	8	14	24	13	15	11	14	18	16	16	9	10	18	11	15	16	15	12	8	12	10	3	7	21	11	9	10	15	21	7	6	6	15	8	16	13	10	11	17	7	7	11	17	5	16	17	9	19	14	10	8	16	4	10	12	19	13	9	7	6	12	14	14	14	16	19	9	11	7	10	5	13	26	13	17	17	10	5	3	0	2					
		1.09%	2.04%	0.85%	1.45%	1.62%	0.73%	1.39%	2.04%	0.96%	0.60%	0.66%	1.49%	1.80%	1.39%	1.33%	1.11%	0.81%	1.26%	0.50%	1.21%	1.01%	1.43%	0.88%	1.02%	0.92%	1.01%	0.99%	0.84%	0.60%	0.96%	1.50%	1.21%	1.17%	0.98%	1.22%	1.36%	1.13%	1.29%	0.73%	0.72%	1.22%	0.85%	1.09%	1.57%	1.14%	1.00%	0.66%	0.96%	0.85%	1.95%	0.86%	1.54%	1.02%	0.62%	1.07%	1.02%	1.70%	1.15%	0.73%	0.77%	1.86%	0.73%	2.13%	1.10%	0.88%	0.87%	1.41%	0.51%	0.51%	0.75%	1.34%	0.53%	1.09%	1.21%	0.79%	1.43%	1.13%	0.89%	1.03%	1.79%	0.48%	1.06%	1.56%	1.39%	1.27%	1.22%	0.66%	0.74%	1.23%	1.18%	1.41%	1.16%	1.22%	1.47%	0.63%	0.78%	0.84%	1.13%	1.02%	1.04%	1.80%	1.12%	1.24%	1.22%	0.75%	0.70%	1.59%	0.00%	0.91%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	39471	15	461	482	426	395	415	320	260	232	255	328	470	451	313	617	464	457	240	198	400	169	140	450	252	180	219	488	475	503	515	350	446	405	345	464	502	400	440	496	572	447	381	323	446	383	413	358	407	41	191	404	353	536	334	544	404	164	235	268	224	388	260	446	366	438	390	475	474	481	424	323	534	424	374	403	440	350	305	308	309	308	265	460	397	240	370	278	342	431	403	396	490	444	508	504	246	295	158	457	460	423	482	503	475	243	54	4	57					
		33.72%	30.61%	35.54%	33.38%	31.39%	28.81%	33.99%	27.19%	35.62%	34.94%	33.82%	37.61%	36.69%	39.08%	34.59%	37.92%	33.97%	36.10%	24.10%	29.91%	31.10%	34.42%	30.63%	30.51%	33.11%	30.25%	27.14%	37.31%	35.34%	34.67%	32.19%	32.71%	34.90%	35.94%	29.95%	35.07%	35.50%	32.34%	35.83%	35.48%	38.70%	34.41%	27.79%	31.60%	33.94%	31.97%	33.91%	28.78%	34.58%	26.62%	23.52%	29.55%	32.87%	37.04%	35.68%	36.91%	32.79%	26.93%	28.73%	34.31%	27.72%	35.43%	34.62%	37.80%	32.36%	34.46%	32.34%	34.57%	34.57%	32.77%	33.54%	34.25%	36.28%	30.09%	32.72%	30.23%	35.43%	31.08%	39.20%	34.38%	36.87%	32.52%	34.51%	33.70%	38.77%	32.52%	35.04%	34.49%	34.93%	36.37%	40.58%	32.75%	37.40%	34.29%	35.77%	35.57%	29.53%	33.41%	32.18%	36.41%	31.77%	36.34%	35.29%	36.06%	35.55%	33.94%	28.57%	3.42%	25.91%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6810	4	137	134	130	154	124	73	63	74	55	57	106	91	77	94	92	46	37	25	43	9	8	142	94	26	21	66	66	60	111	51	70	72	42	49	53	55	45	55	55	54	52	42	54	66	59	53	61	5	19	58	73	97	78	81	58	27	25	27	22	47	24	54	30	62	52	57	68	80	87	48	80	69	69	60	83	59	52	83	61	93	55	115	70	57	57	40	59	96	107	123	110	109	66	86	60	65	30	74	72	59	61	56	56	23	3	1	5					
		5.82%	8.16%	10.56%	9.28%	9.58%	11.23%	10.16%	6.20%	8.63%	11.14%	7.29%	6.54%	8.27%	7.89%	8.51%	5.78%	6.73%	3.63%	3.71%	3.78%	3.34%	1.83%	1.75%	9.63%	12.35%	4.37%	2.60%	5.05%	4.91%	4.14%	6.94%	4.77%	5.48%	6.39%	3.65%	3.70%	3.75%	4.45%	3.66%	3.93%	3.72%	4.16%	3.79%	4.11%	4.11%	5.51%	4.84%	4.26%	5.18%	3.25%	2.34%	4.24%	6.80%	6.70%	8.33%	5.50%	4.71%	4.43%	3.06%	3.46%	2.72%	4.29%	3.20%	4.58%	2.65%	4.88%	4.31%	4.15%	4.96%	5.45%	6.88%	5.09%	5.43%	4.90%	6.04%	4.50%	6.68%	5.24%	6.68%	9.26%	7.28%	9.82%	7.16%	8.42%	6.84%	7.72%	5.40%	4.96%	6.03%	8.10%	10.78%	10.17%	8.40%	8.42%	4.65%	6.07%	7.20%	7.36%	6.11%	5.90%	4.97%	5.07%	4.47%	4.01%	4.19%	3.21%	1.59%	0.85%	2.27%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31860	16	282	346	354	315	252	275	178	154	199	250	325	261	247	435	356	322	377	196	413	143	176	365	155	189	283	337	327	410	414	305	328	282	358	368	372	344	359	379	376	304	463	325	345	350	365	394	328	48	338	417	320	385	226	349	375	192	255	201	270	303	212	313	333	350	350	401	375	435	345	243	380	400	299	387	299	327	170	193	195	223	189	323	233	182	290	240	245	324	219	309	325	315	385	380	227	240	156	335	419	308	361	392	363	234	55	106	99					
		27.22%	32.65%	21.74%	23.96%	26.09%	22.98%	20.64%	23.36%	24.38%	23.19%	26.39%	28.67%	25.37%	22.62%	27.29%	26.74%	26.06%	25.43%	37.85%	29.61%	32.12%	29.12%	38.51%	24.75%	20.37%	31.76%	35.07%	25.76%	24.33%	28.26%	25.88%	28.50%	25.67%	25.02%	31.08%	27.82%	26.31%	27.81%	29.23%	27.11%	25.44%	23.40%	33.77%	31.80%	26.26%	29.22%	29.97%	31.67%	27.87%	31.17%	41.63%	30.50%	29.80%	26.61%	24.15%	23.68%	30.44%	31.53%	31.17%	25.74%	33.42%	27.67%	28.23%	26.53%	29.44%	27.54%	29.02%	29.18%	27.35%	29.63%	27.29%	25.77%	25.82%	28.39%	26.16%	29.03%	24.07%	29.04%	21.85%	21.54%	23.27%	23.55%	24.61%	23.66%	22.75%	24.66%	27.46%	29.78%	25.03%	27.34%	22.05%	25.56%	24.81%	24.32%	27.11%	26.82%	27.25%	27.18%	31.77%	26.69%	28.94%	26.46%	26.43%	28.10%	27.17%	32.68%	29.10%	90.60%	45.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	881	0	7	14	25	16	18	13	5	6	5	5	14	9	5	8	14	6	8	4	10	4	2	15	6	2	4	6	8	9	14	11	12	7	12	10	7	9	8	9	8	5	12	2	11	5	6	10	7	0	3	12	9	8	5	12	10	3	12	4	5	5	9	7	4	12	5	4	11	8	7	7	14	11	5	10	14	15	10	6	4	9	5	11	5	10	12	3	10	10	15	4	13	13	6	10	5	5	2	9	6	8	8	9	13	12	1	1	2					
		0.75%	0.00%	0.54%	0.97%	1.84%	1.17%	1.47%	1.10%	0.68%	0.90%	0.66%	0.57%	1.09%	0.78%	0.55%	0.49%	1.02%	0.47%	0.80%	0.60%	0.78%	0.81%	0.44%	1.02%	0.79%	0.34%	0.50%	0.46%	0.60%	0.62%	0.88%	1.03%	0.94%	0.62%	1.04%	0.76%	0.50%	0.73%	0.65%	0.64%	0.54%	0.38%	0.88%	0.20%	0.84%	0.42%	0.49%	0.80%	0.59%	0.00%	0.37%	0.88%	0.84%	0.55%	0.53%	0.81%	0.81%	0.49%	1.47%	0.51%	0.62%	0.46%	1.20%	0.59%	0.35%	0.94%	0.41%	0.29%	0.80%	0.54%	0.55%	0.74%	0.95%	0.78%	0.44%	0.75%	1.13%	1.33%	1.29%	0.67%	0.48%	0.95%	0.65%	0.81%	0.49%	1.36%	1.14%	0.37%	1.02%	0.84%	1.51%	0.33%	0.99%	1.00%	0.42%	0.71%	0.60%	0.57%	0.41%	0.72%	0.41%	0.69%	0.59%	0.65%	0.97%	1.68%	0.53%	0.85%	0.91%					
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
