Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Кувандыкская городская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	142	8	5	6	8	0	8	0	9	2	3	4	4	0	9	2	1	3	3	0	0	0	14	9	0	1	1	1	1	2	0	0	0	0	1	0	1	1	1	0	0	1	0	6	0	1	0	0	1	1	0	4	0	0	1	1	1	7	0	1	9									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	137	8	5	4	5	2	5	10	3	1	4	4	7	2	6	8	2	2	1	0	1	0	1	3	2	3	0	0	1	0	0	0	0	2	5	1	2	2	1	4	0	0	0	2	0	2	1	1	4	1	1	0	2	0	4	2	1	5	0	1	3									
		1.00%	1.19%	0.93%	0.80%	0.86%	0.58%	0.86%	2.94%	0.69%	0.38%	0.92%	0.89%	1.67%	1.03%	0.74%	2.89%	1.24%	1.80%	0.53%	0.00%	1.14%	0.00%	0.44%	1.48%	1.80%	2.94%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	3.28%	1.08%	1.92%	2.11%	3.03%	0.31%	1.72%	0.00%	0.00%	0.00%	0.71%	0.00%	1.18%	0.75%	1.06%	1.89%	5.88%	2.56%	0.00%	1.92%	0.00%	2.01%	1.04%	1.43%	1.29%	0.00%	0.70%	1.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	667	34	30	25	23	12	32	19	19	7	24	23	16	13	34	8	5	5	12	2	5	9	8	12	2	13	16	9	9	2	0	2	9	2	27	6	4	5	14	13	11	4	3	13	2	19	13	3	10	0	1	15	8	1	6	11	4	15	3	8	7									
		4.88%	5.07%	5.58%	4.98%	3.95%	3.50%	5.53%	5.59%	4.37%	2.69%	5.49%	5.12%	3.81%	6.70%	4.20%	2.89%	3.11%	4.50%	6.35%	5.41%	5.68%	7.63%	3.49%	5.91%	1.80%	12.75%	7.73%	3.81%	6.21%	3.51%	0.00%	6.25%	4.46%	3.28%	5.83%	11.54%	4.21%	7.58%	4.29%	5.58%	5.73%	2.94%	5.00%	4.64%	2.90%	11.18%	9.70%	3.19%	4.72%	0.00%	2.56%	3.53%	7.69%	2.50%	3.02%	5.73%	5.71%	3.86%	2.07%	5.63%	4.09%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	309	17	16	10	8	12	14	4	16	7	15	7	19	3	19	7	3	2	6	0	0	2	5	6	5	1	2	4	1	1	0	0	4	1	8	1	0	2	7	7	4	4	4	4	1	5	7	2	9	0	0	2	2	0	5	3	0	6	3	3	3									
		2.26%	2.53%	2.97%	1.99%	1.37%	3.50%	2.42%	1.18%	3.68%	2.69%	3.43%	1.56%	4.52%	1.55%	2.35%	2.53%	1.86%	1.80%	3.17%	0.00%	0.00%	1.69%	2.18%	2.96%	4.50%	0.98%	0.97%	1.69%	0.69%	1.75%	0.00%	0.00%	1.98%	1.64%	1.73%	1.92%	0.00%	3.03%	2.15%	3.00%	2.08%	2.94%	6.67%	1.43%	1.45%	2.94%	5.22%	2.13%	4.25%	0.00%	0.00%	0.47%	1.92%	0.00%	2.51%	1.56%	0.00%	1.54%	2.07%	2.11%	1.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4674	225	174	162	213	112	174	104	130	94	142	145	144	63	222	100	49	46	65	13	47	28	107	54	57	31	86	69	53	24	12	12	71	16	150	12	34	30	134	101	73	47	19	101	21	62	61	35	56	5	11	100	41	16	84	79	24	134	61	60	79									
		34.17%	33.53%	32.34%	32.27%	36.60%	32.65%	30.05%	30.59%	29.89%	36.15%	32.49%	32.29%	34.29%	32.47%	27.41%	36.10%	30.43%	41.44%	34.39%	35.14%	53.41%	23.73%	46.72%	26.60%	51.35%	30.39%	41.55%	29.24%	36.55%	42.11%	32.43%	37.50%	35.15%	26.23%	32.40%	23.08%	35.79%	45.45%	41.10%	43.35%	38.02%	34.56%	31.67%	36.07%	30.43%	36.47%	45.52%	37.23%	26.42%	29.41%	28.21%	23.53%	39.42%	40.00%	42.21%	41.15%	34.29%	34.45%	42.07%	42.25%	46.20%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	86	4	1	4	3	1	2	0	2	3	1	5	3	0	5	3	2	0	2	1	0	0	5	2	0	0	1	0	1	1	0	0	1	0	2	0	1	2	2	1	3	0	0	0	0	2	0	1	3	0	0	6	0	0	3	2	0	4	0	0	1									
		0.63%	0.60%	0.19%	0.80%	0.52%	0.29%	0.35%	0.00%	0.46%	1.15%	0.23%	1.11%	0.71%	0.00%	0.62%	1.08%	1.24%	0.00%	1.06%	2.70%	0.00%	0.00%	2.18%	0.99%	0.00%	0.00%	0.48%	0.00%	0.69%	1.75%	0.00%	0.00%	0.50%	0.00%	0.43%	0.00%	1.05%	3.03%	0.61%	0.43%	1.56%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	1.06%	1.42%	0.00%	0.00%	1.41%	0.00%	0.00%	1.51%	1.04%	0.00%	1.03%	0.00%	0.00%	0.58%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	1	2	2	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	3	0	0	1	0	0	1	0	1	3	1	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1									
		0.25%	0.15%	0.37%	0.40%	0.17%	0.29%	0.00%	0.29%	0.00%	0.00%	0.23%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.44%	0.49%	2.70%	0.00%	0.00%	0.42%	0.00%	0.00%	2.70%	0.00%	0.50%	4.92%	0.22%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	1.18%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	1.43%	0.26%	0.69%	0.70%	0.58%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2431	137	104	123	129	69	134	94	85	40	64	71	90	24	177	54	31	32	33	6	15	15	23	20	8	26	22	43	29	10	7	4	44	4	81	9	7	13	62	22	14	32	7	34	11	25	18	16	29	3	5	57	0	6	34	29	11	85	10	9	35									
		17.77%	20.42%	19.33%	24.50%	22.16%	20.12%	23.14%	27.65%	19.54%	15.38%	14.65%	15.81%	21.43%	12.37%	21.85%	19.49%	19.25%	28.83%	17.46%	16.22%	17.05%	12.71%	10.04%	9.85%	7.21%	25.49%	10.63%	18.22%	20.00%	17.54%	18.92%	12.50%	21.78%	6.56%	17.49%	17.31%	7.37%	19.70%	19.02%	9.44%	7.29%	23.53%	11.67%	12.14%	15.94%	14.71%	13.43%	17.02%	13.68%	17.65%	12.82%	13.41%	0.00%	15.00%	17.09%	15.10%	15.71%	21.85%	6.90%	6.34%	20.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	60	2	3	2	6	1	3	3	4	2	1	3	1	0	5	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	3	0	1	0	1	0	0	1	0	0	5	1	2	0									
		0.44%	0.30%	0.56%	0.40%	1.03%	0.29%	0.52%	0.88%	0.92%	0.77%	0.23%	0.67%	0.24%	0.00%	0.62%	0.36%	1.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	3.19%	0.00%	5.88%	0.00%	0.24%	0.00%	0.00%	0.50%	0.00%	0.00%	1.29%	0.69%	1.41%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	130	8	6	9	8	3	4	3	6	3	3	4	9	1	14	5	1	4	1	0	0	1	2	1	0	0	2	4	2	1	1	0	2	0	0	0	0	0	4	2	0	0	1	0	0	1	0	1	1	0	0	7	0	0	1	1	0	0	0	2	1									
		0.95%	1.19%	1.12%	1.79%	1.37%	0.87%	0.69%	0.88%	1.38%	1.15%	0.69%	0.89%	2.14%	0.52%	1.73%	1.81%	0.62%	3.60%	0.53%	0.00%	0.00%	0.85%	0.87%	0.49%	0.00%	0.00%	0.97%	1.69%	1.38%	1.75%	2.70%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.86%	0.00%	0.00%	1.67%	0.00%	0.00%	0.59%	0.00%	1.06%	0.47%	0.00%	0.00%	1.65%	0.00%	0.00%	0.50%	0.52%	0.00%	0.00%	0.00%	1.41%	0.58%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	3	0	1	2	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0									
		0.18%	0.45%	0.00%	0.20%	0.34%	0.29%	0.17%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.53%	2.70%	0.00%	0.00%	0.44%	0.00%	1.80%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.47%	5.88%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	161	9	9	7	8	8	10	4	2	1	6	12	5	0	9	6	6	2	1	0	0	0	5	4	2	0	2	1	2	0	0	0	3	1	4	0	1	0	1	6	1	0	2	1	1	0	3	2	2	0	0	2	0	0	2	1	0	3	0	4	0									
		1.18%	1.34%	1.67%	1.39%	1.37%	2.33%	1.73%	1.18%	0.46%	0.38%	1.37%	2.67%	1.19%	0.00%	1.11%	2.17%	3.73%	1.80%	0.53%	0.00%	0.00%	0.00%	2.18%	1.97%	1.80%	0.00%	0.97%	0.42%	1.38%	0.00%	0.00%	0.00%	1.49%	1.64%	0.86%	0.00%	1.05%	0.00%	0.31%	2.58%	0.52%	0.00%	3.33%	0.36%	1.45%	0.00%	2.24%	2.13%	0.94%	0.00%	0.00%	0.47%	0.00%	0.00%	1.01%	0.52%	0.00%	0.77%	0.00%	2.82%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3679	160	123	86	130	88	148	70	121	83	121	110	89	65	218	48	48	8	55	10	18	54	44	75	21	23	56	77	40	12	10	11	55	26	158	20	39	10	85	50	44	38	9	110	27	39	20	21	73	6	14	215	44	13	37	51	26	102	54	45	26									
		26.90%	23.85%	22.86%	17.13%	22.34%	25.66%	25.56%	20.59%	27.82%	31.92%	27.69%	24.50%	21.19%	33.51%	26.91%	17.33%	29.81%	7.21%	29.10%	27.03%	20.45%	45.76%	19.21%	36.95%	18.92%	22.55%	27.05%	32.63%	27.59%	21.05%	27.03%	34.38%	27.23%	42.62%	34.13%	38.46%	41.05%	15.15%	26.07%	21.46%	22.92%	27.94%	15.00%	39.29%	39.13%	22.94%	14.93%	22.34%	34.43%	35.29%	35.90%	50.59%	42.31%	32.50%	18.59%	26.56%	37.14%	26.22%	37.24%	31.69%	15.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	62	3	3	2	3	3	3	1	3	2	1	1	1	0	10	3	1	1	2	0	0	1	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	6	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1									
		0.45%	0.45%	0.56%	0.40%	0.52%	0.87%	0.52%	0.29%	0.69%	0.77%	0.23%	0.22%	0.24%	0.00%	1.23%	1.08%	0.62%	0.90%	1.06%	0.00%	0.00%	0.85%	0.44%	1.48%	0.00%	0.00%	0.00%	0.00%	0.00%	3.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	2.58%	0.52%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.58%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	931	49	45	55	40	25	40	19	36	15	47	57	24	16	73	25	8	8	7	4	2	7	22	17	8	1	11	18	6	3	4	2	8	4	15	2	3	2	12	6	28	9	11	7	6	10	5	7	13	0	5	13	7	1	11	6	2	15	11	7	11									
		6.81%	7.30%	8.36%	10.96%	6.87%	7.29%	6.91%	5.59%	8.28%	5.77%	10.76%	12.69%	5.71%	8.25%	9.01%	9.03%	4.97%	7.21%	3.70%	10.81%	2.27%	5.93%	9.61%	8.37%	7.21%	0.98%	5.31%	7.63%	4.14%	5.26%	10.81%	6.25%	3.96%	6.56%	3.24%	3.85%	3.16%	3.03%	3.68%	2.58%	14.58%	6.62%	18.33%	2.50%	8.70%	5.88%	3.73%	7.45%	6.13%	0.00%	12.82%	3.06%	6.73%	2.50%	5.53%	3.13%	2.86%	3.86%	7.59%	4.93%	6.43%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
