Выборы Президента Российской Федерации																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																																			
																																																																																																			
Итоги голосования 																																																																																																			
																																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №174	УИК №175	УИК №176					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	807	5	22	4	11	4	4	1	11	16	10	12	8	5	39	12	24	22	7	4	10	5	15	20	9	5	9	8	5	4	2	4	13	13	16	7	7	2	7	10	8	7	13	10	6	10	7	8	6	12	9	17	14	20	12	5	9	9	14	17	11	12	16	6	15	11	9	9	19	6	7	3	2	3	17	2	2	0	3	0	2	9	26	4	2	3	0	2	0	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	2042	38	40	42	28	43	42	8	30	29	31	28	40	24	35	16	9	20	39	23	25	19	5	33	17	19	29	3	6	6	36	35	37	40	28	25	27	16	35	37	35	31	35	32	20	22	33	33	39	42	32	39	34	34	35	20	19	19	20	26	30	30	17	38	36	31	13	34	31	29	26	18	0	0	0	0	0	0	0	0	0	12	9	5	9	0	9	6	9	7	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	161	2	1	10	3	2	4	1	0	21	2	6	4	2	1	2	5	1	1	1	0	0	0	2	1	3	4	1	1	0	1	2	1	2	1	1	2	0	1	3	6	1	3	3	4	1	0	2	2	3	1	0	2	1	4	3	0	1	1	1	2	1	1	5	4	1	1	1	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																			
18	. Глазьев Сергей Юрьевич	5299	47	56	52	60	71	93	26	75	105	93	100	43	40	70	32	55	86	98	82	72	29	32	93	31	22	59	10	30	12	105	88	96	94	113	76	127	30	119	96	110	97	107	104	89	65	94	60	74	85	106	67	90	78	73	27	48	63	71	60	97	72	81	92	92	75	102	115	95	55	40	31	14	5	14	14	4	7	9	2	2	1	12	9	12	10	10	9	25	7	0	0	0					
		6.41%	3.68%	4.21%	4.46%	5.79%	6.54%	7.50%	5.38%	6.30%	7.20%	6.99%	6.63%	3.06%	3.36%	7.27%	5.49%	6.10%	7.31%	6.86%	7.73%	8.01%	5.85%	5.38%	7.19%	5.23%	4.92%	4.48%	4.26%	9.04%	3.31%	8.92%	6.21%	6.43%	7.20%	8.28%	7.26%	8.67%	6.37%	8.99%	6.90%	7.57%	7.00%	8.02%	7.10%	8.41%	7.55%	7.34%	5.42%	6.94%	6.50%	7.35%	5.43%	6.68%	6.16%	6.81%	5.33%	3.87%	5.55%	6.71%	6.27%	6.21%	3.88%	7.04%	7.14%	6.63%	6.74%	8.47%	7.99%	6.45%	6.79%	4.88%	5.03%	5.56%	6.10%	6.11%	11.67%	7.41%	10.77%	7.96%	2.94%	1.08%	0.42%	2.44%	3.17%	3.61%	2.91%	6.29%	4.52%	19.69%	4.73%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	1918	37	33	33	25	33	42	15	30	30	34	40	30	35	24	18	14	31	36	23	18	13	14	26	14	15	23	4	11	11	29	27	34	37	26	13	30	18	35	15	27	38	27	33	25	14	28	28	21	47	37	31	21	40	21	16	19	22	8	20	38	24	30	24	26	32	26	20	34	29	25	15	9	2	3	1	3	0	1	0	3	8	24	7	9	4	6	3	7	6	0	0	0					
		2.32%	2.90%	2.48%	2.83%	2.41%	3.04%	3.39%	3.11%	2.52%	2.06%	2.55%	2.65%	2.14%	2.94%	2.49%	3.09%	1.55%	2.63%	2.52%	2.17%	2.00%	2.62%	2.35%	2.01%	2.36%	3.36%	1.75%	1.70%	3.31%	3.03%	2.46%	1.91%	2.28%	2.83%	1.91%	1.24%	2.05%	3.82%	2.64%	1.08%	1.86%	2.74%	2.02%	2.25%	2.36%	1.63%	2.19%	2.53%	1.97%	3.59%	2.57%	2.51%	1.56%	3.16%	1.96%	3.16%	1.53%	1.94%	0.76%	2.09%	2.43%	1.29%	2.61%	1.86%	1.87%	2.88%	2.16%	1.39%	2.31%	3.58%	3.05%	2.44%	3.57%	2.44%	1.31%	0.83%	5.56%	0.00%	0.88%	0.00%	1.61%	3.33%	4.88%	2.46%	2.71%	1.16%	3.77%	1.51%	5.51%	4.05%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	742	8	8	8	18	11	15	4	12	15	15	17	6	8	9	9	2	16	7	14	7	3	9	17	4	2	14	1	3	0	14	16	20	5	13	6	17	7	15	13	17	18	16	9	9	2	15	7	7	12	17	10	10	11	7	6	11	11	4	5	16	11	7	10	12	12	15	11	8	9	3	4	3	1	3	0	1	0	3	1	4	1	1	2	7	1	2	0	1	1	0	0	0					
		0.90%	0.63%	0.60%	0.69%	1.74%	1.01%	1.21%	0.83%	1.01%	1.03%	1.13%	1.13%	0.43%	0.67%	0.93%	1.54%	0.22%	1.36%	0.49%	1.32%	0.78%	0.60%	1.51%	1.31%	0.67%	0.45%	1.06%	0.43%	0.90%	0.00%	1.19%	1.13%	1.34%	0.38%	0.95%	0.57%	1.16%	1.49%	1.13%	0.93%	1.17%	1.30%	1.20%	0.61%	0.85%	0.23%	1.17%	0.63%	0.66%	0.92%	1.18%	0.81%	0.74%	0.87%	0.65%	1.18%	0.89%	0.97%	0.38%	0.52%	1.02%	0.59%	0.61%	0.78%	0.87%	1.08%	1.25%	0.76%	0.54%	1.11%	0.37%	0.65%	1.19%	1.22%	1.31%	0.00%	1.85%	0.00%	2.65%	1.47%	2.15%	0.42%	0.20%	0.70%	2.11%	0.29%	1.26%	0.00%	0.79%	0.68%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	57594	1033	1063	888	747	770	813	369	854	1041	922	1065	1139	957	702	436	666	786	949	688	606	359	402	856	433	322	975	184	220	276	767	982	1006	833	878	725	987	337	874	920	962	940	868	982	682	560	850	768	736	835	960	848	928	857	713	351	929	801	731	657	1036	1467	772	876	931	728	746	992	977	553	585	414	175	55	171	70	33	47	78	52	127	192	418	225	261	299	119	168	74	122	14	15	14					
		69.67%	80.89%	79.92%	76.09%	72.10%	70.97%	65.56%	76.40%	71.70%	71.40%	69.27%	70.58%	81.18%	80.49%	72.90%	74.79%	73.92%	66.78%	66.46%	64.84%	67.41%	72.38%	67.56%	66.20%	73.02%	72.04%	74.03%	78.30%	66.27%	76.03%	65.17%	69.35%	67.43%	63.78%	64.37%	69.25%	67.37%	71.55%	66.01%	66.09%	66.21%	67.87%	65.07%	67.03%	64.46%	65.04%	66.41%	69.31%	68.98%	63.84%	66.57%	68.72%	68.84%	67.64%	66.51%	69.23%	74.98%	70.57%	69.09%	68.65%	66.28%	79.00%	67.13%	68.01%	67.12%	65.41%	61.96%	68.94%	66.28%	68.27%	71.43%	67.21%	69.44%	67.07%	74.67%	58.33%	61.11%	72.31%	69.03%	76.47%	68.28%	80.00%	84.96%	79.23%	78.61%	86.92%	74.84%	84.42%	58.27%	82.43%	100.00%	100.00%	100.00%					
22	. Хакамада Ирина Муцуовна	5074	42	49	58	55	54	65	20	74	94	89	97	44	28	44	27	52	99	98	88	69	29	36	94	34	30	58	5	12	17	78	100	104	92	141	69	99	31	90	107	94	108	111	127	83	65	87	67	67	90	86	90	83	86	76	33	63	58	58	77	104	89	63	71	74	67	105	105	93	40	40	24	13	3	6	8	1	3	0	4	12	13	15	10	12	3	5	4	2	4	0	0	0					
		6.14%	3.29%	3.68%	4.97%	5.31%	4.98%	5.24%	4.14%	6.21%	6.45%	6.69%	6.43%	3.14%	2.35%	4.57%	4.63%	5.77%	8.41%	6.86%	8.29%	7.68%	5.85%	6.05%	7.27%	5.73%	6.71%	4.40%	2.13%	3.61%	4.68%	6.63%	7.06%	6.97%	7.04%	10.34%	6.59%	6.76%	6.58%	6.80%	7.69%	6.47%	7.80%	8.32%	8.67%	7.84%	7.55%	6.80%	6.05%	6.28%	6.88%	5.96%	7.29%	6.16%	6.79%	7.09%	6.51%	5.08%	5.11%	5.48%	8.05%	6.65%	4.79%	5.48%	5.51%	5.34%	6.02%	8.72%	7.30%	6.31%	4.94%	4.88%	3.90%	5.16%	3.66%	2.62%	6.67%	1.85%	4.62%	0.00%	5.88%	6.45%	5.42%	3.05%	3.52%	3.61%	0.87%	3.14%	2.01%	1.57%	2.70%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	8142	67	85	82	101	100	155	36	108	118	122	135	98	75	72	42	70	111	175	106	89	48	67	138	58	39	135	17	32	36	98	144	160	153	124	101	137	21	117	138	167	113	134	114	98	113	151	126	119	164	163	139	150	134	130	57	97	122	125	92	184	125	143	156	195	147	139	120	196	92	92	99	22	8	24	24	9	6	14	0	22	13	13	15	19	19	9	11	5	3	0	0	0					
		9.85%	5.25%	6.39%	7.03%	9.75%	9.22%	12.50%	7.45%	9.07%	8.09%	9.17%	8.95%	6.99%	6.31%	7.48%	7.20%	7.77%	9.43%	12.25%	9.99%	9.90%	9.68%	11.26%	10.67%	9.78%	8.72%	10.25%	7.23%	9.64%	9.92%	8.33%	10.17%	10.72%	11.72%	9.09%	9.65%	9.35%	4.46%	8.84%	9.91%	11.49%	8.16%	10.04%	7.78%	9.26%	13.12%	11.80%	11.37%	11.15%	12.54%	11.30%	11.26%	11.13%	10.58%	12.13%	11.24%	7.83%	10.75%	11.81%	9.61%	11.77%	6.73%	12.43%	12.11%	14.06%	13.21%	11.54%	8.34%	13.30%	11.36%	11.23%	16.07%	8.73%	9.76%	10.48%	20.00%	16.67%	9.23%	12.39%	0.00%	11.83%	5.42%	2.64%	5.28%	5.72%	5.52%	5.66%	5.53%	3.94%	2.03%	0.00%	0.00%	0.00%					
																																																																																																			
24	Против всех	3552	34	34	39	28	42	48	11	35	51	53	49	40	34	34	17	35	46	64	56	33	13	27	65	19	15	42	12	18	7	78	53	69	84	66	47	59	26	68	96	72	67	64	92	72	40	47	47	41	70	68	46	61	54	47	15	68	51	56	42	79	65	54	58	54	46	63	74	70	31	31	25	12	6	7	3	3	2	6	9	6	12	9	16	11	5	7	4	12	5	0	0	0					
		4.30%	2.66%	2.56%	3.34%	2.70%	3.87%	3.87%	2.28%	2.94%	3.50%	3.98%	3.25%	2.85%	2.86%	3.53%	2.92%	3.88%	3.91%	4.48%	5.28%	3.67%	2.62%	4.54%	5.03%	3.20%	3.36%	3.19%	5.11%	5.42%	1.93%	6.63%	3.74%	4.62%	6.43%	4.84%	4.49%	4.03%	5.52%	5.14%	6.90%	4.96%	4.84%	4.80%	6.28%	6.81%	4.65%	3.67%	4.24%	3.84%	5.35%	4.72%	3.73%	4.53%	4.26%	4.38%	2.96%	5.49%	4.49%	5.29%	4.39%	5.05%	3.50%	4.70%	4.50%	3.89%	4.13%	5.23%	5.14%	4.75%	3.83%	3.79%	4.06%	4.76%	7.32%	3.06%	2.50%	5.56%	3.08%	5.31%	13.24%	3.23%	5.00%	1.83%	5.63%	3.31%	1.45%	4.40%	2.01%	9.45%	3.38%	0.00%	0.00%	0.00%					
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
