Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Белебеевская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565					
18	"1. ""ЕДИНЕНИЕ"""	854	23	28	16	24	20	8	9	14	10	11	17	15	21	16	12	15	13	23	9	16	7	25	13	34	16	16	11	16	27	27	16	22	20	8	16	11	7	16	5	5	4	11	6	8	0	15	3	6	10	6	17	9	11	3	7	5	4	3	5	8	9	9	5	18	11	7	13	3	0					
		1.56%	2.09%	2.75%	1.24%	1.85%	1.17%	0.66%	0.71%	1.16%	0.82%	1.70%	1.58%	1.19%	1.39%	1.30%	0.99%	0.98%	0.92%	1.42%	0.76%	1.33%	0.60%	1.62%	0.97%	1.90%	1.20%	1.13%	0.87%	1.20%	2.03%	2.34%	1.28%	1.60%	1.98%	1.62%	0.90%	2.46%	1.59%	3.07%	0.85%	2.13%	1.10%	4.33%	3.17%	2.01%	0.0%	2.57%	2.29%	1.74%	3.03%	3.01%	2.73%	7.56%	3.61%	3.37%	4.21%	2.06%	1.34%	1.32%	2.63%	2.70%	4.68%	3.29%	4.27%	3.57%	3.59%	3.60%	2.55%	4.05%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1083	28	18	21	21	23	32	39	44	24	36	38	38	38	38	29	35	37	36	41	25	21	45	40	33	22	22	4	15	24	15	15	22	15	8	25	6	7	3	5	2	4	2	2	0	0	4	0	10	3	1	3	2	7	0	0	7	6	3	1	8	2	4	2	5	2	3	10	0	2					
		1.98%	2.54%	1.77%	1.62%	1.62%	1.34%	2.67%	3.10%	3.65%	1.97%	5.59%	3.54%	3.02%	2.53%	3.09%	2.39%	2.29%	2.62%	2.23%	3.48%	2.08%	1.80%	2.93%	2.98%	1.84%	1.66%	1.56%	0.31%	1.13%	1.80%	1.30%	1.20%	1.60%	1.49%	1.62%	1.41%	1.34%	1.59%	0.57%	0.85%	0.85%	1.10%	0.78%	1.05%	0.0%	0.0%	0.68%	0.0%	2.90%	0.90%	0.50%	0.48%	1.68%	2.30%	0.0%	0.0%	2.89%	2.01%	1.32%	0.52%	2.70%	1.04%	1.46%	1.70%	0.99%	0.65%	1.54%	1.96%	0.0%	0.93%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1738	29	45	34	50	49	33	32	15	54	17	28	52	70	30	48	62	61	61	27	35	33	28	57	42	35	54	37	52	40	58	43	59	27	9	33	13	18	9	8	5	8	9	4	6	1	25	3	6	4	7	13	6	7	7	5	13	5	20	3	18	10	3	1	3	7	3	31	14	4					
		3.18%	2.63%	4.43%	2.63%	3.86%	2.87%	2.76%	2.54%	1.24%	4.44%	2.63%	2.61%	4.13%	4.66%	2.44%	3.96%	4.05%	4.32%	3.79%	2.29%	2.91%	2.83%	1.82%	4.26%	2.35%	2.64%	3.84%	2.95%	3.93%	3.01%	5.03%	3.46%	4.30%	2.68%	1.82%	1.87%	2.90%	4.09%	1.73%	1.36%	2.13%	2.20%	3.54%	2.11%	1.50%	4.76%	4.29%	2.29%	1.74%	1.21%	3.51%	2.09%	5.04%	2.30%	7.86%	3.01%	5.37%	1.67%	8.84%	1.57%	6.08%	5.20%	1.09%	0.85%	0.59%	2.28%	1.54%	6.09%	18.91%	1.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1716	29	36	31	42	60	53	39	57	47	10	43	54	71	66	44	67	73	94	54	49	58	64	79	86	32	6	16	30	20	35	24	42	23	6	36	3	3	13	6	4	8	3	3	5	2	12	6	8	1	5	2	5	7	1	3	2	4	1	6	3	3	4	1	5	2	4	5	0	0					
		3.14%	2.63%	3.54%	2.40%	3.24%	3.51%	4.43%	3.10%	4.73%	3.86%	1.55%	4.01%	4.29%	4.73%	5.37%	3.63%	4.38%	5.18%	5.84%	4.58%	4.08%	4.99%	4.17%	5.90%	4.82%	2.41%	0.42%	1.27%	2.26%	1.50%	3.03%	1.93%	3.06%	2.28%	1.21%	2.04%	0.67%	0.68%	2.5%	1.02%	1.70%	2.20%	1.18%	1.58%	1.25%	9.52%	2.06%	4.58%	2.32%	0.30%	2.51%	0.32%	4.20%	2.30%	1.12%	1.80%	0.82%	1.34%	0.44%	3.15%	1.01%	1.56%	1.46%	0.85%	0.99%	0.65%	2.06%	0.98%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	298	10	5	4	7	7	7	8	4	9	1	6	7	10	5	8	16	8	13	8	4	4	10	6	7	12	6	4	4	5	12	0	10	7	3	6	2	2	4	5	1	1	3	1	2	0	3	2	1	2	1	3	1	0	3	1	3	0	0	2	0	3	1	1	0	1	0	4	1	1					
		0.54%	0.90%	0.49%	0.31%	0.54%	0.41%	0.58%	0.63%	0.33%	0.74%	0.15%	0.55%	0.55%	0.66%	0.40%	0.66%	1.04%	0.56%	0.80%	0.67%	0.33%	0.34%	0.65%	0.44%	0.39%	0.90%	0.42%	0.31%	0.30%	0.37%	1.04%	0.0%	0.73%	0.69%	0.60%	0.34%	0.44%	0.45%	0.76%	0.85%	0.42%	0.27%	1.18%	0.52%	0.50%	0.0%	0.51%	1.52%	0.29%	0.60%	0.50%	0.48%	0.84%	0.0%	3.37%	0.60%	1.23%	0.0%	0.0%	1.05%	0.0%	1.56%	0.36%	0.85%	0.0%	0.32%	0.0%	0.78%	1.35%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	166	2	3	1	6	4	2	2	7	1	2	1	4	3	1	0	4	1	6	1	2	1	5	1	4	3	1	2	6	11	4	12	3	0	0	1	0	1	3	10	2	1	1	0	1	0	7	0	1	1	0	6	1	3	0	0	1	1	1	1	3	1	1	3	4	1	1	2	0	1					
		0.30%	0.18%	0.29%	0.07%	0.46%	0.23%	0.16%	0.15%	0.58%	0.08%	0.31%	0.09%	0.31%	0.19%	0.08%	0.0%	0.26%	0.07%	0.37%	0.08%	0.16%	0.08%	0.32%	0.07%	0.22%	0.22%	0.07%	0.15%	0.45%	0.82%	0.34%	0.96%	0.21%	0.0%	0.0%	0.05%	0.0%	0.22%	0.57%	1.71%	0.85%	0.27%	0.39%	0.0%	0.25%	0.0%	1.20%	0.0%	0.29%	0.30%	0.0%	0.96%	0.84%	0.98%	0.0%	0.0%	0.41%	0.33%	0.44%	0.52%	1.01%	0.52%	0.36%	2.56%	0.79%	0.32%	0.51%	0.39%	0.0%	0.46%					
24	"7. ""Новый курс - Автомобильная Россия"""	580	13	13	15	21	30	18	17	18	20	4	9	11	17	15	16	23	15	20	21	13	14	19	20	25	24	10	11	21	11	5	16	13	14	7	6	2	1	1	4	0	0	1	2	1	1	1	0	4	0	0	2	0	1	1	0	1	0	0	0	1	0	3	2	1	0	0	3	0	2					
		1.06%	1.18%	1.28%	1.16%	1.62%	1.75%	1.50%	1.35%	1.49%	1.64%	0.62%	0.83%	0.87%	1.13%	1.22%	1.32%	1.50%	1.06%	1.24%	1.78%	1.08%	1.20%	1.23%	1.49%	1.40%	1.81%	0.71%	0.87%	1.58%	0.82%	0.43%	1.28%	0.94%	1.39%	1.41%	0.34%	0.44%	0.22%	0.19%	0.68%	0.0%	0.0%	0.39%	1.05%	0.25%	4.76%	0.17%	0.0%	1.16%	0.0%	0.0%	0.32%	0.0%	0.32%	1.12%	0.0%	0.41%	0.0%	0.0%	0.0%	0.33%	0.0%	1.09%	1.70%	0.19%	0.0%	0.0%	0.58%	0.0%	0.93%					
25	"8. ""Народно-республиканская партия России"""	120	3	3	2	2	2	2	2	1	7	0	2	2	1	4	1	1	1	2	4	3	1	4	5	3	0	1	0	3	2	0	2	0	2	3	0	2	0	2	1	5	6	1	2	0	0	1	2	1	0	1	0	0	2	0	1	2	3	2	1	1	1	2	1	1	2	0	3	0	3					
		0.21%	0.27%	0.29%	0.15%	0.15%	0.11%	0.16%	0.15%	0.08%	0.57%	0.0%	0.18%	0.15%	0.06%	0.32%	0.08%	0.06%	0.07%	0.12%	0.33%	0.25%	0.08%	0.26%	0.37%	0.16%	0.0%	0.07%	0.0%	0.22%	0.15%	0.0%	0.16%	0.0%	0.19%	0.60%	0.0%	0.44%	0.0%	0.38%	0.17%	2.13%	1.65%	0.39%	1.05%	0.0%	0.0%	0.17%	1.52%	0.29%	0.0%	0.50%	0.0%	0.0%	0.65%	0.0%	0.60%	0.82%	1.00%	0.88%	0.52%	0.33%	0.52%	0.73%	0.85%	0.19%	0.65%	0.0%	0.58%	0.0%	1.40%					
26	"9. ""Российская экологическая партия ""Зеленые"""	201	9	6	3	6	5	1	6	6	7	4	7	9	5	9	9	4	10	1	3	2	5	8	3	8	4	4	3	6	6	4	5	4	6	1	0	1	1	1	2	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	4	0	3	1	0	0					
		0.36%	0.81%	0.59%	0.23%	0.46%	0.29%	0.08%	0.47%	0.49%	0.57%	0.62%	0.65%	0.71%	0.33%	0.73%	0.74%	0.26%	0.70%	0.06%	0.25%	0.16%	0.43%	0.52%	0.22%	0.44%	0.30%	0.28%	0.23%	0.45%	0.45%	0.34%	0.40%	0.29%	0.59%	0.20%	0.0%	0.22%	0.22%	0.19%	0.34%	0.85%	0.27%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	1.00%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	1.54%	0.19%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	2322	34	44	27	39	54	32	28	31	35	30	29	37	44	35	35	36	24	50	37	40	34	62	41	37	45	40	24	36	46	28	27	56	35	12	56	19	44	56	62	36	87	35	5	10	1	33	14	12	32	9	110	4	20	6	17	51	44	24	15	37	18	17	11	78	31	11	54	8	11					
		4.25%	3.09%	4.33%	2.09%	3.01%	3.16%	2.67%	2.22%	2.57%	2.88%	4.65%	2.70%	2.94%	2.93%	2.85%	2.89%	2.35%	1.70%	3.10%	3.14%	3.33%	2.92%	4.04%	3.06%	2.07%	3.39%	2.84%	1.91%	2.72%	3.46%	2.42%	2.17%	4.09%	3.47%	2.43%	3.17%	4.25%	10.0%	10.76%	10.61%	15.38%	23.96%	13.77%	2.64%	2.51%	4.76%	5.67%	10.68%	3.48%	9.69%	4.52%	17.68%	3.36%	6.57%	6.74%	10.24%	21.07%	14.76%	10.61%	7.89%	12.5%	9.37%	6.22%	9.40%	15.50%	10.13%	5.67%	10.60%	10.81%	5.14%					
28	"11. ""Истинные патриоты России"""	146	4	3	6	3	4	2	9	2	0	2	3	2	5	3	0	2	1	3	1	6	3	1	2	1	5	7	1	1	1	1	8	9	8	3	5	0	5	0	1	1	1	1	2	2	0	0	0	0	0	4	1	0	1	1	1	0	0	1	0	0	0	2	1	3	0	0	0	0	1					
		0.26%	0.36%	0.29%	0.46%	0.23%	0.23%	0.16%	0.71%	0.16%	0.0%	0.31%	0.27%	0.15%	0.33%	0.24%	0.0%	0.13%	0.07%	0.18%	0.08%	0.5%	0.25%	0.06%	0.14%	0.05%	0.37%	0.49%	0.07%	0.07%	0.07%	0.08%	0.64%	0.65%	0.79%	0.60%	0.28%	0.0%	1.13%	0.0%	0.17%	0.42%	0.27%	0.39%	1.05%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	2.01%	0.16%	0.0%	0.32%	1.12%	0.60%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.73%	0.85%	0.59%	0.0%	0.0%	0.0%	0.0%	0.46%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	462	11	8	9	13	14	6	10	6	19	4	10	16	15	7	8	13	7	10	9	10	8	21	3	12	6	10	4	16	14	10	14	9	7	5	11	1	6	5	7	0	4	1	3	9	1	10	1	11	4	3	7	1	0	1	0	2	0	1	5	5	1	1	0	2	5	1	3	1	5					
		0.84%	1.0%	0.78%	0.69%	1.00%	0.82%	0.50%	0.79%	0.49%	1.56%	0.62%	0.93%	1.27%	0.99%	0.57%	0.66%	0.85%	0.49%	0.62%	0.76%	0.83%	0.68%	1.36%	0.22%	0.67%	0.45%	0.71%	0.31%	1.20%	1.05%	0.86%	1.12%	0.65%	0.69%	1.01%	0.62%	0.22%	1.36%	0.96%	1.19%	0.0%	1.10%	0.39%	1.58%	2.26%	4.76%	1.71%	0.76%	3.19%	1.21%	1.50%	1.12%	0.84%	0.0%	1.12%	0.0%	0.82%	0.0%	0.44%	2.63%	1.68%	0.52%	0.36%	0.0%	0.39%	1.63%	0.51%	0.58%	1.35%	2.33%					
30	"13. ""Демократическая партия России"""	222	5	4	2	8	11	7	2	6	2	2	2	1	5	3	2	3	10	3	4	3	3	6	6	9	3	5	4	5	13	7	4	2	4	3	11	3	1	1	5	0	1	0	0	0	0	4	0	2	1	1	2	0	0	1	0	4	2	0	1	0	0	1	0	1	0	19	0	0	2					
		0.40%	0.45%	0.39%	0.15%	0.61%	0.64%	0.58%	0.15%	0.49%	0.16%	0.31%	0.18%	0.07%	0.33%	0.24%	0.16%	0.19%	0.70%	0.18%	0.33%	0.25%	0.25%	0.39%	0.44%	0.50%	0.22%	0.35%	0.31%	0.37%	0.97%	0.60%	0.32%	0.14%	0.39%	0.60%	0.62%	0.67%	0.22%	0.19%	0.85%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.58%	0.30%	0.50%	0.32%	0.0%	0.0%	1.12%	0.0%	1.65%	0.67%	0.0%	0.52%	0.0%	0.0%	0.36%	0.0%	0.19%	0.0%	9.79%	0.0%	0.0%	0.93%					
31	"14. ""Великая Россия - Евразийский Союз"""	155	6	6	3	3	3	3	0	6	1	0	3	8	2	7	4	2	5	5	5	3	3	3	1	9	0	2	2	6	0	4	1	2	5	1	6	1	0	1	3	2	2	0	4	1	0	0	0	1	1	0	2	2	0	1	1	1	2	0	1	2	0	0	5	0	1	0	1	0	0					
		0.28%	0.54%	0.59%	0.23%	0.23%	0.17%	0.25%	0.0%	0.49%	0.08%	0.0%	0.27%	0.63%	0.13%	0.57%	0.33%	0.13%	0.35%	0.31%	0.42%	0.25%	0.25%	0.19%	0.07%	0.50%	0.0%	0.14%	0.15%	0.45%	0.0%	0.34%	0.08%	0.14%	0.49%	0.20%	0.34%	0.22%	0.0%	0.19%	0.51%	0.85%	0.55%	0.0%	2.11%	0.25%	0.0%	0.0%	0.0%	0.29%	0.30%	0.0%	0.32%	1.68%	0.0%	1.12%	0.60%	0.41%	0.67%	0.0%	0.52%	0.67%	0.0%	0.0%	4.27%	0.0%	0.32%	0.0%	0.19%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	97	1	2	3	3	7	3	1	0	1	0	7	4	1	6	4	3	5	2	1	3	2	1	0	4	4	0	0	3	2	0	6	0	1	1	0	2	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	2	0	1	0	0	0					
		0.17%	0.09%	0.19%	0.23%	0.23%	0.41%	0.25%	0.07%	0.0%	0.08%	0.0%	0.65%	0.31%	0.06%	0.48%	0.33%	0.19%	0.35%	0.12%	0.08%	0.25%	0.17%	0.06%	0.0%	0.22%	0.30%	0.0%	0.0%	0.22%	0.15%	0.0%	0.48%	0.0%	0.09%	0.20%	0.0%	0.44%	0.22%	0.19%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.16%	0.0%	0.32%	1.12%	0.0%	0.0%	0.33%	0.44%	0.0%	0.33%	0.0%	0.0%	0.85%	0.39%	0.0%	0.51%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4363	102	78	109	104	129	128	147	110	108	53	98	127	201	138	169	162	156	161	128	152	112	147	140	200	92	90	62	69	78	81	71	64	48	30	107	22	5	51	47	7	6	7	9	30	3	22	4	13	20	4	14	7	14	2	2	12	20	6	5	11	5	9	2	20	5	4	16	0	8					
		7.99%	9.27%	7.68%	8.44%	8.03%	7.56%	10.71%	11.70%	9.13%	8.88%	8.22%	9.14%	10.09%	13.39%	11.24%	13.95%	10.60%	11.07%	10.00%	10.86%	12.66%	9.63%	9.58%	10.46%	11.21%	6.94%	6.41%	4.94%	5.21%	5.87%	7.02%	5.72%	4.67%	4.77%	6.08%	6.07%	4.92%	1.13%	9.80%	8.04%	2.99%	1.65%	2.75%	4.76%	7.53%	14.28%	3.78%	3.05%	3.77%	6.06%	2.01%	2.25%	5.88%	4.60%	2.24%	1.20%	4.95%	6.71%	2.65%	2.63%	3.71%	2.60%	3.29%	1.70%	3.97%	1.63%	2.06%	3.14%	0.0%	3.73%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	191	2	6	6	5	4	3	3	7	4	3	1	4	6	4	2	2	2	6	5	4	1	2	3	6	6	4	2	1	6	4	6	6	7	1	4	2	1	1	3	2	0	2	0	2	0	3	0	0	0	0	2	4	1	1	0	5	1	1	1	1	1	2	2	5	1	3	4	2	0					
		0.35%	0.18%	0.59%	0.46%	0.38%	0.23%	0.25%	0.23%	0.58%	0.32%	0.46%	0.09%	0.31%	0.39%	0.32%	0.16%	0.13%	0.14%	0.37%	0.42%	0.33%	0.08%	0.13%	0.22%	0.33%	0.45%	0.28%	0.15%	0.07%	0.45%	0.34%	0.48%	0.43%	0.69%	0.20%	0.22%	0.44%	0.22%	0.19%	0.51%	0.85%	0.0%	0.78%	0.0%	0.50%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.32%	3.36%	0.32%	1.12%	0.0%	2.06%	0.33%	0.44%	0.52%	0.33%	0.52%	0.73%	1.70%	0.99%	0.32%	1.54%	0.78%	2.70%	0.0%					
35	"18. ""ЛДПР"""	8085	194	142	206	258	229	206	194	212	203	100	177	202	234	143	182	238	235	277	194	213	190	249	194	317	197	179	199	237	201	132	161	176	154	55	247	51	48	100	72	18	22	20	24	42	0	38	9	45	42	33	101	16	42	6	16	13	42	22	31	19	24	15	18	32	56	17	72	5	47					
		14.81%	17.63%	13.99%	15.96%	19.93%	13.42%	17.23%	15.44%	17.60%	16.70%	15.52%	16.51%	16.05%	15.58%	11.65%	15.02%	15.57%	16.67%	17.21%	16.46%	17.75%	16.35%	16.23%	14.49%	17.76%	14.87%	12.74%	15.88%	17.91%	15.13%	11.44%	12.97%	12.85%	15.30%	11.15%	14.01%	11.40%	10.90%	19.23%	12.32%	7.69%	6.06%	7.87%	12.69%	10.55%	0.0%	6.52%	6.87%	13.08%	12.72%	16.58%	16.23%	13.44%	13.81%	6.74%	9.63%	5.37%	14.09%	9.73%	16.31%	6.41%	12.5%	5.49%	15.38%	6.36%	18.30%	8.76%	14.14%	6.75%	21.96%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1569	38	37	36	39	55	43	34	53	50	14	30	38	51	29	33	34	43	60	24	34	40	38	38	55	33	49	34	30	45	48	44	52	29	12	37	9	8	8	13	5	5	7	5	13	1	19	3	11	14	9	17	0	4	2	3	4	5	3	3	8	2	2	2	9	6	0	10	0	0					
