Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
Наименование Избирательной комиссии:    Тюменская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3699	98	105	150	55	112	97	18	18	8	22	146	164	188	185	92	22	15	21	86	33	15	125	23	60	22	98	13	21	141	73	49	14	95	101	31	10	17	20	5	16	9	26	64	14	15	18	10	91	5	13	65	31	33	30	7	15	62	120	64	2	14	221	49	4	27	5	73	13	15					
		6.48%	11.17%	11.97%	12.91%	5.31%	7.50%	13.07%	8.74%	2.11%	5.23%	0.93%	10.35%	9.07%	10.87%	11.66%	8.95%	1.56%	1.97%	2.36%	9.72%	4.39%	3.83%	9.85%	1.59%	5.30%	5.26%	11.82%	7.07%	5.36%	7.83%	3.56%	10.23%	4.07%	8.83%	9.95%	3.27%	6.58%	1.38%	1.65%	2.03%	3.38%	1.26%	4.99%	8.41%	6.39%	7.14%	12.00%	5.13%	4.57%	2.05%	6.37%	3.11%	7.36%	3.78%	5.55%	6.67%	1.95%	7.89%	7.40%	11.41%	3.17%	8.14%	11.66%	11.06%	1.84%	9.54%	2.03%	7.67%	3.62%	3.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8197	67	108	284	162	171	197	46	91	18	94	406	100	497	416	291	78	50	56	233	106	25	403	43	139	28	224	57	4	271	259	164	12	330	197	86	12	108	94	35	56	57	26	103	27	51	36	19	106	21	50	30	48	72	30	13	30	198	373	114	6	62	501	26	15	52	24	32	12	45					
		14.35%	7.64%	12.31%	24.44%	15.64%	11.45%	26.55%	22.33%	10.67%	11.76%	3.98%	28.79%	5.53%	28.74%	26.21%	28.31%	5.55%	6.58%	6.29%	26.33%	14.10%	6.38%	31.76%	2.97%	12.28%	6.70%	27.02%	30.98%	1.02%	15.05%	12.62%	34.24%	3.49%	30.67%	19.41%	9.06%	7.89%	8.76%	7.77%	14.23%	11.81%	7.98%	4.99%	13.53%	12.33%	24.29%	24.00%	9.74%	5.32%	8.61%	24.51%	1.44%	11.40%	8.26%	5.55%	12.38%	3.89%	25.19%	22.99%	20.32%	9.52%	36.05%	26.44%	5.87%	6.91%	18.37%	9.76%	3.36%	3.34%	11.11%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	535	10	12	9	6	15	20	3	4	4	23	21	17	21	27	11	3	8	6	8	2	3	15	7	8	2	12	2	3	16	18	7	2	21	11	4	2	16	13	3	5	3	3	9	0	4	3	2	8	2	1	13	2	5	2	0	5	8	3	5	1	1	27	5	0	5	1	11	2	4					
		0.94%	1.14%	1.37%	0.77%	0.58%	1.00%	2.70%	1.46%	0.47%	2.61%	0.97%	1.49%	0.94%	1.21%	1.70%	1.07%	0.21%	1.05%	0.67%	0.90%	0.27%	0.77%	1.18%	0.48%	0.71%	0.48%	1.45%	1.09%	0.77%	0.89%	0.88%	1.46%	0.58%	1.95%	1.08%	0.42%	1.32%	1.30%	1.07%	1.22%	1.05%	0.42%	0.58%	1.18%	0.00%	1.90%	2.00%	1.03%	0.40%	0.82%	0.49%	0.62%	0.48%	0.57%	0.37%	0.00%	0.65%	1.02%	0.18%	0.89%	1.59%	0.58%	1.42%	1.13%	0.00%	1.77%	0.41%	1.16%	0.56%	0.99%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7522	277	156	208	74	193	104	19	82	6	31	302	278	329	315	171	30	37	69	108	69	24	207	336	110	59	171	39	58	332	207	72	34	205	131	63	22	92	101	10	29	108	56	98	30	22	15	28	350	16	24	32	67	112	64	11	96	132	248	57	22	6	301	138	12	39	31	203	26	18					
		13.17%	31.58%	17.79%	17.90%	7.14%	12.92%	14.02%	9.22%	9.61%	3.92%	1.31%	21.42%	15.37%	19.03%	19.85%	16.63%	2.13%	4.87%	7.75%	12.20%	9.18%	6.12%	16.31%	23.19%	9.72%	14.11%	20.63%	21.20%	14.80%	18.43%	10.08%	15.03%	9.88%	19.05%	12.91%	6.64%	14.47%	7.46%	8.35%	4.07%	6.12%	15.13%	10.75%	12.88%	13.70%	10.48%	10.00%	14.36%	17.57%	6.56%	11.76%	1.53%	15.91%	12.84%	11.83%	10.48%	12.45%	16.79%	15.29%	10.16%	34.92%	3.49%	15.88%	31.15%	5.53%	13.78%	12.60%	21.32%	7.24%	4.44%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	679	7	18	16	15	12	7	1	7	1	7	31	43	33	43	17	3	7	13	10	12	1	20	4	15	7	22	1	1	23	28	1	3	20	32	9	1	6	6	2	3	21	4	7	3	4	1	0	8	3	3	10	9	16	1	0	11	6	11	3	0	0	26	3	0	4	2	9	0	6					
		1.19%	0.80%	2.05%	1.38%	1.45%	0.80%	0.94%	0.49%	0.82%	0.65%	0.30%	2.20%	2.38%	1.91%	2.71%	1.65%	0.21%	0.92%	1.46%	1.13%	1.60%	0.26%	1.58%	0.28%	1.33%	1.67%	2.65%	0.54%	0.26%	1.28%	1.36%	0.21%	0.87%	1.86%	3.15%	0.95%	0.66%	0.49%	0.50%	0.81%	0.63%	2.94%	0.77%	0.92%	1.37%	1.90%	0.67%	0.00%	0.40%	1.23%	1.47%	0.48%	2.14%	1.83%	0.18%	0.00%	1.43%	0.76%	0.68%	0.53%	0.00%	0.00%	1.37%	0.68%	0.00%	1.41%	0.81%	0.95%	0.00%	1.48%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	35289	373	466	475	715	973	308	115	643	115	2147	466	1173	611	564	427	1265	638	712	422	525	324	453	1023	768	299	286	64	295	987	1436	174	194	380	489	755	105	988	969	190	364	501	403	462	144	112	70	134	1412	196	106	1923	255	622	411	74	605	361	858	309	32	87	800	213	186	150	181	596	261	149					
		61.77%	42.53%	53.14%	40.88%	69.02%	65.13%	41.51%	55.83%	75.38%	75.16%	90.97%	33.05%	64.84%	35.34%	35.54%	41.54%	89.97%	83.95%	80.00%	47.68%	69.81%	82.65%	35.70%	70.60%	67.84%	71.53%	34.50%	34.78%	75.26%	54.80%	69.95%	36.33%	56.40%	35.32%	48.18%	79.56%	69.08%	80.13%	80.08%	77.24%	76.79%	70.17%	77.35%	60.71%	65.75%	53.33%	46.67%	68.72%	70.88%	80.33%	51.96%	92.01%	60.57%	71.33%	75.97%	70.48%	78.47%	45.93%	52.90%	55.08%	50.79%	50.58%	42.22%	48.08%	85.71%	53.00%	73.58%	62.61%	72.70%	36.79%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	277	5	5	3	1	8	3	0	2	0	36	8	14	12	12	5	1	5	6	4	4	0	10	2	6	1	2	3	4	11	5	6	1	2	11	1	0	6	6	1	1	12	1	0	1	0	3	0	12	1	3	2	2	3	3	0	2	3	1	1	0	0	7	0	0	1	0	4	0	2					
		0.48%	0.57%	0.57%	0.26%	0.10%	0.54%	0.40%	0.00%	0.23%	0.00%	1.53%	0.57%	0.77%	0.69%	0.76%	0.49%	0.07%	0.66%	0.67%	0.45%	0.53%	0.00%	0.79%	0.14%	0.53%	0.24%	0.24%	1.63%	1.02%	0.61%	0.24%	1.25%	0.29%	0.19%	1.08%	0.11%	0.00%	0.49%	0.50%	0.41%	0.21%	1.68%	0.19%	0.00%	0.46%	0.00%	2.00%	0.00%	0.60%	0.41%	1.47%	0.10%	0.48%	0.34%	0.55%	0.00%	0.26%	0.38%	0.06%	0.18%	0.00%	0.00%	0.37%	0.00%	0.00%	0.35%	0.00%	0.42%	0.00%	0.49%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
