Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
Наименование Избирательной комиссии:    Тюменская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	1.Политическая партия «Аграрная партия России»	937	12	7	4	0	3	11	5	22	13	7	4	9	10	4	53	12	37	34	11	8	23	13	8	0	21	42	0	3	49	21	3	46	35	2	8	20	27	12	26	1	3	17	14	13	2	8	6	6	0	1	38	0	4	32	23	8	4	11	4	20	13	54	8	1	2	15	3	1					
		1.51%	2.73%	2.42%	1.18%	0.00%	0.31%	2.21%	0.53%	1.61%	1.19%	0.86%	1.19%	0.65%	1.03%	2.17%	2.80%	0.63%	1.88%	1.78%	0.55%	0.73%	1.88%	1.20%	0.78%	0.00%	1.46%	2.28%	0.00%	0.71%	6.16%	8.30%	0.82%	2.27%	1.58%	0.35%	2.17%	1.67%	2.96%	1.09%	1.08%	0.60%	1.21%	3.71%	2.53%	0.85%	0.40%	1.14%	2.82%	3.08%	0.00%	0.47%	1.94%	0.00%	1.93%	1.41%	2.52%	1.63%	3.74%	0.84%	1.08%	2.49%	1.59%	3.17%	1.61%	1.30%	1.23%	0.75%	0.30%	0.54%					
19	2.Всероссийская политическая партия «Гражданская Сила»	270	5	0	1	2	2	2	2	9	1	3	3	5	3	0	16	13	16	15	4	3	4	5	1	0	5	5	0	1	1	2	2	6	8	3	6	9	6	4	8	0	1	0	11	12	1	0	3	0	0	0	11	0	1	6	8	0	0	6	1	2	1	12	3	0	0	5	4	1					
		0.43%	1.14%	0.00%	0.29%	0.61%	0.21%	0.40%	0.21%	0.66%	0.09%	0.37%	0.89%	0.36%	0.31%	0.00%	0.85%	0.68%	0.81%	0.79%	0.20%	0.27%	0.33%	0.46%	0.10%	0.00%	0.35%	0.27%	0.00%	0.24%	0.13%	0.79%	0.55%	0.30%	0.36%	0.52%	1.63%	0.75%	0.66%	0.36%	0.33%	0.00%	0.40%	0.00%	1.99%	0.78%	0.20%	0.00%	1.41%	0.00%	0.00%	0.00%	0.56%	0.00%	0.48%	0.26%	0.88%	0.00%	0.00%	0.46%	0.27%	0.25%	0.12%	0.70%	0.60%	0.00%	0.00%	0.25%	0.40%	0.54%					
20	3.Политическая партия «Демократическая партия России»	74	1	0	0	2	2	0	1	4	0	2	0	1	0	0	4	1	4	1	5	1	0	2	0	0	1	0	0	0	1	0	0	5	6	1	0	2	2	2	5	0	0	0	1	3	0	1	0	0	0	0	2	0	0	1	2	0	0	0	0	2	1	1	1	0	0	3	0	0					
		0.12%	0.23%	0.00%	0.00%	0.61%	0.21%	0.00%	0.11%	0.29%	0.00%	0.25%	0.00%	0.07%	0.00%	0.00%	0.21%	0.05%	0.20%	0.05%	0.25%	0.09%	0.00%	0.19%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.25%	0.27%	0.17%	0.00%	0.17%	0.22%	0.18%	0.21%	0.00%	0.00%	0.00%	0.18%	0.20%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.04%	0.22%	0.00%	0.00%	0.00%	0.00%	0.25%	0.12%	0.06%	0.20%	0.00%	0.00%	0.15%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3949	53	11	8	33	26	24	49	110	68	38	3	80	26	9	168	156	198	136	53	92	81	55	49	36	90	161	80	40	77	11	19	131	180	33	19	67	46	38	228	6	4	23	30	107	22	41	14	6	8	11	83	14	10	136	67	29	5	100	17	41	59	107	9	10	6	136	64	2					
		6.36%	12.07%	3.81%	2.35%	10.03%	2.69%	4.82%	5.18%	8.06%	6.25%	4.66%	0.89%	5.74%	2.67%	4.89%	8.89%	8.15%	10.05%	7.14%	2.65%	8.39%	6.61%	5.09%	4.76%	7.44%	6.25%	8.73%	5.01%	9.41%	9.67%	4.35%	5.19%	6.46%	8.13%	5.72%	5.16%	5.60%	5.05%	3.44%	9.49%	3.59%	1.61%	5.02%	5.42%	6.96%	4.44%	5.82%	6.57%	3.08%	5.00%	5.21%	4.23%	6.22%	4.83%	5.98%	7.35%	5.91%	4.67%	7.60%	4.57%	5.11%	7.21%	6.28%	1.81%	12.99%	3.70%	6.82%	6.48%	1.09%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	227	0	0	0	1	0	3	4	3	4	3	0	2	2	0	16	5	16	6	4	2	11	9	3	0	4	10	0	1	5	3	1	5	5	0	1	3	2	6	13	0	2	0	9	5	1	5	3	0	1	0	8	0	0	12	5	1	0	7	2	2	0	5	1	0	0	4	0	1					
		0.37%	0.00%	0.00%	0.00%	0.30%	0.00%	0.60%	0.42%	0.22%	0.37%	0.37%	0.00%	0.14%	0.21%	0.00%	0.85%	0.26%	0.81%	0.31%	0.20%	0.18%	0.90%	0.83%	0.29%	0.00%	0.28%	0.54%	0.00%	0.24%	0.63%	1.19%	0.27%	0.25%	0.23%	0.00%	0.27%	0.25%	0.22%	0.54%	0.54%	0.00%	0.81%	0.00%	1.63%	0.33%	0.20%	0.71%	1.41%	0.00%	0.63%	0.00%	0.41%	0.00%	0.00%	0.53%	0.55%	0.20%	0.00%	0.53%	0.54%	0.25%	0.00%	0.29%	0.20%	0.00%	0.00%	0.20%	0.00%	0.54%					
23	6.Политическая партия «Партия социальной справедливости»	125	1	1	2	1	6	0	2	5	1	1	0	1	1	0	4	5	7	4	5	3	4	2	6	0	4	0	0	1	3	3	1	1	5	0	0	4	1	1	6	0	0	0	3	5	0	0	0	0	0	0	2	0	1	4	4	0	0	1	0	0	1	5	0	0	1	6	0	0					
		0.20%	0.23%	0.35%	0.59%	0.30%	0.62%	0.00%	0.21%	0.37%	0.09%	0.12%	0.00%	0.07%	0.10%	0.00%	0.21%	0.26%	0.36%	0.21%	0.25%	0.27%	0.33%	0.19%	0.58%	0.00%	0.28%	0.00%	0.00%	0.24%	0.38%	1.19%	0.27%	0.05%	0.23%	0.00%	0.00%	0.33%	0.11%	0.09%	0.25%	0.00%	0.00%	0.00%	0.54%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.48%	0.18%	0.44%	0.00%	0.00%	0.08%	0.00%	0.00%	0.12%	0.29%	0.00%	0.00%	0.62%	0.30%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	5312	15	31	11	29	17	52	17	124	78	52	21	115	95	29	254	195	264	236	166	124	155	130	61	57	95	38	58	20	122	41	2	214	249	91	25	192	95	61	95	5	6	70	60	140	23	34	13	26	12	8	69	17	32	63	125	22	5	58	17	45	117	197	49	3	10	260	100	0					
		8.55%	3.42%	10.73%	3.24%	8.81%	1.76%	10.44%	1.80%	9.09%	7.17%	6.38%	6.25%	8.26%	9.76%	15.76%	13.44%	10.19%	13.40%	12.38%	8.30%	11.30%	12.65%	12.04%	5.92%	11.78%	6.59%	2.06%	3.63%	4.71%	15.33%	16.21%	0.55%	10.55%	11.25%	15.77%	6.79%	16.05%	10.43%	5.52%	3.95%	2.99%	2.42%	15.28%	10.85%	9.11%	4.65%	4.83%	6.10%	13.33%	7.50%	3.79%	3.52%	7.56%	15.46%	2.77%	13.71%	4.48%	4.67%	4.41%	4.57%	5.60%	14.30%	11.55%	9.88%	3.90%	6.17%	13.03%	10.12%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2376	8	5	6	0	17	25	10	64	37	28	8	42	22	6	132	43	148	109	68	40	48	64	32	36	32	35	11	8	77	10	3	85	134	22	8	51	52	22	47	2	3	17	30	56	14	25	11	4	9	1	63	0	6	100	50	8	1	78	15	30	28	99	22	0	14	63	31	1					
		3.83%	1.82%	1.73%	1.76%	0.00%	1.76%	5.02%	1.06%	4.69%	3.40%	3.44%	2.38%	3.02%	2.26%	3.26%	6.98%	2.25%	7.51%	5.72%	3.40%	3.65%	3.92%	5.93%	3.11%	7.44%	2.22%	1.90%	0.69%	1.88%	9.67%	3.95%	0.82%	4.19%	6.06%	3.81%	2.17%	4.26%	5.71%	1.99%	1.96%	1.20%	1.21%	3.71%	5.42%	3.64%	2.83%	3.55%	5.16%	2.05%	5.63%	0.47%	3.21%	0.00%	2.90%	4.40%	5.48%	1.63%	0.93%	5.93%	4.03%	3.74%	3.42%	5.81%	4.44%	0.00%	8.64%	3.16%	3.14%	0.54%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	552	6	0	1	0	8	3	7	14	14	18	5	7	7	0	18	25	17	16	7	7	9	8	5	1	11	37	6	7	8	6	2	12	19	8	1	16	17	9	19	0	3	3	5	9	3	9	4	2	0	1	17	0	3	18	14	0	0	11	9	4	6	24	4	0	0	13	8	1					
		0.89%	1.37%	0.00%	0.29%	0.00%	0.83%	0.60%	0.74%	1.03%	1.29%	2.21%	1.49%	0.50%	0.72%	0.00%	0.95%	1.31%	0.86%	0.84%	0.35%	0.64%	0.73%	0.74%	0.49%	0.21%	0.76%	2.01%	0.38%	1.65%	1.01%	2.37%	0.55%	0.59%	0.86%	1.39%	0.27%	1.34%	1.87%	0.81%	0.79%	0.00%	1.21%	0.66%	0.90%	0.59%	0.61%	1.28%	1.88%	1.03%	0.00%	0.47%	0.87%	0.00%	1.45%	0.79%	1.54%	0.00%	0.00%	0.84%	2.42%	0.50%	0.73%	1.41%	0.81%	0.00%	0.00%	0.65%	0.81%	0.54%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	47231	331	233	303	260	879	345	834	952	856	652	287	1119	779	134	1191	1433	1213	1308	1653	778	864	777	824	354	1159	1489	1430	341	445	147	329	1499	1549	408	295	810	639	926	1931	146	223	326	380	1166	421	571	156	150	130	187	1642	191	144	1869	598	399	90	1026	272	647	578	1179	396	62	129	1460	760	177					
		76.04%	75.40%	80.62%	89.12%	79.03%	91.09%	69.28%	88.16%	69.79%	78.68%	80.00%	85.42%	80.33%	80.06%	72.83%	63.02%	74.91%	61.57%	68.63%	82.65%	70.92%	70.53%	71.94%	80.00%	73.14%	80.43%	80.75%	89.60%	80.24%	55.90%	58.10%	89.89%	73.92%	69.99%	70.71%	80.16%	67.73%	70.14%	83.80%	80.36%	87.43%	89.92%	71.18%	68.72%	75.86%	85.05%	81.11%	73.24%	76.92%	81.25%	88.63%	83.69%	84.89%	69.57%	82.15%	65.57%	81.26%	84.11%	77.96%	73.12%	80.57%	70.66%	69.15%	79.84%	80.52%	79.63%	73.18%	76.92%	96.20%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	336	0	1	2	1	2	1	5	10	11	2	3	4	2	0	13	16	20	13	6	2	15	5	4	0	7	15	0	1	6	3	2	4	11	6	0	6	9	13	19	0	2	0	7	5	1	3	0	0	0	0	17	0	1	11	3	1	0	6	3	2	4	6	1	0	0	11	12	0					
		0.54%	0.00%	0.35%	0.59%	0.30%	0.21%	0.20%	0.53%	0.73%	1.01%	0.25%	0.89%	0.29%	0.21%	0.00%	0.69%	0.84%	1.02%	0.68%	0.30%	0.18%	1.22%	0.46%	0.39%	0.00%	0.49%	0.81%	0.00%	0.24%	0.75%	1.19%	0.55%	0.20%	0.50%	1.04%	0.00%	0.50%	0.99%	1.18%	0.79%	0.00%	0.81%	0.00%	1.27%	0.33%	0.20%	0.43%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.48%	0.48%	0.33%	0.20%	0.00%	0.46%	0.81%	0.25%	0.49%	0.35%	0.20%	0.00%	0.00%	0.55%	1.21%	0.00%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
