Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Элистинская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1536	40	17	44	31	16	34	19	18	25	0	52	31	35	20	72	2	33	18	17	20	19	18	146	5	26	26	51	23	0	23	25	17	21	38	38	19	32	20	16	14	25	14	23	16	83	17	45	19	20	17	14	11	14	1	6	7	10	25	33	15					
14	Число погашенных неиспользованных открепительных удостоверений	270	0	15	2	2	11	0	5	0	0	0	6	5	6	1	7	0	1	8	2	3	9	3	13	6	11	15	5	7	0	3	2	2	9	0	1	0	12	12	5	12	6	8	1	20	9	0	4	6	4	0	0	1	0	0	5	0	1	2	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	1	3	1	0	1	0	0	1	0	1	0	0	0	1	3	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	1.Политическая партия «Аграрная партия России»	1551	54	23	35	14	28	40	22	35	39	1	35	29	38	13	29	0	45	14	16	19	22	34	64	15	20	45	15	14	1	39	30	36	41	10	48	30	23	31	38	32	43	28	22	39	21	27	39	29	20	8	40	2	7	0	15	34	3	19	24	14					
		3.12%	4.01%	2.84%	3.07%	1.39%	3.20%	3.56%	2.32%	3.65%	3.30%	0.55%	3.81%	3.34%	4.22%	1.55%	3.72%	0.00%	4.19%	2.02%	2.79%	2.81%	2.17%	2.63%	4.20%	3.63%	2.83%	4.29%	1.82%	1.45%	4.00%	3.80%	3.04%	3.96%	3.56%	1.25%	4.69%	3.21%	3.00%	3.17%	3.40%	3.18%	3.03%	3.88%	2.07%	3.70%	2.05%	5.83%	3.39%	3.52%	3.18%	2.95%	3.59%	1.34%	3.07%	0.00%	2.65%	3.32%	1.61%	2.33%	4.23%	1.72%					
19	2.Всероссийская политическая партия «Гражданская Сила»	424	11	3	6	6	2	7	13	5	14	0	7	13	17	5	11	1	19	4	4	1	8	12	6	1	10	14	13	4	0	12	10	4	12	8	7	6	6	5	12	8	9	1	11	10	5	1	17	12	4	0	15	0	7	0	0	6	0	7	6	6					
		0.85%	0.82%	0.37%	0.53%	0.60%	0.23%	0.62%	1.37%	0.52%	1.18%	0.00%	0.76%	1.50%	1.89%	0.59%	1.41%	1.54%	1.77%	0.58%	0.70%	0.15%	0.79%	0.93%	0.39%	0.24%	1.42%	1.33%	1.58%	0.41%	0.00%	1.17%	1.01%	0.44%	1.04%	1.00%	0.68%	0.64%	0.78%	0.51%	1.07%	0.80%	0.63%	0.14%	1.03%	0.95%	0.49%	0.22%	1.48%	1.46%	0.64%	0.00%	1.35%	0.00%	3.07%	0.00%	0.00%	0.59%	0.00%	0.86%	1.06%	0.74%					
20	3.Политическая партия «Демократическая партия России»	609	21	18	10	5	13	12	5	16	19	3	17	14	15	8	11	0	17	6	6	12	12	11	16	5	15	16	13	4	0	18	24	15	11	14	17	15	13	11	6	2	17	12	17	10	6	4	9	11	13	1	14	1	6	1	5	4	2	9	1	0					
		1.23%	1.56%	2.22%	0.88%	0.50%	1.49%	1.07%	0.53%	1.67%	1.61%	1.65%	1.85%	1.61%	1.66%	0.95%	1.41%	0.00%	1.58%	0.86%	1.05%	1.78%	1.18%	0.85%	1.05%	1.21%	2.12%	1.53%	1.58%	0.41%	0.00%	1.75%	2.43%	1.65%	0.96%	1.75%	1.66%	1.60%	1.70%	1.13%	0.54%	0.20%	1.20%	1.66%	1.60%	0.95%	0.59%	0.86%	0.78%	1.33%	2.07%	0.37%	1.26%	0.67%	2.63%	1.08%	0.88%	0.39%	1.08%	1.10%	0.18%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6891	198	102	160	165	108	151	129	118	147	18	216	136	139	126	104	3	179	120	100	83	135	141	118	57	105	173	153	121	3	136	152	134	156	95	131	137	104	154	171	186	200	98	133	144	95	70	165	150	98	50	157	10	13	6	65	67	12	133	57	104					
		13.88%	14.70%	12.61%	14.05%	16.39%	12.36%	13.43%	13.62%	12.29%	12.44%	9.89%	23.53%	15.65%	15.43%	14.98%	13.33%	4.62%	16.68%	17.29%	17.45%	12.30%	13.29%	10.91%	7.74%	13.80%	14.87%	16.49%	18.59%	12.50%	12.00%	13.24%	15.42%	14.73%	13.55%	11.89%	12.81%	14.64%	13.58%	15.76%	15.30%	18.51%	14.08%	13.57%	12.50%	13.66%	9.27%	15.12%	14.36%	18.20%	15.61%	18.45%	14.11%	6.71%	5.70%	6.45%	11.46%	6.55%	6.45%	16.32%	10.05%	12.79%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	580	18	14	17	9	3	13	16	14	11	0	22	13	11	7	15	0	12	10	4	8	13	26	10	3	13	11	8	7	0	12	17	16	9	7	6	11	12	14	14	10	11	9	11	9	12	7	11	12	11	1	8	0	2	1	4	16	0	8	8	3					
		1.17%	1.34%	1.73%	1.49%	0.89%	0.34%	1.16%	1.69%	1.46%	0.93%	0.00%	2.40%	1.50%	1.22%	0.83%	1.92%	0.00%	1.12%	1.44%	0.70%	1.19%	1.28%	2.01%	0.66%	0.73%	1.84%	1.05%	0.97%	0.72%	0.00%	1.17%	1.72%	1.76%	0.78%	0.88%	0.59%	1.18%	1.57%	1.43%	1.25%	0.99%	0.77%	1.25%	1.03%	0.85%	1.17%	1.51%	0.96%	1.46%	1.75%	0.37%	0.72%	0.00%	0.88%	1.08%	0.71%	1.56%	0.00%	0.98%	1.41%	0.37%					
23	6.Политическая партия «Партия социальной справедливости»	80	2	1	0	0	0	3	2	3	2	0	2	2	3	0	2	0	2	1	1	1	0	2	1	1	0	3	2	0	0	3	1	1	3	2	2	2	1	5	0	0	0	2	1	2	0	2	4	3	1	0	5	0	0	0	1	0	0	2	1	0					
		0.16%	0.15%	0.12%	0.00%	0.00%	0.00%	0.27%	0.21%	0.31%	0.17%	0.00%	0.22%	0.23%	0.33%	0.00%	0.26%	0.00%	0.19%	0.14%	0.17%	0.15%	0.00%	0.15%	0.07%	0.24%	0.00%	0.29%	0.24%	0.00%	0.00%	0.29%	0.10%	0.11%	0.26%	0.25%	0.20%	0.21%	0.13%	0.51%	0.00%	0.00%	0.00%	0.28%	0.09%	0.19%	0.00%	0.43%	0.35%	0.36%	0.16%	0.00%	0.45%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.25%	0.18%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2058	36	31	42	57	55	58	56	38	39	0	28	34	40	6	24	0	40	48	37	33	37	65	28	22	16	41	37	18	0	48	28	30	38	22	36	22	32	38	117	70	126	59	30	46	14	22	46	48	19	6	31	8	17	1	11	39	7	66	0	15					
		4.15%	2.67%	3.83%	3.69%	5.66%	6.29%	5.16%	5.91%	3.96%	3.30%	0.00%	3.05%	3.91%	4.44%	0.71%	3.08%	0.00%	3.73%	6.92%	6.46%	4.89%	3.64%	5.03%	1.84%	5.33%	2.27%	3.91%	4.50%	1.86%	0.00%	4.67%	2.84%	3.30%	3.30%	2.75%	3.52%	2.35%	4.18%	3.89%	10.47%	6.97%	8.87%	8.17%	2.82%	4.36%	1.37%	4.75%	4.00%	5.83%	3.03%	2.21%	2.79%	5.37%	7.46%	1.08%	1.94%	3.81%	3.76%	8.10%	0.00%	1.85%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4289	134	54	114	94	64	93	88	87	91	3	68	59	69	96	80	2	85	72	50	37	117	154	91	35	70	109	69	31	0	108	73	101	150	102	84	107	72	88	79	90	96	57	78	82	75	46	105	72	53	13	124	12	12	6	32	85	18	72	36	45					
		8.64%	9.95%	6.67%	10.01%	9.33%	7.32%	8.27%	9.29%	9.06%	7.70%	1.65%	7.41%	6.79%	7.66%	11.41%	10.26%	3.08%	7.92%	10.37%	8.73%	5.48%	11.52%	11.92%	5.97%	8.47%	9.92%	10.39%	8.38%	3.20%	0.00%	10.52%	7.40%	11.10%	13.03%	12.77%	8.21%	11.43%	9.40%	9.01%	7.07%	8.96%	6.76%	7.89%	7.33%	7.78%	7.32%	9.94%	9.14%	8.74%	8.44%	4.80%	11.14%	8.05%	5.26%	6.45%	5.64%	8.31%	9.68%	8.83%	6.35%	5.54%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	566	19	8	20	4	6	5	15	6	6	3	20	8	17	11	18	0	17	8	12	9	13	18	15	4	7	9	13	9	0	14	7	13	18	8	6	6	4	8	19	14	19	6	7	6	10	11	21	18	1	3	7	2	2	3	5	10	3	11	3	1					
		1.14%	1.41%	0.99%	1.76%	0.40%	0.69%	0.44%	1.58%	0.63%	0.51%	1.65%	2.18%	0.92%	1.89%	1.31%	2.31%	0.00%	1.58%	1.15%	2.09%	1.33%	1.28%	1.39%	0.98%	0.97%	0.99%	0.86%	1.58%	0.93%	0.00%	1.36%	0.71%	1.43%	1.56%	1.00%	0.59%	0.64%	0.52%	0.82%	1.70%	1.39%	1.34%	0.83%	0.66%	0.57%	0.98%	2.38%	1.83%	2.18%	0.16%	1.11%	0.63%	1.34%	0.88%	3.23%	0.88%	0.98%	1.61%	1.35%	0.53%	0.12%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	31719	838	541	711	637	587	720	584	625	795	151	479	545	529	560	470	59	628	405	338	462	643	798	1158	265	433	607	475	745	20	623	620	541	689	517	664	569	489	614	645	580	875	442	737	689	771	269	710	452	392	183	686	114	155	73	416	753	138	476	424	605					
		63.89%	62.21%	66.87%	62.42%	63.26%	67.16%	64.06%	61.67%	65.10%	67.26%	82.97%	52.18%	62.72%	58.71%	66.59%	60.26%	90.77%	58.53%	58.36%	58.99%	68.44%	63.29%	61.76%	75.93%	64.16%	61.33%	57.86%	57.72%	76.96%	80.00%	60.66%	62.88%	59.45%	59.86%	64.71%	64.91%	60.79%	63.84%	62.85%	57.69%	57.71%	61.62%	61.22%	69.27%	65.37%	75.22%	58.10%	61.79%	54.85%	62.42%	67.53%	61.64%	76.51%	67.98%	78.49%	73.37%	73.61%	74.19%	58.40%	74.78%	74.42%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	441	7	6	14	7	2	10	8	6	11	1	19	9	10	6	9	0	15	5	4	4	9	18	9	2	9	13	15	8	0	8	10	5	15	10	14	13	7	5	6	8	9	4	10	4	8	4	13	7	13	2	13	0	0	0	6	3	1	3	2	2					
		0.89%	0.52%	0.74%	1.23%	0.70%	0.23%	0.89%	0.84%	0.63%	0.93%	0.55%	2.07%	1.04%	1.11%	0.71%	1.15%	0.00%	1.40%	0.72%	0.70%	0.59%	0.89%	1.39%	0.59%	0.48%	1.27%	1.24%	1.82%	0.83%	0.00%	0.78%	1.01%	0.55%	1.30%	1.25%	1.37%	1.39%	0.91%	0.51%	0.54%	0.80%	0.63%	0.55%	0.94%	0.38%	0.78%	0.86%	1.13%	0.85%	2.07%	0.74%	1.17%	0.00%	0.00%	0.00%	1.06%	0.29%	0.54%	0.37%	0.35%	0.25%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
