Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Талицкая 																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №962	УИК №963	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №984	УИК №986	УИК №987									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	950	30	35	35	30	35	20	25	25	25	35	35	30	35	25	35	20	15	10	10	10	20	5	5	10	15	5	25	35	15	10	15	10	10	10	20	5	10	20	5	5	25	10	10	5	10	20	5	20	15	15	20	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	483	17	22	22	15	15	2	10	9	12	19	11	7	3	13	19	7	15	10	0	1	20	0	1	4	3	5	25	35	2	10	8	3	6	10	20	3	3	6	5	2	13	1	1	5	3	16	1	7	15	10	7	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	210	9	5	4	7	6	7	4	9	4	7	5	7	6	2	6	3	1	3	3	4	3	2	1	3	0	1	2	3	3	4	1	2	5	7	9	3	2	4	2	1	1	5	3	2	2	3	1	6	4	2	7	2	12									
14	Число погашенных неиспользованных открепительных удостоверений	467	13	13	13	15	20	18	15	16	13	16	24	23	32	12	16	13	0	0	10	9	0	5	4	6	12	0	0	0	13	0	7	7	4	0	0	2	7	14	0	3	12	9	9	0	7	4	4	13	0	5	13	16	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	2	0	2	5	1	0	0	0	0	2	0	2	0	0	1	0	0	0	2	0	0	1	0	2	0	2	0	1	4	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	176	11	6	11	11	8	1	0	4	5	8	7	12	6	3	9	2	0	3	0	2	3	2	0	4	1	1	0	2	3	1	0	0	1	1	2	1	1	5	1	0	10	0	2	2	3	1	0	3	2	1	9	5	0									
		1.14%	2.22%	0.77%	1.59%	1.75%	1.24%	0.46%	0.00%	0.92%	1.30%	1.38%	1.12%	2.25%	1.23%	0.67%	1.38%	0.95%	0.00%	1.37%	0.00%	2.50%	1.16%	2.44%	0.00%	1.65%	0.58%	1.16%	0.00%	0.84%	0.96%	0.42%	0.00%	0.00%	0.80%	0.49%	0.46%	0.94%	2.22%	1.71%	1.41%	0.00%	1.44%	0.00%	1.37%	2.30%	1.31%	0.47%	0.00%	0.77%	0.96%	0.36%	2.88%	1.14%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	439	9	17	13	19	19	10	7	4	7	14	14	12	15	15	27	4	0	6	4	5	15	5	2	10	5	1	4	13	7	19	15	3	1	6	18	2	0	5	1	2	20	0	5	5	6	3	5	10	3	8	5	13	1									
		2.84%	1.82%	2.19%	1.87%	3.03%	2.94%	4.63%	1.99%	0.92%	1.82%	2.41%	2.24%	2.25%	3.07%	3.36%	4.15%	1.90%	0.00%	2.74%	3.48%	6.25%	5.79%	6.10%	2.06%	4.13%	2.92%	1.16%	3.39%	5.44%	2.23%	7.92%	5.73%	3.06%	0.80%	2.94%	4.10%	1.89%	0.00%	1.71%	1.41%	5.88%	2.89%	0.00%	3.42%	5.75%	2.62%	1.42%	4.31%	2.58%	1.44%	2.87%	1.60%	2.97%	2.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	423	12	16	26	14	24	8	10	12	13	10	15	15	11	8	37	8	4	5	2	1	6	0	0	4	8	1	3	3	11	12	6	0	2	1	19	1	2	13	0	1	25	1	4	1	4	6	1	9	3	4	13	8	0									
		2.73%	2.42%	2.06%	3.75%	2.23%	3.71%	3.70%	2.84%	2.75%	3.38%	1.72%	2.40%	2.81%	2.25%	1.79%	5.68%	3.79%	5.19%	2.28%	1.74%	1.25%	2.32%	0.00%	0.00%	1.65%	4.68%	1.16%	2.54%	1.26%	3.50%	5.00%	2.29%	0.00%	1.60%	0.49%	4.33%	0.94%	4.44%	4.45%	0.00%	2.94%	3.61%	0.69%	2.74%	1.15%	1.75%	2.83%	0.86%	2.32%	1.44%	1.43%	4.17%	1.83%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7871	228	362	315	302	292	89	138	207	177	272	295	269	232	216	306	108	46	102	65	49	133	60	65	113	82	45	66	105	175	120	151	59	80	138	248	62	25	180	44	19	342	101	65	48	143	116	75	243	131	167	128	259	13									
		50.87%	46.06%	46.71%	45.39%	48.17%	45.13%	41.20%	39.20%	47.48%	45.97%	46.90%	47.12%	50.37%	47.44%	48.32%	47.00%	51.18%	59.74%	46.58%	56.52%	61.25%	51.35%	73.17%	67.01%	46.69%	47.95%	52.33%	55.93%	43.93%	55.73%	50.00%	57.63%	60.20%	64.00%	67.65%	56.49%	58.49%	55.56%	61.64%	61.97%	55.88%	49.35%	69.66%	44.52%	55.17%	62.45%	54.72%	64.66%	62.63%	62.98%	59.86%	41.03%	59.27%	32.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	97	2	11	3	7	6	0	2	2	6	1	6	1	4	3	3	3	0	1	1	1	1	0	0	3	1	1	1	2	0	2	1	0	0	1	1	1	1	1	0	0	6	0	1	0	2	1	0	0	1	3	1	2	0									
		0.63%	0.40%	1.42%	0.43%	1.12%	0.93%	0.00%	0.57%	0.46%	1.56%	0.17%	0.96%	0.19%	0.82%	0.67%	0.46%	1.42%	0.00%	0.46%	0.87%	1.25%	0.39%	0.00%	0.00%	1.24%	0.58%	1.16%	0.85%	0.84%	0.00%	0.83%	0.38%	0.00%	0.00%	0.49%	0.23%	0.94%	2.22%	0.34%	0.00%	0.00%	0.87%	0.00%	0.68%	0.00%	0.87%	0.47%	0.00%	0.00%	0.48%	1.08%	0.32%	0.46%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	38	3	3	1	0	1	1	0	0	1	1	2	2	1	0	3	0	0	1	0	0	1	0	0	1	1	1	0	2	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1									
		0.25%	0.61%	0.39%	0.14%	0.00%	0.15%	0.46%	0.00%	0.00%	0.26%	0.17%	0.32%	0.37%	0.20%	0.00%	0.46%	0.00%	0.00%	0.46%	0.00%	0.00%	0.39%	0.00%	0.00%	0.41%	0.58%	1.16%	0.00%	0.84%	0.00%	0.00%	0.38%	0.00%	0.80%	0.49%	0.00%	0.00%	2.22%	0.34%	0.00%	0.00%	0.14%	0.69%	0.68%	0.00%	0.44%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.23%	2.50%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2591	82	130	92	113	93	44	79	65	64	98	111	107	110	78	136	49	16	43	18	13	46	6	15	31	31	15	21	50	52	28	38	15	22	24	55	16	6	35	18	8	93	22	30	22	26	36	12	52	40	49	54	70	12									
		16.75%	16.57%	16.77%	13.26%	18.02%	14.37%	20.37%	22.44%	14.91%	16.62%	16.90%	17.73%	20.04%	22.49%	17.45%	20.89%	23.22%	20.78%	19.63%	15.65%	16.25%	17.76%	7.32%	15.46%	12.81%	18.13%	17.44%	17.80%	20.92%	16.56%	11.67%	14.50%	15.31%	17.60%	11.76%	12.53%	15.09%	13.33%	11.99%	25.35%	23.53%	13.42%	15.17%	20.55%	25.29%	11.35%	16.98%	10.34%	13.40%	19.23%	17.56%	17.31%	16.02%	30.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	65	5	2	5	2	1	0	1	3	1	2	4	3	3	1	3	0	1	1	0	0	1	0	0	2	0	0	1	1	3	2	0	0	0	0	7	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	4	1	0									
		0.42%	1.01%	0.26%	0.72%	0.32%	0.15%	0.00%	0.28%	0.69%	0.26%	0.34%	0.64%	0.56%	0.61%	0.22%	0.46%	0.00%	1.30%	0.46%	0.00%	0.00%	0.39%	0.00%	0.00%	0.83%	0.00%	0.00%	0.85%	0.42%	0.96%	0.83%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	2.22%	0.68%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	1.28%	0.23%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	113	5	9	14	3	10	2	4	3	6	1	2	4	8	1	1	2	0	1	0	0	0	0	0	1	0	1	1	3	2	3	2	0	2	1	2	0	0	2	1	0	3	1	0	0	5	0	0	1	0	1	2	3	0									
		0.73%	1.01%	1.16%	2.02%	0.48%	1.55%	0.93%	1.14%	0.69%	1.56%	0.17%	0.32%	0.75%	1.64%	0.22%	0.15%	0.95%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	1.16%	0.85%	1.26%	0.64%	1.25%	0.76%	0.00%	1.60%	0.49%	0.46%	0.00%	0.00%	0.68%	1.41%	0.00%	0.43%	0.69%	0.00%	0.00%	2.18%	0.00%	0.00%	0.26%	0.00%	0.36%	0.64%	0.69%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	1	1	1	4	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1									
		0.16%	0.20%	0.13%	0.14%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.15%	1.42%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.69%	0.00%	1.15%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.23%	2.50%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	123	3	5	5	7	4	4	3	6	2	6	12	1	6	1	4	2	0	0	0	1	1	0	1	6	1	3	0	1	1	0	2	1	1	2	4	0	1	3	0	1	2	0	1	0	2	1	0	2	1	3	4	5	1									
		0.79%	0.61%	0.65%	0.72%	1.12%	0.62%	1.85%	0.85%	1.38%	0.52%	1.03%	1.92%	0.19%	1.23%	0.22%	0.61%	0.95%	0.00%	0.00%	0.00%	1.25%	0.39%	0.00%	1.03%	2.48%	0.58%	3.49%	0.00%	0.42%	0.32%	0.00%	0.76%	1.02%	0.80%	0.98%	0.91%	0.00%	2.22%	1.03%	0.00%	2.94%	0.29%	0.00%	0.68%	0.00%	0.87%	0.47%	0.00%	0.52%	0.48%	1.08%	1.28%	1.14%	2.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1441	51	67	75	77	55	15	39	36	41	51	59	53	46	47	52	19	5	29	10	5	19	5	6	21	25	7	12	22	36	25	23	9	5	15	46	16	1	19	5	1	93	4	15	5	14	16	9	27	14	29	29	30	6									
		9.31%	10.30%	8.65%	10.81%	12.28%	8.50%	6.94%	11.08%	8.26%	10.65%	8.79%	9.42%	9.93%	9.41%	10.51%	7.99%	9.00%	6.49%	13.24%	8.70%	6.25%	7.34%	6.10%	6.19%	8.68%	14.62%	8.14%	10.17%	9.21%	11.46%	10.42%	8.78%	9.18%	4.00%	7.35%	10.48%	15.09%	2.22%	6.51%	7.04%	2.94%	13.42%	2.76%	10.27%	5.75%	6.11%	7.55%	7.76%	6.96%	6.73%	10.39%	9.29%	6.86%	15.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	61	4	1	4	2	3	0	0	2	2	2	2	1	4	3	2	0	1	2	0	0	0	1	0	0	0	0	0	3	1	2	2	0	0	1	1	0	0	0	0	2	4	1	1	0	1	1	0	0	2	1	0	2	0									
		0.39%	0.81%	0.13%	0.58%	0.32%	0.46%	0.00%	0.00%	0.46%	0.52%	0.34%	0.32%	0.19%	0.82%	0.67%	0.31%	0.00%	1.30%	0.91%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	0.00%	0.00%	0.00%	1.26%	0.32%	0.83%	0.76%	0.00%	0.00%	0.49%	0.23%	0.00%	0.00%	0.00%	0.00%	5.88%	0.58%	0.69%	0.68%	0.00%	0.44%	0.47%	0.00%	0.00%	0.96%	0.36%	0.00%	0.46%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1396	49	108	101	48	106	39	51	72	46	79	65	37	35	40	44	6	2	16	8	1	21	0	2	38	12	4	3	17	11	15	12	7	5	11	22	5	4	9	1	0	68	6	20	1	10	20	7	28	10	7	41	21	5									
		9.02%	9.90%	13.94%	14.55%	7.66%	16.38%	18.06%	14.49%	16.51%	11.95%	13.62%	10.38%	6.93%	7.16%	8.95%	6.76%	2.84%	2.60%	7.31%	6.96%	1.25%	8.11%	0.00%	2.06%	15.70%	7.02%	4.65%	2.54%	7.11%	3.50%	6.25%	4.58%	7.14%	4.00%	5.39%	5.01%	4.72%	8.89%	3.08%	1.41%	0.00%	9.81%	4.14%	13.70%	1.15%	4.37%	9.43%	6.03%	7.22%	4.81%	2.51%	13.14%	4.81%	12.50%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
