Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Шарьинская городская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	238	22	11	12	20	6	13	7	28	9	10	14	10	8	32	17	19									
		2.45%	2.94%	2.89%	2.18%	2.84%	1.76%	2.23%	1.98%	4.06%	2.09%	1.53%	1.78%	2.38%	2.42%	3.38%	1.68%	2.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	372	18	11	21	29	10	30	16	21	20	39	27	17	12	38	36	27									
		3.83%	2.41%	2.89%	3.81%	4.11%	2.93%	5.14%	4.52%	3.04%	4.65%	5.98%	3.44%	4.05%	3.63%	4.01%	3.56%	3.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	276	16	12	9	16	14	21	8	21	13	9	15	15	13	35	40	19									
		2.84%	2.14%	3.15%	1.63%	2.27%	4.11%	3.60%	2.26%	3.04%	3.02%	1.38%	1.91%	3.57%	3.93%	3.69%	3.95%	2.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2906	235	115	169	217	124	161	105	202	106	169	247	106	92	274	336	248									
		29.92%	31.42%	30.18%	30.67%	30.78%	36.36%	27.57%	29.66%	29.28%	24.65%	25.92%	31.46%	25.24%	27.79%	28.90%	33.20%	31.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	62	5	4	0	4	4	8	2	4	1	4	10	2	3	6	3	2									
		0.64%	0.67%	1.05%	0.00%	0.57%	1.17%	1.37%	0.56%	0.58%	0.23%	0.61%	1.27%	0.48%	0.91%	0.63%	0.30%	0.26%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	2									
		0.07%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.15%	0.00%	0.00%	0.00%	0.11%	0.00%	0.26%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2356	213	103	172	159	74	135	106	149	115	131	143	75	77	218	245	241									
		24.26%	28.48%	27.03%	31.22%	22.55%	21.70%	23.12%	29.94%	21.59%	26.74%	20.09%	18.22%	17.86%	23.26%	22.99%	24.21%	30.86%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	79	6	3	9	2	3	4	2	9	5	3	5	4	8	5	7	4									
		0.81%	0.80%	0.79%	1.63%	0.28%	0.88%	0.68%	0.56%	1.30%	1.16%	0.46%	0.64%	0.95%	2.42%	0.53%	0.69%	0.51%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	97	7	4	5	1	7	6	1	5	7	5	8	8	8	9	12	4									
		0.99%	0.94%	1.05%	0.91%	0.14%	2.05%	1.03%	0.28%	0.72%	1.63%	0.77%	1.02%	1.90%	2.42%	0.95%	1.19%	0.51%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	1	0	2	0	0	0	0	1	0	0	0	0	1	1	0									
		0.06%	0.00%	0.26%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.11%	0.10%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	140	9	9	7	9	2	15	6	10	6	5	11	4	3	15	15	14									
		1.44%	1.20%	2.36%	1.27%	1.28%	0.59%	2.57%	1.69%	1.45%	1.40%	0.77%	1.40%	0.95%	0.91%	1.58%	1.48%	1.79%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2535	166	79	114	198	80	134	70	197	118	232	262	158	84	233	240	170									
		26.10%	22.19%	20.73%	20.69%	28.09%	23.46%	22.95%	19.77%	28.55%	27.44%	35.58%	33.38%	37.62%	25.38%	24.58%	23.72%	21.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	34	2	2	0	2	1	3	2	4	2	2	2	2	2	3	1	4									
		0.35%	0.27%	0.52%	0.00%	0.28%	0.29%	0.51%	0.56%	0.58%	0.47%	0.31%	0.25%	0.48%	0.60%	0.32%	0.10%	0.51%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	467	32	23	27	37	12	49	25	32	15	31	35	15	16	64	40	14									
		4.81%	4.28%	6.04%	4.90%	5.25%	3.52%	8.39%	7.06%	4.64%	3.49%	4.75%	4.46%	3.57%	4.83%	6.75%	3.95%	1.79%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
