Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																														
Дата голосования: 18.09.2016																																																																														
																																																																														
"Наименование Избирательной комиссии:    Новосибирск, Заельцовская"																																																																														
																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																														
																																																																														
		Сумма	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №2026	УИК №2027									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2125	30	20	20	30	40	20	35	40	40	30	30	30	30	50	35	30	40	40	20	30	30	30	30	20	40	50	20	40	30	30	30	40	30	20	30	50	40	30	30	20	25	45	30	20	60	20	35	35	35	30	40	30	40	20	40	20	40	20	30	30	30	60	40	50	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1517	12	17	15	20	28	11	27	30	29	24	28	20	21	30	19	18	37	27	15	23	18	24	25	9	34	31	17	30	29	23	22	32	16	17	21	30	27	21	22	15	21	35	20	19	50	11	23	21	30	21	34	21	31	5	25	14	31	13	15	27	22	52	23	37	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	750	8	7	15	11	7	29	11	5	4	13	9	14	8	16	15	6	8	2	9	7	9	10	11	3	3	12	12	10	16	16	17	9	5	4	8	10	14	15	9	6	12	23	0	4	8	3	7	10	14	84	8	12	9	16	6	8	10	4	10	8	14	10	20	0	26	16	5									
14	Число погашенных неиспользованных открепительных удостоверений	608	18	3	5	10	12	9	8	10	11	6	2	10	9	20	16	12	3	13	5	7	12	6	5	11	6	19	3	10	1	7	8	8	14	3	9	20	13	9	8	5	4	10	10	1	10	9	12	14	5	9	6	9	9	15	15	6	9	7	15	3	8	8	17	13	18	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	164	2	0	1	2	6	0	0	3	1	1	3	3	1	0	1	0	4	4	2	2	1	2	2	1	2	2	2	1	1	0	1	5	5	1	0	1	0	3	0	6	2	0	6	0	9	6	2	0	1	1	1	1	7	0	1	0	2	2	1	14	12	10	6	8	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1570	19	27	21	19	30	30	42	35	23	26	32	40	28	33	44	26	30	47	40	42	20	23	5	2	28	36	44	38	20	27	38	42	32	9	19	27	29	42	14	14	10	23	18	10	19	19	10	12	26	21	15	15	26	1	14	11	17	11	28	16	17	25	19	27	7	10	0									
		4.79%	3.11%	5.27%	4.86%	2.75%	4.83%	5.46%	6.91%	5.60%	4.64%	3.98%	4.53%	5.47%	4.88%	5.88%	7.69%	4.53%	5.26%	7.04%	6.40%	6.41%	6.49%	4.04%	2.17%	1.67%	5.25%	5.50%	10.21%	4.64%	3.14%	5.64%	6.33%	6.10%	4.77%	2.57%	3.49%	4.55%	5.93%	6.65%	3.77%	5.24%	3.51%	4.04%	6.62%	3.89%	3.77%	6.55%	2.22%	2.86%	5.69%	3.83%	3.47%	3.95%	4.78%	0.34%	3.84%	3.23%	2.38%	4.53%	4.93%	4.43%	4.02%	7.94%	4.05%	4.67%	2.51%	3.13%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1125	17	10	18	19	19	21	20	12	10	22	26	18	17	24	21	22	14	27	26	26	9	18	8	1	15	20	18	25	27	23	18	34	26	11	15	23	20	35	11	4	4	15	13	7	13	18	9	19	7	19	14	18	24	17	11	12	26	6	16	12	17	12	22	22	9	11	2									
		3.44%	2.78%	1.95%	4.17%	2.75%	3.06%	3.83%	3.29%	1.92%	2.02%	3.36%	3.68%	2.46%	2.96%	4.28%	3.67%	3.83%	2.46%	4.04%	4.16%	3.97%	2.92%	3.16%	3.48%	0.83%	2.81%	3.06%	4.18%	3.05%	4.24%	4.80%	3.00%	4.94%	3.87%	3.14%	2.76%	3.87%	4.09%	5.54%	2.96%	1.50%	1.40%	2.64%	4.78%	2.72%	2.58%	6.21%	1.99%	4.53%	1.53%	3.47%	3.24%	4.74%	4.41%	5.78%	3.01%	3.52%	3.64%	2.47%	2.82%	3.32%	4.02%	3.81%	4.69%	3.81%	3.23%	3.45%	4.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	627	8	18	10	17	16	7	7	11	12	11	12	17	15	13	9	13	11	18	14	8	4	9	2	1	10	18	7	13	9	7	18	14	15	6	17	9	9	9	11	6	5	15	2	2	9	5	4	7	9	10	8	5	12	7	10	7	15	1	9	9	3	3	9	5	12	3	0									
		1.91%	1.31%	3.52%	2.31%	2.46%	2.58%	1.28%	1.15%	1.76%	2.42%	1.68%	1.70%	2.33%	2.61%	2.32%	1.57%	2.26%	1.93%	2.69%	2.24%	1.22%	1.30%	1.58%	0.87%	0.83%	1.88%	2.75%	1.62%	1.59%	1.41%	1.46%	3.00%	2.03%	2.24%	1.71%	3.13%	1.52%	1.84%	1.42%	2.96%	2.25%	1.75%	2.64%	0.74%	0.78%	1.79%	1.72%	0.89%	1.67%	1.97%	1.82%	1.85%	1.32%	2.21%	2.38%	2.74%	2.05%	2.10%	0.41%	1.58%	2.49%	0.71%	0.95%	1.92%	0.87%	4.30%	0.94%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10556	226	167	133	264	204	181	194	200	142	211	247	204	172	190	185	179	183	203	170	194	97	200	84	44	183	210	127	267	202	149	188	206	209	109	151	192	133	178	97	77	97	229	81	90	183	101	125	122	165	132	136	128	137	125	120	101	255	106	167	120	175	107	143	203	111	123	22									
		32.24%	36.99%	32.62%	30.79%	38.26%	32.85%	32.97%	31.91%	32.00%	28.63%	32.26%	34.99%	27.91%	29.97%	33.87%	32.34%	31.18%	32.11%	30.39%	27.20%	29.62%	31.49%	35.15%	36.52%	36.67%	34.33%	32.11%	29.47%	32.60%	31.71%	31.11%	31.33%	29.94%	31.15%	31.14%	27.76%	32.32%	27.20%	28.16%	26.15%	28.84%	34.04%	40.25%	29.78%	35.02%	36.31%	34.83%	27.72%	29.12%	36.11%	24.09%	31.48%	33.68%	25.18%	42.52%	32.88%	29.62%	35.71%	43.62%	29.40%	33.24%	41.37%	33.97%	30.49%	35.12%	39.78%	38.56%	44.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	415	9	4	5	9	8	9	9	12	12	6	5	8	9	6	7	7	12	6	10	10	3	6	2	3	4	6	4	4	12	7	5	14	11	2	8	13	3	13	2	9	1	13	1	2	7	1	10	6	7	6	5	6	8	1	2	1	12	2	9	3	2	2	4	6	1	3	0									
		1.27%	1.47%	0.78%	1.16%	1.30%	1.29%	1.64%	1.48%	1.92%	2.42%	0.92%	0.71%	1.09%	1.57%	1.07%	1.22%	1.22%	2.11%	0.90%	1.60%	1.53%	0.97%	1.05%	0.87%	2.50%	0.75%	0.92%	0.93%	0.49%	1.88%	1.46%	0.83%	2.03%	1.64%	0.57%	1.47%	2.19%	0.61%	2.06%	0.54%	3.37%	0.35%	2.28%	0.37%	0.78%	1.39%	0.34%	2.22%	1.43%	1.53%	1.09%	1.16%	1.58%	1.47%	0.34%	0.55%	0.29%	1.68%	0.82%	1.58%	0.83%	0.47%	0.63%	0.85%	1.04%	0.36%	0.94%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	119	1	2	2	3	2	1	1	2	2	0	6	4	2	1	2	2	0	2	4	2	0	0	0	0	3	2	2	2	2	2	3	1	2	0	1	4	1	4	3	0	1	5	0	1	3	0	2	2	5	1	2	0	2	1	3	1	3	0	6	1	1	0	2	4	0	0	0									
		0.36%	0.16%	0.39%	0.46%	0.43%	0.32%	0.18%	0.16%	0.32%	0.40%	0.00%	0.85%	0.55%	0.35%	0.18%	0.35%	0.35%	0.00%	0.30%	0.64%	0.31%	0.00%	0.00%	0.00%	0.00%	0.56%	0.31%	0.46%	0.24%	0.31%	0.42%	0.50%	0.15%	0.30%	0.00%	0.18%	0.67%	0.20%	0.63%	0.81%	0.00%	0.35%	0.88%	0.00%	0.39%	0.60%	0.00%	0.44%	0.48%	1.09%	0.18%	0.46%	0.00%	0.37%	0.34%	0.82%	0.29%	0.42%	0.00%	1.06%	0.28%	0.24%	0.00%	0.43%	0.69%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4644	86	67	69	93	64	48	71	62	61	70	87	81	60	60	65	62	62	99	71	83	61	83	57	23	85	100	63	143	91	75	79	93	109	52	84	63	105	79	51	25	39	82	57	49	85	48	62	49	56	90	55	53	66	39	77	66	116	44	75	61	81	60	79	107	35	52	19									
		14.18%	14.08%	13.09%	15.97%	13.48%	10.31%	8.74%	11.68%	9.92%	12.30%	10.70%	12.32%	11.08%	10.45%	10.70%	11.36%	10.80%	10.88%	14.82%	11.36%	12.67%	19.81%	14.59%	24.78%	19.17%	15.95%	15.29%	14.62%	17.46%	14.29%	15.66%	13.17%	13.52%	16.24%	14.86%	15.44%	10.61%	21.47%	12.50%	13.75%	9.36%	13.68%	14.41%	20.96%	19.07%	16.87%	16.55%	13.75%	11.69%	12.25%	16.42%	12.73%	13.95%	12.13%	13.27%	21.10%	19.35%	16.25%	18.11%	13.20%	16.90%	19.15%	19.05%	16.84%	18.51%	12.54%	16.30%	38.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	569	11	12	4	14	15	17	9	14	12	16	10	13	12	14	14	12	9	5	14	16	3	9	5	4	7	11	3	20	11	6	11	11	10	7	9	12	12	13	8	5	3	10	1	4	8	1	9	10	15	13	6	4	13	3	1	1	6	3	3	2	9	5	3	11	3	2	0									
		1.74%	1.80%	2.34%	0.93%	2.03%	2.42%	3.10%	1.48%	2.24%	2.42%	2.45%	1.42%	1.78%	2.09%	2.50%	2.45%	2.09%	1.58%	0.75%	2.24%	2.44%	0.97%	1.58%	2.17%	3.33%	1.31%	1.68%	0.70%	2.44%	1.73%	1.25%	1.83%	1.60%	1.49%	2.00%	1.65%	2.02%	2.45%	2.06%	2.16%	1.87%	1.05%	1.76%	0.37%	1.56%	1.59%	0.34%	1.99%	2.39%	3.28%	2.37%	1.39%	1.05%	2.39%	1.02%	0.27%	0.29%	0.84%	1.23%	0.53%	0.55%	2.13%	1.59%	0.64%	1.90%	1.08%	0.63%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	515	7	10	6	6	16	20	12	14	7	8	12	14	6	11	14	7	14	11	8	22	9	6	1	1	7	9	12	13	8	6	9	5	8	2	3	9	4	13	13	4	2	9	4	1	9	2	15	4	8	10	5	6	11	1	1	4	11	1	5	2	5	6	4	12	6	3	1									
		1.57%	1.15%	1.95%	1.39%	0.87%	2.58%	3.64%	1.97%	2.24%	1.41%	1.22%	1.70%	1.92%	1.05%	1.96%	2.45%	1.22%	2.46%	1.65%	1.28%	3.36%	2.92%	1.05%	0.43%	0.83%	1.31%	1.38%	2.78%	1.59%	1.26%	1.25%	1.50%	0.73%	1.19%	0.57%	0.55%	1.52%	0.82%	2.06%	3.50%	1.50%	0.70%	1.58%	1.47%	0.39%	1.79%	0.69%	3.33%	0.95%	1.75%	1.82%	1.16%	1.58%	2.02%	0.34%	0.27%	1.17%	1.54%	0.41%	0.88%	0.55%	1.18%	1.90%	0.85%	2.08%	2.15%	0.94%	2.04%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	49	2	2	1	0	1	2	1	0	1	0	0	0	0	1	2	0	0	0	1	0	2	1	0	0	0	1	1	1	1	0	2	1	1	1	0	3	0	0	2	0	1	0	1	0	0	0	1	1	1	0	2	3	2	0	0	1	2	0	0	0	0	1	1	0	0	1	0									
		0.15%	0.33%	0.39%	0.23%	0.00%	0.16%	0.36%	0.16%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.18%	0.35%	0.00%	0.00%	0.00%	0.16%	0.00%	0.65%	0.18%	0.00%	0.00%	0.00%	0.15%	0.23%	0.12%	0.16%	0.00%	0.33%	0.15%	0.15%	0.29%	0.00%	0.51%	0.00%	0.00%	0.54%	0.00%	0.35%	0.00%	0.37%	0.00%	0.00%	0.00%	0.22%	0.24%	0.22%	0.00%	0.46%	0.79%	0.37%	0.00%	0.00%	0.29%	0.28%	0.00%	0.00%	0.00%	0.00%	0.32%	0.21%	0.00%	0.00%	0.31%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1501	15	17	18	36	26	36	31	35	30	45	31	40	29	33	34	30	37	36	28	55	7	22	4	4	18	27	20	26	30	20	23	32	23	15	40	29	25	30	26	24	11	30	8	7	16	19	21	9	24	52	32	15	22	4	10	9	29	6	17	17	5	10	6	16	10	9	0									
		4.58%	2.45%	3.32%	4.17%	5.22%	4.19%	6.56%	5.10%	5.60%	6.05%	6.88%	4.39%	5.47%	5.05%	5.88%	5.94%	5.23%	6.49%	5.39%	4.48%	8.40%	2.27%	3.87%	1.74%	3.33%	3.38%	4.13%	4.64%	3.17%	4.71%	4.18%	3.83%	4.65%	3.43%	4.29%	7.35%	4.88%	5.11%	4.75%	7.01%	8.99%	3.86%	5.27%	2.94%	2.72%	3.17%	6.55%	4.66%	2.15%	5.25%	9.49%	7.41%	3.95%	4.04%	1.36%	2.74%	2.64%	4.06%	2.47%	2.99%	4.71%	1.18%	3.17%	1.28%	2.77%	3.58%	2.82%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8085	142	131	108	149	159	123	148	167	112	178	163	208	165	141	106	165	155	150	170	149	72	147	51	34	126	156	83	202	160	117	143	183	150	99	144	143	101	152	108	74	88	103	76	71	109	58	151	136	101	149	110	96	172	48	84	88	161	46	170	90	83	61	143	125	60	67	5									
		24.69%	23.24%	25.59%	25.00%	21.59%	25.60%	22.40%	24.34%	26.72%	22.58%	27.22%	23.09%	28.45%	28.75%	25.13%	18.53%	28.75%	27.19%	22.46%	27.20%	22.75%	23.38%	25.83%	22.17%	28.33%	23.64%	23.85%	19.26%	24.66%	25.12%	24.43%	23.83%	26.60%	22.35%	28.29%	26.47%	24.07%	20.65%	24.05%	29.11%	27.72%	30.88%	18.10%	27.94%	27.63%	21.63%	20.00%	33.48%	32.46%	22.10%	27.19%	25.46%	25.26%	31.62%	16.33%	23.01%	25.81%	22.55%	18.93%	29.93%	24.93%	19.62%	19.37%	30.49%	21.63%	21.51%	21.00%	10.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	160	1	1	1	3	3	6	2	3	3	0	3	6	1	0	3	1	2	3	3	3	2	3	0	0	17	3	1	0	2	3	6	1	0	1	4	1	3	2	2	3	3	4	0	2	3	3	3	2	3	2	1	4	5	1	1	1	2	2	2	2	1	1	1	3	3	3	0									
		0.49%	0.16%	0.20%	0.23%	0.43%	0.48%	1.09%	0.33%	0.48%	0.60%	0.00%	0.42%	0.82%	0.17%	0.00%	0.52%	0.17%	0.35%	0.45%	0.48%	0.46%	0.65%	0.53%	0.00%	0.00%	3.19%	0.46%	0.23%	0.00%	0.31%	0.63%	1.00%	0.15%	0.00%	0.29%	0.74%	0.17%	0.61%	0.32%	0.54%	1.12%	1.05%	0.70%	0.00%	0.78%	0.60%	1.03%	0.67%	0.48%	0.66%	0.36%	0.23%	1.05%	0.92%	0.34%	0.27%	0.29%	0.28%	0.82%	0.35%	0.55%	0.24%	0.32%	0.21%	0.52%	1.08%	0.94%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2102	58	34	29	53	53	36	42	50	57	52	52	57	58	24	49	42	32	44	44	39	11	34	10	2	20	41	24	51	54	29	40	34	44	23	39	55	30	40	18	14	19	21	6	8	33	9	23	30	23	31	35	21	38	10	24	35	42	6	43	17	16	17	23	23	10	21	0									
		6.42%	9.49%	6.64%	6.71%	7.68%	8.53%	6.56%	6.91%	8.00%	11.49%	7.95%	7.37%	7.80%	10.10%	4.28%	8.57%	7.32%	5.61%	6.59%	7.04%	5.95%	3.57%	5.98%	4.35%	1.67%	3.75%	6.27%	5.57%	6.23%	8.48%	6.05%	6.67%	4.94%	6.56%	6.57%	7.17%	9.26%	6.13%	6.33%	4.85%	5.24%	6.67%	3.69%	2.21%	3.11%	6.55%	3.10%	5.10%	7.16%	5.03%	5.66%	8.10%	5.53%	6.99%	3.40%	6.58%	10.26%	5.88%	2.47%	7.57%	4.71%	3.78%	5.40%	4.90%	3.98%	3.58%	6.58%	0.00%									
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
