Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Абинская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141					
14	Число погашенных открепительных удостоверений	527	13	4	11	19	14	15	14	13	17	17	9	6	12	1	7	9	16	16	13	17	17	15	16	15	15	19	17	20	17	19	3	1	9	9	16	11	8	17	16	16	8					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	329	12	11	10	2	9	11	10	13	9	10	1	4	12	4	2	5	10	8	18	6	3	12	15	4	11	9	5	9	6	6	7	6	0	4	13	20	2	8	8	5	9					
		0.91%	0.85%	0.89%	0.96%	0.26%	0.80%	0.79%	0.66%	0.94%	0.79%	0.67%	0.48%	2.07%	0.88%	0.85%	0.58%	0.99%	0.83%	0.60%	1.41%	0.71%	0.26%	0.92%	2.19%	0.41%	1.01%	1.02%	0.52%	1.07%	0.74%	0.92%	1.20%	1.53%	0.0%	1.67%	1.30%	1.68%	0.73%	0.93%	0.90%	0.70%	2.38%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	446	24	36	18	12	19	14	28	25	23	34	6	0	27	7	4	1	15	10	14	7	8	8	12	6	13	7	5	12	5	4	4	4	0	5	5	4	1	6	3	6	4					
		1.23%	1.70%	2.92%	1.74%	1.60%	1.70%	1.01%	1.86%	1.81%	2.02%	2.28%	2.89%	0.0%	1.98%	1.48%	1.17%	0.19%	1.25%	0.75%	1.09%	0.83%	0.71%	0.61%	1.75%	0.61%	1.19%	0.80%	0.52%	1.43%	0.62%	0.61%	0.68%	1.02%	0.0%	2.09%	0.50%	0.33%	0.36%	0.70%	0.34%	0.84%	1.05%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	662	36	27	22	11	14	17	32	30	25	33	2	5	22	5	3	6	38	19	29	17	16	20	16	14	7	16	17	22	13	11	11	8	2	10	17	19	3	18	10	8	11					
		1.83%	2.55%	2.19%	2.13%	1.47%	1.25%	1.23%	2.12%	2.18%	2.19%	2.22%	0.96%	2.59%	1.61%	1.06%	0.88%	1.18%	3.16%	1.43%	2.27%	2.03%	1.42%	1.54%	2.34%	1.43%	0.64%	1.83%	1.78%	2.63%	1.62%	1.70%	1.89%	2.05%	0.84%	4.18%	1.70%	1.60%	1.09%	2.11%	1.13%	1.13%	2.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	793	45	37	40	11	27	34	40	31	27	50	6	1	44	10	2	5	34	29	36	27	51	20	10	13	10	10	16	16	14	16	5	1	5	10	17	6	3	11	5	14	4					
		2.19%	3.18%	3.00%	3.87%	1.47%	2.42%	2.46%	2.66%	2.25%	2.37%	3.36%	2.89%	0.51%	3.23%	2.12%	0.58%	0.99%	2.83%	2.18%	2.82%	3.22%	4.54%	1.54%	1.46%	1.33%	0.92%	1.14%	1.68%	1.91%	1.74%	2.47%	0.86%	0.25%	2.10%	4.18%	1.70%	0.50%	1.09%	1.29%	0.56%	1.98%	1.05%					
22	"5. ""За Русь Святую"""	225	16	7	5	5	5	13	16	6	12	9	4	1	7	3	4	1	6	14	9	5	8	9	4	2	4	6	5	3	2	1	2	0	0	1	3	8	1	1	7	5	5					
		0.62%	1.13%	0.56%	0.48%	0.67%	0.44%	0.94%	1.06%	0.43%	1.05%	0.60%	1.93%	0.51%	0.51%	0.63%	1.17%	0.19%	0.50%	1.05%	0.70%	0.59%	0.71%	0.69%	0.58%	0.20%	0.36%	0.68%	0.52%	0.35%	0.24%	0.15%	0.34%	0.0%	0.0%	0.41%	0.30%	0.67%	0.36%	0.11%	0.79%	0.70%	1.32%					
23	"6. ""Объединенная Российская партия ""Русь"""	99	5	3	6	6	2	2	2	2	4	4	0	0	3	3	1	1	3	6	1	2	6	2	4	0	1	4	3	1	1	3	2	1	0	1	2	2	0	4	2	1	3					
		0.27%	0.35%	0.24%	0.58%	0.80%	0.17%	0.14%	0.13%	0.14%	0.35%	0.26%	0.0%	0.0%	0.22%	0.63%	0.29%	0.19%	0.25%	0.45%	0.07%	0.23%	0.53%	0.15%	0.58%	0.0%	0.09%	0.45%	0.31%	0.11%	0.12%	0.46%	0.34%	0.25%	0.0%	0.41%	0.20%	0.16%	0.0%	0.46%	0.22%	0.14%	0.79%					
24	"7. ""Новый курс - Автомобильная Россия"""	207	11	5	8	3	3	7	4	11	6	13	0	1	7	3	4	2	7	8	9	1	3	14	1	10	8	6	4	3	7	6	2	6	1	0	5	4	3	2	2	7	0					
		0.57%	0.77%	0.40%	0.77%	0.40%	0.26%	0.50%	0.26%	0.79%	0.52%	0.87%	0.0%	0.51%	0.51%	0.63%	1.17%	0.39%	0.58%	0.60%	0.70%	0.11%	0.26%	1.07%	0.14%	1.02%	0.73%	0.68%	0.42%	0.35%	0.87%	0.92%	0.34%	1.53%	0.42%	0.0%	0.50%	0.33%	1.09%	0.23%	0.22%	0.99%	0.0%					
25	"8. ""Народно-республиканская партия России"""	58	0	1	4	2	2	2	0	3	1	0	0	6	3	0	1	0	3	0	1	0	0	4	2	2	1	1	3	2	1	0	0	1	0	0	4	4	0	1	2	1	0					
		0.16%	0.0%	0.08%	0.38%	0.26%	0.17%	0.14%	0.0%	0.21%	0.08%	0.0%	0.0%	3.10%	0.22%	0.0%	0.29%	0.0%	0.25%	0.0%	0.07%	0.0%	0.0%	0.30%	0.29%	0.20%	0.09%	0.11%	0.31%	0.23%	0.12%	0.0%	0.0%	0.25%	0.0%	0.0%	0.40%	0.33%	0.0%	0.11%	0.22%	0.14%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	79	3	5	5	1	0	1	2	3	1	4	0	2	4	0	0	0	7	7	1	3	1	5	0	2	3	2	5	2	0	1	3	0	1	0	0	0	0	2	2	1	0					
		0.21%	0.21%	0.40%	0.48%	0.13%	0.0%	0.07%	0.13%	0.21%	0.08%	0.26%	0.0%	1.03%	0.29%	0.0%	0.0%	0.0%	0.58%	0.52%	0.07%	0.35%	0.08%	0.38%	0.0%	0.20%	0.27%	0.22%	0.52%	0.23%	0.0%	0.15%	0.51%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.23%	0.22%	0.14%	0.0%					
27	"10. ""Аграрная партия России"""	1231	39	33	25	22	49	46	52	51	34	42	12	11	29	11	9	37	27	39	30	18	18	42	25	24	57	22	33	33	17	15	17	20	21	4	56	34	6	21	36	80	34					
		3.40%	2.76%	2.68%	2.42%	2.94%	4.40%	3.32%	3.45%	3.70%	2.98%	2.82%	5.79%	5.69%	2.13%	2.34%	2.64%	7.32%	2.25%	2.93%	2.35%	2.15%	1.60%	3.23%	3.66%	2.46%	5.25%	2.51%	3.46%	3.95%	2.11%	2.32%	2.92%	5.12%	8.86%	1.67%	5.60%	2.86%	2.19%	2.46%	4.09%	11.31%	8.99%					
28	"11. ""Истинные патриоты России"""	43	1	0	3	1	2	3	5	4	5	8	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0					
		0.11%	0.07%	0.0%	0.29%	0.13%	0.17%	0.21%	0.33%	0.29%	0.43%	0.53%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.22%	0.0%	0.0%	0.12%	0.0%	0.17%	0.51%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	390	11	8	9	17	10	23	20	28	14	13	2	4	14	4	4	3	13	14	11	9	5	9	6	10	11	16	14	10	6	5	6	3	1	0	9	19	0	14	6	6	3					
		1.07%	0.77%	0.65%	0.87%	2.27%	0.89%	1.66%	1.33%	2.03%	1.23%	0.87%	0.96%	2.07%	1.03%	0.85%	1.17%	0.59%	1.08%	1.05%	0.86%	1.07%	0.44%	0.69%	0.87%	1.02%	1.01%	1.83%	1.47%	1.19%	0.74%	0.77%	1.03%	0.76%	0.42%	0.0%	0.90%	1.60%	0.0%	1.64%	0.68%	0.84%	0.79%					
30	"13. ""Демократическая партия России"""	56	5	0	2	1	0	1	7	1	0	2	1	1	1	2	0	0	2	0	2	5	1	1	1	6	3	2	2	0	2	1	0	0	0	1	2	1	0	0	0	0	0					
		0.15%	0.35%	0.0%	0.19%	0.13%	0.0%	0.07%	0.46%	0.07%	0.0%	0.13%	0.48%	0.51%	0.07%	0.42%	0.0%	0.0%	0.16%	0.0%	0.15%	0.59%	0.08%	0.07%	0.14%	0.61%	0.27%	0.22%	0.21%	0.0%	0.24%	0.15%	0.0%	0.0%	0.0%	0.41%	0.20%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	68	0	1	2	3	2	1	7	1	5	2	1	1	2	1	0	0	2	3	2	1	1	3	2	5	0	1	2	1	0	3	1	0	0	3	1	2	0	1	1	1	3					
		0.18%	0.0%	0.08%	0.19%	0.40%	0.17%	0.07%	0.46%	0.07%	0.43%	0.13%	0.48%	0.51%	0.14%	0.21%	0.0%	0.0%	0.16%	0.22%	0.15%	0.11%	0.08%	0.23%	0.29%	0.51%	0.0%	0.11%	0.21%	0.11%	0.0%	0.46%	0.17%	0.0%	0.0%	1.25%	0.10%	0.16%	0.0%	0.11%	0.11%	0.14%	0.79%					
32	"15. ""Партия СЛОН"""	22	0	1	1	1	0	1	1	3	1	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1					
		0.06%	0.0%	0.08%	0.09%	0.13%	0.0%	0.07%	0.06%	0.21%	0.08%	0.06%	0.0%	0.0%	0.14%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.14%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.83%	0.0%	0.0%	0.36%	0.0%	0.0%	0.14%	0.26%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3755	177	159	116	79	127	144	175	156	147	210	10	19	165	28	34	28	154	0	165	98	164	169	56	99	130	52	121	68	70	89	43	28	15	24	65	85	26	103	63	58	36					
		10.39%	12.54%	12.92%	11.24%	10.58%	11.41%	10.41%	11.64%	11.33%	12.91%	14.13%	4.83%	9.84%	12.14%	5.95%	10.0%	5.54%	12.84%	0.0%	12.95%	11.72%	14.60%	13.03%	8.19%	10.15%	11.98%	5.94%	12.71%	8.14%	8.72%	13.77%	7.40%	7.17%	6.32%	10.04%	6.50%	7.17%	9.52%	12.08%	7.15%	8.20%	9.52%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	85	5	0	2	1	6	3	5	1	3	4	0	0	4	0	0	0	1	4	5	3	1	4	1	1	0	4	1	6	3	1	1	2	0	3	2	1	0	0	4	0	3					
		0.23%	0.35%	0.0%	0.19%	0.13%	0.53%	0.21%	0.33%	0.07%	0.26%	0.26%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.08%	0.30%	0.39%	0.35%	0.08%	0.30%	0.14%	0.10%	0.0%	0.45%	0.10%	0.71%	0.37%	0.15%	0.17%	0.51%	0.0%	1.25%	0.20%	0.08%	0.0%	0.0%	0.45%	0.0%	0.79%					
35	"18. ""ЛДПР"""	4917	192	162	135	111	170	189	214	187	149	203	44	38	201	88	54	57	142	117	175	117	157	196	64	132	146	141	155	108	126	82	77	63	42	49	118	137	36	95	97	112	39					
		13.61%	13.60%	13.17%	13.08%	14.87%	15.27%	13.67%	14.23%	13.59%	13.09%	13.66%	21.25%	19.68%	14.79%	18.72%	15.88%	11.28%	11.84%	8.81%	13.73%	13.99%	13.98%	15.11%	9.37%	13.53%	13.45%	16.13%	16.28%	12.93%	15.71%	12.69%	13.25%	16.15%	17.72%	20.50%	11.81%	11.56%	13.18%	11.15%	11.02%	15.84%	10.31%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	482	14	17	29	10	17	24	24	16	16	8	1	5	19	4	3	8	16	20	22	10	16	19	6	10	10	11	10	10	11	9	6	5	0	2	9	19	7	11	21	4	3					
		1.33%	0.99%	1.38%	2.81%	1.34%	1.52%	1.73%	1.59%	1.16%	1.40%	0.53%	0.48%	2.59%	1.39%	0.85%	0.88%	1.58%	1.33%	1.50%	1.72%	1.19%	1.42%	1.46%	0.87%	1.02%	0.92%	1.25%	1.05%	1.19%	1.37%	1.39%	1.03%	1.28%	0.0%	0.83%	0.90%	1.60%	2.56%	1.29%	2.38%	0.56%	0.79%					
37	"20. ""Политическая партия ""Единая Россия"""	13682	556	467	381	282	413	597	558	514	459	586	96	75	558	236	181	235	407	477	379	285	386	515	237	333	353	339	318	310	299	223	221	162	104	98	408	421	122	365	341	279	106					
		37.87%	39.40%	37.96%	36.91%	37.80%	37.10%	43.19%	37.12%	37.35%	40.33%	39.43%	46.37%	38.86%	41.05%	50.21%	53.23%	46.53%	33.94%	35.94%	29.74%	34.09%	34.37%	39.70%	34.69%	34.15%	32.53%	38.78%	33.40%	37.12%	37.28%	34.52%	38.03%	41.53%	43.88%	41.00%	40.84%	35.52%	44.68%	42.84%	38.75%	39.46%	28.04%					
38	"21. ""Российская Конституционно-демократическая партия"""	73	3	0	2	0	1	5	3	0	3	3	0	2	2	0	1	0	2	0	1	3	2	3	1	4	2	2	3	1	1	3	0	0	0	0	4	2	2	2	6	4	0					
		0.20%	0.21%	0.0%	0.19%	0.0%	0.08%	0.36%	0.19%	0.0%	0.26%	0.20%	0.0%	1.03%	0.14%	0.0%	0.29%	0.0%	0.16%	0.0%	0.07%	0.35%	0.17%	0.23%	0.14%	0.41%	0.18%	0.22%	0.31%	0.11%	0.12%	0.46%	0.0%	0.0%	0.0%	0.0%	0.40%	0.16%	0.73%	0.23%	0.68%	0.56%	0.0%					
39	"22. ""Развитие предпринимательства"""	61	3	3	3	3	2	1	1	3	1	4	1	1	2	1	1	0	0	2	1	1	2	4	1	0	3	1	5	0	1	1	0	0	0	0	0	5	0	2	1	1	0					
		0.16%	0.21%	0.24%	0.29%	0.40%	0.17%	0.07%	0.06%	0.21%	0.08%	0.26%	0.48%	0.51%	0.14%	0.21%	0.29%	0.0%	0.0%	0.15%	0.07%	0.11%	0.17%	0.30%	0.14%	0.0%	0.27%	0.11%	0.52%	0.0%	0.12%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.23%	0.11%	0.14%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6575	172	190	141	134	178	176	256	217	167	211	9	6	178	36	27	95	251	341	302	167	245	186	193	248	269	179	192	163	166	137	128	51	40	14	201	304	44	143	238	87	93					
		18.20%	12.18%	15.44%	13.66%	17.96%	15.99%	12.73%	17.03%	15.77%	14.67%	14.19%	4.34%	3.10%	13.09%	7.65%	7.94%	18.81%	20.93%	25.69%	23.70%	19.97%	21.81%	14.34%	28.25%	25.43%	24.79%	20.48%	20.16%	19.52%	20.69%	21.20%	22.03%	13.07%	16.87%	5.85%	20.12%	25.65%	16.11%	16.78%	27.04%	12.30%	24.60%					
																																																
41	Против всех	1319	57	50	48	22	51	55	35	61	20	24	6	6	51	20	5	12	48	44	52	40	29	44	17	35	34	31	33	32	37	20	42	24	2	7	50	68	13	34	17	26	17					
		3.65%	4.03%	4.06%	4.65%	2.94%	4.58%	3.97%	2.32%	4.43%	1.75%	1.61%	2.89%	3.10%	3.75%	4.25%	1.47%	2.37%	4.00%	3.31%	4.08%	4.78%	2.58%	3.39%	2.48%	3.58%	3.13%	3.54%	3.46%	3.83%	4.61%	3.09%	7.22%	6.15%	0.84%	2.92%	5.00%	5.73%	4.76%	3.99%	1.93%	3.67%	4.49%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
