Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Омск, Октябрьская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12772	254	196	193	147	222	131	251	147	127	238	288	128	312	174	208	196	253	231	159	132	166	232	195	214	192	231	254	178	221	220	192	206	252	222	180	231	119	240	251	229	138	155	159	195	171	127	136	141	109	155	133	91	47	128	95	125	191	193	171	207	162	160	198	148	127	115	167	179	134	104	136	26	37									
		26.70%	26.77%	26.56%	25.03%	26.92%	27.04%	27.23%	30.54%	27.48%	26.68%	30.51%	26.42%	20.61%	27.66%	25.22%	26.20%	28.16%	31.12%	31.34%	27.51%	26.35%	24.81%	29.22%	24.84%	26.72%	25.88%	24.06%	28.00%	28.08%	30.03%	28.72%	25.57%	28.07%	29.44%	26.30%	29.17%	27.27%	28.47%	33.57%	31.93%	32.12%	26.54%	23.31%	23.66%	28.14%	25.41%	22.24%	27.20%	21.66%	24.49%	24.84%	26.65%	25.85%	31.54%	44.44%	33.57%	24.85%	23.21%	22.98%	23.52%	24.58%	23.75%	22.57%	25.26%	24.10%	27.97%	27.64%	21.69%	22.92%	25.00%	22.32%	29.96%	25.24%	32.74%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	349	9	3	4	2	7	7	7	10	4	8	7	6	10	8	9	11	6	2	0	4	4	6	4	0	4	7	7	4	1	6	6	3	3	6	4	7	4	2	3	9	0	6	5	7	3	7	1	5	0	5	2	2	1	1	1	4	5	2	7	6	9	13	4	3	4	3	10	7	4	5	3	0	0									
		0.73%	0.95%	0.41%	0.52%	0.37%	0.85%	1.46%	0.85%	1.87%	0.84%	1.03%	0.64%	0.97%	0.89%	1.16%	1.13%	1.58%	0.74%	0.27%	0.00%	0.80%	0.60%	0.76%	0.51%	0.00%	0.54%	0.73%	0.77%	0.63%	0.14%	0.78%	0.80%	0.41%	0.35%	0.71%	0.65%	0.83%	0.96%	0.28%	0.38%	1.26%	0.00%	0.90%	0.74%	1.01%	0.45%	1.23%	0.20%	0.77%	0.00%	0.80%	0.40%	0.57%	0.67%	0.35%	0.35%	0.80%	0.61%	0.24%	0.96%	0.71%	1.32%	1.83%	0.51%	0.49%	0.88%	0.72%	1.30%	0.90%	0.75%	1.07%	0.66%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	123	7	2	3	3	3	2	5	1	3	0	2	2	4	2	3	1	1	1	1	1	1	0	0	1	3	1	2	0	1	2	1	2	0	0	1	2	2	1	0	3	1	1	2	3	0	0	0	4	0	1	0	1	2	0	0	4	1	4	5	4	3	1	2	2	2	0	1	2	2	2	1	1	1									
		0.26%	0.74%	0.27%	0.39%	0.55%	0.37%	0.42%	0.61%	0.19%	0.63%	0.00%	0.18%	0.32%	0.35%	0.29%	0.38%	0.14%	0.12%	0.14%	0.17%	0.20%	0.15%	0.00%	0.00%	0.12%	0.40%	0.10%	0.22%	0.00%	0.14%	0.26%	0.13%	0.27%	0.00%	0.00%	0.16%	0.24%	0.48%	0.14%	0.00%	0.42%	0.19%	0.15%	0.30%	0.43%	0.00%	0.00%	0.00%	0.61%	0.00%	0.16%	0.00%	0.28%	1.34%	0.00%	0.00%	0.80%	0.12%	0.48%	0.69%	0.48%	0.44%	0.14%	0.26%	0.33%	0.44%	0.00%	0.13%	0.26%	0.37%	0.43%	0.22%	0.97%	0.88%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7186	82	114	110	67	120	79	108	82	58	126	180	99	138	92	83	106	96	150	94	91	96	107	124	121	113	177	125	98	83	111	109	114	117	104	95	137	78	133	124	108	81	93	106	119	101	90	88	105	79	109	89	47	39	59	48	61	131	114	106	118	62	89	110	97	75	67	154	116	93	73	84	17	17									
		15.02%	8.64%	15.45%	14.27%	12.27%	14.62%	16.42%	13.14%	15.33%	12.18%	16.15%	16.51%	15.94%	12.23%	13.33%	10.45%	15.23%	11.81%	20.35%	16.26%	18.16%	14.35%	13.48%	15.80%	15.11%	15.23%	18.44%	13.78%	15.46%	11.28%	14.49%	14.51%	15.53%	13.67%	12.32%	15.40%	16.17%	18.66%	18.60%	15.78%	15.15%	15.58%	13.98%	15.77%	17.17%	15.01%	15.76%	17.60%	16.13%	17.75%	17.47%	17.84%	13.35%	26.17%	20.49%	16.96%	12.13%	15.92%	13.57%	14.58%	14.01%	9.09%	12.55%	14.03%	15.80%	16.52%	16.11%	20.00%	14.85%	17.35%	15.67%	18.50%	16.50%	15.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	529	20	8	16	11	14	9	34	14	8	8	18	11	9	8	5	2	6	9	5	6	5	3	6	7	11	3	6	3	5	8	10	1	7	10	11	8	8	4	7	5	6	11	6	2	9	8	3	4	5	8	4	0	1	2	0	8	9	14	4	12	6	7	7	8	4	1	6	10	2	10	3	0	0									
		1.11%	2.11%	1.08%	2.08%	2.01%	1.71%	1.87%	4.14%	2.62%	1.68%	1.03%	1.65%	1.77%	0.80%	1.16%	0.63%	0.29%	0.74%	1.22%	0.87%	1.20%	0.75%	0.38%	0.76%	0.87%	1.48%	0.31%	0.66%	0.47%	0.68%	1.04%	1.33%	0.14%	0.82%	1.18%	1.78%	0.94%	1.91%	0.56%	0.89%	0.70%	1.15%	1.65%	0.89%	0.29%	1.34%	1.40%	0.60%	0.61%	1.12%	1.28%	0.80%	0.00%	0.67%	0.69%	0.00%	1.59%	1.09%	1.67%	0.55%	1.43%	0.88%	0.99%	0.89%	1.30%	0.88%	0.24%	0.78%	1.28%	0.37%	2.15%	0.66%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1253	39	23	38	20	27	16	24	21	13	25	34	28	47	27	27	21	16	21	15	17	14	18	15	17	9	16	18	20	8	18	18	19	16	18	15	23	11	9	11	10	12	17	18	13	10	6	2	15	4	15	7	9	2	4	9	22	27	25	27	21	23	23	15	12	9	7	21	24	10	23	15	4	0									
		2.62%	4.11%	3.12%	4.93%	3.66%	3.29%	3.33%	2.92%	3.93%	2.73%	3.21%	3.12%	4.51%	4.17%	3.91%	3.40%	3.02%	1.97%	2.85%	2.60%	3.39%	2.09%	2.27%	1.91%	2.12%	1.21%	1.67%	1.98%	3.15%	1.09%	2.35%	2.40%	2.59%	1.87%	2.13%	2.43%	2.72%	2.63%	1.26%	1.40%	1.40%	2.31%	2.56%	2.68%	1.88%	1.49%	1.05%	0.40%	2.30%	0.90%	2.40%	1.40%	2.56%	1.34%	1.39%	3.18%	4.37%	3.28%	2.98%	3.71%	2.49%	3.37%	3.24%	1.91%	1.95%	1.98%	1.68%	2.73%	3.07%	1.87%	4.94%	3.30%	3.88%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	70	1	2	2	2	0	0	1	0	0	3	1	1	2	1	1	1	2	3	1	1	0	0	0	0	2	0	3	0	3	1	1	1	1	2	2	1	1	0	1	0	0	4	2	0	0	0	0	1	0	1	0	1	0	2	0	1	0	2	1	1	1	0	1	1	0	1	1	2	0	0	2	1	0									
		0.15%	0.11%	0.27%	0.26%	0.37%	0.00%	0.00%	0.12%	0.00%	0.00%	0.38%	0.09%	0.16%	0.18%	0.14%	0.13%	0.14%	0.25%	0.41%	0.17%	0.20%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.33%	0.00%	0.41%	0.13%	0.13%	0.14%	0.12%	0.24%	0.32%	0.12%	0.24%	0.00%	0.13%	0.00%	0.00%	0.60%	0.30%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.16%	0.00%	0.28%	0.00%	0.69%	0.00%	0.20%	0.00%	0.24%	0.14%	0.12%	0.15%	0.00%	0.13%	0.16%	0.00%	0.24%	0.13%	0.26%	0.00%	0.00%	0.44%	0.97%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1341	46	31	35	25	28	19	34	16	27	36	49	30	48	22	44	16	20	12	15	12	11	26	26	16	15	17	19	7	12	11	13	12	29	12	22	24	8	14	9	12	11	23	15	17	8	11	10	17	8	17	13	7	0	5	10	20	30	26	20	29	31	25	19	16	11	7	12	13	6	8	11	1	4									
		2.80%	4.85%	4.20%	4.54%	4.58%	3.41%	3.95%	4.14%	2.99%	5.67%	4.62%	4.50%	4.83%	4.26%	3.19%	5.54%	2.30%	2.46%	1.63%	2.60%	2.40%	1.64%	3.27%	3.31%	1.99%	2.02%	1.77%	2.09%	1.10%	1.63%	1.44%	1.73%	1.63%	3.39%	1.42%	3.57%	2.83%	1.91%	1.96%	1.15%	1.68%	2.12%	3.46%	2.23%	2.45%	1.19%	1.93%	2.00%	2.61%	1.80%	2.72%	2.61%	1.99%	0.00%	1.74%	3.53%	3.98%	3.65%	3.10%	2.75%	3.44%	4.55%	3.53%	2.42%	2.61%	2.42%	1.68%	1.56%	1.66%	1.12%	1.72%	2.42%	0.97%	3.54%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	13809	307	208	225	156	228	111	199	137	156	193	271	200	330	211	227	183	219	186	143	120	197	222	220	237	213	324	273	189	216	202	200	220	231	239	158	238	110	186	244	194	142	221	210	184	208	164	153	218	130	171	155	125	23	58	74	138	249	259	229	264	241	214	264	175	138	124	230	236	158	150	120	33	28									
		28.86%	32.35%	28.18%	29.18%	28.57%	27.77%	23.08%	24.21%	25.61%	32.77%	24.74%	24.86%	32.21%	29.26%	30.58%	28.59%	26.29%	26.94%	25.24%	24.74%	23.95%	29.45%	27.96%	28.03%	29.59%	28.71%	33.75%	30.10%	29.81%	29.35%	26.37%	26.63%	29.97%	26.99%	28.32%	25.61%	28.10%	26.32%	26.01%	31.04%	27.21%	27.31%	33.23%	31.25%	26.55%	30.91%	28.72%	30.60%	33.49%	29.21%	27.40%	31.06%	35.51%	15.44%	20.14%	26.15%	27.44%	30.26%	30.83%	31.50%	31.35%	35.34%	30.18%	33.67%	28.50%	30.40%	29.81%	29.87%	30.22%	29.48%	32.19%	26.43%	32.04%	24.78%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	143	5	1	3	2	3	2	2	1	2	6	3	2	7	2	2	1	2	2	3	5	1	3	3	2	2	1	0	0	4	3	0	2	4	2	2	1	3	1	3	0	2	2	0	5	3	0	1	1	0	1	2	0	1	0	2	0	3	2	0	3	2	3	2	4	0	0	3	1	3	0	2	0	2									
		0.30%	0.53%	0.14%	0.39%	0.37%	0.37%	0.42%	0.24%	0.19%	0.42%	0.77%	0.28%	0.32%	0.62%	0.29%	0.25%	0.14%	0.25%	0.27%	0.52%	0.99%	0.15%	0.38%	0.38%	0.25%	0.27%	0.10%	0.00%	0.00%	0.54%	0.39%	0.00%	0.27%	0.47%	0.24%	0.32%	0.12%	0.72%	0.14%	0.38%	0.00%	0.38%	0.30%	0.00%	0.72%	0.45%	0.00%	0.20%	0.15%	0.00%	0.16%	0.40%	0.00%	0.67%	0.00%	0.71%	0.00%	0.36%	0.24%	0.00%	0.36%	0.29%	0.42%	0.26%	0.65%	0.00%	0.00%	0.39%	0.13%	0.56%	0.00%	0.44%	0.00%	1.77%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4922	102	77	69	49	83	58	89	29	32	62	117	76	104	58	95	71	92	38	70	65	100	87	98	88	83	91	106	71	94	95	113	57	112	128	55	98	35	43	31	30	57	55	68	60	78	74	43	70	55	80	39	29	8	5	14	58	88	101	81	97	72	95	76	80	40	39	76	85	56	51	25	8	8									
		10.29%	10.75%	10.43%	8.95%	8.97%	10.11%	12.06%	10.83%	5.42%	6.72%	7.95%	10.73%	12.24%	9.22%	8.41%	11.96%	10.20%	11.32%	5.16%	12.11%	12.97%	14.95%	10.96%	12.48%	10.99%	11.19%	9.48%	11.69%	11.20%	12.77%	12.40%	15.05%	7.77%	13.08%	15.17%	8.91%	11.57%	8.37%	6.01%	3.94%	4.21%	10.96%	8.27%	10.12%	8.66%	11.59%	12.96%	8.60%	10.75%	12.36%	12.82%	7.82%	8.24%	5.37%	1.74%	4.95%	11.53%	10.69%	12.02%	11.14%	11.52%	10.56%	13.40%	9.69%	13.03%	8.81%	9.38%	9.87%	10.88%	10.45%	10.94%	5.51%	7.77%	7.08%									
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
