Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №6																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2850	30	70	50	30	90	30	30	30	50	50	35	50	40	50	30	35	50	30	40	50	60	60	40	50	60	30	30	30	60	30	30	40	45	45	60	50	30	45	50	30	30	30	30	35	60	50	40	50	30	40	45	30	30	40	30	40	50	30	30	50	60	30	30	60	45	50	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1959	4	56	32	26	83	2	1	18	30	34	30	37	24	39	18	25	29	27	31	28	43	41	32	41	51	29	20	27	53	10	23	35	27	18	36	30	21	25	28	20	17	18	22	30	37	38	30	40	30	24	40	22	22	30	18	29	32	17	24	46	34	15	28	39	32	46	14	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1273	67	18	27	14	33	7	5	7	19	8	21	19	14	20	2	11	12	7	16	11	13	11	14	13	23	13	39	16	37	7	23	28	11	15	10	20	20	9	15	20	13	17	24	21	15	28	5	22	16	26	27	11	17	20	33	15	32	17	10	43	32	14	51	22	11	7	20	9					
14	Число погашенных неиспользованных открепительных удостоверений	891	26	14	18	4	7	28	29	12	20	16	5	13	16	11	12	10	21	3	9	22	17	19	8	9	9	1	10	3	7	20	7	5	18	27	24	20	9	20	22	10	13	12	8	5	23	12	10	10	0	16	5	8	8	10	12	11	18	13	6	4	26	15	2	21	13	4	16	29					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	0	0	1	1	0	0	1	0	2	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	1	0	1	2	0	0	1	2	0	0	1	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	19132	46	253	266	195	303	32	26	319	376	324	273	299	195	225	194	284	288	304	397	380	396	382	258	277	327	331	266	341	379	171	245	333	300	341	302	328	333	342	316	310	299	289	370	362	360	396	287	304	46	315	376	221	213	341	274	270	353	280	283	311	357	236	337	318	408	206	39	24					
		27.26%	17.83%	24.49%	26.05%	24.13%	20.71%	20.13%	16.99%	31.55%	25.79%	26.78%	22.18%	29.78%	24.16%	20.34%	19.80%	26.03%	28.40%	27.05%	31.84%	30.57%	30.23%	28.81%	27.74%	26.71%	27.30%	29.74%	23.48%	28.35%	25.71%	26.89%	21.18%	32.42%	30.40%	31.52%	29.55%	25.53%	27.48%	29.58%	27.87%	27.31%	31.44%	27.87%	29.09%	29.05%	26.16%	29.84%	27.44%	25.27%	18.93%	28.90%	33.13%	11.84%	27.77%	29.12%	30.93%	30.65%	33.27%	33.29%	28.79%	28.40%	33.12%	30.45%	26.60%	26.97%	32.77%	25.25%	17.57%	15.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7990	32	107	100	89	182	23	24	109	122	110	146	114	91	102	106	128	87	111	130	152	137	142	76	127	134	130	123	142	171	60	154	95	124	112	86	142	129	133	126	119	88	110	132	156	167	142	140	131	69	138	155	340	93	130	102	98	116	81	129	106	111	102	128	171	135	99	61	33					
		11.38%	12.40%	10.36%	9.79%	11.01%	12.44%	14.47%	15.69%	10.78%	8.37%	9.09%	11.86%	11.35%	11.28%	9.22%	10.82%	11.73%	8.58%	9.88%	10.43%	12.23%	10.46%	10.71%	8.17%	12.25%	11.19%	11.68%	10.86%	11.80%	11.60%	9.43%	13.31%	9.25%	12.56%	10.35%	8.41%	11.05%	10.64%	11.51%	11.11%	10.48%	9.25%	10.61%	10.38%	12.52%	12.14%	10.70%	13.38%	10.89%	28.40%	12.66%	13.66%	18.21%	12.13%	11.10%	11.51%	11.12%	10.93%	9.63%	13.12%	9.68%	10.30%	13.16%	10.10%	14.50%	10.84%	12.13%	27.48%	21.85%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	947	4	6	10	13	22	1	2	17	22	17	17	18	12	2	12	12	15	16	28	15	19	19	9	14	12	3	5	10	28	10	23	15	17	14	16	21	21	12	23	18	17	16	15	23	12	23	17	21	3	21	11	22	2	15	16	16	11	4	7	19	18	10	14	16	9	16	2	1					
		1.35%	1.55%	0.58%	0.98%	1.61%	1.50%	0.63%	1.31%	1.68%	1.51%	1.40%	1.38%	1.79%	1.49%	0.18%	1.22%	1.10%	1.48%	1.42%	2.25%	1.21%	1.45%	1.43%	0.97%	1.35%	1.00%	0.27%	0.44%	0.83%	1.90%	1.57%	1.99%	1.46%	1.72%	1.29%	1.57%	1.63%	1.73%	1.04%	2.03%	1.59%	1.79%	1.54%	1.18%	1.85%	0.87%	1.73%	1.63%	1.75%	1.23%	1.93%	0.97%	1.18%	0.26%	1.28%	1.81%	1.82%	1.04%	0.48%	0.71%	1.74%	1.67%	1.29%	1.10%	1.36%	0.72%	1.96%	0.90%	0.66%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	12498	55	129	143	124	321	37	21	170	239	174	184	186	116	146	131	188	198	200	192	209	249	288	161	230	250	147	183	227	297	134	195	174	157	191	194	246	227	206	209	211	166	183	221	206	265	240	200	240	57	190	178	320	145	240	149	156	195	139	168	228	184	146	265	204	216	188	37	33					
		17.81%	21.32%	12.49%	14.01%	15.35%	21.94%	23.27%	13.73%	16.82%	16.39%	14.38%	14.95%	18.53%	14.37%	13.20%	13.37%	17.23%	19.53%	17.79%	15.40%	16.81%	19.01%	21.72%	17.31%	22.18%	20.87%	13.21%	16.15%	18.87%	20.15%	21.07%	16.85%	16.94%	15.91%	17.65%	18.98%	19.14%	18.73%	17.82%	18.43%	18.59%	17.46%	17.65%	17.37%	16.53%	19.26%	18.09%	19.12%	19.95%	23.46%	17.43%	15.68%	17.14%	18.90%	20.50%	16.82%	17.71%	18.38%	16.53%	17.09%	20.82%	17.07%	18.84%	20.92%	17.30%	17.35%	23.04%	16.67%	21.85%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8123	49	92	75	73	142	29	49	113	170	136	122	110	98	49	122	112	157	154	145	176	191	160	158	118	169	130	138	190	204	68	117	112	132	132	113	184	163	149	104	156	118	156	199	160	184	161	136	173	27	104	85	49	94	113	103	97	100	109	107	100	132	76	138	102	124	78	21	16					
		11.57%	18.99%	8.91%	7.35%	9.03%	9.71%	18.24%	32.03%	11.18%	11.66%	11.24%	9.91%	10.96%	12.14%	4.43%	12.45%	10.27%	15.48%	13.70%	11.63%	14.16%	14.58%	12.07%	16.99%	11.38%	14.11%	11.68%	12.18%	15.79%	13.84%	10.69%	10.11%	10.91%	13.37%	12.20%	11.06%	14.32%	13.45%	12.89%	9.17%	13.74%	12.41%	15.04%	15.64%	12.84%	13.37%	12.13%	13.00%	14.38%	11.11%	9.54%	7.49%	2.62%	12.26%	9.65%	11.63%	11.01%	9.43%	12.96%	10.89%	9.13%	12.24%	9.81%	10.89%	8.65%	9.96%	9.56%	9.46%	10.60%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19928	67	421	395	301	457	21	18	263	507	416	466	254	278	553	396	352	251	321	334	287	280	311	242	248	296	342	358	272	362	181	398	280	242	261	290	336	320	289	332	291	253	255	313	309	363	337	241	302	37	299	297	850	209	309	235	223	263	217	274	308	258	191	323	338	332	211	51	41					
		28.39%	25.97%	40.76%	38.69%	37.25%	31.24%	13.21%	11.76%	26.01%	34.77%	34.38%	37.86%	25.30%	34.45%	50.00%	40.41%	32.26%	24.75%	28.56%	26.78%	23.09%	21.37%	23.45%	26.02%	23.92%	24.71%	30.73%	31.60%	22.61%	24.56%	28.46%	34.40%	27.26%	24.52%	24.12%	28.38%	26.15%	26.40%	25.00%	29.28%	25.64%	26.60%	24.59%	24.61%	24.80%	26.38%	25.40%	23.04%	25.10%	15.23%	27.43%	26.17%	45.53%	27.25%	26.39%	26.52%	25.31%	24.79%	25.80%	27.87%	28.13%	23.93%	24.65%	25.49%	28.67%	26.67%	25.86%	22.97%	27.15%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	568	2	8	9	1	12	5	9	9	7	8	7	12	8	14	7	6	8	7	8	14	15	5	8	9	8	15	11	11	18	7	6	3	5	9	8	13	9	11	8	8	4	14	10	13	12	9	10	17	3	8	12	12	3	6	3	9	7	2	9	11	7	4	8	10	6	4	6	1					
		0.81%	0.78%	0.77%	0.88%	0.12%	0.82%	3.14%	5.88%	0.89%	0.48%	0.66%	0.57%	1.20%	0.99%	1.27%	0.71%	0.55%	0.79%	0.62%	0.64%	1.13%	1.15%	0.38%	0.86%	0.87%	0.67%	1.35%	0.97%	0.91%	1.22%	1.10%	0.52%	0.29%	0.51%	0.83%	0.78%	1.01%	0.74%	0.95%	0.71%	0.70%	0.42%	1.35%	0.79%	1.04%	0.87%	0.68%	0.96%	1.41%	1.23%	0.73%	1.06%	0.64%	0.39%	0.51%	0.34%	1.02%	0.66%	0.24%	0.92%	1.00%	0.65%	0.52%	0.63%	0.85%	0.48%	0.49%	2.70%	0.66%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
