Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Валуйская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №738	УИК №794	УИК №1247									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	426	5	5	7	8	15	25	15	12	5	15	15	8	8	7	27	14	10	15	6	6	6	10	5	8	5	3	4	7	3	3	3	6	3	3	3	7	3	3	3	3	3	3	10	3	3	3	3	6	3	7	3	6	3	3	3	6	3	3	3	10	4	4	3	3	3	3	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	297	5	4	7	7	15	23	15	12	2	15	15	6	6	4	20	14	6	15	4	2	6	6	1	3	5	0	1	7	0	3	3	2	3	0	1	7	0	0	0	0	1	0	10	1	0	0	2	6	0	3	1	4	2	0	2	0	1	2	1	9	1	1	2	0	2	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	255	2	4	4	3	20	30	10	3	6	13	2	14	4	6	20	9	6	2	3	2	3	7	1	3	2	0	2	3	0	0	2	5	0	1	1	2	2	2	1	1	2	0	4	12	2	2	2	4	0	4	2	1	0	0	1	0	3	1	1	6	0	0	0	0	4	1	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	129	0	1	0	1	0	2	0	0	3	0	0	2	2	3	7	0	4	0	2	4	0	4	4	5	0	3	3	0	3	0	0	4	0	3	2	0	3	3	3	3	2	3	0	2	3	3	1	0	3	4	2	2	1	3	1	6	2	1	2	1	3	3	1	3	1	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	2	0	1	1	0	30	2	3	1	1	2	0	0	1	4	2	0	3	1	0	1	0	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	2	0	0	0	2	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	313	3	12	10	9	6	17	16	5	5	12	6	6	7	3	15	6	2	9	16	0	11	12	2	7	4	0	1	3	2	1	0	2	9	2	0	10	0	0	0	0	2	0	2	0	1	5	4	5	4	6	1	5	0	1	7	2	0	5	0	6	4	0	0	7	7	0	6	2	0									
		0.85%	0.93%	1.81%	1.45%	1.38%	0.51%	1.42%	1.97%	0.44%	0.77%	1.72%	0.77%	0.91%	1.09%	0.54%	1.07%	0.90%	0.26%	0.87%	1.73%	0.00%	1.13%	0.95%	0.63%	1.16%	2.47%	0.00%	0.46%	0.70%	0.86%	0.31%	0.00%	0.39%	0.92%	0.80%	0.00%	1.98%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.47%	0.00%	0.38%	4.39%	0.66%	0.49%	1.04%	1.00%	0.36%	0.46%	0.00%	0.50%	1.55%	0.48%	0.00%	0.98%	0.00%	0.41%	0.74%	0.00%	0.00%	6.09%	3.03%	0.00%	0.50%	0.20%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	721	5	16	14	14	33	32	23	20	20	15	11	14	17	16	25	19	17	32	20	13	17	13	8	16	5	3	3	11	7	4	5	11	9	3	0	15	1	2	0	2	5	0	5	2	2	4	12	33	5	19	8	26	5	0	6	4	1	9	1	22	11	0	3	2	8	6	4	2	5									
		1.95%	1.55%	2.41%	2.03%	2.15%	2.78%	2.68%	2.83%	1.78%	3.07%	2.16%	1.41%	2.13%	2.65%	2.86%	1.78%	2.84%	2.25%	3.11%	2.16%	1.81%	1.74%	1.03%	2.52%	2.66%	3.09%	1.62%	1.39%	2.55%	3.00%	1.24%	3.55%	2.17%	0.92%	1.20%	0.00%	2.98%	0.93%	1.63%	0.00%	1.65%	1.96%	0.00%	1.17%	1.02%	0.75%	3.51%	1.99%	3.26%	1.31%	3.17%	2.86%	2.42%	1.63%	0.00%	1.33%	0.95%	0.66%	1.77%	0.45%	1.51%	2.02%	0.00%	1.10%	1.74%	3.46%	4.26%	0.33%	0.20%	4.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	599	2	14	6	15	30	24	19	19	8	20	42	14	15	12	31	12	21	28	13	8	17	13	1	12	3	1	0	6	2	5	2	5	8	4	2	13	1	1	3	0	3	0	7	2	5	0	12	14	7	11	2	10	8	0	9	3	1	2	1	25	6	0	5	4	1	3	3	1	2									
		1.62%	0.62%	2.11%	0.87%	2.31%	2.53%	2.01%	2.34%	1.69%	1.23%	2.87%	5.37%	2.13%	2.34%	2.15%	2.21%	1.79%	2.78%	2.72%	1.40%	1.11%	1.74%	1.03%	0.32%	1.99%	1.85%	0.54%	0.00%	1.39%	0.86%	1.55%	1.42%	0.99%	0.82%	1.61%	0.75%	2.58%	0.93%	0.81%	2.65%	0.00%	1.18%	0.00%	1.64%	1.02%	1.89%	0.00%	1.99%	1.38%	1.83%	1.84%	0.71%	0.93%	2.61%	0.00%	1.99%	0.72%	0.66%	0.39%	0.45%	1.71%	1.10%	0.00%	1.84%	3.48%	0.43%	2.13%	0.25%	0.10%	1.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21507	157	320	342	305	539	531	385	717	407	295	287	379	320	247	704	268	431	431	461	459	523	897	217	325	89	117	141	254	166	209	81	306	627	160	156	217	91	75	65	82	144	156	244	107	162	56	353	562	227	343	167	652	129	152	318	347	130	351	165	948	336	197	151	64	133	57	1051	964	58									
		58.15%	48.76%	48.19%	49.57%	46.92%	45.41%	44.51%	47.41%	63.79%	62.52%	42.39%	36.70%	57.77%	49.92%	44.19%	50.14%	40.00%	57.09%	41.84%	49.78%	63.75%	53.64%	70.91%	68.45%	53.99%	54.94%	63.24%	65.28%	58.93%	71.24%	64.91%	57.45%	60.36%	63.91%	64.26%	58.21%	43.06%	85.05%	60.98%	57.52%	67.77%	56.47%	74.64%	57.01%	54.59%	61.13%	49.12%	58.64%	55.48%	59.27%	57.26%	59.64%	60.59%	42.16%	75.25%	70.51%	82.82%	86.09%	68.96%	74.32%	64.93%	61.76%	79.12%	55.51%	55.65%	57.58%	40.43%	87.51%	94.42%	49.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	177	5	9	3	3	11	12	7	4	15	4	3	0	2	2	5	3	1	7	7	0	5	2	1	4	0	1	0	4	0	3	1	3	2	0	2	4	0	1	0	0	1	0	3	5	0	0	0	3	0	1	2	3	3	0	1	0	0	1	1	2	5	0	1	0	1	0	7	0	1									
		0.48%	1.55%	1.36%	0.43%	0.46%	0.93%	1.01%	0.86%	0.36%	2.30%	0.57%	0.38%	0.00%	0.31%	0.36%	0.36%	0.45%	0.13%	0.68%	0.76%	0.00%	0.51%	0.16%	0.32%	0.66%	0.00%	0.54%	0.00%	0.93%	0.00%	0.93%	0.71%	0.59%	0.20%	0.00%	0.75%	0.79%	0.00%	0.81%	0.00%	0.00%	0.39%	0.00%	0.70%	2.55%	0.00%	0.00%	0.00%	0.30%	0.00%	0.17%	0.71%	0.28%	0.98%	0.00%	0.22%	0.00%	0.00%	0.20%	0.45%	0.14%	0.92%	0.00%	0.37%	0.00%	0.43%	0.00%	0.58%	0.00%	0.85%									
24	"6. Политическая партия ""Гражданская Платформа"""	57	1	2	1	0	5	4	3	4	1	0	0	2	5	0	0	3	2	3	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	2	1	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0									
		0.15%	0.31%	0.30%	0.14%	0.00%	0.42%	0.34%	0.37%	0.36%	0.15%	0.00%	0.00%	0.30%	0.78%	0.00%	0.00%	0.45%	0.26%	0.29%	0.22%	0.00%	0.10%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.17%	0.10%	0.52%	0.17%	0.71%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.55%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5885	73	113	134	127	190	203	168	186	85	153	191	99	148	108	267	181	115	216	174	101	156	128	40	134	30	29	29	47	22	32	31	101	85	40	46	96	1	18	8	10	29	4	96	38	47	24	120	199	57	106	36	164	68	36	46	21	13	55	28	206	67	22	69	19	45	18	85	24	28									
		15.91%	22.67%	17.02%	19.42%	19.54%	16.01%	17.02%	20.69%	16.55%	13.06%	21.98%	24.42%	15.09%	23.09%	19.32%	19.02%	27.01%	15.23%	20.97%	18.79%	14.03%	16.00%	10.12%	12.62%	22.26%	18.52%	15.68%	13.43%	10.90%	9.44%	9.94%	21.99%	19.92%	8.66%	16.06%	17.16%	19.05%	0.93%	14.63%	7.08%	8.26%	11.37%	1.91%	22.43%	19.39%	17.74%	21.05%	19.93%	19.64%	14.88%	17.70%	12.86%	15.24%	22.22%	17.82%	10.20%	5.01%	8.61%	10.81%	12.61%	14.11%	12.32%	8.84%	25.37%	16.52%	19.48%	12.77%	7.08%	2.35%	23.93%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	112	1	6	4	2	5	9	7	4	3	2	5	2	1	2	3	0	0	6	2	0	1	11	1	1	0	0	0	1	0	0	0	1	1	1	0	3	0	0	0	0	3	0	3	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	1	0	0									
		0.30%	0.31%	0.90%	0.58%	0.31%	0.42%	0.75%	0.86%	0.36%	0.46%	0.29%	0.64%	0.30%	0.16%	0.36%	0.21%	0.00%	0.00%	0.58%	0.22%	0.00%	0.10%	0.87%	0.32%	0.17%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.20%	0.10%	0.40%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	3.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.27%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	152	3	3	7	6	7	5	10	12	6	5	7	3	2	5	7	3	2	5	6	0	1	1	1	3	2	3	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	3	0	1	0	2	1	3	1	1	4	0	0	0	0	1	0	1	5	0	0	2	0	0	0	3	1	0									
		0.41%	0.93%	0.45%	1.01%	0.92%	0.59%	0.42%	1.23%	1.07%	0.92%	0.72%	0.90%	0.46%	0.31%	0.89%	0.50%	0.45%	0.26%	0.49%	0.65%	0.00%	0.10%	0.08%	0.32%	0.50%	1.23%	1.62%	0.00%	0.00%	0.00%	0.62%	0.00%	0.39%	0.20%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.38%	0.00%	0.33%	0.10%	0.78%	0.17%	0.36%	0.37%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.45%	0.34%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.25%	0.10%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	37	1	1	1	2	3	2	0	0	0	0	1	2	2	0	0	1	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1									
		0.10%	0.31%	0.15%	0.14%	0.31%	0.25%	0.17%	0.00%	0.00%	0.00%	0.00%	0.13%	0.30%	0.31%	0.00%	0.00%	0.15%	0.00%	0.29%	0.32%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.20%	0.00%	0.00%	0.88%	0.00%	0.39%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.36%	0.19%	0.00%	0.50%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.08%	0.00%	0.85%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	162	1	12	3	6	11	10	5	5	2	2	1	0	3	0	9	3	5	6	8	9	3	2	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	3	1	0	1	0	0	1	0	1	0	4	3	7	3	1	1	0	5	0	0	2	0	1	4	1	2	1	2	1	2	3	1									
		0.44%	0.31%	1.81%	0.43%	0.92%	0.93%	0.84%	0.62%	0.44%	0.31%	0.29%	0.13%	0.00%	0.47%	0.00%	0.64%	0.45%	0.66%	0.58%	0.86%	1.25%	0.31%	0.16%	0.00%	0.17%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.40%	0.00%	2.44%	0.88%	0.00%	0.39%	0.00%	0.00%	0.51%	0.00%	0.88%	0.00%	0.39%	0.78%	1.17%	1.07%	0.09%	0.33%	0.00%	1.11%	0.00%	0.00%	0.39%	0.00%	0.07%	0.74%	0.40%	0.74%	0.87%	0.87%	0.71%	0.17%	0.29%	0.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5585	58	136	135	138	267	269	128	98	78	143	162	94	106	142	278	140	127	229	182	111	190	141	42	73	21	16	37	83	28	58	19	56	83	32	44	116	9	21	29	26	51	46	38	19	30	14	80	155	65	75	32	177	52	11	54	23	5	50	22	179	82	26	29	16	25	46	16	6	16									
		15.10%	18.01%	20.48%	19.57%	21.23%	22.49%	22.55%	15.76%	8.72%	11.98%	20.55%	20.72%	14.33%	16.54%	25.40%	19.80%	20.90%	16.82%	22.23%	19.65%	15.42%	19.49%	11.15%	13.25%	12.13%	12.96%	8.65%	17.13%	19.26%	12.02%	18.01%	13.48%	11.05%	8.46%	12.85%	16.42%	23.02%	8.41%	17.07%	25.66%	21.49%	20.00%	22.01%	8.88%	9.69%	11.32%	12.28%	13.29%	15.30%	16.97%	12.52%	11.43%	16.45%	16.99%	5.45%	11.97%	5.49%	3.31%	9.82%	9.91%	12.26%	15.07%	10.44%	10.66%	13.91%	10.82%	32.62%	1.33%	0.59%	13.68%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	117	1	1	1	3	7	9	4	3	3	3	4	1	0	0	2	2	2	2	0	0	5	2	0	1	0	3	0	0	0	1	0	2	1	0	1	2	0	0	2	1	0	1	2	1	0	0	1	3	3	1	1	7	15	0	1	0	0	2	0	5	1	0	1	1	0	1	0	1	0									
		0.32%	0.31%	0.15%	0.14%	0.46%	0.59%	0.75%	0.49%	0.27%	0.46%	0.43%	0.51%	0.15%	0.00%	0.00%	0.14%	0.30%	0.26%	0.19%	0.00%	0.00%	0.51%	0.16%	0.00%	0.17%	0.00%	1.62%	0.00%	0.00%	0.00%	0.31%	0.00%	0.39%	0.10%	0.00%	0.37%	0.40%	0.00%	0.00%	1.77%	0.83%	0.00%	0.48%	0.47%	0.51%	0.00%	0.00%	0.17%	0.30%	0.78%	0.17%	0.36%	0.65%	4.90%	0.00%	0.22%	0.00%	0.00%	0.39%	0.00%	0.34%	0.18%	0.00%	0.37%	0.87%	0.00%	0.71%	0.00%	0.10%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	817	10	14	12	13	48	36	26	17	11	23	48	27	12	15	31	19	16	27	14	9	24	22	3	17	4	5	2	16	2	4	2	4	11	3	9	11	2	0	4	0	6	1	14	19	12	7	9	16	4	13	3	17	8	0	4	7	0	19	1	43	12	0	5	0	8	5	5	3	3									
		2.21%	3.11%	2.11%	1.74%	2.00%	4.04%	3.02%	3.20%	1.51%	1.69%	3.30%	6.14%	4.12%	1.87%	2.68%	2.21%	2.84%	2.12%	2.62%	1.51%	1.25%	2.46%	1.74%	0.95%	2.82%	2.47%	2.70%	0.93%	3.71%	0.86%	1.24%	1.42%	0.79%	1.12%	1.20%	3.36%	2.18%	1.87%	0.00%	3.54%	0.00%	2.35%	0.48%	3.27%	9.69%	4.53%	6.14%	1.50%	1.58%	1.04%	2.17%	1.07%	1.58%	2.61%	0.00%	0.89%	1.67%	0.00%	3.73%	0.45%	2.95%	2.21%	0.00%	1.84%	0.00%	3.46%	3.55%	0.42%	0.29%	2.56%									
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
