Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Мончегорская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1261	60	60	60	60	60	50	50	52	50	50	60	60	60	50	0	59	50	50	50	60	60	50	20	10	10	60					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	281	23	8	15	13	11	7	6	12	6	13	15	13	20	15	0	9	11	8	12	20	12	12	4	1	1	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	187	3	4	4	0	2	0	0	4	0	1	3	3	2	14	123	1	2	2	0	5	1	0	3	0	1	9					
14	Число погашенных открепительных удостоверений	980	37	52	45	47	49	43	44	40	44	37	45	47	40	35	0	50	39	42	38	40	48	38	16	9	9	46					
15	Число открепительных удостоверений выданных ТИК	4	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	171	13	10	5	8	13	7	2	4	8	10	7	5	14	5	0	8	7	4	3	6	5	5	2	1	3	16					
		0.72%	0.97%	0.79%	0.37%	0.70%	0.97%	1.21%	0.38%	0.48%	1.13%	0.97%	0.57%	0.38%	1.05%	0.44%	0.0%	0.64%	0.64%	0.77%	0.36%	0.44%	0.55%	0.75%	0.53%	3.57%	2.4%	1.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	747	51	37	63	30	38	16	19	27	23	23	23	46	36	19	8	44	51	16	26	63	23	34	11	1	2	17					
		3.17%	3.83%	2.95%	4.70%	2.63%	2.84%	2.78%	3.66%	3.24%	3.27%	2.23%	1.89%	3.51%	2.72%	1.70%	3.63%	3.52%	4.72%	3.11%	3.12%	4.70%	2.56%	5.15%	2.95%	3.57%	1.6%	1.39%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1317	68	73	71	60	67	23	27	55	38	63	85	81	77	67	11	75	60	39	52	111	38	25	20	2	3	26					
		5.59%	5.10%	5.82%	5.30%	5.27%	5.00%	4.0%	5.21%	6.61%	5.41%	6.12%	7.00%	6.18%	5.82%	5.99%	5.0%	6.0%	5.56%	7.60%	6.25%	8.28%	4.24%	3.79%	5.37%	7.14%	2.4%	2.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1344	102	66	85	77	110	32	34	42	33	45	63	59	90	50	13	63	63	22	68	83	42	27	30	0	3	42					
		5.70%	7.66%	5.26%	6.34%	6.76%	8.22%	5.56%	6.56%	5.04%	4.70%	4.37%	5.19%	4.50%	6.80%	4.47%	5.90%	5.04%	5.83%	4.28%	8.17%	6.19%	4.69%	4.09%	8.06%	0.0%	2.4%	3.43%					
22	"5. ""За Русь Святую"""	76	8	5	3	0	5	1	1	2	4	5	4	1	4	3	0	3	8	2	3	2	7	4	0	0	0	1					
		0.32%	0.60%	0.39%	0.22%	0.0%	0.37%	0.17%	0.19%	0.24%	0.56%	0.48%	0.32%	0.07%	0.30%	0.26%	0.0%	0.24%	0.74%	0.38%	0.36%	0.14%	0.78%	0.60%	0.0%	0.0%	0.0%	0.08%					
23	"6. ""Объединенная Российская партия ""Русь"""	51	2	6	3	0	1	0	0	1	2	6	2	3	8	4	0	4	2	0	1	3	1	0	0	0	0	2					
		0.21%	0.15%	0.47%	0.22%	0.0%	0.07%	0.0%	0.0%	0.12%	0.28%	0.58%	0.16%	0.22%	0.60%	0.35%	0.0%	0.32%	0.18%	0.0%	0.12%	0.22%	0.11%	0.0%	0.0%	0.0%	0.0%	0.16%					
24	"7. ""Новый курс - Автомобильная Россия"""	282	15	15	22	12	25	8	7	4	4	7	9	17	22	13	3	8	6	8	11	18	14	11	5	0	0	18					
		1.19%	1.12%	1.19%	1.64%	1.05%	1.86%	1.39%	1.35%	0.48%	0.56%	0.68%	0.74%	1.29%	1.66%	1.16%	1.36%	0.64%	0.55%	1.55%	1.32%	1.34%	1.56%	1.66%	1.34%	0.0%	0.0%	1.47%					
25	"8. ""Народно-республиканская партия России"""	45	5	3	2	3	4	0	0	3	1	3	1	5	1	2	2	2	0	0	0	2	1	1	0	0	0	4					
		0.19%	0.37%	0.23%	0.14%	0.26%	0.29%	0.0%	0.0%	0.36%	0.14%	0.29%	0.08%	0.38%	0.07%	0.17%	0.90%	0.16%	0.0%	0.0%	0.0%	0.14%	0.11%	0.15%	0.0%	0.0%	0.0%	0.32%					
26	"9. ""Российская экологическая партия ""Зеленые"""	84	5	4	7	7	6	2	0	2	4	2	3	3	5	8	0	3	2	3	1	4	6	1	1	0	0	5					
		0.35%	0.37%	0.31%	0.52%	0.61%	0.44%	0.34%	0.0%	0.24%	0.56%	0.19%	0.24%	0.22%	0.37%	0.71%	0.0%	0.24%	0.18%	0.58%	0.12%	0.29%	0.67%	0.15%	0.26%	0.0%	0.0%	0.40%					
27	"10. ""Аграрная партия России"""	318	23	15	13	9	20	10	9	14	13	15	16	9	12	18	1	20	13	7	14	24	15	9	3	1	4	11					
		1.35%	1.72%	1.19%	0.97%	0.79%	1.49%	1.73%	1.73%	1.68%	1.85%	1.45%	1.31%	0.68%	0.90%	1.61%	0.45%	1.6%	1.20%	1.36%	1.68%	1.79%	1.67%	1.36%	0.80%	3.57%	3.2%	0.89%					
28	"11. ""Истинные патриоты России"""	16	0	2	1	3	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	3					
		0.06%	0.0%	0.15%	0.07%	0.26%	0.07%	0.0%	0.0%	0.0%	0.0%	0.09%	0.08%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.19%	0.0%	0.0%	0.11%	0.15%	0.0%	0.0%	0.0%	0.24%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	312	21	14	12	16	23	9	1	10	10	19	13	22	22	11	0	12	19	5	11	18	14	10	6	0	0	14					
		1.32%	1.57%	1.11%	0.89%	1.40%	1.71%	1.56%	0.19%	1.20%	1.42%	1.84%	1.07%	1.67%	1.66%	0.98%	0.0%	0.96%	1.76%	0.97%	1.32%	1.34%	1.56%	1.51%	1.61%	0.0%	0.0%	1.14%					
30	"13. ""Демократическая партия России"""	59	2	3	1	6	1	1	1	3	1	5	5	2	3	4	4	1	2	0	0	1	2	3	1	0	1	6					
		0.25%	0.15%	0.23%	0.07%	0.52%	0.07%	0.17%	0.19%	0.36%	0.14%	0.48%	0.41%	0.15%	0.22%	0.35%	1.81%	0.08%	0.18%	0.0%	0.0%	0.07%	0.22%	0.45%	0.26%	0.0%	0.8%	0.49%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	2	3	2	1	0	2	0	1	1	2	0	0	1	1	0	2	2	0	5	2	0	0	0	0	0	1					
		0.11%	0.15%	0.23%	0.14%	0.08%	0.0%	0.34%	0.0%	0.12%	0.14%	0.19%	0.0%	0.0%	0.07%	0.08%	0.0%	0.16%	0.18%	0.0%	0.60%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%					
32	"15. ""Партия СЛОН"""	36	1	4	0	1	1	0	0	1	2	0	2	2	0	1	0	1	0	2	2	5	2	1	2	0	0	6					
		0.15%	0.07%	0.31%	0.0%	0.08%	0.07%	0.0%	0.0%	0.12%	0.28%	0.0%	0.16%	0.15%	0.0%	0.08%	0.0%	0.08%	0.0%	0.38%	0.24%	0.37%	0.22%	0.15%	0.53%	0.0%	0.0%	0.49%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2032	104	112	119	83	103	39	45	87	60	79	98	114	120	117	21	140	81	42	98	103	69	50	45	0	1	102					
		8.62%	7.81%	8.93%	8.88%	7.29%	7.69%	6.78%	8.68%	10.45%	8.54%	7.68%	8.07%	8.70%	9.07%	10.47%	9.54%	11.2%	7.50%	8.18%	11.77%	7.68%	7.70%	7.58%	12.09%	0.0%	0.8%	8.34%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	0	2	6	0	0	1	0	2	3	0	1	1	1	1	0	0	1	1	1	0	3	1	0	0	0	4					
		0.12%	0.0%	0.15%	0.44%	0.0%	0.0%	0.17%	0.0%	0.24%	0.42%	0.0%	0.08%	0.07%	0.07%	0.08%	0.0%	0.0%	0.09%	0.19%	0.12%	0.0%	0.33%	0.15%	0.0%	0.0%	0.0%	0.32%					
35	"18. ""ЛДПР"""	3188	202	213	172	187	150	64	79	114	82	106	155	187	157	155	34	140	141	75	85	173	151	98	50	3	7	208					
		13.53%	15.17%	16.99%	12.84%	16.43%	11.21%	11.13%	15.25%	13.70%	11.68%	10.31%	12.77%	14.27%	11.87%	13.87%	15.45%	11.2%	13.06%	14.61%	10.21%	12.91%	16.87%	14.87%	13.44%	10.71%	5.6%	17.00%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	348	18	26	11	15	23	7	12	12	13	17	14	17	18	15	5	32	18	5	11	19	19	6	3	0	1	11					
		1.47%	1.35%	2.07%	0.82%	1.31%	1.71%	1.21%	2.31%	1.44%	1.85%	1.65%	1.15%	1.29%	1.36%	1.34%	2.27%	2.56%	1.66%	0.97%	1.32%	1.41%	2.12%	0.91%	0.80%	0.0%	0.8%	0.89%					
37	"20. ""Политическая партия ""Единая Россия"""	10009	526	484	563	486	583	266	218	321	296	480	556	570	574	487	81	530	444	205	327	510	369	280	147	16	89	601					
		42.49%	39.51%	38.62%	42.04%	42.70%	43.57%	46.26%	42.08%	38.58%	42.16%	46.69%	45.83%	43.51%	43.41%	43.59%	36.81%	42.4%	41.14%	39.96%	39.30%	38.05%	41.22%	42.48%	39.51%	57.14%	71.2%	49.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	29	2	1	1	0	1	1	1	1	0	1	1	1	4	2	0	1	1	1	2	4	0	1	0	0	0	2					
		0.12%	0.15%	0.07%	0.07%	0.0%	0.07%	0.17%	0.19%	0.12%	0.0%	0.09%	0.08%	0.07%	0.30%	0.17%	0.0%	0.08%	0.09%	0.19%	0.24%	0.29%	0.0%	0.15%	0.0%	0.0%	0.0%	0.16%					
39	"22. ""Развитие предпринимательства"""	44	4	3	2	3	0	0	1	2	0	1	5	4	5	0	0	2	2	1	2	1	2	3	0	0	0	1					
		0.18%	0.30%	0.23%	0.14%	0.26%	0.0%	0.0%	0.19%	0.24%	0.0%	0.09%	0.41%	0.30%	0.37%	0.0%	0.0%	0.16%	0.18%	0.19%	0.24%	0.07%	0.22%	0.45%	0.0%	0.0%	0.0%	0.08%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1659	87	65	89	69	92	62	34	79	50	84	83	94	94	75	18	87	86	43	70	94	47	64	30	1	5	57					
		7.04%	6.53%	5.18%	6.64%	6.06%	6.87%	10.78%	6.56%	9.49%	7.12%	8.17%	6.84%	7.17%	7.11%	6.71%	8.18%	6.96%	7.97%	8.38%	8.41%	7.01%	5.25%	9.71%	8.06%	3.57%	4.0%	4.66%					
																																	
41	Против всех	1174	59	84	73	62	67	18	25	35	43	45	54	59	48	51	18	58	66	30	34	89	58	18	15	3	3	59					
		4.98%	4.43%	6.70%	5.45%	5.44%	5.00%	3.13%	4.82%	4.20%	6.12%	4.37%	4.45%	4.50%	3.63%	4.56%	8.18%	4.64%	6.11%	5.84%	4.08%	6.64%	6.48%	2.73%	4.03%	10.71%	2.4%	4.82%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
