Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Кимрская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412									
		0.36%	0.13%	0.00%	0.17%	0.37%	0.00%	0.82%	0.44%	0.71%	0.44%	1.14%	0.00%	0.79%	0.47%	0.53%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	0	0	1	1	0	0	1	0	1	0	0	1	0									
		0.13%	0.13%	0.00%	0.00%	0.19%	0.68%	0.00%	0.00%	0.36%	0.00%	1.14%	0.00%	0.00%	0.47%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	787	136	33	108	95	22	55	35	32	34	13	55	26	44	99									
		16.88%	18.09%	20.37%	18.43%	17.76%	14.86%	15.03%	15.35%	11.39%	14.85%	14.77%	14.51%	20.63%	20.75%	17.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	24	5	0	4	3	1	0	0	1	0	1	2	1	1	5									
		0.51%	0.66%	0.00%	0.68%	0.56%	0.68%	0.00%	0.00%	0.36%	0.00%	1.14%	0.53%	0.79%	0.47%	0.88%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	4	1	5	1	1	0	2	0	1	0	1	4	1	5									
		0.56%	0.53%	0.62%	0.85%	0.19%	0.68%	0.00%	0.88%	0.00%	0.44%	0.00%	0.26%	3.17%	0.47%	0.88%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	1	0	2	1	0	1	1	2	0	3	0	1	0									
		0.26%	0.00%	0.62%	0.00%	0.37%	0.68%	0.00%	0.44%	0.36%	0.87%	0.00%	0.79%	0.00%	0.47%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	74	11	1	4	14	6	4	1	1	3	2	7	6	3	11									
		1.59%	1.46%	0.62%	0.68%	2.62%	4.05%	1.09%	0.44%	0.36%	1.31%	2.27%	1.85%	4.76%	1.42%	1.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	553	120	12	64	61	13	42	1	33	25	16	45	5	22	94									
		11.86%	15.96%	7.41%	10.92%	11.40%	8.78%	11.48%	0.44%	11.74%	10.92%	18.18%	11.87%	3.97%	10.38%	16.46%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	6	1	1	2	1	0	0	0	1	0	0	0	0	3									
		0.32%	0.80%	0.62%	0.17%	0.37%	0.68%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.53%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	352	108	11	24	33	10	23	12	8	35	2	34	6	9	37									
		7.55%	14.36%	6.79%	4.10%	6.17%	6.76%	6.28%	5.26%	2.85%	15.28%	2.27%	8.97%	4.76%	4.25%	6.48%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
