Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    район Замоскворечье																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №3611	УИК №3612	УИК №4002									
		2.10%	1.98%	2.10%	1.45%	2.14%	2.87%	1.92%	2.02%	2.39%	2.26%	1.89%	1.69%	1.20%	9.68%	2.98%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	3	7	8	0	3	5	3	2	3	4	5	0	0	0									
		0.40%	0.31%	0.73%	0.89%	0.00%	0.29%	0.53%	0.32%	0.27%	0.31%	0.50%	0.47%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1186	109	110	95	111	103	98	110	84	104	87	129	11	4	31									
		11.11%	11.34%	11.54%	10.58%	10.33%	9.84%	10.46%	11.70%	11.17%	10.68%	10.96%	12.10%	13.25%	12.90%	18.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	411	48	40	48	36	38	27	26	35	36	34	40	0	1	2									
		3.85%	4.99%	4.20%	5.35%	3.35%	3.63%	2.88%	2.77%	4.65%	3.70%	4.28%	3.75%	0.00%	3.23%	1.19%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	530	42	47	49	58	74	51	36	27	50	30	62	2	2	0									
		4.96%	4.37%	4.93%	5.46%	5.40%	7.07%	5.44%	3.83%	3.59%	5.13%	3.78%	5.82%	2.41%	6.45%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	0	4	5	3	4	2	0	3	0	3	2	0	0	0									
		0.24%	0.00%	0.42%	0.56%	0.28%	0.38%	0.21%	0.00%	0.40%	0.00%	0.38%	0.19%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1689	147	158	176	167	179	167	107	132	168	123	144	4	6	11									
		15.82%	15.30%	16.58%	19.60%	15.53%	17.10%	17.82%	11.38%	17.55%	17.25%	15.49%	13.51%	4.82%	19.35%	6.55%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1493	136	146	96	146	175	134	105	117	114	106	175	15	4	24									
		13.98%	14.15%	15.32%	10.69%	13.58%	16.71%	14.30%	11.17%	15.56%	11.70%	13.35%	16.42%	18.07%	12.90%	14.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	7	2	4	2	4	1	5	4	7	3	6	2	1	0									
		0.45%	0.73%	0.21%	0.45%	0.19%	0.38%	0.11%	0.53%	0.53%	0.72%	0.38%	0.56%	2.41%	3.23%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	547	46	45	37	56	50	51	54	43	42	49	54	4	2	14									
		5.12%	4.79%	4.72%	4.12%	5.21%	4.78%	5.44%	5.74%	5.72%	4.31%	6.17%	5.07%	4.82%	6.45%	8.33%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
