Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Ермаковская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  1191	УИК  1192	УИК  1193	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217					
		1.17%	0.87%	0.81%	1.79%	0.77%	1.07%	1.36%	1.78%	1.78%	0.0%	0.95%	0.0%	2.38%	1.64%	1.44%	0.0%	1.96%	2.16%	1.80%	1.62%	1.0%	0.0%	0.38%	0.60%	0.75%	0.47%	0.0%	0.66%					
22	"5. ""За Русь Святую"""	81	3	6	6	12	4	4	11	2	0	2	1	2	0	6	1	4	3	0	4	0	1	1	1	1	1	2	3					
		0.77%	0.87%	1.22%	1.19%	2.33%	0.61%	0.77%	1.96%	0.71%	0.0%	0.95%	0.65%	0.59%	0.0%	0.96%	0.30%	0.78%	0.81%	0.0%	0.58%	0.0%	0.80%	0.19%	0.60%	0.18%	0.23%	1.10%	0.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	0	1	3	0	2	1	1	0	0	0	0	0	1	2	2	1	4	0	2	1	0	0	0	3	1	2	0					
		0.25%	0.0%	0.20%	0.59%	0.0%	0.30%	0.19%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.32%	0.60%	0.19%	1.08%	0.0%	0.29%	0.5%	0.0%	0.0%	0.0%	0.56%	0.23%	1.10%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	48	3	5	1	2	2	5	6	2	0	0	0	2	2	2	0	0	2	0	3	2	3	2	2	0	1	0	1					
		0.46%	0.87%	1.02%	0.19%	0.38%	0.30%	0.97%	1.06%	0.71%	0.0%	0.0%	0.0%	0.59%	0.82%	0.32%	0.0%	0.0%	0.54%	0.0%	0.44%	1.0%	2.41%	0.38%	1.21%	0.0%	0.23%	0.0%	0.22%					
25	"8. ""Народно-республиканская партия России"""	8	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0					
		0.07%	0.0%	0.20%	0.19%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.25%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	0	0	0	1	3	2	2	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0					
		0.14%	0.0%	0.0%	0.0%	0.19%	0.45%	0.38%	0.35%	0.0%	1.03%	0.47%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.27%	0.0%	0.14%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.55%	0.0%					
27	"10. ""Аграрная партия России"""	407	21	14	18	12	18	7	13	6	2	14	0	28	19	13	19	22	19	6	14	7	3	22	2	31	24	2	51					
		3.91%	6.14%	2.86%	3.58%	2.33%	2.75%	1.36%	2.31%	2.14%	2.06%	6.69%	0.0%	8.33%	7.81%	2.09%	5.70%	4.32%	5.13%	1.55%	2.06%	3.5%	2.41%	4.25%	1.21%	5.82%	5.66%	1.10%	11.33%					
28	"11. ""Истинные патриоты России"""	5	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1					
		0.04%	0.0%	0.20%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.22%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	59	4	3	0	1	1	0	1	4	2	4	1	1	1	5	3	7	2	3	2	0	2	3	0	2	3	0	4					
		0.56%	1.16%	0.61%	0.0%	0.19%	0.15%	0.0%	0.17%	1.42%	2.06%	1.91%	0.65%	0.29%	0.41%	0.80%	0.90%	1.37%	0.54%	0.77%	0.29%	0.0%	1.61%	0.58%	0.0%	0.37%	0.70%	0.0%	0.88%					
30	"13. ""Демократическая партия России"""	22	1	2	0	0	1	0	2	0	1	0	0	0	0	2	1	0	2	3	0	0	1	2	0	2	2	0	0					
		0.21%	0.29%	0.40%	0.0%	0.0%	0.15%	0.0%	0.35%	0.0%	1.03%	0.0%	0.0%	0.0%	0.0%	0.32%	0.30%	0.0%	0.54%	0.77%	0.0%	0.0%	0.80%	0.38%	0.0%	0.37%	0.47%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	1	4	0	1	1	0	2					
		0.16%	0.29%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.27%	0.25%	0.0%	0.5%	0.80%	0.77%	0.0%	0.18%	0.23%	0.0%	0.44%					
32	"15. ""Партия СЛОН"""	8	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1	0	0	0	0					
		0.07%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.25%	0.14%	0.0%	0.80%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1340	45	82	85	70	143	106	98	44	12	32	12	26	33	74	52	93	40	38	52	26	14	43	10	32	26	4	48					
		12.90%	13.15%	16.80%	16.93%	13.59%	21.86%	20.66%	17.46%	15.71%	12.37%	15.31%	7.84%	7.73%	13.58%	11.91%	15.61%	18.27%	10.81%	9.81%	7.65%	13.0%	11.29%	8.31%	6.06%	6.01%	6.13%	2.20%	10.66%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	0	0	2	2	1	0	0	0	0	0	2	0	2	2	0	5	3	0	4	1	0	0	0	2	2	1	0					
		0.27%	0.0%	0.0%	0.39%	0.38%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	1.30%	0.0%	0.82%	0.32%	0.0%	0.98%	0.81%	0.0%	0.58%	0.5%	0.0%	0.0%	0.0%	0.37%	0.47%	0.55%	0.0%					
35	"18. ""ЛДПР"""	1305	41	40	51	53	88	65	73	33	11	33	40	49	27	68	48	75	53	76	105	29	17	52	9	38	59	21	51					
		12.56%	11.98%	8.19%	10.15%	10.29%	13.45%	12.67%	13.01%	11.78%	11.34%	15.78%	26.14%	14.58%	11.11%	10.95%	14.41%	14.73%	14.32%	19.63%	15.46%	14.5%	13.70%	10.05%	5.45%	7.14%	13.91%	11.60%	11.33%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	143	5	8	6	9	9	11	7	6	2	2	0	3	3	11	1	3	5	8	8	2	0	5	3	9	3	6	8					
		1.37%	1.46%	1.63%	1.19%	1.74%	1.37%	2.14%	1.24%	2.14%	2.06%	0.95%	0.0%	0.89%	1.23%	1.77%	0.30%	0.58%	1.35%	2.06%	1.17%	1.0%	0.0%	0.96%	1.81%	1.69%	0.70%	3.31%	1.77%					
37	"20. ""Политическая партия ""Единая Россия"""	3689	111	143	146	190	227	197	172	105	41	54	40	148	103	210	124	111	118	128	329	89	52	236	72	208	103	91	141					
		35.52%	32.45%	29.30%	29.08%	36.89%	34.70%	38.40%	30.65%	37.49%	42.26%	25.83%	26.14%	44.04%	42.38%	33.81%	37.23%	21.80%	31.89%	33.07%	48.45%	44.5%	41.93%	45.64%	43.63%	39.09%	24.29%	50.27%	31.33%					
38	"21. ""Российская Конституционно-демократическая партия"""	25	0	1	4	1	0	1	1	0	0	0	0	2	1	3	2	0	1	0	2	0	0	2	1	0	1	0	2					
		0.24%	0.0%	0.20%	0.79%	0.19%	0.0%	0.19%	0.17%	0.0%	0.0%	0.0%	0.0%	0.59%	0.41%	0.48%	0.60%	0.0%	0.27%	0.0%	0.29%	0.0%	0.0%	0.38%	0.60%	0.0%	0.23%	0.0%	0.44%					
39	"22. ""Развитие предпринимательства"""	37	3	2	0	3	7	1	0	2	0	1	0	3	0	0	0	0	0	2	4	0	0	3	2	1	0	2	1					
		0.35%	0.87%	0.40%	0.0%	0.58%	1.07%	0.19%	0.0%	0.71%	0.0%	0.47%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.58%	0.0%	0.0%	0.58%	1.21%	0.18%	0.0%	1.10%	0.22%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2136	86	131	124	117	94	65	106	55	13	44	30	34	31	154	54	145	58	76	96	21	13	91	47	153	153	34	111					
		20.56%	25.14%	26.84%	24.70%	22.71%	14.37%	12.67%	18.89%	19.64%	13.40%	21.05%	19.60%	10.11%	12.75%	24.79%	16.21%	28.48%	15.67%	19.63%	14.13%	10.5%	10.48%	17.60%	28.48%	28.75%	36.08%	18.78%	24.66%					
																																		
41	Против всех	356	6	9	19	22	19	15	15	6	10	14	13	16	6	24	11	12	15	14	12	7	5	21	8	15	18	7	17					
		3.42%	1.75%	1.84%	3.78%	4.27%	2.90%	2.92%	2.67%	2.14%	10.30%	6.69%	8.49%	4.76%	2.46%	3.86%	3.30%	2.35%	4.05%	3.61%	1.76%	3.5%	4.03%	4.06%	4.84%	2.81%	4.24%	3.86%	3.77%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
