Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
Наименование Избирательной комиссии:    Белгородская районная 																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	940	20	10	20	7	210	10	5	5	10	5	10	5	5	5	5	10	23	2	15	5	10	25	25	5	5	5	5	5	5	10	5	8	5	2	27	7	10	2	5	4	7	5	7	15	15	30	15	15	12	31	28	23	25	5	20	5	5	5	5	2	5	5	19	4	5	13	4	20	6	6	10	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	491	15	10	14	5	58	5	0	2	4	3	6	0	0	0	0	10	20	2	6	0	0	23	24	0	0	0	0	2	0	9	2	4	0	0	20	0	7	0	2	0	0	0	6	8	14	18	7	10	7	28	28	22	5	4	10	0	5	2	0	2	2	1	18	1	5	9	3	14	2	3	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	247	4	4	3	2	11	9	0	2	3	4	7	1	2	0	1	3	8	4	4	6	6	5	1	3	6	1	3	2	3	0	12	3	4	0	4	2	5	1	2	2	3	3	5	3	6	4	1	1	1	3	2	5	7	7	5	3	3	2	3	0	2	3	2	6	0	0	4	5	1	6	6	2					
14	Число погашенных открепительных удостоверений	449	5	0	6	2	152	5	5	3	6	2	4	5	5	5	5	0	3	0	9	5	10	2	1	5	5	5	5	3	5	1	3	4	5	2	7	7	3	2	3	4	7	5	1	7	1	12	8	5	5	3	0	1	20	1	10	5	0	3	5	0	3	4	1	3	0	4	1	6	4	3	7	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																															
18	"1. ""ЕДИНЕНИЕ"""	493	16	6	4	5	3	2	3	6	10	8	25	0	2	1	4	15	8	5	6	3	2	11	16	3	10	2	0	1	11	7	12	9	5	4	6	9	13	5	0	0	0	5	5	15	11	19	6	10	6	6	6	8	8	11	9	0	12	6	2	2	11	4	13	8	14	4	2	4	15	7	6	0					
		1.06%	1.66%	1.07%	0.69%	1.03%	0.29%	0.44%	0.39%	0.85%	1.10%	0.81%	1.47%	0.0%	0.86%	0.43%	1.04%	2.16%	0.94%	1.73%	1.42%	2.25%	1.02%	0.79%	1.11%	1.72%	1.56%	2.04%	0.0%	0.10%	2.25%	0.74%	1.46%	1.71%	0.79%	1.58%	0.47%	1.66%	1.35%	1.93%	0.0%	0.0%	0.0%	2.84%	0.57%	1.18%	0.69%	1.43%	0.61%	1.58%	1.81%	0.40%	0.52%	0.80%	1.40%	2.27%	3.10%	0.0%	1.40%	1.63%	2.12%	0.51%	1.77%	2.45%	1.55%	1.86%	1.42%	0.78%	0.46%	0.43%	1.66%	0.91%	1.33%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	798	18	10	16	0	19	9	15	7	19	21	23	0	0	7	4	17	12	3	10	2	0	56	35	5	9	1	0	3	0	21	12	4	7	3	36	7	18	0	0	0	1	1	4	24	65	35	12	11	7	39	19	20	9	1	1	0	7	2	3	3	10	0	17	3	15	8	2	22	7	15	5	1					
		1.73%	1.87%	1.78%	2.77%	0.0%	1.87%	2.01%	1.96%	1.0%	2.09%	2.15%	1.35%	0.0%	0.0%	3.03%	1.04%	2.45%	1.41%	1.03%	2.36%	1.50%	0.0%	4.03%	2.44%	2.87%	1.40%	1.02%	0.0%	0.31%	0.0%	2.23%	1.46%	0.76%	1.11%	1.19%	2.85%	1.29%	1.88%	0.0%	0.0%	0.0%	0.87%	0.56%	0.46%	1.89%	4.11%	2.63%	1.23%	1.74%	2.12%	2.60%	1.66%	2.01%	1.57%	0.20%	0.34%	0.0%	0.81%	0.54%	3.19%	0.77%	1.61%	0.0%	2.02%	0.69%	1.52%	1.57%	0.46%	2.38%	0.77%	1.96%	1.10%	0.54%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1844	48	27	27	24	27	26	21	22	27	24	58	3	3	3	13	38	49	21	17	4	6	62	55	10	12	7	13	14	28	37	20	22	16	11	53	9	22	12	8	5	5	2	46	59	67	38	35	31	11	64	30	61	28	24	11	10	30	20	7	14	29	15	50	27	27	29	12	36	52	30	29	11					
		3.99%	5.0%	4.82%	4.67%	4.95%	2.66%	5.81%	2.74%	3.14%	2.97%	2.45%	3.42%	1.68%	1.29%	1.29%	3.41%	5.49%	5.75%	7.26%	4.02%	3.00%	3.06%	4.47%	3.83%	5.74%	1.87%	7.14%	3.05%	1.46%	5.74%	3.93%	2.44%	4.19%	2.54%	4.36%	4.20%	1.66%	2.30%	4.65%	4.87%	2.33%	4.38%	1.13%	5.30%	4.65%	4.24%	2.86%	3.61%	4.91%	3.33%	4.28%	2.62%	6.14%	4.90%	4.96%	3.79%	6.62%	3.50%	5.43%	7.44%	3.60%	4.69%	9.20%	5.96%	6.29%	2.74%	5.71%	2.81%	3.90%	5.77%	3.93%	6.43%	5.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1412	33	16	33	16	39	15	21	33	24	31	19	0	0	3	4	22	29	8	12	0	1	62	88	4	11	1	8	13	8	31	24	15	11	1	52	16	37	3	4	3	0	2	12	37	85	43	17	15	12	51	56	40	19	23	4	3	38	14	7	5	24	4	20	15	9	13	11	29	25	22	4	2					
		3.06%	3.43%	2.85%	5.71%	3.30%	3.84%	3.35%	2.74%	4.71%	2.64%	3.17%	1.12%	0.0%	0.0%	1.29%	1.04%	3.17%	3.40%	2.76%	2.84%	0.0%	0.51%	4.47%	6.14%	2.29%	1.71%	1.02%	1.88%	1.35%	1.64%	3.29%	2.93%	2.85%	1.75%	0.39%	4.12%	2.96%	3.87%	1.16%	2.43%	1.40%	0.0%	1.13%	1.38%	2.91%	5.38%	3.24%	1.75%	2.37%	3.63%	3.41%	4.89%	4.02%	3.32%	4.76%	1.37%	1.98%	4.43%	3.80%	7.44%	1.28%	3.88%	2.45%	2.38%	3.49%	0.91%	2.56%	2.57%	3.14%	2.77%	2.88%	0.88%	1.08%					
22	"5. ""За Русь Святую"""	216	5	4	3	2	9	7	5	1	5	6	12	0	0	1	3	5	3	2	2	2	2	4	2	2	6	0	2	4	0	2	4	2	1	0	4	2	7	0	0	0	0	0	2	4	5	3	0	6	0	6	2	5	7	0	0	2	7	2	0	0	6	3	2	4	1	6	4	4	4	5	2	3					
		0.46%	0.52%	0.71%	0.51%	0.41%	0.88%	1.56%	0.65%	0.14%	0.55%	0.61%	0.70%	0.0%	0.0%	0.43%	0.78%	0.72%	0.35%	0.69%	0.47%	1.50%	1.02%	0.28%	0.13%	1.14%	0.93%	0.0%	0.47%	0.41%	0.0%	0.21%	0.48%	0.38%	0.15%	0.0%	0.31%	0.37%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.31%	0.31%	0.22%	0.0%	0.95%	0.0%	0.40%	0.17%	0.50%	1.22%	0.0%	0.0%	1.32%	0.81%	0.54%	0.0%	0.0%	0.97%	1.84%	0.23%	0.93%	0.10%	1.18%	0.93%	0.43%	0.44%	0.65%	0.44%	1.63%					
23	"6. ""Объединенная Российская партия ""Русь"""	128	2	4	2	0	3	1	3	2	2	2	4	0	0	2	1	0	5	2	1	0	1	2	4	0	3	0	0	0	0	1	1	1	0	0	5	0	3	0	1	2	1	0	2	4	2	20	4	2	2	5	2	5	3	3	0	0	1	2	1	0	1	1	1	0	2	0	0	0	0	1	1	2					
		0.27%	0.20%	0.71%	0.34%	0.0%	0.29%	0.22%	0.39%	0.28%	0.22%	0.20%	0.23%	0.0%	0.0%	0.86%	0.26%	0.0%	0.58%	0.69%	0.23%	0.0%	0.51%	0.14%	0.27%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.10%	0.12%	0.19%	0.0%	0.0%	0.39%	0.0%	0.31%	0.0%	0.60%	0.93%	0.87%	0.0%	0.23%	0.31%	0.12%	1.50%	0.41%	0.31%	0.60%	0.33%	0.17%	0.50%	0.52%	0.62%	0.0%	0.0%	0.11%	0.54%	1.06%	0.0%	0.16%	0.61%	0.11%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.13%	0.22%	1.08%					
24	"7. ""Новый курс - Автомобильная Россия"""	593	11	8	8	5	6	16	9	17	8	16	29	0	0	1	3	19	12	3	10	1	5	21	22	3	5	0	4	13	3	10	7	1	8	0	18	4	13	2	1	2	2	0	13	25	18	20	9	6	2	10	19	21	5	3	5	0	11	2	4	5	10	6	14	4	9	6	6	10	14	5	0	5					
		1.28%	1.14%	1.42%	1.38%	1.03%	0.59%	3.57%	1.17%	2.42%	0.88%	1.63%	1.71%	0.0%	0.0%	0.43%	0.78%	2.74%	1.41%	1.03%	2.36%	0.75%	2.55%	1.51%	1.53%	1.72%	0.78%	0.0%	0.94%	1.35%	0.61%	1.06%	0.85%	0.19%	1.27%	0.0%	1.42%	0.74%	1.35%	0.77%	0.60%	0.93%	1.75%	0.0%	1.49%	1.97%	1.13%	1.50%	0.92%	0.95%	0.60%	0.66%	1.66%	2.11%	0.87%	0.62%	1.72%	0.0%	1.28%	0.54%	4.25%	1.28%	1.61%	3.68%	1.67%	0.93%	0.91%	1.18%	1.40%	1.08%	1.55%	0.65%	0.0%	2.71%					
25	"8. ""Народно-республиканская партия России"""	53	4	0	0	1	0	1	0	4	0	0	0	0	0	0	0	3	0	1	0	0	1	2	4	0	0	0	0	0	0	1	0	2	0	0	2	1	3	2	0	0	1	0	0	4	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	3	1	2	2	0	1	0	1					
		0.11%	0.41%	0.0%	0.0%	0.20%	0.0%	0.22%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.34%	0.0%	0.0%	0.51%	0.14%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.38%	0.0%	0.0%	0.15%	0.18%	0.31%	0.77%	0.0%	0.0%	0.87%	0.0%	0.0%	0.31%	0.06%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.23%	0.30%	0.19%	0.46%	0.21%	0.0%	0.13%	0.0%	0.54%					
26	"9. ""Российская экологическая партия ""Зеленые"""	162	5	3	2	3	7	1	1	5	1	4	5	1	0	1	2	3	3	1	4	0	0	3	4	1	0	0	0	1	0	9	1	0	0	2	7	1	3	0	0	0	0	0	2	2	12	3	6	6	1	3	7	7	2	2	1	0	3	0	0	1	1	1	2	2	2	2	0	6	1	3	0	0					
		0.35%	0.52%	0.53%	0.34%	0.61%	0.69%	0.22%	0.13%	0.71%	0.11%	0.40%	0.29%	0.56%	0.0%	0.43%	0.52%	0.43%	0.35%	0.34%	0.94%	0.0%	0.0%	0.21%	0.27%	0.57%	0.0%	0.0%	0.0%	0.10%	0.0%	0.95%	0.12%	0.0%	0.0%	0.79%	0.55%	0.18%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.15%	0.75%	0.22%	0.61%	0.95%	0.30%	0.20%	0.61%	0.70%	0.35%	0.41%	0.34%	0.0%	0.35%	0.0%	0.0%	0.25%	0.16%	0.61%	0.23%	0.46%	0.20%	0.39%	0.0%	0.65%	0.11%	0.39%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	2784	43	37	16	35	98	14	20	14	42	57	294	30	41	67	53	34	52	6	29	13	6	42	39	9	31	6	100	338	73	42	26	22	49	9	25	67	53	24	8	22	8	26	22	64	54	32	33	39	5	52	26	30	13	13	10	7	67	18	1	7	31	6	37	29	16	11	13	27	49	22	19	11					
		6.03%	4.47%	6.60%	2.77%	7.23%	9.66%	3.13%	2.61%	2.0%	4.62%	5.84%	17.37%	16.85%	17.67%	29.00%	13.91%	4.91%	6.11%	2.07%	6.87%	9.77%	3.06%	3.02%	2.72%	5.17%	4.83%	6.12%	23.52%	35.35%	14.98%	4.46%	3.17%	4.19%	7.80%	3.57%	1.98%	12.40%	5.54%	9.30%	4.87%	10.28%	7.01%	14.77%	2.53%	5.04%	3.41%	2.41%	3.40%	6.18%	1.51%	3.47%	2.27%	3.02%	2.27%	2.69%	3.44%	4.63%	7.81%	4.89%	1.06%	1.80%	5.01%	3.68%	4.41%	6.75%	1.62%	2.16%	3.04%	2.93%	5.44%	2.88%	4.21%	5.97%					
28	"11. ""Истинные патриоты России"""	50	0	1	0	0	0	0	0	1	1	0	4	0	0	0	2	0	1	1	2	0	0	0	1	0	0	0	0	2	0	1	1	5	0	0	0	1	1	0	0	7	0	0	1	1	0	1	3	0	0	3	0	2	2	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0					
		0.10%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.11%	0.0%	0.23%	0.0%	0.0%	0.0%	0.52%	0.0%	0.11%	0.34%	0.47%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.10%	0.12%	0.95%	0.0%	0.0%	0.0%	0.18%	0.10%	0.0%	0.0%	3.27%	0.0%	0.0%	0.11%	0.07%	0.0%	0.07%	0.30%	0.0%	0.0%	0.20%	0.0%	0.20%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.16%	0.0%	0.0%	0.0%	0.0%	0.19%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	569	11	4	9	5	10	6	16	5	12	8	15	1	2	3	7	10	9	3	5	2	0	26	20	5	3	0	0	4	3	18	4	6	9	2	9	5	7	5	2	0	3	5	15	23	20	13	15	9	3	17	17	11	17	2	2	2	15	1	0	5	11	3	12	1	5	11	17	10	12	7	12	2					
		1.23%	1.14%	0.71%	1.55%	1.03%	0.98%	1.34%	2.09%	0.71%	1.32%	0.81%	0.88%	0.56%	0.86%	1.29%	1.83%	1.44%	1.05%	1.03%	1.18%	1.50%	0.0%	1.87%	1.39%	2.87%	0.46%	0.0%	0.0%	0.41%	0.61%	1.91%	0.48%	1.14%	1.43%	0.79%	0.71%	0.92%	0.73%	1.93%	1.21%	0.0%	2.63%	2.84%	1.73%	1.81%	1.26%	0.98%	1.54%	1.42%	0.90%	1.13%	1.48%	1.10%	2.97%	0.41%	0.68%	1.32%	1.75%	0.27%	0.0%	1.28%	1.77%	1.84%	1.43%	0.23%	0.50%	2.16%	3.98%	1.08%	1.33%	0.91%	2.66%	1.08%					
30	"13. ""Демократическая партия России"""	109	1	0	4	2	1	4	0	2	1	1	3	0	0	1	0	2	5	5	1	0	0	3	1	0	1	0	0	2	0	1	2	1	3	1	2	2	3	1	0	2	0	0	2	5	5	4	0	0	0	2	3	2	3	2	1	0	5	0	1	0	1	2	4	1	0	1	2	2	0	1	2	0					
		0.23%	0.10%	0.0%	0.69%	0.41%	0.09%	0.89%	0.0%	0.28%	0.11%	0.10%	0.17%	0.0%	0.0%	0.43%	0.0%	0.28%	0.58%	1.73%	0.23%	0.0%	0.0%	0.21%	0.06%	0.0%	0.15%	0.0%	0.0%	0.20%	0.0%	0.10%	0.24%	0.19%	0.47%	0.39%	0.15%	0.37%	0.31%	0.38%	0.0%	0.93%	0.0%	0.0%	0.23%	0.39%	0.31%	0.30%	0.0%	0.0%	0.0%	0.13%	0.26%	0.20%	0.52%	0.41%	0.34%	0.0%	0.58%	0.0%	1.06%	0.0%	0.16%	1.22%	0.47%	0.23%	0.0%	0.19%	0.46%	0.21%	0.0%	0.13%	0.44%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	93	0	0	3	1	2	1	1	1	0	2	5	0	0	0	0	0	4	1	2	1	0	4	1	0	1	0	0	5	2	0	2	0	3	0	1	4	2	0	0	0	0	0	2	1	3	0	2	0	0	4	6	1	1	1	2	0	6	1	0	1	3	0	2	0	0	0	2	2	0	3	1	0					
		0.20%	0.0%	0.0%	0.51%	0.20%	0.19%	0.22%	0.13%	0.14%	0.0%	0.20%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.34%	0.47%	0.75%	0.0%	0.28%	0.06%	0.0%	0.15%	0.0%	0.0%	0.52%	0.41%	0.0%	0.24%	0.0%	0.47%	0.0%	0.07%	0.74%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.07%	0.18%	0.0%	0.20%	0.0%	0.0%	0.26%	0.52%	0.10%	0.17%	0.20%	0.68%	0.0%	0.70%	0.27%	0.0%	0.25%	0.48%	0.0%	0.23%	0.0%	0.0%	0.0%	0.46%	0.21%	0.0%	0.39%	0.22%	0.0%					
32	"15. ""Партия СЛОН"""	63	2	1	0	1	3	0	2	2	2	0	7	0	0	1	0	4	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	2	0	4	0	0	0	0	0	0	2	1	2	1	1	0	0	1	3	0	1	0	0	0	1	0	0	2	0	4	0	0	0	0	2	1	1	1	0					
		0.13%	0.20%	0.17%	0.0%	0.20%	0.29%	0.0%	0.26%	0.28%	0.22%	0.0%	0.41%	0.0%	0.0%	0.43%	0.0%	0.57%	0.11%	0.34%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.15%	0.0%	0.0%	0.0%	0.20%	0.10%	0.12%	0.0%	0.15%	0.0%	0.15%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.06%	0.15%	0.10%	0.15%	0.0%	0.0%	0.08%	0.30%	0.0%	0.20%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.32%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.21%	0.11%	0.13%	0.22%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5873	206	104	151	49	186	53	82	59	162	136	151	26	7	11	25	88	144	23	42	6	16	221	249	32	24	3	18	109	32	125	109	69	68	14	212	21	93	17	11	16	1	4	93	162	200	223	126	68	28	223	214	140	80	62	20	14	108	51	4	25	123	9	71	35	81	68	84	113	73	151	39	10					
		12.73%	21.45%	18.57%	26.16%	10.12%	18.34%	11.85%	10.71%	8.42%	17.82%	13.93%	8.92%	14.60%	3.01%	4.76%	6.56%	12.71%	16.92%	7.95%	9.95%	4.51%	8.16%	15.93%	17.37%	18.39%	3.74%	3.06%	4.23%	11.40%	6.57%	13.29%	13.32%	13.14%	10.82%	5.55%	16.81%	3.88%	9.72%	6.58%	6.70%	7.47%	0.87%	2.27%	10.72%	12.77%	12.66%	16.81%	13.00%	10.77%	8.48%	14.91%	18.72%	14.09%	14.01%	12.83%	6.89%	9.27%	12.60%	13.85%	4.25%	6.44%	19.90%	5.52%	8.47%	8.15%	8.22%	13.41%	19.67%	12.26%	8.11%	19.79%	8.64%	5.43%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	150	1	0	1	1	2	2	13	1	3	3	8	0	0	1	1	3	10	1	0	0	0	3	1	1	3	0	0	7	0	3	2	1	2	2	3	0	3	0	1	2	0	0	0	4	5	2	8	2	0	10	0	6	6	1	3	1	1	1	0	0	1	1	5	1	0	2	0	2	1	1	1	0					
		0.32%	0.10%	0.0%	0.17%	0.20%	0.19%	0.44%	1.69%	0.14%	0.33%	0.30%	0.47%	0.0%	0.0%	0.43%	0.26%	0.43%	1.17%	0.34%	0.0%	0.0%	0.0%	0.21%	0.06%	0.57%	0.46%	0.0%	0.0%	0.73%	0.0%	0.31%	0.24%	0.19%	0.31%	0.79%	0.23%	0.0%	0.31%	0.0%	0.60%	0.93%	0.0%	0.0%	0.0%	0.31%	0.31%	0.15%	0.82%	0.31%	0.0%	0.66%	0.0%	0.60%	1.05%	0.20%	1.03%	0.66%	0.11%	0.27%	0.0%	0.0%	0.16%	0.61%	0.59%	0.23%	0.0%	0.39%	0.0%	0.21%	0.11%	0.13%	0.22%	0.0%					
35	"18. ""ЛДПР"""	5479	97	41	44	60	89	43	114	85	118	132	193	18	18	31	25	60	93	43	40	21	29	145	175	18	76	20	26	110	57	166	77	58	58	19	157	54	153	48	25	50	16	14	102	170	187	185	123	69	42	183	127	131	74	61	26	24	126	56	9	38	79	18	92	56	61	47	43	125	109	113	68	19					
		11.87%	10.10%	7.32%	7.62%	12.39%	8.77%	9.61%	14.90%	12.14%	12.98%	13.52%	11.40%	10.11%	7.75%	13.41%	6.56%	8.67%	10.92%	14.87%	9.47%	15.78%	14.79%	10.45%	12.21%	10.34%	11.85%	20.40%	6.11%	11.50%	11.70%	17.65%	9.41%	11.04%	9.23%	7.53%	12.45%	10.0%	16.00%	18.60%	15.24%	23.36%	14.03%	7.95%	11.76%	13.40%	11.84%	13.95%	12.69%	10.93%	12.72%	12.24%	11.11%	13.19%	12.95%	12.62%	8.96%	15.89%	14.70%	15.21%	9.57%	9.79%	12.78%	11.04%	10.97%	13.05%	6.19%	9.27%	10.07%	13.57%	12.11%	14.80%	15.07%	10.32%					
