Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Норильская городская																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	590	17	11	6	11	7	18	12	13	8	11	11	21	11	8	1	4	6	11	5	13	5	11	16	8	7	1	8	2	6	11	4	5	12	12	6	11	4	7	14	11	2	6	22	4	3	3	5	2	3	12	5	5	11	5	9	2	11	6	6	8	4	11	6	11	7	2	2	8	10	8	8	12	5									
		1.53%	2.54%	1.62%	0.99%	2.33%	1.15%	3.25%	1.73%	2.09%	1.53%	1.46%	1.81%	2.45%	1.97%	1.13%	0.18%	0.99%	1.51%	1.71%	1.02%	2.53%	1.15%	1.56%	2.34%	2.12%	1.34%	0.25%	1.70%	0.41%	1.18%	1.90%	0.77%	1.01%	2.45%	1.97%	1.18%	2.81%	1.69%	1.00%	1.92%	1.81%	1.19%	1.36%	3.26%	1.47%	0.77%	0.87%	1.21%	0.74%	0.87%	2.04%	1.18%	0.96%	2.38%	1.13%	1.59%	0.50%	2.64%	1.25%	1.31%	1.50%	1.02%	2.13%	1.28%	2.01%	1.54%	0.60%	0.40%	1.01%	1.20%	1.34%	1.19%	1.31%	1.04%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	770	13	14	6	12	7	19	12	12	12	13	15	13	14	7	12	7	13	13	7	8	6	15	15	11	15	8	12	7	19	15	30	19	15	9	7	8	9	12	18	11	3	4	15	7	4	5	7	3	4	14	12	7	2	8	10	8	9	8	4	9	5	10	11	6	8	0	9	18	19	9	15	19	8									
		2.00%	1.94%	2.06%	0.99%	2.54%	1.15%	3.43%	1.73%	1.93%	2.29%	1.72%	2.47%	1.52%	2.51%	0.99%	2.20%	1.73%	3.27%	2.02%	1.42%	1.56%	1.38%	2.13%	2.19%	2.91%	2.88%	1.98%	2.55%	1.45%	3.74%	2.59%	5.78%	3.85%	3.06%	1.48%	1.37%	2.05%	3.80%	1.72%	2.46%	1.81%	1.79%	0.91%	2.23%	2.57%	1.03%	1.45%	1.69%	1.12%	1.16%	2.38%	2.84%	1.35%	0.43%	1.81%	1.77%	2.01%	2.16%	1.67%	0.87%	1.69%	1.27%	1.94%	2.36%	1.10%	1.75%	0.00%	1.79%	2.27%	2.28%	1.51%	2.24%	2.07%	1.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	857	13	15	20	12	13	14	17	17	12	16	14	18	11	13	11	6	6	16	10	10	12	22	14	5	9	11	17	4	11	8	6	10	17	12	16	5	5	12	11	21	3	7	18	9	8	8	9	4	12	9	11	16	10	11	11	9	6	9	7	13	10	16	20	17	11	5	9	19	20	12	11	16	9									
		2.23%	1.94%	2.21%	3.33%	2.54%	2.13%	2.53%	2.46%	2.73%	2.29%	2.12%	2.30%	2.10%	1.97%	1.83%	2.02%	1.48%	1.51%	2.49%	2.03%	1.95%	2.76%	3.13%	2.04%	1.32%	1.73%	2.72%	3.62%	0.83%	2.17%	1.38%	1.16%	2.03%	3.47%	1.97%	3.14%	1.28%	2.11%	1.72%	1.50%	3.46%	1.79%	1.59%	2.67%	3.31%	2.06%	2.31%	2.17%	1.49%	3.47%	1.53%	2.61%	3.08%	2.16%	2.49%	1.95%	2.26%	1.44%	1.88%	1.53%	2.44%	2.54%	3.10%	4.28%	3.11%	2.41%	1.51%	1.79%	2.40%	2.40%	2.02%	1.64%	1.74%	1.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18507	326	316	309	225	282	255	343	292	253	388	262	381	278	332	245	190	194	287	229	227	203	333	308	172	269	199	223	226	249	289	247	234	221	293	228	190	99	311	334	276	76	230	313	162	187	207	218	138	168	288	203	249	244	212	282	194	232	233	236	263	173	254	217	269	230	198	250	387	416	287	309	433	231									
		48.12%	48.73%	46.47%	51.41%	47.57%	46.31%	46.03%	49.57%	46.95%	48.28%	51.39%	43.09%	44.41%	49.82%	46.76%	44.95%	46.91%	48.87%	44.63%	46.54%	44.16%	46.67%	47.37%	44.96%	45.50%	51.63%	49.26%	47.45%	46.89%	49.02%	49.91%	47.59%	47.46%	45.10%	48.11%	44.71%	48.59%	41.77%	44.56%	45.69%	45.47%	45.24%	52.15%	46.44%	59.56%	48.07%	59.83%	52.66%	51.30%	48.55%	48.98%	48.10%	47.98%	52.70%	47.96%	49.91%	48.62%	55.64%	48.64%	51.53%	49.34%	44.02%	49.22%	46.47%	49.27%	50.44%	59.82%	49.80%	48.86%	49.88%	48.24%	46.12%	47.12%	48.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	419	11	5	8	8	6	7	7	8	5	8	6	7	10	6	7	5	2	6	10	7	4	9	7	12	4	5	8	10	9	6	8	2	7	6	9	2	4	11	9	9	3	2	5	2	4	3	6	4	8	6	3	1	4	3	5	2	2	3	7	8	6	4	5	3	1	0	6	11	6	4	2	3	7									
		1.09%	1.64%	0.74%	1.33%	1.69%	0.99%	1.26%	1.01%	1.29%	0.95%	1.06%	0.99%	0.82%	1.79%	0.85%	1.28%	1.23%	0.50%	0.93%	2.03%	1.36%	0.92%	1.28%	1.02%	3.17%	0.77%	1.24%	1.70%	2.07%	1.77%	1.04%	1.54%	0.41%	1.43%	0.99%	1.76%	0.51%	1.69%	1.58%	1.23%	1.48%	1.79%	0.45%	0.74%	0.74%	1.03%	0.87%	1.45%	1.49%	2.31%	1.02%	0.71%	0.19%	0.86%	0.68%	0.88%	0.50%	0.48%	0.63%	1.53%	1.50%	1.53%	0.78%	1.07%	0.55%	0.22%	0.00%	1.20%	1.39%	0.72%	0.67%	0.30%	0.33%	1.46%									
24	"6. Политическая партия ""Гражданская Платформа"""	177	2	3	1	2	2	2	1	2	1	2	1	3	0	1	2	109	2	0	1	1	1	2	2	0	0	1	2	2	0	2	2	0	1	3	2	0	0	0	3	0	1	0	1	1	1	0	0	1	0	1	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1									
		0.46%	0.30%	0.44%	0.17%	0.42%	0.33%	0.36%	0.14%	0.32%	0.19%	0.26%	0.16%	0.35%	0.00%	0.14%	0.37%	26.91%	0.50%	0.00%	0.20%	0.19%	0.23%	0.28%	0.29%	0.00%	0.00%	0.25%	0.43%	0.41%	0.00%	0.35%	0.39%	0.00%	0.20%	0.49%	0.39%	0.00%	0.00%	0.00%	0.41%	0.00%	0.60%	0.00%	0.15%	0.37%	0.26%	0.00%	0.00%	0.37%	0.00%	0.17%	0.00%	0.39%	0.00%	0.23%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.13%	0.12%	0.00%	0.00%	0.11%	0.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9804	151	198	132	121	142	118	189	144	130	189	172	227	120	193	152	15	105	195	150	137	116	166	173	94	126	106	117	119	125	126	121	112	119	158	136	96	58	186	201	173	45	110	181	53	107	69	86	65	84	127	104	133	113	118	144	111	93	120	115	117	123	128	123	129	128	88	143	218	242	178	210	256	135									
		25.49%	22.57%	29.12%	21.96%	25.58%	23.32%	21.30%	27.31%	23.15%	24.81%	25.03%	28.29%	26.46%	21.51%	27.18%	27.89%	3.70%	26.45%	30.33%	30.49%	26.65%	26.67%	23.61%	25.26%	24.87%	24.18%	26.24%	24.89%	24.69%	24.61%	21.76%	23.31%	22.72%	24.29%	25.94%	26.67%	24.55%	24.47%	26.65%	27.50%	28.50%	26.79%	24.94%	26.85%	19.49%	27.51%	19.94%	20.77%	24.16%	24.28%	21.60%	24.64%	25.63%	24.41%	26.70%	25.49%	27.82%	22.30%	25.05%	25.11%	21.95%	31.30%	24.81%	26.34%	23.63%	28.07%	26.59%	28.49%	27.53%	29.02%	29.92%	31.34%	27.86%	28.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	222	2	6	7	1	6	4	5	3	7	4	2	11	11	3	3	4	2	4	1	1	3	6	3	1	3	2	4	3	1	4	3	0	2	5	1	3	0	5	4	5	0	3	3	0	1	2	2	2	3	4	1	3	4	3	2	3	2	1	5	3	3	2	3	3	5	0	2	3	4	0	3	2	0									
		0.58%	0.30%	0.88%	1.16%	0.21%	0.99%	0.72%	0.72%	0.48%	1.34%	0.53%	0.33%	1.28%	1.97%	0.42%	0.55%	0.99%	0.50%	0.62%	0.20%	0.19%	0.69%	0.85%	0.44%	0.26%	0.58%	0.50%	0.85%	0.62%	0.20%	0.69%	0.58%	0.00%	0.41%	0.82%	0.20%	0.77%	0.00%	0.72%	0.55%	0.82%	0.00%	0.68%	0.45%	0.00%	0.26%	0.58%	0.48%	0.74%	0.87%	0.68%	0.24%	0.58%	0.86%	0.68%	0.35%	0.75%	0.48%	0.21%	1.09%	0.56%	0.76%	0.39%	0.64%	0.55%	1.10%	0.00%	0.40%	0.38%	0.48%	0.00%	0.45%	0.22%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	314	7	6	9	12	8	7	3	10	4	8	10	9	7	6	7	4	3	9	6	5	4	7	4	3	1	3	3	2	4	2	2	5	3	6	5	5	4	7	5	2	1	3	7	2	3	1	6	3	1	7	0	3	3	5	3	1	2	2	1	7	1	4	3	4	2	0	0	5	5	1	3	6	2									
		0.82%	1.05%	0.88%	1.50%	2.54%	1.31%	1.26%	0.43%	1.61%	0.76%	1.06%	1.64%	1.05%	1.25%	0.85%	1.28%	0.99%	0.76%	1.40%	1.22%	0.97%	0.92%	0.99%	0.58%	0.79%	0.19%	0.74%	0.64%	0.41%	0.79%	0.35%	0.39%	1.01%	0.61%	0.99%	0.98%	1.28%	1.69%	1.00%	0.68%	0.33%	0.60%	0.68%	1.04%	0.74%	0.77%	0.29%	1.45%	1.12%	0.29%	1.19%	0.00%	0.58%	0.65%	1.13%	0.53%	0.25%	0.48%	0.42%	0.22%	1.31%	0.25%	0.78%	0.64%	0.73%	0.44%	0.00%	0.00%	0.63%	0.60%	0.17%	0.45%	0.65%	0.42%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	1	0	0	0	2	0	4	0	1	1	0	1	2	0	0	1	1	1	0	2	2	1	1	0	0	0	1	1	0	2	1	0	1	2	1	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	1	0	0	2	1	0	1	0	1	0	1	1	1	1									
		0.14%	0.15%	0.00%	0.00%	0.00%	0.33%	0.00%	0.58%	0.00%	0.19%	0.13%	0.00%	0.12%	0.36%	0.00%	0.00%	0.25%	0.25%	0.16%	0.00%	0.39%	0.46%	0.14%	0.15%	0.00%	0.00%	0.00%	0.21%	0.21%	0.00%	0.35%	0.19%	0.00%	0.20%	0.33%	0.20%	0.26%	0.00%	0.00%	0.00%	0.49%	0.60%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.35%	0.50%	0.24%	0.00%	0.00%	0.19%	0.00%	0.00%	0.43%	0.18%	0.00%	0.30%	0.00%	0.13%	0.00%	0.17%	0.15%	0.11%	0.21%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	452	15	14	8	5	17	2	10	3	7	5	12	11	9	9	10	4	2	2	4	10	6	12	10	5	2	8	4	2	5	9	8	12	7	10	5	6	4	11	2	7	1	3	11	3	3	3	7	3	5	8	1	4	5	3	7	2	2	5	8	7	4	2	5	11	6	2	3	9	5	6	2	8	4									
		1.18%	2.24%	2.06%	1.33%	1.06%	2.79%	0.36%	1.45%	0.48%	1.34%	0.66%	1.97%	1.28%	1.61%	1.27%	1.83%	0.99%	0.50%	0.31%	0.81%	1.95%	1.38%	1.71%	1.46%	1.32%	0.38%	1.98%	0.85%	0.41%	0.98%	1.55%	1.54%	2.43%	1.43%	1.64%	0.98%	1.53%	1.69%	1.58%	0.27%	1.15%	0.60%	0.68%	1.63%	1.10%	0.77%	0.87%	1.69%	1.12%	1.45%	1.36%	0.24%	0.77%	1.08%	0.68%	1.24%	0.50%	0.48%	1.04%	1.75%	1.31%	1.02%	0.39%	1.07%	2.01%	1.32%	0.60%	0.60%	1.14%	0.60%	1.01%	0.30%	0.87%	0.83%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3822	67	67	59	35	68	75	60	61	49	67	60	116	51	86	56	41	39	57	39	54	37	67	84	39	47	36	41	66	54	62	51	58	57	50	60	47	35	72	74	58	21	38	68	13	47	29	37	22	36	62	49	53	38	38	52	32	40	57	45	47	32	49	45	58	38	23	57	68	67	56	63	96	44									
		9.94%	10.01%	9.85%	9.82%	7.40%	11.17%	13.54%	8.67%	9.81%	9.35%	8.87%	9.87%	13.52%	9.14%	12.11%	10.28%	10.12%	9.82%	8.86%	7.93%	10.51%	8.51%	9.53%	12.26%	10.32%	9.02%	8.91%	8.72%	13.69%	10.63%	10.71%	9.83%	11.76%	11.63%	8.21%	11.76%	12.02%	14.77%	10.32%	10.12%	9.56%	12.50%	8.62%	10.09%	4.78%	12.08%	8.38%	8.94%	8.18%	10.40%	10.54%	11.61%	10.21%	8.21%	8.60%	9.20%	8.02%	9.59%	11.90%	9.83%	8.82%	8.14%	9.50%	9.64%	10.62%	8.33%	6.95%	11.35%	8.59%	8.03%	9.41%	9.40%	10.45%	9.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	247	2	2	4	2	5	0	4	7	2	6	2	8	3	7	7	3	1	4	4	2	3	5	6	1	2	6	3	2	1	5	7	3	1	2	2	1	0	6	6	4	0	3	2	1	1	2	1	1	0	3	4	0	5	2	1	4	2	3	2	10	2	3	5	2	4	2	3	6	4	6	10	7	5									
		0.64%	0.30%	0.29%	0.67%	0.42%	0.82%	0.00%	0.58%	1.13%	0.38%	0.79%	0.33%	0.93%	0.54%	0.99%	1.28%	0.74%	0.25%	0.62%	0.81%	0.39%	0.69%	0.71%	0.88%	0.26%	0.38%	1.49%	0.64%	0.41%	0.20%	0.86%	1.35%	0.61%	0.20%	0.33%	0.39%	0.26%	0.00%	0.86%	0.82%	0.66%	0.00%	0.68%	0.30%	0.37%	0.26%	0.58%	0.24%	0.37%	0.00%	0.51%	0.95%	0.00%	1.08%	0.45%	0.18%	1.00%	0.48%	0.63%	0.44%	1.88%	0.51%	0.58%	1.07%	0.37%	0.88%	0.60%	0.60%	0.76%	0.48%	1.01%	1.49%	0.76%	1.04%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1346	31	14	18	14	28	23	14	27	23	25	24	21	19	24	22	12	14	23	17	21	21	28	28	20	21	10	15	17	17	22	23	20	18	26	19	8	9	35	31	20	7	21	14	6	10	8	18	5	15	20	20	19	20	19	23	17	11	24	12	27	20	24	13	17	10	6	8	14	13	19	16	39	9									
		3.50%	4.63%	2.06%	2.99%	2.96%	4.60%	4.15%	2.02%	4.34%	4.39%	3.31%	3.95%	2.45%	3.41%	3.38%	4.04%	2.96%	3.53%	3.58%	3.46%	4.09%	4.83%	3.98%	4.09%	5.29%	4.03%	2.48%	3.19%	3.53%	3.35%	3.80%	4.43%	4.06%	3.67%	4.27%	3.73%	2.05%	3.80%	5.01%	4.24%	3.29%	4.17%	4.76%	2.08%	2.21%	2.57%	2.31%	4.35%	1.86%	4.34%	3.40%	4.74%	3.66%	4.32%	4.30%	4.07%	4.26%	2.64%	5.01%	2.62%	5.07%	5.09%	4.65%	2.78%	3.11%	2.19%	1.81%	1.59%	1.77%	1.56%	3.19%	2.39%	4.24%	1.88%									
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
