Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																			
Дата голосования: 18.09.2016																																																																																																																			
																																																																																																																			
"Наименование Избирательной комиссии:    Казань, Советская"																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																			
																																																																																																																			
		Сумма	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4895	60	50	50	40	50	40	40	60	60	70	50	30	50	50	50	60	100	60	20	40	10	70	70	40	100	40	60	50	40	40	40	60	40	40	30	60	40	30	10	50	60	60	50	30	50	40	40	50	40	40	40	40	40	40	40	30	50	70	40	50	40	50	50	60	50	40	40	80	65	60	80	60	80	40	40	50	50	50	50	50	80	50	80	50	40	50	60	50	70	70	70	50	70	60	0	10	0	0	0	0	0	0	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	3382	58	22	29	34	35	30	34	54	25	45	25	25	30	34	31	42	93	29	15	36	7	19	35	26	73	16	29	34	33	31	35	43	25	16	23	35	24	30	2	32	39	29	39	30	40	23	29	32	30	22	33	31	17	33	29	14	26	56	25	38	40	44	33	25	26	37	27	57	55	45	63	41	61	35	40	44	23	30	43	43	74	47	63	35	36	39	55	42	63	27	31	17	33	35	0	0	0	0	0	0	0	0	35	29									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2137	38	91	41	27	13	23	54	5	2	9	20	60	24	16	50	49	19	1	115	4	26	0	38	16	16	29	9	14	10	24	14	9	9	21	19	11	10	3	3	7	40	17	43	10	22	20	4	9	63	26	8	13	4	6	2	52	44	78	5	10	11	21	18	19	10	22	10	2	18	19	5	21	10	17	45	7	16	36	29	10	26	21	22	30	18	13	12	3	2	30	5	16	29	7	22	6	23	32	0	0	0	15	15	19									
14	Число погашенных неиспользованных открепительных удостоверений	1513	2	28	21	6	15	10	6	6	35	25	25	5	20	16	19	18	7	31	5	4	3	51	35	14	27	24	31	16	7	9	5	17	15	24	7	25	16	0	8	18	21	31	11	0	10	17	11	18	10	18	7	9	23	7	11	16	24	14	15	12	0	6	17	35	24	3	13	23	10	15	17	19	19	5	0	6	27	20	7	7	6	3	17	15	4	11	5	8	7	43	39	33	37	25	0	10	0	0	0	0	0	0	15	21									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	242	7	5	3	3	3	0	2	6	1	3	3	2	0	2	2	7	3	1	0	1	1	5	1	1	0	3	2	3	1	1	2	5	3	3	1	6	2	0	0	1	2	4	3	4	2	0	1	1	4	2	1	6	5	3	3	3	5	1	3	4	3	3	0	1	1	2	2	4	5	5	1	2	4	2	4	3	3	1	0	4	3	6	0	4	5	2	4	2	0	3	2	0	0	2	0	0	0	0	0	0	0	0	1	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1034	23	3	10	2	11	7	9	5	21	2	9	5	9	13	10	16	30	14	2	7	7	5	17	5	6	26	2	11	2	14	3	5	5	5	22	24	6	18	2	10	6	7	24	5	12	21	2	12	7	6	23	9	9	4	13	21	9	14	6	17	5	7	7	12	20	3	8	12	10	23	9	4	2	6	6	6	9	10	3	9	7	22	21	0	7	11	16	26	12	22	19	3	5	17	1	1	0	7	0	1	4	6	15	10									
		0.89%	1.68%	0.26%	0.99%	0.21%	0.96%	0.92%	0.92%	0.37%	1.38%	0.13%	0.74%	0.54%	0.79%	0.97%	0.76%	1.06%	2.08%	1.04%	0.36%	0.87%	1.65%	0.33%	1.13%	0.43%	0.45%	1.89%	0.16%	1.02%	0.16%	1.14%	0.24%	0.37%	0.38%	0.45%	1.95%	1.81%	0.58%	2.11%	0.64%	0.77%	0.40%	0.53%	1.83%	0.76%	1.01%	2.00%	0.19%	1.37%	0.65%	0.55%	1.94%	0.80%	0.98%	0.43%	1.27%	3.15%	0.63%	1.12%	0.52%	1.40%	0.43%	0.53%	0.59%	0.96%	1.72%	0.29%	0.84%	0.94%	0.81%	1.79%	0.65%	0.29%	0.18%	0.64%	0.54%	0.46%	0.80%	0.74%	0.24%	0.74%	0.56%	1.65%	1.46%	0.00%	0.59%	0.84%	1.15%	1.92%	0.88%	1.64%	1.41%	0.25%	0.32%	1.11%	0.52%	0.40%	0.00%	1.97%	0.00%	0.17%	0.56%	3.70%	1.17%	0.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2344	14	3	5	42	19	19	15	8	22	2	99	5	9	28	15	9	29	42	15	16	15	90	38	29	3	28	38	10	14	26	75	57	12	27	13	18	27	21	4	32	10	10	0	10	10	22	94	8	12	7	27	9	7	8	8	12	5	29	60	64	5	29	22	22	39	28	9	21	6	32	35	27	10	8	12	5	69	14	16	11	4	32	68	50	30	14	27	29	53	31	31	36	21	21	4	4	0	14	1	2	1	3	25	18									
		2.02%	1.02%	0.26%	0.50%	4.49%	1.66%	2.48%	1.54%	0.59%	1.45%	0.13%	8.12%	0.54%	0.79%	2.09%	1.13%	0.59%	2.01%	3.12%	2.71%	1.98%	3.54%	5.87%	2.51%	2.51%	0.22%	2.04%	2.97%	0.93%	1.13%	2.13%	5.91%	4.21%	0.92%	2.41%	1.15%	1.36%	2.61%	2.46%	1.28%	2.45%	0.66%	0.76%	0.00%	1.51%	0.84%	2.10%	8.70%	0.91%	1.11%	0.64%	2.27%	0.80%	0.76%	0.85%	0.78%	1.80%	0.35%	2.33%	5.16%	5.28%	0.43%	2.18%	1.84%	1.75%	3.35%	2.66%	0.94%	1.64%	0.48%	2.50%	2.54%	1.94%	0.90%	0.85%	1.09%	0.38%	6.14%	1.04%	1.27%	0.91%	0.32%	2.41%	4.74%	3.99%	2.52%	1.07%	1.94%	2.14%	3.90%	2.31%	2.30%	2.97%	1.35%	1.38%	2.09%	1.58%	0.00%	3.94%	1.64%	0.34%	0.14%	1.85%	1.96%	1.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1178	15	7	7	6	13	12	6	7	11	2	13	2	13	15	5	13	14	15	5	12	5	11	27	9	10	10	6	15	6	23	7	4	32	6	29	24	30	17	2	18	8	8	15	7	12	31	0	11	10	6	9	12	6	5	3	6	3	10	10	15	13	12	14	24	32	5	6	14	8	13	9	31	20	9	11	12	11	17	15	10	3	17	13	0	0	14	14	25	8	9	11	15	1	24	0	0	4	11	1	1	4	4	23	19									
		1.01%	1.09%	0.62%	0.70%	0.64%	1.13%	1.57%	0.61%	0.52%	0.72%	0.13%	1.07%	0.22%	1.14%	1.12%	0.38%	0.86%	0.97%	1.11%	0.90%	1.48%	1.18%	0.72%	1.79%	0.78%	0.75%	0.73%	0.47%	1.39%	0.48%	1.88%	0.55%	0.30%	2.45%	0.54%	2.57%	1.81%	2.90%	1.99%	0.64%	1.38%	0.53%	0.61%	1.14%	1.06%	1.01%	2.95%	0.00%	1.25%	0.92%	0.55%	0.76%	1.07%	0.66%	0.53%	0.29%	0.90%	0.21%	0.80%	0.86%	1.24%	1.12%	0.90%	1.17%	1.91%	2.75%	0.48%	0.63%	1.09%	0.64%	1.01%	0.65%	2.23%	1.80%	0.96%	0.99%	0.91%	0.98%	1.26%	1.19%	0.82%	0.24%	1.28%	0.91%	0.00%	0.00%	1.07%	1.01%	1.85%	0.59%	0.67%	0.81%	1.24%	0.06%	1.57%	0.00%	0.00%	3.20%	3.10%	1.64%	0.17%	0.56%	2.47%	1.80%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	87182	1033	847	770	712	872	578	723	1000	1142	1160	916	692	857	1005	980	1121	1071	1023	411	607	323	1144	1119	865	1004	1045	961	811	926	920	954	1028	1001	830	858	992	767	641	238	978	1174	984	990	494	890	806	820	659	813	810	891	851	679	705	766	502	1059	960	872	919	873	1007	885	930	641	801	718	983	928	961	1057	1044	832	731	819	982	852	1009	945	905	941	849	1071	960	888	980	1050	1029	1033	1013	1019	916	1175	1161	148	192	96	273	46	454	546	125	973	772									
		74.98%	75.29%	74.49%	76.62%	76.07%	76.02%	75.56%	74.08%	74.07%	75.23%	75.42%	75.14%	75.14%	74.98%	74.94%	74.02%	73.99%	74.12%	76.00%	74.32%	75.03%	76.18%	74.62%	74.06%	74.89%	74.98%	76.11%	75.02%	75.23%	74.74%	75.22%	75.12%	75.98%	76.76%	74.11%	75.99%	74.98%	74.03%	75.23%	76.04%	75.00%	78.01%	74.94%	75.46%	74.62%	74.98%	76.76%	75.93%	75.06%	74.93%	74.52%	75.00%	75.58%	74.13%	75.08%	74.88%	75.38%	74.06%	77.11%	75.04%	75.83%	75.19%	75.83%	74.06%	74.04%	55.02%	76.14%	75.03%	76.80%	74.72%	74.96%	76.82%	75.11%	74.95%	78.10%	74.18%	74.79%	75.80%	74.74%	75.00%	74.49%	75.04%	63.83%	74.58%	76.56%	74.50%	74.64%	75.54%	75.99%	75.96%	75.60%	75.48%	75.52%	75.61%	76.03%	77.49%	75.89%	76.80%	76.90%	75.41%	77.34%	77.01%	77.16%	76.19%	76.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	607	15	3	4	1	7	3	12	2	14	0	2	10	10	5	5	2	12	2	2	2	2	0	19	12	2	12	1	6	10	16	0	2	11	5	10	16	2	5	1	9	11	4	10	1	8	9	0	7	4	1	11	7	8	3	3	0	3	6	2	4	3	5	5	8	17	2	6	9	9	3	9	2	11	5	5	4	2	17	5	8	7	12	3	0	5	8	9	13	3	7	7	4	2	11	1	0	0	4	0	1	2	1	12	4									
		0.52%	1.09%	0.26%	0.40%	0.11%	0.61%	0.39%	1.23%	0.15%	0.92%	0.00%	0.16%	1.09%	0.87%	0.37%	0.38%	0.13%	0.83%	0.15%	0.36%	0.25%	0.47%	0.00%	1.26%	1.04%	0.15%	0.87%	0.08%	0.56%	0.81%	1.31%	0.00%	0.15%	0.84%	0.45%	0.89%	1.21%	0.19%	0.59%	0.32%	0.69%	0.73%	0.30%	0.76%	0.15%	0.67%	0.86%	0.00%	0.80%	0.37%	0.09%	0.93%	0.62%	0.87%	0.32%	0.29%	0.00%	0.21%	0.48%	0.17%	0.33%	0.26%	0.38%	0.42%	0.64%	1.46%	0.19%	0.63%	0.70%	0.72%	0.23%	0.65%	0.14%	0.99%	0.53%	0.45%	0.30%	0.18%	1.26%	0.40%	0.66%	0.56%	0.90%	0.21%	0.00%	0.42%	0.61%	0.65%	0.96%	0.22%	0.52%	0.52%	0.33%	0.13%	0.72%	0.52%	0.00%	0.00%	1.13%	0.00%	0.17%	0.28%	0.62%	0.94%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	358	0	5	5	2	6	2	2	8	2	0	4	1	2	5	3	1	8	10	1	1	2	0	3	5	2	10	2	7	2	3	19	3	2	3	8	3	1	1	1	5	0	2	6	3	12	11	0	2	1	3	8	3	4	3	0	0	0	3	2	3	0	4	2	5	0	3	5	0	1	1	8	7	0	5	4	3	6	17	2	6	3	4	7	0	0	2	3	11	2	3	2	9	2	9	0	0	0	1	0	1	0	0	4	0									
		0.31%	0.00%	0.44%	0.50%	0.21%	0.52%	0.26%	0.20%	0.59%	0.13%	0.00%	0.33%	0.11%	0.17%	0.37%	0.23%	0.07%	0.55%	0.74%	0.18%	0.12%	0.47%	0.00%	0.20%	0.43%	0.15%	0.73%	0.16%	0.65%	0.16%	0.25%	1.50%	0.22%	0.15%	0.27%	0.71%	0.23%	0.10%	0.12%	0.32%	0.38%	0.00%	0.15%	0.46%	0.45%	1.01%	1.05%	0.00%	0.23%	0.09%	0.28%	0.67%	0.27%	0.44%	0.32%	0.00%	0.00%	0.00%	0.24%	0.17%	0.25%	0.00%	0.30%	0.17%	0.40%	0.00%	0.29%	0.52%	0.00%	0.08%	0.08%	0.58%	0.50%	0.00%	0.53%	0.36%	0.23%	0.53%	1.26%	0.16%	0.49%	0.24%	0.30%	0.49%	0.00%	0.00%	0.15%	0.22%	0.81%	0.15%	0.22%	0.15%	0.74%	0.13%	0.59%	0.00%	0.00%	0.00%	0.28%	0.00%	0.17%	0.00%	0.00%	0.31%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4571	40	6	25	52	38	31	41	98	87	28	8	32	15	102	33	101	42	43	37	55	17	30	57	42	94	26	16	35	22	65	25	41	93	49	22	34	43	35	11	51	64	48	93	30	26	41	35	43	54	20	25	50	39	29	42	16	45	75	11	13	61	33	63	50	125	12	71	105	64	29	36	53	60	50	53	17	23	66	9	52	20	126	23	30	47	51	23	21	60	38	48	37	114	84	15	17	10	12	3	58	81	11	48	41									
		3.93%	2.92%	0.53%	2.49%	5.56%	3.31%	4.05%	4.20%	7.26%	5.73%	1.82%	0.66%	3.47%	1.31%	7.61%	2.49%	6.67%	2.91%	3.19%	6.69%	6.80%	4.01%	1.96%	3.77%	3.64%	7.02%	1.89%	1.25%	3.25%	1.78%	5.31%	1.97%	3.03%	7.13%	4.38%	1.95%	2.57%	4.15%	4.11%	3.51%	3.91%	4.25%	3.66%	7.09%	4.53%	2.19%	3.90%	3.24%	4.90%	4.98%	1.84%	2.10%	4.44%	4.26%	3.09%	4.11%	2.40%	3.15%	6.02%	0.95%	1.07%	5.25%	2.48%	5.27%	3.98%	10.73%	1.14%	7.42%	8.20%	5.15%	2.26%	2.62%	3.81%	5.41%	5.34%	4.80%	1.29%	2.05%	4.89%	0.71%	4.28%	1.59%	9.47%	1.60%	2.39%	3.94%	3.88%	1.65%	1.55%	4.41%	2.84%	3.56%	3.05%	7.34%	5.50%	7.85%	6.72%	8.00%	3.38%	4.92%	9.88%	11.42%	6.79%	3.76%	4.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	662	6	6	5	1	3	3	8	0	10	0	3	1	6	10	9	11	6	4	9	3	3	0	17	5	2	8	0	5	7	11	3	12	8	6	8	12	1	9	2	10	16	3	12	7	11	12	0	9	4	5	7	9	6	7	10	0	9	6	2	7	7	7	15	17	26	3	10	0	7	4	7	2	8	7	6	6	5	15	4	6	3	10	17	0	2	5	4	19	5	7	4	12	4	5	0	0	0	2	0	2	1	0	19	4									
		0.57%	0.44%	0.53%	0.50%	0.11%	0.26%	0.39%	0.82%	0.00%	0.66%	0.00%	0.25%	0.11%	0.52%	0.75%	0.68%	0.73%	0.42%	0.30%	1.63%	0.37%	0.71%	0.00%	1.13%	0.43%	0.15%	0.58%	0.00%	0.46%	0.56%	0.90%	0.24%	0.89%	0.61%	0.54%	0.71%	0.91%	0.10%	1.06%	0.64%	0.77%	1.06%	0.23%	0.91%	1.06%	0.93%	1.14%	0.00%	1.03%	0.37%	0.46%	0.59%	0.80%	0.66%	0.75%	0.98%	0.00%	0.63%	0.48%	0.17%	0.58%	0.60%	0.53%	1.26%	1.35%	2.23%	0.29%	1.04%	0.00%	0.56%	0.31%	0.51%	0.14%	0.72%	0.75%	0.54%	0.46%	0.44%	1.11%	0.32%	0.49%	0.24%	0.75%	1.18%	0.00%	0.17%	0.38%	0.29%	1.40%	0.37%	0.52%	0.30%	0.99%	0.26%	0.33%	0.00%	0.00%	0.00%	0.56%	0.00%	0.34%	0.14%	0.00%	1.49%	0.40%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	713	13	5	6	5	5	2	8	4	6	0	1	1	18	10	11	6	8	12	1	5	2	0	17	4	4	16	4	5	11	18	9	7	5	5	5	24	2	10	4	8	11	5	10	3	13	10	0	1	10	7	7	7	7	2	8	0	2	10	2	6	3	8	10	10	13	4	10	11	7	8	6	4	18	4	8	3	4	10	0	7	5	19	18	0	0	3	20	18	5	9	4	3	3	18	2	0	0	0	0	2	3	0	17	8									
		0.61%	0.95%	0.44%	0.60%	0.53%	0.44%	0.26%	0.82%	0.30%	0.40%	0.00%	0.08%	0.11%	1.57%	0.75%	0.83%	0.40%	0.55%	0.89%	0.18%	0.62%	0.47%	0.00%	1.13%	0.35%	0.30%	1.17%	0.31%	0.46%	0.89%	1.47%	0.71%	0.52%	0.38%	0.45%	0.44%	1.81%	0.19%	1.17%	1.28%	0.61%	0.73%	0.38%	0.76%	0.45%	1.10%	0.95%	0.00%	0.11%	0.92%	0.64%	0.59%	0.62%	0.76%	0.21%	0.78%	0.00%	0.14%	0.80%	0.17%	0.50%	0.26%	0.60%	0.84%	0.80%	1.12%	0.38%	1.04%	0.86%	0.56%	0.62%	0.44%	0.29%	1.62%	0.43%	0.72%	0.23%	0.36%	0.74%	0.00%	0.58%	0.40%	1.43%	1.25%	0.00%	0.00%	0.23%	1.44%	1.33%	0.37%	0.67%	0.30%	0.25%	0.19%	1.18%	1.05%	0.00%	0.00%	0.00%	0.00%	0.34%	0.42%	0.00%	1.33%	0.80%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	307	1	2	2	1	5	1	2	0	2	0	3	1	1	2	7	7	2	13	1	1	2	0	2	6	6	5	3	6	3	1	6	6	3	3	4	2	0	2	0	4	8	3	0	3	14	13	0	6	0	4	10	3	1	2	1	0	2	1	2	4	1	6	2	3	3	2	2	0	2	1	8	1	1	2	3	2	3	9	1	8	1	1	3	0	3	1	2	15	6	3	2	8	0	3	0	0	0	0	0	2	1	0	1	0									
