Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Уфимская (Кировская ОИК)																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  3151	УИК  3152	УИК №3154	УИК №3155	УИК №3156	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК  3169	УИК  3170	УИК  3174	УИК  3179	УИК  3180	УИК  3181	УИК  3182	УИК  3185	УИК  3186	УИК  3192	УИК  3193					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	319	35	30	33	0	1	20	4	3	16	20	10	10	35	8	10	5	10	18	8	34	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	249	13	13	47	2	4	5	2	2	5	6	5	0	14	4	5	6	6	23	0	73	14					
14	Число погашенных открепительных удостоверений	51	0	0	2	10	9	0	6	2	4	0	0	0	0	2	5	0	0	2	2	6	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	299	41	36	26	9	20	8	8	4	10	8	13	7	25	10	5	5	12	18	4	26	4					
		2.07%	2.80%	2.66%	1.65%	2.59%	6.36%	1.03%	3.26%	2.54%	1.21%	0.92%	3.20%	2.30%	1.78%	2.10%	0.98%	2.33%	2.93%	1.61%	1.37%	2.49%	1.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	424	35	53	40	9	11	8	2	0	30	26	15	5	50	2	18	6	24	27	12	36	15					
		2.94%	2.39%	3.92%	2.54%	2.59%	3.50%	1.03%	0.81%	0.0%	3.65%	2.99%	3.70%	1.64%	3.57%	0.42%	3.52%	2.80%	5.86%	2.41%	4.13%	3.45%	4.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	474	54	28	53	9	10	23	3	5	20	25	6	16	35	35	26	9	24	33	15	25	20					
		3.29%	3.69%	2.07%	3.37%	2.59%	3.18%	2.97%	1.22%	3.18%	2.43%	2.87%	1.48%	5.26%	2.5%	7.35%	5.09%	4.20%	5.86%	2.95%	5.17%	2.40%	6.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	406	45	17	51	3	2	12	4	2	22	34	12	16	32	11	10	12	9	59	9	34	10					
		2.82%	3.07%	1.25%	3.25%	0.86%	0.63%	1.55%	1.63%	1.27%	2.67%	3.91%	2.96%	5.26%	2.28%	2.31%	1.96%	5.60%	2.20%	5.28%	3.10%	3.26%	3.26%					
22	"5. ""За Русь Святую"""	106	6	17	8	3	3	5	1	2	4	8	5	3	13	2	6	3	3	4	1	6	3					
		0.73%	0.41%	1.25%	0.50%	0.86%	0.95%	0.64%	0.40%	1.27%	0.48%	0.92%	1.23%	0.98%	0.92%	0.42%	1.17%	1.40%	0.73%	0.35%	0.34%	0.57%	0.98%					
23	"6. ""Объединенная Российская партия ""Русь"""	58	8	5	4	1	3	5	0	2	2	2	2	3	4	1	2	2	3	4	1	3	1					
		0.40%	0.54%	0.37%	0.25%	0.28%	0.95%	0.64%	0.0%	1.27%	0.24%	0.23%	0.49%	0.98%	0.28%	0.21%	0.39%	0.93%	0.73%	0.35%	0.34%	0.28%	0.32%					
24	"7. ""Новый курс - Автомобильная Россия"""	216	21	15	16	2	1	16	2	2	22	10	3	1	18	5	9	4	6	42	6	10	5					
		1.50%	1.43%	1.11%	1.01%	0.57%	0.31%	2.07%	0.81%	1.27%	2.67%	1.15%	0.74%	0.32%	1.28%	1.05%	1.76%	1.86%	1.46%	3.76%	2.06%	0.96%	1.63%					
25	"8. ""Народно-республиканская партия России"""	48	9	7	2	1	1	3	3	0	0	2	0	1	5	1	0	0	4	1	2	5	1					
		0.33%	0.61%	0.51%	0.12%	0.28%	0.31%	0.38%	1.22%	0.0%	0.0%	0.23%	0.0%	0.32%	0.35%	0.21%	0.0%	0.0%	0.97%	0.08%	0.68%	0.48%	0.32%					
26	"9. ""Российская экологическая партия ""Зеленые"""	65	10	12	4	0	3	1	0	1	3	4	3	1	5	5	2	0	2	4	0	5	0					
		0.45%	0.68%	0.88%	0.25%	0.0%	0.95%	0.12%	0.0%	0.63%	0.36%	0.46%	0.74%	0.32%	0.35%	1.05%	0.39%	0.0%	0.48%	0.35%	0.0%	0.48%	0.0%					
27	"10. ""Аграрная партия России"""	704	71	61	64	17	19	39	4	7	51	40	20	8	119	16	26	11	10	54	8	46	13					
		4.89%	4.85%	4.51%	4.07%	4.89%	6.05%	5.05%	1.63%	4.45%	6.21%	4.60%	4.93%	2.63%	8.5%	3.36%	5.09%	5.14%	2.44%	4.83%	2.75%	4.41%	4.24%					
28	"11. ""Истинные патриоты России"""	44	4	8	2	2	0	7	0	0	0	2	3	1	0	0	2	2	5	4	0	2	0					
		0.30%	0.27%	0.59%	0.12%	0.57%	0.0%	0.90%	0.0%	0.0%	0.0%	0.23%	0.74%	0.32%	0.0%	0.0%	0.39%	0.93%	1.22%	0.35%	0.0%	0.19%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	148	23	14	21	5	4	10	3	3	9	4	3	2	6	3	13	1	1	6	2	12	3					
		1.02%	1.57%	1.03%	1.33%	1.44%	1.27%	1.29%	1.22%	1.91%	1.09%	0.46%	0.74%	0.65%	0.42%	0.63%	2.54%	0.46%	0.24%	0.53%	0.68%	1.15%	0.98%					
30	"13. ""Демократическая партия России"""	57	8	6	10	0	2	5	0	1	1	1	1	0	2	1	4	1	2	5	1	6	0					
		0.39%	0.54%	0.44%	0.63%	0.0%	0.63%	0.64%	0.0%	0.63%	0.12%	0.11%	0.24%	0.0%	0.14%	0.21%	0.78%	0.46%	0.48%	0.44%	0.34%	0.57%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	53	6	12	4	0	1	4	0	0	1	1	1	1	4	1	2	2	3	3	0	7	0					
		0.36%	0.41%	0.88%	0.25%	0.0%	0.31%	0.51%	0.0%	0.0%	0.12%	0.11%	0.24%	0.32%	0.28%	0.21%	0.39%	0.93%	0.73%	0.26%	0.0%	0.67%	0.0%					
32	"15. ""Партия СЛОН"""	41	5	1	7	2	1	3	0	0	2	3	0	0	4	0	1	0	2	3	2	1	4					
		0.28%	0.34%	0.07%	0.44%	0.57%	0.31%	0.38%	0.0%	0.0%	0.24%	0.34%	0.0%	0.0%	0.28%	0.0%	0.19%	0.0%	0.48%	0.26%	0.68%	0.09%	1.30%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1191	109	100	178	19	18	80	20	6	81	86	34	36	88	9	42	8	17	110	26	93	31					
		8.28%	7.45%	7.40%	11.34%	5.47%	5.73%	10.36%	8.16%	3.82%	9.86%	9.89%	8.39%	11.84%	6.28%	1.89%	8.23%	3.73%	4.15%	9.84%	8.96%	8.93%	10.13%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	67	9	9	7	4	2	3	0	0	3	3	5	0	6	2	2	1	3	3	1	4	0					
		0.46%	0.61%	0.66%	0.44%	1.15%	0.63%	0.38%	0.0%	0.0%	0.36%	0.34%	1.23%	0.0%	0.42%	0.42%	0.39%	0.46%	0.73%	0.26%	0.34%	0.38%	0.0%					
35	"18. ""ЛДПР"""	1939	221	188	191	42	36	100	38	16	116	146	61	41	170	46	77	25	60	181	51	98	35					
		13.48%	15.11%	13.91%	12.17%	12.10%	11.46%	12.95%	15.51%	10.19%	14.12%	16.80%	15.06%	13.48%	12.14%	9.66%	15.09%	11.68%	14.66%	16.20%	17.58%	9.41%	11.43%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	306	27	30	42	5	13	21	4	1	13	23	8	5	26	10	15	6	7	16	2	25	7					
		2.12%	1.84%	2.22%	2.67%	1.44%	4.14%	2.72%	1.63%	0.63%	1.58%	2.64%	1.97%	1.64%	1.85%	2.10%	2.94%	2.80%	1.71%	1.43%	0.68%	2.40%	2.28%					
37	"20. ""Политическая партия ""Единая Россия"""	4586	478	456	424	112	81	252	95	55	248	221	134	85	515	191	135	81	129	358	86	361	89					
		31.89%	32.69%	33.75%	27.02%	32.27%	25.79%	32.64%	38.77%	35.03%	30.20%	25.43%	33.08%	27.96%	36.78%	40.12%	26.47%	37.85%	31.54%	32.05%	29.65%	34.67%	29.08%					
38	"21. ""Российская Конституционно-демократическая партия"""	53	1	0	3	1	0	23	2	0	4	2	2	1	3	0	0	2	2	0	0	2	5					
		0.36%	0.06%	0.0%	0.19%	0.28%	0.0%	2.97%	0.81%	0.0%	0.48%	0.23%	0.49%	0.32%	0.21%	0.0%	0.0%	0.93%	0.48%	0.0%	0.0%	0.19%	1.63%					
39	"22. ""Развитие предпринимательства"""	62	8	7	3	2	1	3	0	1	2	7	4	0	3	0	2	1	5	3	0	10	0					
		0.43%	0.54%	0.51%	0.19%	0.57%	0.31%	0.38%	0.0%	0.63%	0.24%	0.80%	0.98%	0.0%	0.21%	0.0%	0.39%	0.46%	1.22%	0.26%	0.0%	0.96%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1976	145	129	295	65	62	88	30	20	125	154	47	57	185	94	67	18	44	121	43	143	44					
		13.74%	9.91%	9.54%	18.80%	18.73%	19.74%	11.39%	12.24%	12.73%	15.22%	17.72%	11.60%	18.75%	13.21%	19.74%	13.13%	8.41%	10.75%	10.83%	14.82%	13.73%	14.37%					
																												
41	Против всех	531	65	80	62	8	11	20	7	13	32	33	12	7	42	18	17	5	23	29	9	32	6					
		3.69%	4.44%	5.92%	3.95%	2.30%	3.50%	2.59%	2.85%	8.28%	3.89%	3.79%	2.96%	2.30%	3.0%	3.78%	3.33%	2.33%	5.62%	2.59%	3.10%	3.07%	1.96%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
