Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Вельская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227					
11	Число полученных открепительных  удостоверений	625	15	15	20	20	20	15	20	15	15	15	15	15	15	10	0	0	10	15	15	15	15	15	15	10	10	5	5	5	5	5	5	10	5	5	5	5	5	12	10	8	7	14	5	5	5	10	5	5	5	10	5	5	5	10	14	5	5	5	5	5	5	10	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	306	3	9	11	7	11	12	13	7	15	8	3	3	3	4	0	0	2	3	14	5	7	7	7	2	8	0	1	3	0	0	0	2	5	0	5	1	2	12	5	7	7	10	3	2	2	5	0	0	5	8	1	0	0	8	11	3	0	0	2	3	2	10	0	5	5	0	5	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	254	10	10	24	7	9	16	16	9	11	8	10	1	4	1	0	12	3	7	8	1	0	5	4	4	5	0	1	0	1	2	1	1	0	0	0	1	1	0	3	8	1	4	0	7	2	1	1	0	1	8	1	0	4	2	2	0	3	2	3	1	1	1	0	2	0	0	1	2	0					
14	Число неиспользованных открепительных удостоверений	319	12	6	9	13	9	3	7	8	0	7	12	12	12	6	0	0	8	12	1	10	8	8	8	8	2	5	4	2	5	5	5	8	0	5	0	4	3	0	5	1	0	4	2	3	3	5	5	5	0	2	4	5	5	2	3	2	5	5	3	2	3	0	5	0	0	5	0	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	18	1	0	1	1	3	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																												
18	. Глазьев Сергей Юрьевич	727	22	19	18	29	21	24	41	15	28	23	18	22	17	6	12	4	15	23	31	27	36	12	33	15	18	3	0	4	1	1	5	14	2	5	4	9	2	14	12	4	1	7	0	4	1	11	0	3	1	18	1	2	3	5	21	8	3	4	5	5	1	3	3	3	0	5	0	0	0					
		2.53%	2.34%	3.40%	2.17%	4.34%	2.24%	3.17%	3.31%	2.66%	3.00%	2.64%	2.15%	4.34%	2.32%	2.05%	4.33%	1.74%	3.36%	3.53%	4.06%	4.17%	4.92%	1.24%	3.63%	2.91%	2.46%	2.19%	0.00%	2.35%	1.01%	0.44%	3.76%	2.48%	1.41%	2.24%	1.66%	5.17%	1.61%	2.14%	1.53%	1.32%	1.89%	2.67%	0.00%	1.09%	0.90%	1.52%	0.00%	2.88%	0.52%	3.59%	0.67%	2.25%	0.93%	1.04%	3.41%	3.65%	1.16%	2.04%	1.78%	2.58%	0.59%	0.78%	2.38%	0.73%	0.00%	5.81%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	630	17	13	30	18	13	18	34	16	18	26	17	10	24	4	7	5	18	14	9	16	9	16	17	12	14	3	1	4	1	5	6	19	2	13	0	8	4	11	15	4	0	5	2	3	2	16	2	2	3	12	1	0	3	13	11	5	5	4	7	2	4	5	4	4	10	1	12	1	0					
		2.19%	1.81%	2.33%	3.62%	2.69%	1.39%	2.37%	2.74%	2.84%	1.93%	2.98%	2.03%	1.97%	3.27%	1.37%	2.53%	2.17%	4.03%	2.15%	1.18%	2.47%	1.23%	1.65%	1.87%	2.33%	1.91%	2.19%	0.99%	2.35%	1.01%	2.22%	4.51%	3.36%	1.41%	5.83%	0.00%	4.60%	3.23%	1.68%	1.91%	1.32%	0.00%	1.91%	2.35%	0.82%	1.80%	2.21%	1.64%	1.92%	1.57%	2.39%	0.67%	0.00%	0.93%	2.71%	1.79%	2.28%	1.93%	2.04%	2.49%	1.03%	2.35%	1.30%	3.17%	0.97%	4.46%	1.16%	4.72%	1.85%	0.00%					
20	. Миронов Сергей Михайлович	242	6	4	5	4	8	8	6	8	14	11	8	7	2	2	12	7	1	2	3	3	9	5	8	2	1	3	0	1	0	0	1	8	0	2	3	2	2	5	4	1	1	3	0	4	1	4	1	0	1	3	1	0	4	6	6	3	4	2	3	2	2	3	3	1	1	0	2	1	2					
		0.84%	0.64%	0.72%	0.60%	0.60%	0.85%	1.06%	0.48%	1.42%	1.50%	1.26%	0.96%	1.38%	0.27%	0.68%	4.33%	3.04%	0.22%	0.31%	0.39%	0.46%	1.23%	0.52%	0.88%	0.39%	0.14%	2.19%	0.00%	0.59%	0.00%	0.00%	0.75%	1.42%	0.00%	0.90%	1.24%	1.15%	1.61%	0.77%	0.51%	0.33%	1.89%	1.15%	0.00%	1.09%	0.90%	0.55%	0.82%	0.00%	0.52%	0.60%	0.67%	0.00%	1.24%	1.25%	0.98%	1.37%	1.54%	1.02%	1.07%	1.03%	1.18%	0.78%	2.38%	0.24%	0.45%	0.00%	0.79%	1.85%	1.49%					
21	. Путин Владимир Владимирович	22705	699	424	611	494	694	557	924	449	727	687	653	366	567	216	173	187	326	523	549	494	563	769	765	401	628	118	88	148	91	200	108	436	110	187	194	121	99	531	638	247	41	208	69	304	90	617	103	88	166	414	137	83	282	388	500	153	220	161	223	150	138	334	99	356	179	75	220	39	106					
		78.87%	74.28%	75.85%	73.79%	73.95%	74.15%	73.48%	74.58%	79.61%	77.92%	78.78%	78.02%	72.19%	77.35%	73.72%	62.45%	81.30%	72.93%	80.34%	71.95%	76.35%	77.02%	79.28%	84.07%	77.71%	85.79%	86.13%	87.13%	87.06%	91.92%	88.89%	81.20%	77.17%	77.46%	83.86%	80.50%	69.54%	79.84%	81.32%	81.17%	81.52%	77.36%	79.39%	81.18%	83.06%	81.08%	85.10%	84.43%	84.62%	86.91%	82.47%	91.33%	93.26%	87.58%	80.83%	81.30%	69.86%	84.94%	82.14%	79.36%	77.32%	81.18%	86.75%	78.57%	86.62%	79.91%	87.21%	86.61%	72.22%	79.10%					
22	. Хакамада Ирина Муцуовна	816	46	29	37	32	36	33	64	19	33	23	40	19	18	22	4	6	9	16	21	10	10	16	13	18	14	1	1	1	0	4	7	6	7	0	1	6	3	28	44	4	0	7	0	5	2	10	3	0	0	6	2	0	5	14	10	4	4	4	8	1	5	8	1	4	4	1	5	1	1					
		2.83%	4.89%	5.19%	4.47%	4.79%	3.85%	4.35%	5.17%	3.37%	3.54%	2.64%	4.78%	3.75%	2.46%	7.51%	1.44%	2.61%	2.01%	2.46%	2.75%	1.55%	1.37%	1.65%	1.43%	3.49%	1.91%	0.73%	0.99%	0.59%	0.00%	1.78%	5.26%	1.06%	4.93%	0.00%	0.41%	3.45%	2.42%	4.29%	5.60%	1.32%	0.00%	2.67%	0.00%	1.37%	1.80%	1.38%	2.46%	0.00%	0.00%	1.20%	1.33%	0.00%	1.55%	2.92%	1.63%	1.83%	1.54%	2.04%	2.85%	0.52%	2.94%	2.08%	0.79%	0.97%	1.79%	1.16%	1.97%	1.85%	0.75%					
23	. Харитонов Николай Михайлович	3049	125	56	106	64	145	97	141	43	90	86	85	70	90	37	34	20	70	59	126	84	86	128	63	51	47	9	11	10	6	14	5	66	15	13	33	27	12	50	56	41	8	26	14	44	15	57	12	10	16	42	6	4	21	48	52	39	17	18	32	33	18	25	14	34	28	4	14	10	17					
		10.59%	13.28%	10.02%	12.80%	9.58%	15.49%	12.80%	11.38%	7.62%	9.65%	9.86%	10.16%	13.81%	12.28%	12.63%	12.27%	8.70%	15.66%	9.06%	16.51%	12.98%	11.76%	13.20%	6.92%	9.88%	6.42%	6.57%	10.89%	5.88%	6.06%	6.22%	3.76%	11.68%	10.56%	5.83%	13.69%	15.52%	9.68%	7.66%	7.12%	13.53%	15.09%	9.92%	16.47%	12.02%	13.51%	7.86%	9.84%	9.62%	8.38%	8.37%	4.00%	4.49%	6.52%	10.00%	8.46%	17.81%	6.56%	9.18%	11.39%	17.01%	10.59%	6.49%	11.11%	8.27%	12.50%	4.65%	5.51%	18.52%	12.69%					
																																																																												
24	Против всех	441	23	12	17	25	16	18	24	12	18	10	16	9	10	5	13	1	5	11	13	12	13	14	6	11	10	0	0	1	0	0	1	7	3	1	2	1	0	9	16	2	2	2	0	2	0	2	1	1	2	6	1	0	4	4	11	6	5	3	2	0	2	4	0	4	2	0	0	0	8					
		1.53%	2.44%	2.15%	2.05%	3.74%	1.71%	2.37%	1.94%	2.13%	1.93%	1.15%	1.91%	1.78%	1.36%	1.71%	4.69%	0.43%	1.12%	1.69%	1.70%	1.85%	1.78%	1.44%	0.66%	2.13%	1.37%	0.00%	0.00%	0.59%	0.00%	0.00%	0.75%	1.24%	2.11%	0.45%	0.83%	0.57%	0.00%	1.38%	2.04%	0.66%	3.77%	0.76%	0.00%	0.55%	0.00%	0.28%	0.82%	0.96%	1.05%	1.20%	0.67%	0.00%	1.24%	0.83%	1.79%	2.74%	1.93%	1.53%	0.71%	0.00%	1.18%	1.04%	0.00%	0.97%	0.89%	0.00%	0.00%	0.00%	5.97%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
