Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																										
Дата голосования: 02.12.2007																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Норильская городская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1504	25	20	25	20	20	20	25	20	20	20	25	20	20	20	20	20	20	25	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	25	20	20	0	20	27	20	20	20	20	20	20	20	25	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	25	25	25	20	20	27	20	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	781	11	8	12	5	12	6	15	10	16	10	16	15	10	8	11	9	9	23	10	8	9	12	13	8	10	10	12	9	12	18	17	10	7	6	12	8	4	16	10	7	0	17	24	8	8	5	9	10	5	8	12	7	4	7	4	6	6	13	8	15	8	13	6	9	7	15	24	18	16	7	13	26	9	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	567	8	4	11	3	7	8	6	9	10	6	6	4	14	5	3	2	11	5	8	8	4	1	10	5	3	2	1	2	8	7	9	3	7	8	9	1	7	8	2	4	9	4	48	1	2	14	1	8	17	4	2	5	1	3	9	2	2	14	3	5	3	0	5	4	5	6	3	30	4	3	3	12	2	3	0	8	9	4	10	17	5	15	23					
14	Число погашенных неиспользованных открепительных удостоверений	723	14	12	13	15	8	14	10	10	4	10	9	5	10	12	9	11	11	2	10	12	11	8	7	12	10	10	8	11	8	2	3	10	13	14	8	12	16	9	10	13	0	3	3	12	12	15	11	10	15	12	13	13	16	13	16	14	14	7	12	5	12	7	14	11	13	5	1	7	9	13	7	1	11	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	468	6	3	5	1	10	6	6	1	3	5	8	7	8	4	4	7	8	11	9	10	6	5	7	2	6	10	4	6	4	9	14	7	4	8	6	4	8	15	7	9	0	5	10	0	3	4	9	2	4	7	2	4	5	0	11	3	9	5	9	10	6	11	3	6	3	5	9	12	11	9	8	11	9	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																										
18	1.Политическая партия «Аграрная партия России»	1455	23	29	25	13	20	25	22	31	14	26	24	22	25	25	14	16	9	17	23	22	13	26	21	9	20	24	12	16	18	14	25	22	17	17	15	7	10	18	30	15	7	9	23	17	15	16	19	14	13	26	12	16	14	22	20	20	19	11	15	16	15	13	21	16	17	18	14	41	29	22	21	37	5	3	16	11	14	9	4	7	12	7	5					
		1.66%	1.98%	2.36%	2.10%	1.27%	1.70%	2.35%	1.58%	2.55%	1.43%	1.92%	1.91%	1.46%	1.85%	2.06%	1.22%	1.57%	1.08%	1.31%	2.00%	2.10%	1.50%	1.85%	1.68%	1.09%	1.70%	2.47%	1.13%	1.43%	1.69%	1.25%	2.01%	1.96%	1.72%	1.30%	1.45%	0.73%	1.94%	1.21%	2.02%	1.19%	1.90%	0.93%	1.52%	2.79%	1.67%	1.82%	1.74%	1.97%	1.82%	1.98%	1.22%	1.62%	1.39%	2.34%	1.94%	1.91%	2.04%	1.11%	1.43%	1.43%	1.71%	1.21%	2.05%	1.36%	1.59%	1.88%	1.24%	2.52%	1.80%	1.93%	1.60%	2.09%	0.48%	0.67%	1.90%	1.85%	0.97%	2.58%	1.80%	1.27%	1.24%	0.91%	0.78%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1050	22	10	8	19	17	23	16	20	18	33	14	27	24	20	17	13	18	16	20	9	14	24	21	11	15	8	10	12	13	18	24	16	10	19	9	10	7	13	13	15	3	8	11	7	14	8	12	4	7	16	11	6	9	11	9	20	8	8	13	14	7	14	10	8	7	9	8	11	11	7	12	15	6	2	6	6	12	1	9	7	17	9	11					
		1.20%	1.89%	0.81%	0.67%	1.86%	1.44%	2.16%	1.15%	1.64%	1.84%	2.44%	1.12%	1.79%	1.77%	1.65%	1.48%	1.27%	2.15%	1.23%	1.74%	0.86%	1.61%	1.71%	1.68%	1.33%	1.28%	0.82%	0.94%	1.07%	1.22%	1.61%	1.93%	1.43%	1.01%	1.45%	0.87%	1.04%	1.36%	0.87%	0.87%	1.19%	0.81%	0.83%	0.73%	1.15%	1.56%	0.91%	1.10%	0.56%	0.98%	1.22%	1.12%	0.61%	0.90%	1.17%	0.87%	1.91%	0.86%	0.80%	1.24%	1.25%	0.80%	1.30%	0.98%	0.68%	0.66%	0.94%	0.71%	0.68%	0.68%	0.61%	0.91%	0.85%	0.57%	0.45%	0.71%	1.01%	0.83%	0.29%	4.05%	1.27%	1.75%	1.17%	1.71%					
20	3.Политическая партия «Демократическая партия России»	96	0	2	1	0	0	0	2	0	0	1	2	0	3	3	1	3	1	2	1	1	1	0	3	0	2	1	0	1	1	3	0	1	2	2	1	0	0	2	2	0	1	0	2	1	1	1	2	2	4	3	0	1	0	2	1	6	0	2	1	1	0	0	1	0	2	2	1	1	1	0	1	2	0	0	1	1	2	0	1	0	1	3	0					
		0.11%	0.00%	0.16%	0.08%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.07%	0.16%	0.00%	0.22%	0.25%	0.09%	0.29%	0.12%	0.15%	0.09%	0.10%	0.12%	0.00%	0.24%	0.00%	0.17%	0.10%	0.00%	0.09%	0.09%	0.27%	0.00%	0.09%	0.20%	0.15%	0.10%	0.00%	0.00%	0.13%	0.13%	0.00%	0.27%	0.00%	0.13%	0.16%	0.11%	0.11%	0.18%	0.28%	0.56%	0.23%	0.00%	0.10%	0.00%	0.21%	0.10%	0.57%	0.00%	0.20%	0.10%	0.09%	0.00%	0.00%	0.10%	0.00%	0.19%	0.21%	0.09%	0.06%	0.06%	0.00%	0.08%	0.11%	0.00%	0.00%	0.12%	0.17%	0.14%	0.00%	0.45%	0.00%	0.10%	0.39%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4953	77	65	68	81	75	77	84	65	59	63	73	110	74	65	75	53	61	58	59	53	46	51	70	46	60	52	62	71	60	71	81	79	62	61	68	68	35	78	83	68	17	44	91	34	49	41	54	33	53	81	57	58	57	48	40	48	58	53	64	65	42	49	50	72	46	65	62	64	71	50	70	97	41	28	52	42	73	31	10	44	50	76	56					
		5.65%	6.62%	5.30%	5.71%	7.93%	6.37%	7.24%	6.03%	5.34%	6.02%	4.65%	5.82%	7.29%	5.47%	5.36%	6.54%	5.19%	7.30%	4.47%	5.14%	5.06%	5.29%	3.62%	5.61%	5.56%	5.11%	5.36%	5.83%	6.33%	5.65%	6.35%	6.51%	7.05%	6.26%	4.66%	6.58%	7.08%	6.80%	5.22%	5.58%	5.41%	4.61%	4.54%	6.01%	5.57%	5.46%	4.66%	4.96%	4.63%	7.40%	6.17%	5.80%	5.86%	5.67%	5.10%	3.88%	4.59%	6.24%	5.33%	6.11%	5.80%	4.79%	4.55%	4.89%	6.13%	4.31%	6.77%	5.49%	3.93%	4.41%	4.38%	5.33%	5.47%	3.93%	6.29%	6.17%	7.08%	5.08%	8.88%	4.50%	7.96%	5.15%	9.90%	8.72%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	719	11	12	8	8	12	6	12	5	10	19	14	10	10	9	13	13	2	14	11	13	12	16	6	9	11	10	13	3	14	16	9	8	11	11	19	10	4	10	15	14	2	12	12	4	4	2	7	3	5	14	5	9	11	10	10	5	6	2	9	10	5	11	8	4	5	5	6	11	9	7	4	13	8	6	7	3	7	2	2	2	6	4	9					
		0.82%	0.95%	0.98%	0.67%	0.78%	1.02%	0.56%	0.86%	0.41%	1.02%	1.40%	1.12%	0.66%	0.74%	0.74%	1.13%	1.27%	0.24%	1.08%	0.96%	1.24%	1.38%	1.14%	0.48%	1.09%	0.94%	1.03%	1.22%	0.27%	1.32%	1.43%	0.72%	0.71%	1.11%	0.84%	1.84%	1.04%	0.78%	0.67%	1.01%	1.11%	0.54%	1.24%	0.79%	0.66%	0.45%	0.23%	0.64%	0.42%	0.70%	1.07%	0.51%	0.91%	1.09%	1.06%	0.97%	0.48%	0.65%	0.20%	0.86%	0.89%	0.57%	1.02%	0.78%	0.34%	0.47%	0.52%	0.53%	0.68%	0.56%	0.61%	0.30%	0.73%	0.77%	1.35%	0.83%	0.51%	0.49%	0.57%	0.90%	0.36%	0.62%	0.52%	1.40%					
23	6.Политическая партия «Партия социальной справедливости»	254	3	2	4	2	11	4	8	6	3	4	4	3	2	7	2	1	5	3	4	3	0	2	5	3	5	4	3	2	6	4	1	4	6	4	2	2	1	2	6	3	2	0	7	0	2	0	4	6	3	3	2	5	3	5	2	2	1	2	4	3	5	2	1	0	5	3	1	5	2	5	2	4	2	1	3	1	3	0	0	1	2	4	0					
		0.29%	0.26%	0.16%	0.34%	0.20%	0.93%	0.38%	0.57%	0.49%	0.31%	0.30%	0.32%	0.20%	0.15%	0.58%	0.17%	0.10%	0.60%	0.23%	0.35%	0.29%	0.00%	0.14%	0.40%	0.36%	0.43%	0.41%	0.28%	0.18%	0.56%	0.36%	0.08%	0.36%	0.61%	0.31%	0.19%	0.21%	0.19%	0.13%	0.40%	0.24%	0.54%	0.00%	0.46%	0.00%	0.22%	0.00%	0.37%	0.84%	0.42%	0.23%	0.20%	0.51%	0.30%	0.53%	0.19%	0.19%	0.11%	0.20%	0.38%	0.27%	0.57%	0.19%	0.10%	0.00%	0.47%	0.31%	0.09%	0.31%	0.12%	0.44%	0.15%	0.23%	0.19%	0.22%	0.36%	0.17%	0.21%	0.00%	0.00%	0.18%	0.21%	0.52%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	11363	127	156	223	136	111	103	192	147	115	161	141	170	178	156	167	161	108	154	153	140	97	175	173	112	127	131	127	143	146	123	187	154	129	177	152	121	69	198	185	164	52	141	205	61	99	113	161	74	95	148	133	118	137	112	136	122	107	123	136	160	97	124	120	152	133	113	144	202	235	119	171	243	136	74	146	107	209	46	24	101	143	116	86					
		12.96%	10.91%	12.71%	18.74%	13.32%	9.42%	9.69%	13.77%	12.07%	11.73%	11.88%	11.24%	11.27%	13.16%	12.87%	14.57%	15.77%	12.92%	11.86%	13.33%	13.37%	11.16%	12.44%	13.87%	13.54%	10.81%	13.51%	11.94%	12.75%	13.75%	11.00%	15.03%	13.74%	13.02%	13.51%	14.70%	12.60%	13.40%	13.26%	12.43%	13.04%	14.09%	14.55%	13.55%	10.00%	11.04%	12.84%	14.78%	10.39%	13.27%	11.28%	13.53%	11.93%	13.63%	11.89%	13.18%	11.66%	11.51%	12.36%	12.99%	14.29%	11.06%	11.50%	11.73%	12.95%	12.45%	11.77%	12.74%	12.41%	14.59%	10.43%	13.01%	13.71%	13.03%	16.63%	17.32%	18.04%	14.53%	13.18%	10.81%	18.26%	14.74%	15.10%	13.40%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6038	87	95	71	75	92	75	76	98	79	102	83	111	105	77	86	63	42	104	63	55	61	100	92	50	75	60	85	85	75	68	66	89	58	85	66	59	22	115	100	96	30	80	134	19	72	61	66	50	56	98	62	76	87	77	86	68	57	73	76	88	61	77	58	78	72	67	68	123	102	77	86	139	49	30	43	33	89	21	13	40	70	47	33					
		6.89%	7.47%	7.74%	5.97%	7.35%	7.81%	7.06%	5.45%	8.05%	8.06%	7.53%	6.61%	7.36%	7.76%	6.35%	7.50%	6.17%	5.02%	8.01%	5.49%	5.25%	7.02%	7.11%	7.38%	6.05%	6.38%	6.19%	7.99%	7.58%	7.06%	6.08%	5.31%	7.94%	5.85%	6.49%	6.38%	6.15%	4.27%	7.70%	6.72%	7.63%	8.13%	8.26%	8.86%	3.11%	8.03%	6.93%	6.06%	7.02%	7.82%	7.47%	6.31%	7.68%	8.66%	8.17%	8.33%	6.50%	6.13%	7.34%	7.26%	7.86%	6.96%	7.14%	5.67%	6.64%	6.74%	6.98%	6.02%	7.56%	6.33%	6.75%	6.54%	7.84%	4.69%	6.74%	5.10%	5.56%	6.19%	6.02%	5.86%	7.23%	7.22%	6.12%	5.14%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	464	2	6	7	2	6	9	5	14	7	4	6	13	5	7	10	3	5	10	4	4	4	12	5	6	9	8	2	3	7	1	8	7	7	8	6	2	2	8	11	10	2	6	9	1	6	2	2	2	3	7	6	8	11	4	7	8	3	7	10	6	5	7	8	3	4	3	6	9	5	3	4	7	2	1	3	4	3	1	2	2	5	7	5					
		0.53%	0.17%	0.49%	0.59%	0.20%	0.51%	0.85%	0.36%	1.15%	0.71%	0.30%	0.48%	0.86%	0.37%	0.58%	0.87%	0.29%	0.60%	0.77%	0.35%	0.38%	0.46%	0.85%	0.40%	0.73%	0.77%	0.82%	0.19%	0.27%	0.66%	0.09%	0.64%	0.62%	0.71%	0.61%	0.58%	0.21%	0.39%	0.54%	0.74%	0.79%	0.54%	0.62%	0.59%	0.16%	0.67%	0.23%	0.18%	0.28%	0.42%	0.53%	0.61%	0.81%	1.09%	0.42%	0.68%	0.76%	0.32%	0.70%	0.96%	0.54%	0.57%	0.65%	0.78%	0.26%	0.37%	0.31%	0.53%	0.55%	0.31%	0.26%	0.30%	0.39%	0.19%	0.22%	0.36%	0.67%	0.21%	0.29%	0.90%	0.36%	0.52%	0.91%	0.78%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	58833	774	818	731	647	800	710	934	811	647	888	835	995	886	807	712	671	559	887	781	715	601	972	818	557	815	640	723	747	696	771	806	712	668	890	657	648	347	997	1006	852	246	640	976	453	611	615	732	508	457	888	668	669	656	627	697	720	648	679	692	729	625	763	722	802	747	656	805	1106	1097	824	922	1179	771	278	547	364	982	229	148	323	615	467	419					
		67.09%	66.49%	66.67%	61.43%	63.37%	67.91%	66.79%	67.00%	66.58%	66.02%	65.54%	66.53%	65.98%	65.48%	66.58%	62.13%	65.72%	66.87%	68.34%	68.03%	68.29%	69.16%	69.08%	65.60%	67.35%	69.36%	65.98%	67.95%	66.58%	65.54%	68.96%	64.79%	63.51%	67.41%	67.94%	63.54%	67.50%	67.38%	66.78%	67.61%	67.73%	66.67%	66.05%	64.51%	74.26%	68.12%	69.89%	67.22%	71.35%	63.83%	67.68%	67.96%	67.64%	65.27%	66.56%	67.54%	68.83%	69.68%	68.24%	66.09%	65.09%	71.27%	70.78%	70.58%	68.31%	69.94%	68.33%	71.24%	67.94%	68.09%	72.22%	70.17%	66.50%	73.85%	62.47%	64.89%	61.38%	68.29%	65.62%	66.67%	58.41%	63.40%	60.81%	65.26%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1020	11	14	19	23	16	19	19	9	13	27	19	17	21	14	28	12	11	15	18	16	8	10	13	14	15	19	17	14	13	13	19	12	6	15	16	11	7	19	13	8	3	8	28	4	9	6	9	5	4	12	11	7	8	10	9	14	7	15	11	13	4	7	11	21	11	6	9	21	27	10	10	12	11	3	4	7	9	5	4	6	11	7	8					
		1.16%	0.95%	1.14%	1.60%	2.25%	1.36%	1.79%	1.36%	0.74%	1.33%	1.99%	1.51%	1.13%	1.55%	1.16%	2.44%	1.18%	1.32%	1.16%	1.57%	1.53%	0.92%	0.71%	1.04%	1.69%	1.28%	1.96%	1.60%	1.25%	1.22%	1.16%	1.53%	1.07%	0.61%	1.15%	1.55%	1.15%	1.36%	1.27%	0.87%	0.64%	0.81%	0.83%	1.85%	0.66%	1.00%	0.68%	0.83%	0.70%	0.56%	0.91%	1.12%	0.71%	0.80%	1.06%	0.87%	1.34%	0.75%	1.51%	1.05%	1.16%	0.46%	0.65%	1.08%	1.79%	1.03%	0.63%	0.80%	1.29%	1.68%	0.88%	0.76%	0.68%	1.05%	0.67%	0.47%	1.18%	0.63%	1.43%	1.80%	1.08%	1.13%	0.91%	1.25%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
