Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
"Наименование Избирательной комиссии:    Уфа, Калининская"																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2552	45	40	35	48	40	47	40	45	30	46	41	50	55	51	52	35	30	40	40	15	45	25	15	60	55	65	40	50	33	45	50	45	40	33	43	33	48	40	45	40	50	45	35	55	45	45	35	25	50	40	43	37	60	55	30	50	30	30	35	35	2	10	35	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2506	43	37	35	48	40	47	39	45	30	44	41	47	55	51	52	35	30	40	40	15	45	25	15	60	55	62	40	50	33	44	50	44	40	33	43	33	48	36	40	40	49	41	34	55	45	45	35	25	50	40	38	37	60	48	30	50	28	30	35	35	1	10	35	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2172	11	39	13	32	31	21	18	25	39	20	25	21	7	18	4	3	12	84	6	15	100	11	20	4	5	17	14	7	5	19	7	34	42	35	13	24	19	28	21	13	19	16	4	44	21	15	17	1	52	6	20	60	24	27	34	23	21	27	16	7	4	9	10	589	23	197	4					
14	Число погашенных неиспользованных открепительных удостоверений	46	2	3	0	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	4	5	0	1	4	1	0	0	0	0	0	0	0	5	0	0	7	0	0	2	0	0	0	1	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	742	20	17	15	12	19	8	23	11	16	14	17	13	19	18	18	23	11	12	22	9	6	8	5	7	9	17	11	16	18	9	19	13	7	15	14	9	19	20	9	15	8	18	12	2	9	7	7	13	9	9	9	10	11	8	7	4	10	10	6	5	2	0	3	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6303	109	138	175	150	193	25	92	71	215	174	110	108	113	62	135	12	79	88	39	10	64	124	79	80	37	287	105	153	116	69	37	157	260	123	179	101	133	120	17	131	115	159	80	10	101	125	0	40	43	31	167	118	143	127	63	19	162	25	112	114	11	7	40	6	8	0	7					
		5.86%	5.34%	7.13%	9.06%	7.74%	9.80%	1.33%	4.43%	4.11%	14.87%	10.31%	6.37%	7.27%	7.08%	3.75%	7.81%	0.56%	3.86%	4.03%	1.86%	1.03%	6.84%	6.94%	8.02%	3.94%	1.98%	15.01%	5.32%	7.94%	9.06%	3.85%	1.96%	7.47%	16.03%	7.63%	9.89%	5.94%	5.42%	6.95%	1.01%	6.67%	6.94%	7.99%	5.26%	0.59%	5.44%	8.01%	0.00%	2.17%	2.41%	2.31%	15.05%	6.05%	7.02%	7.13%	3.57%	1.16%	9.29%	1.70%	7.13%	7.70%	8.09%	4.32%	6.99%	0.44%	11.43%	0.00%	6.19%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8601	127	109	2	201	166	132	190	90	206	51	62	104	125	105	121	225	164	143	202	20	74	142	93	214	262	324	103	163	95	58	162	105	229	129	125	110	176	129	185	135	45	153	173	252	106	95	156	261	121	33	178	152	143	127	57	222	213	177	115	117	14	16	85	10	5	4	13					
		7.99%	6.23%	5.63%	0.10%	10.38%	8.43%	7.03%	9.14%	5.21%	14.25%	3.02%	3.59%	7.00%	7.83%	6.36%	6.99%	10.55%	8.02%	6.54%	9.63%	2.06%	7.91%	7.95%	9.44%	10.53%	14.06%	16.95%	5.22%	8.46%	7.42%	3.24%	8.58%	4.99%	14.12%	8.00%	6.91%	6.47%	7.17%	7.47%	10.99%	6.87%	2.72%	7.68%	11.38%	14.90%	5.71%	6.09%	9.99%	14.14%	6.79%	2.46%	16.04%	7.79%	7.02%	7.13%	3.23%	13.58%	12.21%	12.01%	7.32%	7.90%	10.29%	9.88%	14.86%	0.73%	7.14%	0.78%	11.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	473	6	13	0	0	1	10	10	11	9	2	5	15	12	20	13	2	1	19	5	8	5	4	8	2	0	21	5	13	19	3	6	12	25	0	0	0	15	17	8	3	15	15	0	1	1	3	0	1	3	13	14	8	8	14	7	11	13	0	6	2	1	2	3	2	2	0	0					
		0.44%	0.29%	0.67%	0.00%	0.00%	0.05%	0.53%	0.48%	0.64%	0.62%	0.12%	0.29%	1.01%	0.75%	1.21%	0.75%	0.09%	0.05%	0.87%	0.24%	0.82%	0.53%	0.22%	0.81%	0.10%	0.00%	1.10%	0.25%	0.67%	1.48%	0.17%	0.32%	0.57%	1.54%	0.00%	0.00%	0.00%	0.61%	0.98%	0.48%	0.15%	0.91%	0.75%	0.00%	0.06%	0.05%	0.19%	0.00%	0.05%	0.17%	0.97%	1.26%	0.41%	0.39%	0.79%	0.40%	0.67%	0.75%	0.00%	0.38%	0.14%	0.74%	1.23%	0.52%	0.15%	2.86%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	17334	381	243	376	202	591	435	297	424	361	355	354	181	338	432	222	348	265	227	330	230	113	249	145	198	279	448	367	215	145	308	226	367	392	247	232	320	309	224	344	306	315	225	204	322	368	172	312	243	332	267	272	241	282	229	305	217	189	206	224	198	21	15	95	19	11	9	15					
		16.11%	18.68%	12.55%	19.46%	10.43%	30.02%	23.16%	14.29%	24.57%	24.97%	21.04%	20.49%	12.19%	21.16%	26.15%	12.84%	16.32%	12.95%	10.39%	15.73%	23.66%	12.09%	13.93%	14.72%	9.74%	14.97%	23.43%	18.58%	11.16%	11.33%	17.19%	11.96%	17.47%	24.17%	15.32%	12.82%	18.82%	12.59%	12.98%	20.44%	15.58%	19.01%	11.30%	13.42%	19.04%	19.83%	11.02%	19.97%	13.16%	18.62%	19.93%	24.50%	12.35%	13.84%	12.87%	17.30%	13.27%	10.84%	13.98%	14.27%	13.37%	15.44%	9.26%	16.61%	1.39%	15.71%	1.76%	13.27%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1037	20	62	0	2	1	24	39	10	34	5	32	16	35	22	8	36	1	34	7	5	30	5	29	18	0	21	2	11	15	5	15	18	58	0	0	0	49	10	19	13	8	25	0	3	5	36	1	0	13	47	51	20	6	23	22	13	10	0	14	3	1	2	12	6	1	2	2					
		0.96%	0.98%	3.20%	0.00%	0.10%	0.05%	1.28%	1.88%	0.58%	2.35%	0.30%	1.85%	1.08%	2.19%	1.33%	0.46%	1.69%	0.05%	1.56%	0.33%	0.51%	3.21%	0.28%	2.94%	0.89%	0.00%	1.10%	0.10%	0.57%	1.17%	0.28%	0.79%	0.86%	3.58%	0.00%	0.00%	0.00%	1.99%	0.58%	1.13%	0.66%	0.48%	1.26%	0.00%	0.18%	0.27%	2.31%	0.06%	0.00%	0.73%	3.51%	4.59%	1.03%	0.29%	1.29%	1.25%	0.80%	0.57%	0.00%	0.89%	0.20%	0.74%	1.23%	2.10%	0.44%	1.43%	0.39%	1.77%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	72534	1382	1341	1328	1355	1016	1222	1413	1100	549	1096	1155	1052	943	978	1210	1485	1536	1669	1501	696	628	1238	623	1521	1272	776	1363	1349	867	1339	1436	1429	628	1113	1250	1148	1741	1213	1065	1376	1129	1394	1050	1096	1256	1122	1093	1299	1136	938	410	1380	1406	1239	1274	1125	1137	1064	1088	1030	86	119	330	1321	42	494	74					
		67.42%	67.75%	69.27%	68.74%	69.95%	51.60%	65.07%	67.99%	63.73%	37.97%	64.97%	66.84%	70.84%	59.05%	59.20%	69.98%	69.62%	75.07%	76.38%	71.54%	71.60%	67.17%	69.28%	63.25%	74.82%	68.24%	40.59%	69.01%	70.04%	67.73%	74.72%	76.02%	68.02%	38.72%	69.04%	69.06%	67.53%	70.95%	70.28%	63.28%	70.06%	68.14%	70.02%	69.08%	64.81%	67.67%	71.88%	69.97%	70.37%	63.71%	70.00%	36.94%	70.73%	69.02%	69.61%	72.26%	68.81%	65.19%	72.18%	69.30%	69.55%	63.24%	73.46%	57.69%	96.42%	60.00%	96.86%	65.49%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	315	2	8	0	0	1	8	6	11	13	1	4	4	5	12	10	10	0	5	5	3	6	7	0	0	0	8	3	9	13	0	7	13	10	0	0	0	5	6	7	0	15	20	0	1	1	7	0	2	3	3	9	7	4	11	6	8	6	0	0	2	1	1	3	2	1	0	0					
		0.29%	0.10%	0.41%	0.00%	0.00%	0.05%	0.43%	0.29%	0.64%	0.90%	0.06%	0.23%	0.27%	0.31%	0.73%	0.58%	0.47%	0.00%	0.23%	0.24%	0.31%	0.64%	0.39%	0.00%	0.00%	0.00%	0.42%	0.15%	0.47%	1.02%	0.00%	0.37%	0.62%	0.62%	0.00%	0.00%	0.00%	0.20%	0.35%	0.42%	0.00%	0.91%	1.00%	0.00%	0.06%	0.05%	0.45%	0.00%	0.11%	0.17%	0.22%	0.81%	0.36%	0.20%	0.62%	0.34%	0.49%	0.34%	0.00%	0.00%	0.14%	0.74%	0.62%	0.52%	0.15%	1.43%	0.00%	0.00%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
