Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																							
Дата голосования: 02.12.2007																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Тарская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	891	10	20	20	20	20	0	20	20	30	20	30	20	20	0	0	20	20	33	30	20	20	10	5	5	10	10	10	5	10	5	5	15	10	5	10	10	10	5	13	5	10	10	10	5	5	5	5	5	10	5	10	10	5	10	5	10	45	10	5	10	5	5	10	10	5	10	10	10	10	10	10	5	5	5	10	10	10	5	5	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	440	0	12	6	7	14	0	14	19	16	9	21	11	10	0	0	14	11	29	7	10	11	2	1	1	6	0	10	0	10	1	1	13	4	2	10	1	5	0	13	1	9	0	0	2	1	0	1	0	3	5	3	0	0	1	0	3	41	8	4	10	0	0	4	2	3	3	5	1	8	1	7	1	0	2	10	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	434	0	2	4	1	14	0	11	10	16	19	4	12	5	13	56	20	5	11	12	13	7	3	2	1	4	4	3	2	7	3	2	7	3	4	8	1	2	1	7	1	0	3	6	4	1	1	0	1	0	2	2	1	0	5	2	3	4	1	2	5	2	2	1	3	3	4	4	3	4	0	2	2	1	5	5	1	1	0	2	46					
14	Число погашенных неиспользованных открепительных удостоверений	451	10	8	14	13	6	0	6	1	14	11	9	9	10	0	0	6	9	4	23	10	9	8	4	4	4	10	0	5	0	4	4	2	6	3	0	9	5	5	0	4	1	10	10	3	4	5	4	5	7	0	7	10	5	9	5	7	4	2	1	0	5	5	6	8	2	7	5	9	2	9	3	4	5	3	0	10	10	5	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
18	1.Политическая партия «Аграрная партия России»	718	5	14	11	8	28	4	13	16	19	17	13	15	17	7	2	11	23	20	18	19	17	8	4	1	10	3	7	1	6	1	0	14	7	3	13	1	8	3	15	3	21	5	6	0	6	3	0	1	21	6	23	14	2	5	3	35	9	6	8	4	4	0	23	10	9	6	17	2	7	7	1	1	0	3	3	0	24	17	1	0					
		2.86%	4.67%	2.06%	3.16%	1.83%	3.47%	3.01%	2.06%	2.29%	2.10%	2.56%	2.26%	2.03%	2.21%	3.80%	3.17%	1.56%	3.38%	2.21%	2.80%	2.66%	2.93%	2.83%	2.70%	2.56%	3.70%	5.56%	3.21%	1.32%	3.23%	0.96%	0.00%	3.49%	7.69%	1.68%	2.90%	0.76%	2.13%	4.62%	2.73%	2.78%	4.43%	2.73%	1.89%	0.00%	5.22%	2.70%	0.00%	1.01%	6.98%	6.12%	5.65%	5.65%	2.38%	2.53%	6.12%	6.88%	1.10%	1.86%	2.42%	1.30%	4.71%	0.00%	4.17%	5.38%	4.19%	2.03%	2.80%	1.03%	1.65%	2.97%	0.70%	1.96%	0.00%	3.70%	1.13%	0.00%	5.76%	14.66%	1.79%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	125	0	3	3	4	4	1	2	8	5	2	1	4	7	2	2	7	1	6	7	3	2	2	0	0	1	0	1	0	0	0	0	3	1	0	3	0	2	0	4	0	6	1	1	2	1	0	0	0	3	1	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	4	3	4	0	0	0	0	1	0	1	1	0	0					
		0.50%	0.00%	0.44%	0.86%	0.91%	0.50%	0.75%	0.32%	1.15%	0.55%	0.30%	0.17%	0.54%	0.91%	1.09%	3.17%	0.99%	0.15%	0.66%	1.09%	0.42%	0.34%	0.71%	0.00%	0.00%	0.37%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.75%	1.10%	0.00%	0.67%	0.00%	0.53%	0.00%	0.73%	0.00%	1.27%	0.55%	0.32%	2.00%	0.87%	0.00%	0.00%	0.00%	0.99%	1.02%	0.25%	0.00%	0.00%	0.00%	2.04%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	2.06%	0.71%	1.69%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.24%	0.86%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	56	0	1	1	1	4	3	2	1	3	0	3	1	0	0	0	4	0	0	2	1	3	0	0	0	0	0	1	0	1	0	0	1	0	3	2	0	1	1	4	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.22%	0.00%	0.15%	0.29%	0.23%	0.50%	2.26%	0.32%	0.14%	0.33%	0.00%	0.52%	0.14%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.31%	0.14%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.54%	0.00%	0.00%	0.25%	0.00%	1.68%	0.45%	0.00%	0.27%	1.54%	0.73%	0.00%	0.00%	0.00%	0.32%	1.00%	0.00%	0.00%	0.71%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.30%	0.32%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.16%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3101	10	101	37	65	109	4	102	78	115	119	60	149	112	24	2	106	64	108	103	66	68	21	10	5	5	1	12	5	7	6	4	36	10	22	90	18	62	21	32	6	78	9	21	6	3	24	22	16	56	4	26	15	5	15	6	119	80	28	14	60	7	7	115	33	33	32	120	9	29	25	9	1	4	6	25	13	36	4	5	6					
		12.36%	9.35%	14.83%	10.63%	14.84%	13.52%	3.01%	16.19%	11.17%	12.74%	17.89%	10.43%	20.19%	14.58%	13.04%	3.17%	15.08%	9.40%	11.95%	16.04%	9.24%	11.70%	7.42%	6.76%	12.82%	1.85%	1.85%	5.50%	6.58%	3.76%	5.77%	6.90%	8.98%	10.99%	12.29%	20.09%	13.74%	16.49%	32.31%	5.82%	5.56%	16.46%	4.92%	6.62%	6.00%	2.61%	21.62%	15.60%	16.16%	18.60%	4.08%	6.39%	6.05%	5.95%	7.58%	12.24%	23.38%	9.78%	8.67%	4.23%	19.48%	8.24%	30.43%	20.83%	17.74%	15.35%	10.85%	19.77%	4.64%	6.82%	10.59%	6.34%	1.96%	18.18%	7.41%	9.43%	12.50%	8.63%	3.45%	8.93%	12.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	112	0	4	1	1	6	0	5	2	3	3	1	9	4	1	0	3	6	8	10	2	3	0	0	0	1	1	1	0	2	0	0	2	1	0	1	0	5	0	1	2	5	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	1	1	0	1	1	0	1	0	0	2	1	0	0	3	0	0	0	0	0	0	1	0	0	0					
		0.45%	0.00%	0.59%	0.29%	0.23%	0.74%	0.00%	0.79%	0.29%	0.33%	0.45%	0.17%	1.22%	0.52%	0.54%	0.00%	0.43%	0.88%	0.88%	1.56%	0.28%	0.52%	0.00%	0.00%	0.00%	0.37%	1.85%	0.46%	0.00%	1.08%	0.00%	0.00%	0.50%	1.10%	0.00%	0.22%	0.00%	1.33%	0.00%	0.18%	1.85%	1.05%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.81%	0.00%	0.00%	0.00%	0.00%	0.12%	0.31%	0.00%	0.32%	1.18%	0.00%	0.18%	0.00%	0.00%	0.68%	0.16%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	51	1	2	0	0	4	0	3	1	2	3	4	1	2	0	0	1	1	3	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	1	0	0					
		0.20%	0.93%	0.29%	0.00%	0.00%	0.50%	0.00%	0.48%	0.14%	0.22%	0.45%	0.70%	0.14%	0.26%	0.00%	0.00%	0.14%	0.15%	0.33%	0.31%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.18%	0.00%	0.42%	1.09%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	0.62%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.24%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.86%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2107	10	73	32	47	118	4	65	56	84	54	44	61	54	20	19	58	68	84	58	93	66	10	9	0	15	7	25	5	20	9	6	45	11	12	37	11	17	5	63	4	25	12	36	4	9	2	2	6	35	7	33	16	8	9	7	4	81	19	14	14	1	0	42	18	21	11	40	12	33	27	6	2	1	4	17	6	21	15	7	1					
		8.40%	9.35%	10.72%	9.20%	10.73%	14.64%	3.01%	10.32%	8.02%	9.30%	8.12%	7.65%	8.27%	7.03%	10.87%	30.16%	8.25%	9.99%	9.29%	9.03%	13.03%	11.36%	3.53%	6.08%	0.00%	5.56%	12.96%	11.47%	6.58%	10.75%	8.65%	10.34%	11.22%	12.09%	6.70%	8.26%	8.40%	4.52%	7.69%	11.45%	3.70%	5.27%	6.56%	11.36%	4.00%	7.83%	1.80%	1.42%	6.06%	11.63%	7.14%	8.11%	6.45%	9.52%	4.55%	14.29%	0.79%	9.90%	5.88%	4.23%	4.55%	1.18%	0.00%	7.61%	9.68%	9.77%	3.73%	6.59%	6.19%	7.76%	11.44%	4.23%	3.92%	4.55%	4.94%	6.42%	5.77%	5.04%	12.93%	12.50%	2.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1020	4	24	10	22	34	2	44	37	41	31	28	33	48	9	3	34	29	46	41	44	32	7	14	1	0	0	9	0	14	4	0	17	4	2	26	12	15	1	13	2	20	5	14	2	1	5	5	2	10	2	6	4	0	9	2	17	26	10	5	8	5	0	23	3	6	14	19	6	8	6	0	0	0	2	22	3	5	3	0	5					
		4.07%	3.74%	3.52%	2.87%	5.02%	4.22%	1.50%	6.98%	5.30%	4.54%	4.66%	4.87%	4.47%	6.25%	4.89%	4.76%	4.84%	4.26%	5.09%	6.39%	6.16%	5.51%	2.47%	9.46%	2.56%	0.00%	0.00%	4.13%	0.00%	7.53%	3.85%	0.00%	4.24%	4.40%	1.12%	5.80%	9.16%	3.99%	1.54%	2.36%	1.85%	4.22%	2.73%	4.42%	2.00%	0.87%	4.50%	3.55%	2.02%	3.32%	2.04%	1.47%	1.61%	0.00%	4.55%	4.08%	3.34%	3.18%	3.10%	1.51%	2.60%	5.88%	0.00%	4.17%	1.61%	2.79%	4.75%	3.13%	3.09%	1.88%	2.54%	0.00%	0.00%	0.00%	2.47%	8.30%	2.88%	1.20%	2.59%	0.00%	10.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	127	0	3	2	3	4	2	9	5	1	1	4	2	3	0	0	5	1	6	6	3	2	3	0	1	0	1	2	1	3	0	0	2	0	1	2	2	1	0	0	0	1	0	3	1	0	1	0	0	1	0	6	0	1	1	0	2	5	0	0	0	1	0	4	0	1	1	2	1	1	3	0	0	0	0	3	0	4	0	1	2					
		0.51%	0.00%	0.44%	0.57%	0.68%	0.50%	1.50%	1.43%	0.72%	0.11%	0.15%	0.70%	0.27%	0.39%	0.00%	0.00%	0.71%	0.15%	0.66%	0.93%	0.42%	0.34%	1.06%	0.00%	2.56%	0.00%	1.85%	0.92%	1.32%	1.61%	0.00%	0.00%	0.50%	0.00%	0.56%	0.45%	1.53%	0.27%	0.00%	0.00%	0.00%	0.21%	0.00%	0.95%	1.00%	0.00%	0.90%	0.00%	0.00%	0.33%	0.00%	1.47%	0.00%	1.19%	0.51%	0.00%	0.39%	0.61%	0.00%	0.00%	0.00%	1.18%	0.00%	0.72%	0.00%	0.47%	0.34%	0.33%	0.52%	0.24%	1.27%	0.00%	0.00%	0.00%	0.00%	1.13%	0.00%	0.96%	0.00%	1.79%	4.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	17179	76	452	244	280	487	108	372	478	614	420	398	436	509	118	34	461	464	601	383	470	377	222	109	31	231	40	154	64	129	83	48	273	54	136	270	83	257	34	403	85	312	138	229	81	93	76	111	74	165	77	299	194	65	157	30	322	603	247	284	217	65	16	328	117	145	223	398	155	337	149	121	46	15	66	186	78	321	73	42	36					
		68.49%	71.03%	66.37%	70.11%	63.93%	60.42%	81.20%	59.05%	68.48%	67.99%	63.16%	69.22%	59.08%	66.28%	64.13%	53.97%	65.58%	68.14%	66.48%	59.66%	65.83%	64.89%	78.45%	73.65%	79.49%	85.56%	74.07%	70.64%	84.21%	69.35%	79.81%	82.76%	68.08%	59.34%	75.98%	60.27%	63.36%	68.35%	52.31%	73.27%	78.70%	65.82%	75.41%	72.24%	81.00%	80.87%	68.47%	78.72%	74.75%	54.82%	78.57%	73.46%	78.23%	77.38%	79.29%	61.22%	63.26%	73.72%	76.47%	85.80%	70.45%	76.47%	69.57%	59.42%	62.90%	67.44%	75.59%	65.57%	79.90%	79.29%	63.14%	85.21%	90.20%	68.18%	81.48%	70.19%	75.00%	76.98%	62.93%	75.00%	72.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	181	0	3	1	7	6	2	6	10	10	9	12	17	6	2	0	2	8	10	5	5	8	2	0	0	0	1	1	0	3	0	0	3	0	0	1	1	0	0	3	4	1	2	2	0	1	0	0	0	1	0	3	0	0	1	0	1	4	3	1	0	1	0	0	2	0	4	0	1	1	1	0	0	0	0	0	0	1	2	0	0					
		0.72%	0.00%	0.44%	0.29%	1.60%	0.74%	1.50%	0.95%	1.43%	1.11%	1.35%	2.09%	2.30%	0.78%	1.09%	0.00%	0.28%	1.17%	1.11%	0.78%	0.70%	1.38%	0.71%	0.00%	0.00%	0.00%	1.85%	0.46%	0.00%	1.61%	0.00%	0.00%	0.75%	0.00%	0.00%	0.22%	0.76%	0.00%	0.00%	0.55%	3.70%	0.21%	1.09%	0.63%	0.00%	0.87%	0.00%	0.00%	0.00%	0.33%	0.00%	0.74%	0.00%	0.00%	0.51%	0.00%	0.20%	0.49%	0.93%	0.30%	0.00%	1.18%	0.00%	0.00%	1.08%	0.00%	1.36%	0.00%	0.52%	0.24%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	1.72%	0.00%	0.00%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
