Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Тарская																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	637	15	5	10	12	0	15	17	15	20	15	26	25	10	10	55	25	13	20	25	0	0	6	2	2	5	3	10	2	10	4	1	10	6	7	12	1	2	3	15	5	6	4	10	2	2	2	2	2	5	2	2	5	3	2	7	3	10	8	2	7	10	3	5	2	3	20	2	0	4	5	0	15	10	5	10	0	1	12	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	431	11	2	7	10	0	7	16	15	19	13	26	21	7	7	41	22	11	17	22	0	0	2	1	0	0	0	10	1	10	0	0	9	5	7	7	1	1	0	5	5	5	2	5	0	0	0	0	0	0	0	0	2	0	0	0	0	5	6	1	5	10	0	2	0	0	11	0	0	2	3	0	6	5	3	10	0	0	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	373	6	0	2	3	1	10	8	10	6	10	18	10	14	8	9	15	7	11	4	2	37	3	0	0	2	1	5	0	3	1	1	6	5	0	3	1	1	0	3	0	2	1	3	0	1	0	1	0	5	1	2	1	2	1	3	0	4	2	1	5	8	1	3	2	3	2	1	1	4	2	70	1	3	3	1	1	0	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	206	4	3	3	2	0	8	1	0	1	2	0	4	3	3	14	3	2	3	3	0	0	4	1	2	5	3	0	1	0	4	1	1	1	0	5	0	1	3	10	0	1	2	5	2	2	2	2	2	5	2	2	3	3	2	7	3	5	2	1	2	0	3	3	2	3	9	2	0	2	2	0	9	5	2	0	0	1	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	2	0	1	0	2	2	5	1	1	0	3	0	5	1	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2325	76	22	28	89	30	75	77	90	61	76	85	89	36	60	66	73	63	78	84	12	1	16	25	6	10	4	23	1	8	5	2	35	9	11	31	7	43	3	61	8	57	6	26	17	6	5	9	3	28	4	3	30	29	5	14	0	26	33	9	30	39	24	3	2	6	43	10	17	25	27	17	70	32	27	14	0	6	28	16					
		10.80%	12.82%	9.32%	8.54%	12.70%	18.87%	13.69%	13.41%	11.46%	10.68%	13.94%	11.82%	13.69%	9.86%	18.35%	12.36%	10.41%	13.61%	12.02%	15.79%	10.08%	1.75%	6.43%	15.34%	16.67%	3.69%	7.69%	11.98%	2.86%	5.63%	5.21%	4.88%	8.73%	10.47%	6.67%	7.91%	5.79%	12.65%	5.56%	13.26%	8.16%	15.12%	4.80%	10.83%	25.37%	6.59%	5.75%	7.26%	3.90%	7.87%	4.04%	5.88%	9.20%	13.18%	6.33%	7.95%	0.00%	6.28%	12.79%	10.98%	13.04%	6.94%	10.53%	2.11%	5.00%	7.89%	9.39%	6.21%	9.14%	7.84%	10.89%	8.99%	11.49%	12.90%	7.50%	5.41%	0.00%	9.68%	12.96%	20.25%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3237	124	44	58	116	16	90	98	113	69	71	100	80	70	52	79	116	65	98	79	29	24	28	19	0	19	15	31	5	21	8	12	89	15	44	44	20	39	4	79	9	47	18	57	4	13	1	6	6	42	27	10	62	37	18	19	11	8	57	11	6	72	26	17	0	4	72	21	48	44	41	47	106	42	55	32	0	5	32	21					
		15.03%	20.91%	18.64%	17.68%	16.55%	10.06%	16.42%	17.07%	14.39%	12.08%	13.03%	13.91%	12.31%	19.18%	15.90%	14.79%	16.55%	14.04%	15.10%	14.85%	24.37%	42.11%	11.24%	11.66%	0.00%	7.01%	28.85%	16.15%	14.29%	14.79%	8.33%	29.27%	22.19%	17.44%	26.67%	11.22%	16.53%	11.47%	7.41%	17.17%	9.18%	12.47%	14.40%	23.75%	5.97%	14.29%	1.15%	4.84%	7.79%	11.80%	27.27%	19.61%	19.02%	16.82%	22.78%	10.80%	28.95%	1.93%	22.09%	13.41%	2.61%	12.81%	11.40%	11.97%	0.00%	5.26%	15.72%	13.04%	25.81%	13.79%	16.53%	24.87%	17.41%	16.94%	15.28%	12.36%	0.00%	8.06%	14.81%	26.58%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	204	7	3	4	5	13	7	4	9	8	5	7	4	3	2	4	3	6	3	5	1	0	4	2	0	4	0	2	0	1	0	0	3	0	2	1	1	3	0	1	0	7	0	2	1	0	1	1	0	1	0	0	3	2	0	4	0	3	1	0	3	1	15	1	0	0	3	1	0	4	4	3	5	5	4	1	1	0	0	0					
		0.95%	1.18%	1.27%	1.22%	0.71%	8.18%	1.28%	0.70%	1.15%	1.40%	0.92%	0.97%	0.62%	0.82%	0.61%	0.75%	0.43%	1.30%	0.46%	0.94%	0.84%	0.00%	1.61%	1.23%	0.00%	1.48%	0.00%	1.04%	0.00%	0.70%	0.00%	0.00%	0.75%	0.00%	1.21%	0.26%	0.83%	0.88%	0.00%	0.22%	0.00%	1.86%	0.00%	0.83%	1.49%	0.00%	1.15%	0.81%	0.00%	0.28%	0.00%	0.00%	0.92%	0.91%	0.00%	2.27%	0.00%	0.72%	0.39%	0.00%	1.30%	0.18%	6.58%	0.70%	0.00%	0.00%	0.66%	0.62%	0.00%	1.25%	1.61%	1.59%	0.82%	2.02%	1.11%	0.39%	4.55%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4708	140	64	73	196	14	149	150	217	176	121	235	179	99	80	124	190	118	131	126	20	7	40	5	0	15	0	24	3	25	14	4	53	13	26	116	27	106	17	81	8	99	11	42	11	5	13	31	11	72	14	7	38	24	2	23	6	131	66	12	44	142	33	11	5	7	143	51	25	80	39	34	96	35	33	57	4	13	47	5					
		21.87%	23.61%	27.12%	22.26%	27.96%	8.81%	27.19%	26.13%	27.64%	30.82%	22.20%	32.68%	27.54%	27.12%	24.46%	23.22%	27.10%	25.49%	20.18%	23.68%	16.81%	12.28%	16.06%	3.07%	0.00%	5.54%	0.00%	12.50%	8.57%	17.61%	14.58%	9.76%	13.22%	15.12%	15.76%	29.59%	22.31%	31.18%	31.48%	17.61%	8.16%	26.26%	8.80%	17.50%	16.42%	5.49%	14.94%	25.00%	14.29%	20.22%	14.14%	13.73%	11.66%	10.91%	2.53%	13.07%	15.79%	31.64%	25.58%	14.63%	19.13%	25.27%	14.47%	7.75%	12.50%	9.21%	31.22%	31.68%	13.44%	25.08%	15.73%	17.99%	15.76%	14.11%	9.17%	22.01%	18.18%	20.97%	21.76%	6.33%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	352	10	1	7	14	3	12	10	20	15	16	21	26	7	0	16	16	17	14	15	0	0	3	0	0	3	2	0	0	4	1	0	2	0	0	1	1	3	0	5	4	5	0	5	0	0	0	2	0	3	1	0	2	2	0	0	1	4	4	2	2	2	6	2	1	0	5	3	0	5	0	7	3	6	5	1	0	2	2	0					
		1.63%	1.69%	0.42%	2.13%	1.99%	1.89%	2.19%	1.74%	2.55%	2.63%	2.94%	2.92%	4.00%	1.92%	0.00%	2.99%	2.28%	3.67%	2.16%	2.82%	0.00%	0.00%	1.20%	0.00%	0.00%	1.11%	3.85%	0.00%	0.00%	2.82%	1.04%	0.00%	0.50%	0.00%	0.00%	0.26%	0.83%	0.88%	0.00%	1.09%	4.08%	1.33%	0.00%	2.08%	0.00%	0.00%	0.00%	1.61%	0.00%	0.84%	1.01%	0.00%	0.61%	0.91%	0.00%	0.00%	2.63%	0.97%	1.55%	2.44%	0.87%	0.36%	2.63%	1.41%	2.50%	0.00%	1.09%	1.86%	0.00%	1.57%	0.00%	3.70%	0.49%	2.42%	1.39%	0.39%	0.00%	3.23%	0.93%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10217	221	93	151	263	49	207	225	319	228	238	256	262	135	128	236	289	181	314	207	50	22	157	112	29	218	31	109	26	82	67	21	211	48	72	188	63	144	29	224	66	159	86	105	30	67	65	71	56	205	52	31	183	121	54	113	19	233	86	48	140	298	110	108	32	59	184	74	93	152	136	73	313	122	224	149	17	36	105	37					
		47.45%	37.27%	39.41%	46.04%	37.52%	30.82%	37.77%	39.20%	40.64%	39.93%	43.67%	35.61%	40.31%	36.99%	39.14%	44.19%	41.23%	39.09%	48.38%	38.91%	42.02%	38.60%	63.05%	68.71%	80.56%	80.44%	59.62%	56.77%	74.29%	57.75%	69.79%	51.22%	52.62%	55.81%	43.64%	47.96%	52.07%	42.35%	53.70%	48.70%	67.35%	42.18%	68.80%	43.75%	44.78%	73.63%	74.71%	57.26%	72.73%	57.58%	52.53%	60.78%	56.13%	55.00%	68.35%	64.20%	50.00%	56.28%	33.33%	58.54%	60.87%	53.02%	48.25%	76.06%	80.00%	77.63%	40.17%	45.96%	50.00%	47.65%	54.84%	38.62%	51.40%	49.19%	62.22%	57.53%	77.27%	58.06%	48.61%	46.84%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	131	3	3	2	2	6	1	4	6	3	7	5	4	1	2	4	4	6	2	5	3	0	0	0	1	1	0	0	0	0	1	1	3	0	0	3	1	2	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	3	0	1	1	0	0	0	1	3	9	0	0	0	1	0	2	1	0	5	4	2	4	3	0	0	0	0					
		0.61%	0.51%	1.27%	0.61%	0.29%	3.77%	0.18%	0.70%	0.76%	0.53%	1.28%	0.70%	0.62%	0.27%	0.61%	0.75%	0.57%	1.30%	0.31%	0.94%	2.52%	0.00%	0.00%	0.00%	2.78%	0.37%	0.00%	0.00%	0.00%	0.00%	1.04%	2.44%	0.75%	0.00%	0.00%	0.77%	0.83%	0.59%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.81%	1.30%	0.00%	0.00%	0.00%	0.31%	1.36%	0.00%	0.57%	2.63%	0.00%	0.00%	0.00%	0.43%	0.53%	3.95%	0.00%	0.00%	0.00%	0.22%	0.00%	1.08%	0.31%	0.00%	2.65%	0.66%	0.81%	1.11%	1.16%	0.00%	0.00%	0.00%	0.00%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
