Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4497	60	100	100	50	100	50	50	40	50	100	50	50	100	50	100	100	100	50	0	0	0	50	100	50	100	50	50	50	50	100	0	40	10	50	100	50	100	100	100	100	100	0	50	100	100	100	50	100	50	100	100	50	50	50	100	50	100	50	100	100	50	50	100	100	47	100					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1057	14	14	28	19	11	11	10	14	13	16	20	11	22	25	26	18	19	11	0	0	0	10	19	11	19	15	15	15	12	30	0	23	1	15	14	15	13	21	26	25	16	0	17	20	21	14	28	13	15	20	18	18	4	18	25	12	9	11	19	11	12	13	34	22	23	43					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	939	15	12	0	13	18	5	9	12	2	15	15	23	11	15	15	15	17	5	14	19	32	7	12	3	16	15	10	11	6	23	24	8	6	12	15	17	12	7	10	23	6	30	21	13	18	12	16	13	20	16	22	9	1	7	18	10	14	8	15	13	22	19	56	9	12	20					
14	Число погашенных неиспользованных открепительных удостоверений	3440	46	86	72	31	89	39	40	26	37	84	30	39	78	25	74	82	81	39	0	0	0	40	81	39	81	35	35	35	38	70	0	17	9	35	86	35	87	79	74	75	84	0	33	80	79	86	22	87	35	80	82	32	46	32	75	38	91	39	81	89	38	37	66	78	24	57					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
18	1.Политическая партия «Аграрная партия России»	865	27	13	16	12	16	4	6	12	8	20	13	9	16	20	19	24	16	4	1	2	13	16	9	16	15	14	12	3	7	23	1	14	8	13	17	15	17	8	24	19	18	2	4	14	23	15	10	16	13	16	21	14	3	11	20	8	7	14	19	20	13	6	22	16	8	10					
		1.26%	2.63%	1.41%	1.30%	0.96%	1.22%	1.01%	0.87%	1.57%	0.98%	2.06%	1.14%	0.99%	1.62%	2.67%	1.25%	1.64%	1.31%	0.78%	1.08%	1.94%	3.23%	1.56%	0.64%	2.13%	1.44%	1.66%	1.07%	0.34%	1.11%	1.46%	1.05%	1.38%	2.51%	1.26%	1.80%	1.51%	1.11%	0.78%	1.50%	1.20%	1.06%	0.61%	0.56%	1.01%	1.60%	1.16%	0.98%	1.25%	1.15%	1.65%	1.47%	1.29%	0.48%	1.01%	1.57%	0.91%	0.66%	1.19%	1.63%	1.29%	1.32%	0.76%	1.08%	1.02%	0.69%	0.69%					
19	2.Всероссийская политическая партия «Гражданская Сила»	445	4	5	11	10	7	1	4	10	4	5	4	5	2	3	10	7	8	3	0	0	0	4	12	5	7	2	10	3	1	9	0	6	3	17	5	8	11	7	9	16	12	2	4	3	16	8	8	14	9	4	11	5	0	10	5	9	6	7	13	12	6	1	8	11	11	12					
		0.65%	0.39%	0.54%	0.89%	0.80%	0.53%	0.25%	0.58%	1.31%	0.49%	0.51%	0.35%	0.55%	0.20%	0.40%	0.66%	0.48%	0.66%	0.58%	0.00%	0.00%	0.00%	0.39%	0.85%	0.67%	0.67%	0.24%	0.90%	0.34%	0.16%	0.57%	0.00%	0.59%	0.94%	1.65%	0.53%	0.80%	0.72%	0.68%	0.56%	1.01%	0.71%	0.61%	0.56%	0.22%	1.11%	0.62%	0.79%	1.09%	0.79%	0.41%	0.77%	0.46%	0.00%	0.91%	0.39%	1.02%	0.56%	0.59%	1.11%	0.77%	0.61%	0.13%	0.39%	0.70%	0.95%	0.83%					
20	3.Политическая партия «Демократическая партия России»	115	0	0	5	2	1	2	1	2	1	3	1	0	1	5	1	3	2	2	0	0	1	2	1	8	7	2	4	2	1	1	0	1	1	0	0	2	1	1	0	2	2	3	2	1	2	1	1	3	2	0	3	1	0	0	3	3	3	0	0	1	2	2	5	2	2	2					
		0.17%	0.00%	0.00%	0.41%	0.16%	0.08%	0.51%	0.15%	0.26%	0.12%	0.31%	0.09%	0.00%	0.10%	0.67%	0.07%	0.20%	0.16%	0.39%	0.00%	0.00%	0.25%	0.19%	0.07%	1.07%	0.67%	0.24%	0.36%	0.23%	0.16%	0.06%	0.00%	0.10%	0.31%	0.00%	0.00%	0.20%	0.07%	0.10%	0.00%	0.13%	0.12%	0.91%	0.28%	0.07%	0.14%	0.08%	0.10%	0.23%	0.18%	0.00%	0.21%	0.09%	0.00%	0.00%	0.24%	0.34%	0.28%	0.00%	0.00%	0.06%	0.20%	0.25%	0.24%	0.13%	0.17%	0.14%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10397	198	156	220	184	180	32	78	129	186	190	197	134	139	136	271	197	245	69	4	19	93	211	288	117	176	68	215	86	68	265	4	204	63	181	176	119	267	163	315	278	330	46	107	220	245	176	179	221	207	196	227	125	66	178	201	134	124	181	171	233	107	53	51	116	109	73					
		15.18%	19.26%	16.97%	17.87%	14.79%	13.69%	8.10%	11.34%	16.91%	22.79%	19.57%	17.30%	14.79%	14.05%	18.13%	17.82%	13.45%	20.07%	13.42%	4.30%	18.45%	23.08%	20.57%	20.48%	15.60%	16.86%	8.06%	19.25%	9.85%	10.74%	16.85%	4.21%	20.16%	19.75%	17.52%	18.66%	11.97%	17.41%	15.87%	19.70%	17.51%	19.45%	14.02%	14.90%	15.82%	17.04%	13.65%	17.58%	17.28%	18.27%	20.19%	15.90%	11.53%	10.54%	16.29%	15.81%	15.19%	11.65%	15.38%	14.64%	15.04%	10.85%	6.75%	2.49%	7.39%	9.45%	5.06%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	821	11	14	14	18	22	4	17	12	12	14	21	13	16	15	32	16	16	5	2	1	2	14	23	8	11	7	27	10	7	19	0	20	1	10	17	12	28	8	29	8	17	4	7	26	21	12	12	12	18	11	22	10	0	10	15	19	7	8	6	23	1	5	7	0	5	7					
		1.20%	1.07%	1.52%	1.14%	1.45%	1.67%	1.01%	2.47%	1.57%	1.47%	1.44%	1.84%	1.43%	1.62%	2.00%	2.10%	1.09%	1.31%	0.97%	2.15%	0.97%	0.50%	1.36%	1.64%	1.07%	1.05%	0.83%	2.42%	1.15%	1.11%	1.21%	0.00%	1.98%	0.31%	0.97%	1.80%	1.21%	1.83%	0.78%	1.81%	0.50%	1.00%	1.22%	0.97%	1.87%	1.46%	0.93%	1.18%	0.94%	1.59%	1.13%	1.54%	0.92%	0.00%	0.91%	1.18%	2.15%	0.66%	0.68%	0.51%	1.48%	0.10%	0.64%	0.34%	0.00%	0.43%	0.48%					
23	6.Политическая партия «Партия социальной справедливости»	108	3	1	2	2	1	0	1	0	2	1	3	1	1	1	0	1	5	2	0	0	0	3	1	2	2	1	1	3	1	6	1	4	1	2	1	0	2	2	3	3	0	2	1	2	2	2	3	0	1	1	3	0	2	1	0	0	0	2	3	3	0	0	4	6	0	4					
		0.16%	0.29%	0.11%	0.16%	0.16%	0.08%	0.00%	0.15%	0.00%	0.25%	0.10%	0.26%	0.11%	0.10%	0.13%	0.00%	0.07%	0.41%	0.39%	0.00%	0.00%	0.00%	0.29%	0.07%	0.27%	0.19%	0.12%	0.09%	0.34%	0.16%	0.38%	1.05%	0.40%	0.31%	0.19%	0.11%	0.00%	0.13%	0.19%	0.19%	0.19%	0.00%	0.61%	0.14%	0.14%	0.14%	0.16%	0.29%	0.00%	0.09%	0.10%	0.21%	0.00%	0.32%	0.09%	0.00%	0.00%	0.00%	0.17%	0.26%	0.19%	0.00%	0.00%	0.20%	0.38%	0.00%	0.28%					
24	7.Политическая партия «Либерально-демократическая партия России»	5773	84	59	78	102	103	24	61	47	53	60	96	56	76	37	87	118	87	51	4	5	27	80	123	46	73	38	69	72	57	127	18	83	12	85	70	80	136	53	119	124	131	20	60	109	107	120	87	114	86	86	139	103	38	99	102	66	104	84	93	134	77	75	350	225	195	189					
		8.43%	8.17%	6.42%	6.34%	8.20%	7.83%	6.08%	8.87%	6.16%	6.50%	6.18%	8.43%	6.18%	7.68%	4.93%	5.72%	8.05%	7.13%	9.92%	4.30%	4.85%	6.70%	7.80%	8.75%	6.13%	6.99%	4.50%	6.18%	8.25%	9.00%	8.07%	18.95%	8.20%	3.76%	8.23%	7.42%	8.05%	8.87%	5.16%	7.44%	7.81%	7.72%	6.10%	8.36%	7.84%	7.44%	9.31%	8.55%	8.91%	7.59%	8.86%	9.73%	9.50%	6.07%	9.06%	8.03%	7.48%	9.77%	7.14%	7.96%	8.65%	7.81%	9.55%	17.11%	14.34%	16.90%	13.09%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8324	141	152	174	175	180	41	78	122	106	132	142	136	138	134	233	215	152	49	14	18	45	145	191	120	144	90	171	82	47	160	9	126	45	143	140	87	203	121	180	192	214	32	90	200	216	186	150	172	179	139	169	98	37	145	139	115	111	119	129	226	65	51	48	106	114	101					
		12.16%	13.72%	16.54%	14.13%	14.07%	13.69%	10.38%	11.34%	15.99%	12.99%	13.59%	12.47%	15.01%	13.95%	17.87%	15.32%	14.68%	12.45%	9.53%	15.05%	17.48%	11.17%	14.13%	13.58%	16.00%	13.79%	10.66%	15.31%	9.39%	7.42%	10.17%	9.47%	12.45%	14.11%	13.84%	14.85%	8.75%	13.23%	11.78%	11.26%	12.09%	12.61%	9.76%	12.53%	14.38%	15.02%	14.43%	14.73%	13.45%	15.80%	14.32%	11.83%	9.04%	5.91%	13.27%	10.94%	13.04%	10.43%	10.11%	11.04%	14.59%	6.59%	6.50%	2.35%	6.76%	9.88%	6.99%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	418	8	5	10	14	10	2	4	4	4	7	4	7	4	10	12	3	5	6	0	1	2	5	15	2	7	9	9	6	5	14	1	2	1	9	4	9	7	3	13	11	9	2	6	5	6	5	15	5	0	7	8	4	6	6	6	1	0	5	9	5	1	9	9	8	12	15					
		0.61%	0.78%	0.54%	0.81%	1.13%	0.76%	0.51%	0.58%	0.52%	0.49%	0.72%	0.35%	0.77%	0.40%	1.33%	0.79%	0.20%	0.41%	1.17%	0.00%	0.97%	0.50%	0.49%	1.07%	0.27%	0.67%	1.07%	0.81%	0.69%	0.79%	0.89%	1.05%	0.20%	0.31%	0.87%	0.42%	0.91%	0.46%	0.29%	0.81%	0.69%	0.53%	0.61%	0.84%	0.36%	0.42%	0.39%	1.47%	0.39%	0.00%	0.72%	0.56%	0.37%	0.96%	0.55%	0.47%	0.11%	0.00%	0.42%	0.77%	0.32%	0.10%	1.15%	0.44%	0.51%	1.04%	1.04%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	38324	518	485	648	680	743	259	416	384	407	474	612	496	556	364	798	791	620	303	67	53	210	490	672	386	552	589	544	569	411	877	59	530	158	530	465	652	792	623	803	857	887	204	401	755	726	705	520	668	551	472	761	694	448	588	728	482	673	719	691	844	650	541	1479	1034	677	983					
		55.97%	50.39%	52.77%	52.64%	54.66%	56.50%	65.57%	60.47%	50.33%	49.88%	48.82%	53.73%	54.75%	56.22%	48.53%	52.47%	53.99%	50.78%	58.95%	72.04%	51.46%	52.11%	47.76%	47.80%	51.47%	52.87%	69.79%	48.70%	65.18%	64.93%	55.75%	62.11%	52.37%	49.53%	51.31%	49.31%	65.59%	51.63%	60.66%	50.22%	53.97%	52.27%	62.20%	55.85%	54.28%	50.49%	54.69%	51.08%	52.23%	48.63%	48.61%	53.29%	64.02%	71.57%	53.80%	57.28%	54.65%	63.25%	61.09%	59.16%	54.49%	65.92%	68.92%	72.32%	65.90%	58.67%	68.07%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1286	18	15	32	20	34	4	7	16	31	32	23	29	21	13	39	34	39	4	0	2	1	27	40	14	22	19	33	11	7	31	1	22	4	22	27	7	35	9	35	42	51	4	11	30	27	36	15	28	32	19	31	5	1	20	23	25	5	7	9	33	6	2	10	7	7	20					
		1.88%	1.75%	1.63%	2.60%	1.61%	2.59%	1.01%	1.02%	2.10%	3.80%	3.30%	2.02%	3.20%	2.12%	1.73%	2.56%	2.32%	3.19%	0.78%	0.00%	1.94%	0.25%	2.63%	2.84%	1.87%	2.11%	2.25%	2.95%	1.26%	1.11%	1.97%	1.05%	2.17%	1.25%	2.13%	2.86%	0.70%	2.28%	0.88%	2.19%	2.64%	3.01%	1.22%	1.53%	2.16%	1.88%	2.79%	1.47%	2.19%	2.82%	1.96%	2.17%	0.46%	0.16%	1.83%	1.81%	2.83%	0.47%	0.59%	0.77%	2.13%	0.61%	0.25%	0.49%	0.45%	0.61%	1.39%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
