Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3439	36	30	35	45	30	40	50	50	60	50	50	30	0	0	0	50	50	35	30	80	50	0	50	40	50	50	50	88	50	80	50	20	80	60	50	80	80	60	80	60	50	50	50	60	0	70	10	40	50	60	80	10	0	0	60	60	0	60	80	60	80	50	50	30	30	80	30	80	80	100	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2106	30	24	28	43	29	34	43	38	54	14	28	22	0	0	0	31	49	33	30	64	27	0	46	27	40	19	38	85	35	44	26	16	22	39	32	17	40	34	28	52	47	23	29	47	0	60	1	35	39	24	27	0	0	0	40	36	0	41	43	20	36	42	38	17	23	31	22	5	17	34	26	42					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1872	228	0	14	21	33	23	27	16	19	13	10	15	4	4	53	29	44	21	35	38	11	8	83	16	20	20	29	19	23	36	22	31	28	25	25	23	16	11	25	40	26	38	16	20	7	28	24	19	40	36	25	16	17	5	27	15	22	31	22	17	9	14	24	7	11	56	46	12	17	20	19	28					
14	Число погашенных неиспользованных открепительных удостоверений	1333	6	6	7	2	1	6	7	12	6	36	22	8	0	0	0	19	1	2	0	16	23	0	4	13	10	31	12	3	15	36	24	4	58	21	18	63	40	26	52	8	3	27	21	13	0	10	9	5	11	36	53	10	0	0	20	24	0	19	37	40	44	8	12	13	7	49	8	75	63	66	24	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	2	0	1	0	0	1	0	0	1	1	2	0	0	0	0	0	2	0	0	0	2	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8338	126	96	112	144	145	125	163	92	172	90	105	93	19	11	71	164	163	115	136	214	178	3	114	96	120	112	142	146	141	155	96	55	184	115	144	102	183	176	119	184	96	151	159	166	8	166	23	156	182	141	174	9	24	10	128	121	8	148	151	116	108	48	71	96	85	145	152	65	53	172	136	149					
		13.05%	11.29%	14.81%	14.27%	13.73%	15.12%	13.86%	13.92%	11.34%	13.67%	14.17%	11.64%	11.19%	12.50%	14.67%	13.92%	15.91%	11.27%	13.26%	16.06%	15.84%	13.60%	9.38%	12.17%	14.50%	12.15%	12.00%	14.92%	14.56%	14.23%	13.43%	11.62%	7.89%	13.64%	15.23%	15.13%	10.90%	15.29%	17.37%	12.99%	14.35%	10.25%	14.14%	14.67%	12.73%	7.02%	12.57%	6.73%	11.33%	15.54%	12.07%	14.49%	10.00%	11.27%	14.29%	11.55%	11.93%	16.67%	12.90%	14.62%	14.04%	12.07%	6.45%	12.03%	14.66%	9.28%	16.00%	16.87%	6.21%	8.40%	12.81%	13.88%	10.55%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6474	78	58	52	94	91	92	127	46	117	80	97	90	11	0	37	74	109	68	77	95	116	1	58	66	78	84	84	59	92	135	101	61	114	66	96	112	125	97	73	101	83	96	86	124	22	214	18	83	100	115	124	4	20	8	113	99	9	118	104	56	98	45	46	54	97	112	120	200	120	308	201	265					
		10.13%	6.99%	8.95%	6.62%	8.96%	9.49%	10.20%	10.85%	5.67%	9.30%	12.60%	10.75%	10.83%	7.24%	0.00%	7.25%	7.18%	7.54%	7.84%	9.09%	7.03%	8.86%	3.13%	6.19%	9.97%	7.89%	9.00%	8.82%	5.88%	9.28%	11.70%	12.23%	8.75%	8.45%	8.74%	10.08%	11.97%	10.44%	9.58%	7.97%	7.88%	8.86%	8.99%	7.93%	9.51%	19.30%	16.20%	5.26%	6.03%	8.54%	9.85%	10.32%	4.44%	9.39%	11.43%	10.20%	9.76%	18.75%	10.29%	10.07%	6.78%	10.95%	6.05%	7.80%	8.24%	10.59%	12.36%	13.32%	19.10%	19.02%	22.93%	20.51%	18.77%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	658	7	0	3	8	13	11	22	9	18	6	6	7	1	0	7	8	3	11	5	8	13	1	7	4	4	9	9	11	8	14	2	3	10	3	12	12	12	6	6	16	4	8	11	13	4	15	6	10	9	15	14	0	2	0	13	17	1	17	6	7	2	6	7	9	17	13	11	10	5	29	46	16					
		1.03%	0.63%	0.00%	0.38%	0.76%	1.36%	1.22%	1.88%	1.11%	1.43%	0.94%	0.67%	0.84%	0.66%	0.00%	1.37%	0.78%	0.21%	1.27%	0.59%	0.59%	0.99%	3.13%	0.75%	0.60%	0.40%	0.96%	0.95%	1.10%	0.81%	1.21%	0.24%	0.43%	0.74%	0.40%	1.26%	1.28%	1.00%	0.59%	0.66%	1.25%	0.43%	0.75%	1.01%	0.99%	3.51%	1.14%	1.75%	0.73%	0.77%	1.28%	1.17%	0.00%	0.94%	0.00%	1.17%	1.68%	2.08%	1.48%	0.58%	0.85%	0.22%	0.81%	1.19%	1.37%	1.86%	1.43%	1.22%	0.96%	0.79%	2.16%	4.69%	1.13%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	19474	303	262	296	336	282	270	376	265	450	191	240	234	30	28	188	360	430	292	268	497	313	6	318	234	318	321	346	312	361	373	206	121	406	278	332	312	451	350	321	441	339	385	422	469	21	356	105	171	412	417	405	16	71	5	350	288	7	406	379	277	244	167	161	227	240	185	165	140	100	315	278	233					
		30.48%	27.15%	40.43%	37.71%	32.03%	29.41%	29.93%	32.11%	32.68%	35.77%	30.08%	26.61%	28.16%	19.74%	37.33%	36.86%	34.92%	29.74%	33.68%	31.64%	36.79%	23.91%	18.75%	33.94%	35.35%	32.19%	34.41%	36.34%	31.11%	36.43%	32.32%	24.94%	17.36%	30.10%	36.82%	34.87%	33.33%	37.68%	34.55%	35.04%	34.40%	36.18%	36.05%	38.93%	35.97%	18.42%	26.95%	30.70%	12.42%	35.18%	35.70%	33.72%	17.78%	33.33%	7.14%	31.59%	28.40%	14.58%	35.40%	36.69%	33.54%	27.26%	22.45%	27.29%	34.66%	26.20%	20.42%	18.31%	13.37%	15.85%	23.45%	28.37%	16.50%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2303	45	32	48	53	46	25	44	39	46	23	5	23	3	1	4	52	56	26	32	59	41	0	26	26	39	34	65	39	62	47	22	9	27	21	44	16	52	46	35	56	59	43	56	44	3	39	3	62	44	38	41	1	7	2	43	54	0	47	48	40	27	6	21	36	30	19	7	12	13	21	29	39					
		3.60%	4.03%	4.94%	6.11%	5.05%	4.80%	2.77%	3.76%	4.81%	3.66%	3.62%	0.55%	2.77%	1.97%	1.33%	0.78%	5.04%	3.87%	2.99%	3.78%	4.37%	3.13%	0.00%	2.77%	3.93%	3.95%	3.64%	6.83%	3.89%	6.26%	4.07%	2.66%	1.29%	2.00%	2.78%	4.62%	1.71%	4.34%	4.54%	3.82%	4.37%	6.30%	4.03%	5.17%	3.37%	2.63%	2.95%	0.88%	4.50%	3.76%	3.25%	3.41%	1.11%	3.29%	2.86%	3.88%	5.33%	0.00%	4.10%	4.65%	4.84%	3.02%	0.81%	3.56%	5.50%	3.28%	2.10%	0.78%	1.15%	2.06%	1.56%	2.96%	2.76%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25383	534	191	261	395	367	359	414	336	423	233	430	366	87	33	189	349	668	326	312	452	626	21	398	225	418	358	285	423	305	408	380	436	582	256	307	362	345	317	352	464	341	368	332	459	54	507	180	876	404	415	421	60	86	45	432	416	23	397	326	312	397	464	274	225	439	402	421	605	325	467	254	663					
		39.73%	47.85%	29.48%	33.25%	37.65%	38.27%	39.80%	35.35%	41.43%	33.62%	36.69%	47.67%	44.04%	57.24%	44.00%	37.06%	33.85%	46.20%	37.60%	36.84%	33.46%	47.82%	65.63%	42.48%	33.99%	42.31%	38.37%	29.94%	42.17%	30.78%	35.36%	46.00%	62.55%	43.14%	33.91%	32.25%	38.68%	28.82%	31.29%	38.43%	36.19%	36.39%	34.46%	30.63%	35.20%	47.37%	38.38%	52.63%	63.62%	34.50%	35.53%	35.05%	66.67%	40.38%	64.29%	38.99%	41.03%	47.92%	34.61%	31.56%	37.77%	44.36%	62.37%	46.44%	34.35%	47.93%	44.37%	46.73%	57.78%	51.51%	34.77%	25.92%	46.95%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	360	5	2	2	7	3	5	10	5	6	4	9	4	0	2	0	8	7	12	5	7	8	0	6	5	2	2	4	6	6	7	5	2	4	4	7	7	8	4	2	5	10	1	8	6	2	5	2	2	0	10	3	0	1	0	9	5	0	8	9	2	4	2	2	5	8	5	2	8	8	9	6	21					
		0.56%	0.45%	0.31%	0.25%	0.67%	0.31%	0.55%	0.85%	0.62%	0.48%	0.63%	0.99%	0.48%	0.00%	2.67%	0.00%	0.78%	0.48%	1.38%	0.59%	0.52%	0.61%	0.00%	0.64%	0.76%	0.20%	0.21%	0.42%	0.60%	0.61%	0.61%	0.61%	0.29%	0.30%	0.53%	0.74%	0.75%	0.67%	0.39%	0.22%	0.39%	1.07%	0.09%	0.74%	0.46%	1.75%	0.38%	0.58%	0.15%	0.00%	0.86%	0.25%	0.00%	0.47%	0.00%	0.81%	0.49%	0.00%	0.70%	0.87%	0.24%	0.45%	0.27%	0.34%	0.76%	0.87%	0.55%	0.22%	0.76%	1.27%	0.67%	0.61%	1.49%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
