Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Владикавказ, Правобережная"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260					
11	Число полученных открепительных  удостоверений	2990	50	50	0	50	50	50	50	50	50	50	50	0	50	100	50	55	30	0	50	30	100	50	40	50	150	100	95	50	50	110	50	0	0	50	50	0	50	50	50	0	0	0	50	100	50	50	60	50	50	60	25	50	100	40	50	50	0	50	50	50	50	25	10	10					
12	Число выданных открепительных удостоверений	1479	17	17	0	32	9	21	30	33	28	21	19	0	43	44	5	55	10	0	48	24	17	28	19	42	43	26	50	12	15	37	11	0	0	29	21	0	15	37	47	0	0	0	26	30	18	22	51	22	31	55	18	16	14	40	32	43	0	35	33	33	33	4	8	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1631	5	0	19	143	28	53	6	54	4	9	14	17	26	22	0	34	8	0	25	3	203	4	3	6	27	34	29	27	10	23	4	0	26	122	30	0	43	1	9	0	1	0	50	35	10	12	30	16	8	29	7	24	20	0	16	38	63	69	52	44	11	7	17	1					
14	Число неиспользованных открепительных удостоверений	1511	33	33	0	18	41	29	20	17	22	29	31	0	7	56	45	0	20	0	2	6	83	22	21	8	107	74	45	38	35	73	39	0	0	21	29	0	35	13	3	0	0	0	24	70	32	28	9	28	19	5	7	34	86	0	18	7	0	15	17	17	17	21	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																							
18	. Глазьев Сергей Юрьевич	415	8	9	2	10	5	3	5	18	15	5	18	4	5	18	7	5	0	1	0	1	13	5	26	3	8	11	2	2	2	1	8	0	0	10	3	1	2	25	9	0	0	0	4	2	4	15	17	8	12	4	1	6	4	0	2	2	1	16	14	13	5	5	9	1					
		0.52%	0.70%	0.79%	0.92%	0.51%	0.71%	0.16%	0.46%	1.03%	1.35%	0.49%	2.37%	1.95%	0.25%	1.06%	1.56%	0.25%	0.00%	1.19%	0.00%	0.08%	1.30%	0.19%	1.82%	0.16%	0.36%	1.32%	0.10%	0.34%	0.38%	0.05%	1.60%	0.00%	0.00%	1.19%	0.31%	1.19%	0.21%	1.50%	0.82%	0.00%	0.00%	0.00%	0.14%	0.14%	0.34%	1.42%	0.74%	0.64%	0.68%	0.18%	0.14%	0.60%	0.40%	0.00%	0.16%	0.14%	0.25%	1.40%	0.56%	0.52%	0.23%	0.24%	0.35%	0.25%					
19	. Малышкин Олег Александрович	296	9	0	2	3	0	4	2	4	3	2	5	6	0	9	0	4	0	0	0	0	4	14	14	4	103	2	3	0	1	0	3	0	0	2	7	0	0	0	4	0	0	1	16	3	1	3	1	0	7	0	0	2	2	0	1	1	1	4	5	6	1	1	18	8					
		0.37%	0.79%	0.00%	0.92%	0.15%	0.00%	0.21%	0.18%	0.23%	0.27%	0.20%	0.66%	2.93%	0.00%	0.53%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.40%	0.54%	0.98%	0.21%	4.70%	0.24%	0.15%	0.00%	0.19%	0.00%	0.60%	0.00%	0.00%	0.24%	0.71%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.54%	0.55%	0.22%	0.09%	0.28%	0.04%	0.00%	0.40%	0.00%	0.00%	0.20%	0.20%	0.00%	0.08%	0.07%	0.25%	0.35%	0.20%	0.24%	0.05%	0.05%	0.71%	2.00%					
20	. Миронов Сергей Михайлович	131	0	1	2	1	0	1	0	2	6	1	7	1	0	4	3	5	0	1	0	0	4	3	4	7	3	4	1	0	1	0	2	0	0	2	1	1	0	8	2	0	0	0	2	2	3	2	3	1	1	3	0	1	1	0	0	0	3	4	2	7	2	1	13	2					
		0.16%	0.00%	0.09%	0.92%	0.05%	0.00%	0.05%	0.00%	0.11%	0.54%	0.10%	0.92%	0.49%	0.00%	0.24%	0.67%	0.25%	0.00%	1.19%	0.00%	0.00%	0.40%	0.12%	0.28%	0.37%	0.14%	0.48%	0.05%	0.00%	0.19%	0.00%	0.40%	0.00%	0.00%	0.24%	0.10%	1.19%	0.00%	0.48%	0.18%	0.00%	0.00%	0.00%	0.07%	0.14%	0.26%	0.19%	0.13%	0.08%	0.06%	0.13%	0.00%	0.10%	0.10%	0.00%	0.00%	0.00%	0.75%	0.35%	0.08%	0.28%	0.09%	0.05%	0.51%	0.50%					
21	. Путин Владимир Владимирович	73241	1069	1046	140	1937	628	1739	980	1556	918	940	630	174	1815	1563	413	1880	670	77	1547	1177	790	2478	1215	1787	1997	723	1729	569	446	1811	379	103	147	759	905	71	942	1451	1043	102	193	156	2840	1322	1083	975	2231	1156	1640	2131	683	895	900	1494	1047	1326	315	903	2319	2349	2114	2012	2459	352					
		92.07%	93.53%	92.24%	64.52%	98.32%	89.33%	92.45%	89.42%	88.91%	82.48%	91.98%	83.00%	84.88%	90.75%	92.32%	92.19%	93.21%	91.53%	91.67%	91.43%	94.39%	79.08%	95.42%	84.97%	95.05%	91.06%	86.59%	87.32%	95.47%	84.63%	90.55%	75.95%	90.35%	99.32%	90.36%	92.25%	84.52%	97.52%	87.20%	94.82%	100.00%	96.98%	84.32%	97.03%	95.18%	92.64%	92.42%	97.00%	92.19%	92.92%	94.88%	98.56%	89.05%	90.09%	99.73%	82.05%	93.31%	78.75%	79.21%	92.39%	94.34%	97.02%	97.96%	96.39%	88.00%					
22	. Хакамада Ирина Муцуовна	442	17	5	6	1	9	7	19	17	20	5	9	3	11	18	0	4	9	0	8	0	7	20	9	8	0	10	4	1	1	1	8	1	0	2	10	0	3	22	6	0	0	0	16	3	8	10	6	5	10	11	0	8	6	1	3	4	3	10	8	14	3	7	17	8					
		0.56%	1.49%	0.44%	2.76%	0.05%	1.28%	0.37%	1.73%	0.97%	1.80%	0.49%	1.19%	1.46%	0.55%	1.06%	0.00%	0.20%	1.23%	0.00%	0.47%	0.00%	0.70%	0.77%	0.63%	0.43%	0.00%	1.20%	0.20%	0.17%	0.19%	0.05%	1.60%	0.88%	0.00%	0.24%	1.02%	0.00%	0.31%	1.32%	0.55%	0.00%	0.00%	0.00%	0.55%	0.22%	0.68%	0.95%	0.26%	0.40%	0.57%	0.49%	0.00%	0.80%	0.60%	0.07%	0.24%	0.28%	0.75%	0.88%	0.32%	0.56%	0.14%	0.34%	0.67%	2.00%					
23	. Харитонов Николай Михайлович	4394	30	70	52	15	49	112	82	133	124	56	79	12	164	49	15	109	47	5	120	66	156	60	143	63	80	73	234	20	74	187	83	9	0	65	39	9	19	158	36	0	3	26	28	52	59	33	39	83	81	77	7	85	70	3	219	81	65	168	129	95	43	19	17	15					
		5.52%	2.62%	6.17%	23.96%	0.76%	6.97%	5.95%	7.48%	7.60%	11.14%	5.48%	10.41%	5.85%	8.20%	2.89%	3.35%	5.40%	6.42%	5.95%	7.09%	5.29%	15.62%	2.31%	10.00%	3.35%	3.65%	8.74%	11.82%	3.36%	14.04%	9.35%	16.63%	7.89%	0.00%	7.74%	3.98%	10.71%	1.97%	9.50%	3.27%	0.00%	1.51%	14.05%	0.96%	3.74%	5.05%	3.13%	1.70%	6.62%	4.59%	3.43%	1.01%	8.46%	7.01%	0.20%	17.16%	5.70%	16.25%	14.74%	5.14%	3.82%	1.97%	0.93%	0.67%	3.75%					
																																																																							
24	Против всех	382	7	2	5	0	3	8	4	14	21	8	11	4	5	12	7	5	5	0	10	1	11	10	12	5	0	9	3	4	1	0	13	1	0	0	11	0	0	0	0	0	3	1	19	1	6	14	3	1	6	13	1	1	5	0	2	5	11	17	13	6	6	9	16	11					
		0.48%	0.61%	0.18%	2.30%	0.00%	0.43%	0.43%	0.36%	0.80%	1.89%	0.78%	1.45%	1.95%	0.25%	0.71%	1.56%	0.25%	0.68%	0.00%	0.59%	0.08%	1.10%	0.39%	0.84%	0.27%	0.00%	1.08%	0.15%	0.67%	0.19%	0.00%	2.61%	0.88%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%	1.51%	0.54%	0.65%	0.07%	0.51%	1.33%	0.13%	0.08%	0.34%	0.58%	0.14%	0.10%	0.50%	0.00%	0.16%	0.35%	2.75%	1.49%	0.52%	0.24%	0.28%	0.44%	0.63%	2.75%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
