Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																								
Дата голосования: 18.09.2016																																																																																																																																																								
																																																																																																																																																								
Наименование Избирательной комиссии:    Энгельсская																																																																																																																																																								
																																																																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																								
																																																																																																																																																								
		Сумма	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №8209									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	6111	50	50	50	50	50	50	50	50	50	0	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	51	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2573	32	23	17	35	19	8	22	23	30	0	9	35	20	0	12	22	26	23	16	10	32	19	16	27	32	18	16	17	37	17	25	21	12	15	28	30	18	25	37	31	50	34	33	28	30	30	24	15	22	12	15	12	12	10	33	29	11	29	12	13	19	15	0	11	20	13	3	15	19	26	25	27	24	21	44	24	15	13	5	16	11	26	18	11	15	7	50	50	8	5	50	10	15	15	12	9	9	9	12	7	5	12	3	2	7	15	24	9	20	30	30	25	7	30	6	19	13	8	30	10	0	6	12	26	15	25	30	5	0	0	1	2	8	0	6	28	30	30	25	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1214	4	17	26	10	5	1	13	21	2	257	16	6	19	2	14	0	1	0	0	4	5	3	8	3	7	2	5	16	21	3	10	5	8	13	6	15	26	63	17	38	29	22	24	16	12	23	30	3	9	7	2	0	0	5	2	2	8	5	8	23	9	3	1	5	7	11	83	3	9	6	6	1	3	10	0	5	0	0	0	2	1	1	19	12	11	0	0	3	0	3	0	0	0	0	0	0	0	4	2	0	1	1	0	3	3	1	0	0	0	4	6	8	3	3	3	0	3	1	3	7	1	0	0	4	4	2	3	3	1	0	2	0	1	0	0	1	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	3538	18	27	33	15	31	42	28	27	20	0	41	15	30	0	38	28	24	27	34	40	18	31	34	23	18	32	34	33	13	33	25	29	38	35	22	20	32	25	13	19	1	16	17	22	20	20	26	35	28	38	35	38	38	40	17	21	39	21	38	37	31	35	0	39	30	37	47	35	31	24	25	23	26	29	6	26	35	37	45	34	39	24	32	39	35	43	0	0	42	45	0	40	35	35	38	41	41	41	38	43	45	38	27	28	23	15	6	21	10	0	0	5	23	0	24	11	17	22	0	20	30	24	18	4	15	5	0	25	30	30	29	28	22	30	24	2	0	0	5	24	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	290	3	5	1	4	1	1	3	1	6	0	1	3	4	0	4	3	10	4	2	0	6	4	4	0	0	3	0	1	4	2	1	1	3	2	5	0	3	3	6	5	6	9	9	13	5	10	8	2	7	3	0	3	1	1	2	4	2	8	0	1	0	3	0	1	2	6	0	2	3	1	1	3	3	4	2	6	3	2	0	1	0	4	2	1	0	0	1	0	0	1	0	0	2	0	1	1	2	0	0	2	2	1	0	0	0	0	0	0	0	1	0	2	1	3	0	0	1	0	4	0	0	0	3	1	1	2	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	960	3	10	2	8	14	12	3	10	4	1	3	7	4	0	12	16	12	22	7	0	0	0	7	2	17	10	6	19	9	18	5	9	8	9	4	7	11	12	13	11	18	28	24	16	10	5	25	5	10	3	3	6	6	5	10	17	10	8	10	5	6	4	2	10	5	8	6	7	6	3	17	15	0	2	15	0	12	8	8	7	2	0	5	5	4	7	0	0	10	5	0	4	5	5	8	11	6	9	1	0	1	0	0	2	4	3	0	2	17	3	8	0	5	0	0	2	2	5	1	10	0	5	5	5	14	1	11	3	2	3	2	0	1	1	0	3	2	0	3	0	55									
		0.58%	0.24%	0.47%	0.16%	0.39%	0.84%	1.09%	0.31%	1.68%	0.66%	0.16%	0.43%	0.41%	0.24%	0.00%	0.73%	0.92%	0.81%	1.26%	0.59%	0.00%	0.00%	0.00%	0.46%	0.12%	0.79%	0.66%	0.65%	1.50%	0.44%	1.09%	0.33%	0.65%	0.67%	0.83%	0.23%	0.37%	0.71%	0.78%	0.66%	0.91%	1.11%	1.48%	0.95%	1.94%	0.63%	0.50%	2.59%	0.37%	0.69%	0.33%	0.24%	0.46%	0.40%	1.28%	0.47%	0.78%	0.56%	0.49%	1.26%	0.40%	0.66%	0.30%	0.32%	0.72%	0.37%	0.78%	0.98%	0.56%	0.39%	0.20%	0.95%	0.69%	0.00%	0.14%	0.66%	0.00%	0.75%	0.45%	1.45%	0.46%	0.15%	0.00%	0.44%	0.39%	0.47%	0.79%	0.00%	0.00%	0.84%	0.60%	0.00%	0.47%	0.52%	0.53%	0.91%	1.08%	0.60%	0.69%	0.07%	0.00%	0.09%	0.00%	0.00%	0.30%	0.36%	0.49%	0.00%	0.30%	1.23%	0.49%	0.61%	0.00%	0.99%	0.00%	0.00%	0.78%	0.27%	1.50%	0.05%	0.70%	0.00%	0.46%	0.49%	0.22%	0.77%	0.21%	2.12%	0.47%	1.01%	1.03%	0.56%	0.00%	0.86%	1.15%	0.00%	0.75%	0.40%	0.00%	0.53%	0.00%	2.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1815	8	17	9	30	15	6	20	24	4	0	2	6	29	5	19	25	22	15	10	6	0	0	36	10	19	34	8	9	22	28	12	18	11	10	8	24	26	25	38	22	19	14	22	24	19	7	19	5	16	10	10	0	14	22	21	11	28	13	4	18	18	14	12	21	20	20	11	18	37	29	23	12	2	4	25	0	28	3	7	25	1	3	19	21	16	8	7	3	16	17	4	11	10	13	7	5	14	15	0	11	2	1	0	0	4	16	0	0	16	10	0	3	12	0	3	9	11	8	5	30	2	24	3	7	30	19	13	12	7	10	8	5	0	1	1	3	21	17	22	9	13									
		1.10%	0.65%	0.80%	0.73%	1.45%	0.90%	0.55%	2.09%	4.03%	0.66%	0.00%	0.29%	0.35%	1.71%	1.05%	1.15%	1.43%	1.49%	0.86%	0.84%	0.81%	0.00%	0.00%	2.37%	0.59%	0.88%	2.23%	0.87%	0.71%	1.08%	1.69%	0.80%	1.31%	0.92%	0.92%	0.46%	1.27%	1.69%	1.62%	1.94%	1.82%	1.18%	0.74%	0.87%	2.92%	1.19%	0.69%	1.97%	0.37%	1.10%	1.09%	0.81%	0.00%	0.93%	5.64%	0.99%	0.51%	1.56%	0.79%	0.50%	1.45%	1.97%	1.04%	1.90%	1.51%	1.46%	1.96%	1.80%	1.45%	2.41%	1.94%	1.28%	0.55%	0.15%	0.28%	1.09%	0.00%	1.75%	0.17%	1.27%	1.66%	0.07%	0.19%	1.68%	1.63%	1.88%	0.90%	0.77%	0.31%	1.35%	2.05%	0.49%	1.29%	1.04%	1.37%	0.80%	0.49%	1.40%	1.15%	0.00%	1.02%	0.18%	0.12%	0.00%	0.00%	0.36%	2.62%	0.00%	0.00%	1.16%	1.65%	0.00%	0.15%	2.39%	0.00%	2.46%	3.49%	1.49%	2.40%	0.25%	2.09%	1.50%	2.20%	0.29%	0.30%	1.65%	4.08%	2.51%	1.86%	3.52%	3.45%	2.22%	1.26%	0.00%	1.15%	0.47%	0.75%	4.22%	2.81%	3.89%	1.33%	0.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1192	3	37	5	14	18	14	7	15	0	1	2	11	20	2	18	16	11	19	5	4	0	12	10	4	16	20	9	8	17	25	15	13	8	5	17	2	10	20	4	5	10	22	29	22	15	3	21	3	5	8	4	2	7	2	5	30	11	18	16	10	12	7	4	15	18	16	6	17	10	8	16	11	0	0	15	0	16	3	1	10	1	2	6	2	4	8	0	0	11	16	1	8	7	9	6	5	10	9	1	3	2	1	0	1	7	7	0	3	9	8	19	5	8	0	2	3	8	0	12	13	1	11	7	9	13	5	9	4	1	3	5	2	2	0	0	5	5	4	3	5	11									
		0.72%	0.24%	1.75%	0.40%	0.68%	1.09%	1.27%	0.73%	2.52%	0.00%	0.16%	0.29%	0.65%	1.18%	0.42%	1.09%	0.92%	0.75%	1.09%	0.42%	0.54%	0.00%	1.18%	0.66%	0.24%	0.74%	1.31%	0.98%	0.63%	0.83%	1.51%	1.00%	0.94%	0.67%	0.46%	0.97%	0.11%	0.65%	1.30%	0.20%	0.41%	0.62%	1.16%	1.15%	2.67%	0.94%	0.30%	2.18%	0.22%	0.34%	0.87%	0.32%	0.15%	0.47%	0.51%	0.23%	1.38%	0.61%	1.10%	2.02%	0.80%	1.31%	0.52%	0.63%	1.08%	1.32%	1.57%	0.98%	1.37%	0.65%	0.53%	0.89%	0.51%	0.00%	0.00%	0.66%	0.00%	1.00%	0.17%	0.18%	0.66%	0.07%	0.13%	0.53%	0.16%	0.47%	0.90%	0.00%	0.00%	0.93%	1.93%	0.12%	0.94%	0.73%	0.95%	0.68%	0.49%	0.99%	0.69%	0.07%	0.28%	0.18%	0.12%	0.00%	0.15%	0.64%	1.15%	0.00%	0.45%	0.65%	1.32%	1.45%	0.24%	1.59%	0.00%	1.64%	1.16%	1.08%	0.00%	0.60%	0.90%	0.75%	1.01%	0.68%	0.39%	0.71%	1.07%	1.74%	0.62%	0.50%	1.03%	1.39%	0.50%	1.72%	0.00%	0.00%	1.24%	1.00%	0.66%	0.53%	0.74%	0.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	122176	915	1554	920	1533	1237	815	607	255	435	604	533	1322	1289	439	1198	1319	1021	1202	922	552	1577	763	1077	1288	1529	1070	640	881	1459	1156	1081	931	836	767	1163	1339	1058	1031	1380	826	1047	1299	1893	321	1060	686	414	954	1175	679	943	1010	1065	224	1637	1542	1382	1286	556	923	629	1019	493	1081	951	726	378	882	1105	1058	1289	1639	1018	1138	1824	1380	1173	1251	403	1140	995	1162	791	1026	603	568	653	708	969	583	610	656	747	716	655	740	796	871	1120	869	865	638	351	583	943	515	725	585	1044	411	940	1443	351	553	92	163	580	209	1700	1192	112	866	751	1737	1384	237	321	496	167	226	281	367	93	78	184	357	343	508	468	582	1700									
		73.79%	74.33%	73.41%	74.49%	74.35%	74.61%	74.16%	63.30%	42.86%	72.26%	94.67%	76.80%	77.99%	76.23%	92.62%	72.61%	75.54%	69.22%	68.69%	77.15%	74.39%	76.44%	74.80%	70.99%	76.53%	70.98%	70.12%	69.79%	69.53%	71.31%	69.89%	72.11%	67.61%	69.55%	70.89%	66.46%	71.07%	68.75%	66.82%	70.55%	68.32%	64.83%	68.51%	75.21%	39.00%	66.29%	67.92%	42.90%	70.98%	80.92%	73.88%	75.99%	77.99%	71.05%	57.44%	76.82%	70.86%	76.86%	78.51%	70.03%	74.20%	68.82%	75.87%	78.13%	77.66%	69.57%	71.11%	61.87%	70.90%	71.99%	70.72%	71.97%	75.70%	76.77%	79.97%	79.72%	84.98%	73.31%	70.76%	73.14%	75.55%	73.98%	74.01%	70.00%	79.60%	70.94%	64.18%	71.92%	72.39%	81.77%	70.41%	74.39%	77.18%	77.97%	75.45%	74.43%	72.91%	79.52%	67.00%	78.43%	80.91%	77.99%	77.62%	87.31%	86.50%	86.04%	84.43%	87.14%	86.80%	75.65%	67.71%	71.98%	70.15%	69.78%	70.00%	75.41%	63.18%	78.48%	62.76%	85.00%	82.89%	84.21%	79.38%	72.98%	75.33%	76.04%	50.86%	61.97%	77.02%	83.92%	77.93%	78.06%	92.21%	80.17%	89.66%	86.79%	88.81%	68.88%	83.97%	82.83%	86.22%	83.95%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	766	5	5	0	16	1	3	9	8	0	0	2	2	3	0	12	15	16	20	6	5	0	0	10	5	9	9	4	2	16	8	2	6	10	7	13	17	7	18	6	7	21	23	13	8	18	5	12	17	1	5	3	1	9	1	2	25	11	9	6	4	12	8	3	4	9	4	6	4	8	7	12	14	0	1	12	0	15	5	1	8	2	2	4	8	5	7	1	3	4	3	1	3	7	4	5	3	4	10	1	6	4	0	1	6	2	2	3	0	5	1	6	3	3	0	0	2	3	0	1	2	0	0	6	2	5	1	2	3	1	0	1	0	1	0	0	2	0	0	0	0	4									
		0.46%	0.41%	0.24%	0.00%	0.78%	0.06%	0.27%	0.94%	1.34%	0.00%	0.00%	0.29%	0.12%	0.18%	0.00%	0.73%	0.86%	1.08%	1.14%	0.50%	0.67%	0.00%	0.00%	0.66%	0.30%	0.42%	0.59%	0.44%	0.16%	0.78%	0.48%	0.13%	0.44%	0.83%	0.65%	0.74%	0.90%	0.45%	1.17%	0.31%	0.58%	1.30%	1.21%	0.52%	0.97%	1.13%	0.50%	1.24%	1.26%	0.07%	0.54%	0.24%	0.08%	0.60%	0.26%	0.09%	1.15%	0.61%	0.55%	0.76%	0.32%	1.31%	0.60%	0.48%	0.29%	0.66%	0.39%	0.98%	0.32%	0.52%	0.47%	0.67%	0.65%	0.00%	0.07%	0.52%	0.00%	0.94%	0.28%	0.18%	0.53%	0.15%	0.13%	0.35%	0.62%	0.59%	0.79%	0.11%	0.31%	0.34%	0.36%	0.12%	0.35%	0.73%	0.42%	0.57%	0.30%	0.40%	0.77%	0.07%	0.56%	0.36%	0.00%	0.25%	0.89%	0.18%	0.33%	0.36%	0.00%	0.36%	0.16%	0.46%	0.15%	0.60%	0.00%	0.00%	0.78%	0.41%	0.00%	0.05%	0.14%	0.00%	0.00%	0.58%	0.09%	0.27%	0.21%	0.39%	0.47%	0.50%	0.00%	0.28%	0.00%	0.86%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.20%									
