Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Емельяновская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	990	70	40	50	30	50	20	5	10	10	10	20	30	20	30	20	5	40	40	20	20	30	50	40	40	30	10	5	10	5	5	10	10	10	30	5	10	10	5	30	10	5	5	5	20	10	10	0	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	197	23	10	19	14	13	9	1	2	0	1	4	2	4	3	2	0	5	5	1	2	3	12	7	4	2	0	0	0	1	0	0	0	0	2	0	1	1	0	1	1	3	0	5	20	0	10	0	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	256	18	7	11	3	8	2	2	8	7	3	8	4	4	3	2	2	9	7	11	3	11	6	5	5	3	1	2	2	3	3	2	3	0	10	4	5	2	0	8	8	4	5	2	8	2	3	20	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	793	47	30	31	16	37	11	4	8	10	9	16	28	16	27	18	5	35	35	19	18	27	38	33	36	28	10	5	10	4	5	10	10	10	28	5	9	9	5	29	9	2	5	0	0	10	0	0	8	28									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	164	16	9	17	3	3	1	0	4	1	0	6	5	1	6	3	0	10	3	4	2	6	10	6	5	7	0	1	2	0	0	1	8	3	5	1	1	0	0	1	0	1	1	2	3	0	1	0	2	3									
		1.43%	1.83%	2.24%	2.04%	0.85%	0.64%	0.37%	0.00%	3.17%	0.71%	0.00%	2.37%	2.14%	0.57%	1.69%	1.65%	0.00%	2.17%	0.60%	1.92%	1.09%	1.43%	1.75%	1.61%	1.14%	1.56%	0.00%	1.18%	2.60%	0.00%	0.00%	0.95%	4.47%	2.44%	1.40%	2.56%	1.32%	0.00%	0.00%	0.39%	0.00%	1.14%	1.61%	3.77%	0.94%	0.00%	0.98%	0.00%	2.41%	0.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	524	37	12	24	24	16	12	0	1	7	0	16	35	6	17	11	1	46	20	6	11	19	27	10	24	19	2	8	5	6	2	4	9	7	24	2	7	7	1	11	1	0	1	2	0	3	4	1	2	14									
		4.55%	4.23%	2.99%	2.88%	6.84%	3.40%	4.49%	0.00%	0.79%	5.00%	0.00%	6.32%	14.96%	3.45%	4.80%	6.04%	2.86%	9.98%	4.00%	2.88%	5.98%	4.52%	4.71%	2.69%	5.45%	4.22%	1.64%	9.41%	6.49%	9.68%	5.13%	3.81%	5.03%	5.69%	6.70%	5.13%	9.21%	11.11%	2.27%	4.31%	1.35%	0.00%	1.61%	3.77%	0.00%	1.90%	3.92%	5.00%	2.41%	3.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	271	17	9	23	9	15	4	1	1	1	1	6	5	4	13	4	0	10	12	3	3	6	10	10	11	12	2	1	4	4	2	4	6	1	9	3	1	3	2	6	0	3	2	0	3	1	3	1	5	15									
		2.35%	1.94%	2.24%	2.76%	2.56%	3.18%	1.50%	1.52%	0.79%	0.71%	0.62%	2.37%	2.14%	2.30%	3.67%	2.20%	0.00%	2.17%	2.40%	1.44%	1.63%	1.43%	1.75%	2.69%	2.50%	2.67%	1.64%	1.18%	5.19%	6.45%	5.13%	3.81%	3.35%	0.81%	2.51%	7.69%	1.32%	4.76%	4.55%	2.35%	0.00%	3.41%	3.23%	0.00%	0.94%	0.63%	2.94%	5.00%	6.02%	3.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4854	376	180	341	156	207	115	35	57	69	65	94	97	60	150	76	15	160	216	96	67	155	260	129	159	197	58	30	30	22	16	56	67	46	138	14	23	30	23	109	33	47	22	30	178	72	49	4	37	188									
		42.18%	42.97%	44.78%	40.99%	44.44%	43.95%	43.07%	53.03%	45.24%	49.29%	40.37%	37.15%	41.45%	34.48%	42.37%	41.76%	42.86%	34.71%	43.20%	46.15%	36.41%	36.90%	45.38%	34.68%	36.14%	43.78%	47.54%	35.29%	38.96%	35.48%	41.03%	53.33%	37.43%	37.40%	38.55%	35.90%	30.26%	47.62%	52.27%	42.75%	44.59%	53.41%	35.48%	56.60%	55.80%	45.57%	48.04%	20.00%	44.58%	48.08%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	116	9	3	10	5	5	3	0	1	1	0	5	3	1	4	0	0	1	6	1	5	10	9	4	7	5	1	1	1	1	1	1	1	2	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	3									
		1.01%	1.03%	0.75%	1.20%	1.42%	1.06%	1.12%	0.00%	0.79%	0.71%	0.00%	1.98%	1.28%	0.57%	1.13%	0.00%	0.00%	0.22%	1.20%	0.48%	2.72%	2.38%	1.57%	1.08%	1.59%	1.11%	0.82%	1.18%	1.30%	1.61%	2.56%	0.95%	0.56%	1.63%	0.28%	0.00%	0.00%	1.59%	0.00%	1.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%									
24	"6. Политическая партия ""Гражданская Платформа"""	33	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	3	1	2	0	1	4	1	1	2	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0									
		0.29%	0.11%	0.25%	0.12%	0.00%	0.21%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.55%	2.86%	0.22%	0.60%	0.48%	1.09%	0.00%	0.17%	1.08%	0.23%	0.22%	1.64%	1.18%	0.00%	1.61%	2.56%	0.00%	0.56%	0.00%	0.28%	2.56%	0.00%	0.00%	2.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.98%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2274	153	84	163	46	94	41	14	18	34	56	50	49	40	75	48	6	76	87	35	28	77	90	111	92	89	24	15	16	13	12	10	36	22	76	7	18	8	11	52	18	15	18	8	69	56	22	5	15	72									
		19.76%	17.49%	20.90%	19.59%	13.11%	19.96%	15.36%	21.21%	14.29%	24.29%	34.78%	19.76%	20.94%	22.99%	21.19%	26.37%	17.14%	16.49%	17.40%	16.83%	15.22%	18.33%	15.71%	29.84%	20.91%	19.78%	19.67%	17.65%	20.78%	20.97%	30.77%	9.52%	20.11%	17.89%	21.23%	17.95%	23.68%	12.70%	25.00%	20.39%	24.32%	17.05%	29.03%	15.09%	21.63%	35.44%	21.57%	25.00%	18.07%	18.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	77	6	2	4	2	3	2	0	0	1	2	1	2	2	6	0	1	0	7	1	2	4	4	6	2	3	0	3	0	0	0	0	4	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	2									
		0.67%	0.69%	0.50%	0.48%	0.57%	0.64%	0.75%	0.00%	0.00%	0.71%	1.24%	0.40%	0.85%	1.15%	1.69%	0.00%	2.86%	0.00%	1.40%	0.48%	1.09%	0.95%	0.70%	1.61%	0.45%	0.67%	0.00%	3.53%	0.00%	0.00%	0.00%	0.00%	2.23%	0.81%	0.00%	2.56%	0.00%	0.00%	0.00%	0.39%	1.35%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.51%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	116	8	3	12	3	8	1	2	4	2	2	4	1	1	5	2	2	6	6	2	0	4	8	5	2	1	2	0	0	0	0	0	3	4	2	0	0	0	0	1	1	3	0	0	0	2	0	0	0	4									
		1.01%	0.91%	0.75%	1.44%	0.85%	1.70%	0.37%	3.03%	3.17%	1.43%	1.24%	1.58%	0.43%	0.57%	1.41%	1.10%	5.71%	1.30%	1.20%	0.96%	0.00%	0.95%	1.40%	1.34%	0.45%	0.22%	1.64%	0.00%	0.00%	0.00%	0.00%	0.00%	1.68%	3.25%	0.56%	0.00%	0.00%	0.00%	0.00%	0.39%	1.35%	3.41%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	1.02%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	3	0	0	0	1	2	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2									
		0.17%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.28%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.24%	0.35%	0.00%	0.00%	0.22%	0.00%	0.00%	1.30%	1.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	0.51%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	168	17	15	20	1	7	1	1	3	1	0	8	0	3	6	2	0	3	12	1	2	10	20	4	8	1	3	0	0	0	0	0	0	1	1	2	0	0	0	5	2	0	1	0	2	1	0	1	0	3									
		1.46%	1.94%	3.73%	2.40%	0.28%	1.49%	0.37%	1.52%	2.38%	0.71%	0.00%	3.16%	0.00%	1.72%	1.69%	1.10%	0.00%	0.65%	2.40%	0.48%	1.09%	2.38%	3.49%	1.08%	1.82%	0.22%	2.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.28%	5.13%	0.00%	0.00%	0.00%	1.96%	2.70%	0.00%	1.61%	0.00%	0.63%	0.63%	0.00%	5.00%	0.00%	0.77%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1414	127	44	114	59	61	46	6	15	9	17	28	8	33	39	19	9	67	55	35	26	71	56	27	43	56	11	6	6	6	4	9	20	11	58	4	12	8	2	33	11	15	2	9	36	12	9	4	7	49									
		12.29%	14.51%	10.95%	13.70%	16.81%	12.95%	17.23%	9.09%	11.90%	6.43%	10.56%	11.07%	3.42%	18.97%	11.02%	10.44%	25.71%	14.53%	11.00%	16.83%	14.13%	16.90%	9.77%	7.26%	9.77%	12.44%	9.02%	7.06%	7.79%	9.68%	10.26%	8.57%	11.17%	8.94%	16.20%	10.26%	15.79%	12.70%	4.55%	12.94%	14.86%	17.05%	3.23%	16.98%	11.29%	7.59%	8.82%	20.00%	8.43%	12.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	788	57	20	50	23	26	18	5	11	6	6	14	20	12	19	4	0	41	36	10	20	34	38	38	48	30	8	12	4	6	1	11	16	16	24	2	9	3	3	9	4	2	9	1	11	4	5	3	13	26									
		6.85%	6.51%	4.98%	6.01%	6.55%	5.52%	6.74%	7.58%	8.73%	4.29%	3.73%	5.53%	8.55%	6.90%	5.37%	2.20%	0.00%	8.89%	7.20%	4.81%	10.87%	8.10%	6.63%	10.22%	10.91%	6.67%	6.56%	14.12%	5.19%	9.68%	2.56%	10.48%	8.94%	13.01%	6.70%	5.13%	11.84%	4.76%	6.82%	3.53%	5.41%	2.27%	14.52%	1.89%	3.45%	2.53%	4.90%	15.00%	15.66%	6.65%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	380	34	10	30	15	14	16	0	4	4	2	13	3	6	7	8	0	24	19	6	10	9	29	8	23	10	1	6	2	2	0	4	5	5	9	2	1	3	1	9	1	2	0	0	7	3	4	0	1	8									
		3.30%	3.89%	2.49%	3.61%	4.27%	2.97%	5.99%	0.00%	3.17%	2.86%	1.24%	5.14%	1.28%	3.45%	1.98%	4.40%	0.00%	5.21%	3.80%	2.88%	5.43%	2.14%	5.06%	2.15%	5.23%	2.22%	0.82%	7.06%	2.60%	3.23%	0.00%	3.81%	2.79%	4.07%	2.51%	5.13%	1.32%	4.76%	2.27%	3.53%	1.35%	2.27%	0.00%	0.00%	2.19%	1.90%	3.92%	0.00%	1.20%	2.05%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
