Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №25																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2330	30	30	30	40	40	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	50	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1500	18	22	15	36	36	16	23	22	8	10	19	11	21	23	11	26	18	31	23	25	23	19	20	29	16	15	20	22	26	27	21	18	26	19	10	22	24	15	15	15	14	6	20	22	14	20	21	16	24	25	20	20	14	24	33	11	7	16	19	28	19	22	13	20	19	22	19	15	35	27	15	14	24	42	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2026	42	35	42	32	40	19	17	9	6	23	15	12	26	11	28	23	12	22	35	40	11	17	11	17	70	45	64	15	44	65	40	45	61	24	17	19	48	57	28	16	24	57	15	11	34	9	31	27	10	13	44	15	10	60	15	10	23	12	29	15	86	15	23	22	6	17	17	24	24	51	16	6	10	13	29									
14	Число погашенных неиспользованных открепительных удостоверений	830	12	8	15	4	4	14	7	8	22	20	11	19	9	7	19	4	12	9	7	5	7	11	10	1	14	15	10	8	4	13	9	12	4	11	20	8	6	15	15	15	16	24	10	8	16	10	9	14	6	5	10	10	16	6	7	19	23	14	11	2	11	8	17	10	11	8	11	15	5	3	15	16	6	8	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	159	3	0	1	6	2	2	3	4	2	1	4	5	0	1	0	2	3	2	3	3	0	0	2	2	1	3	5	1	2	4	9	3	0	2	1	1	0	2	2	1	2	2	0	1	2	3	4	2	2	2	0	1	1	0	2	1	1	3	2	4	2	5	1	3	1	2	0	1	3	5	2	1	1	8	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1270	19	13	11	21	13	16	16	9	14	18	18	9	13	16	13	5	10	19	19	19	27	30	21	22	15	18	9	15	11	23	18	14	30	16	19	20	17	18	11	16	14	20	13	9	16	27	23	13	26	27	22	12	21	23	28	9	15	11	12	18	21	22	8	18	9	20	17	9	30	20	15	14	17	26	4									
		2.60%	2.98%	2.15%	2.19%	2.50%	2.06%	2.58%	2.11%	1.45%	2.87%	2.47%	3.14%	2.09%	1.87%	2.27%	2.70%	0.72%	2.48%	2.60%	2.57%	2.95%	3.34%	3.84%	3.00%	2.80%	2.83%	3.20%	1.30%	2.16%	1.52%	2.96%	2.64%	1.71%	4.01%	2.53%	4.22%	3.13%	2.47%	2.45%	2.54%	3.48%	1.98%	2.79%	2.19%	1.60%	2.96%	3.64%	3.75%	1.71%	3.30%	3.66%	2.82%	1.70%	3.24%	2.65%	3.95%	1.94%	2.92%	1.60%	1.95%	2.46%	2.38%	3.06%	0.99%	2.48%	1.98%	2.84%	2.48%	1.89%	3.49%	2.51%	3.89%	2.95%	3.00%	3.01%	2.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	705	12	6	6	15	10	8	6	4	6	13	4	2	8	12	8	14	4	9	9	6	9	6	6	10	5	8	13	10	16	6	9	12	7	6	2	9	9	10	5	4	11	6	9	4	2	15	12	8	12	11	8	12	15	11	1	8	6	10	7	6	7	7	11	17	3	11	87	5	7	15	6	4	9	15	3									
		1.44%	1.88%	0.99%	1.19%	1.79%	1.58%	1.29%	0.79%	0.64%	1.23%	1.78%	0.70%	0.46%	1.15%	1.70%	1.66%	2.02%	0.99%	1.23%	1.22%	0.93%	1.11%	0.77%	0.86%	1.27%	0.94%	1.42%	1.88%	1.44%	2.21%	0.77%	1.32%	1.47%	0.94%	0.95%	0.44%	1.41%	1.31%	1.36%	1.15%	0.87%	1.56%	0.84%	1.52%	0.71%	0.37%	2.02%	1.96%	1.05%	1.52%	1.49%	1.02%	1.70%	2.31%	1.27%	0.14%	1.72%	1.17%	1.46%	1.14%	0.82%	0.79%	0.97%	1.37%	2.34%	0.66%	1.56%	12.70%	1.05%	0.81%	1.88%	1.55%	0.84%	1.59%	1.73%	1.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1244	13	6	14	27	17	15	20	23	12	21	17	9	22	21	14	15	17	13	19	10	17	16	17	15	12	12	18	19	28	15	17	14	15	23	16	18	8	21	13	7	27	18	15	14	6	24	17	14	26	12	23	26	18	27	12	17	16	20	22	10	26	17	20	14	7	14	16	11	28	15	13	16	16	19	2									
		2.54%	2.04%	0.99%	2.78%	3.22%	2.69%	2.42%	2.64%	3.70%	2.46%	2.88%	2.96%	2.09%	3.17%	2.98%	2.90%	2.16%	4.22%	1.78%	2.57%	1.56%	2.10%	2.05%	2.43%	1.91%	2.26%	2.14%	2.60%	2.74%	3.87%	1.93%	2.49%	1.71%	2.01%	3.64%	3.56%	2.82%	1.16%	2.85%	3.00%	1.52%	3.82%	2.51%	2.53%	2.48%	1.11%	3.24%	2.77%	1.84%	3.30%	1.63%	2.94%	3.68%	2.77%	3.11%	1.69%	3.66%	3.12%	2.91%	3.57%	1.37%	2.94%	2.36%	2.49%	1.93%	1.54%	1.99%	2.34%	2.31%	3.26%	1.88%	3.37%	3.37%	2.83%	2.20%	1.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19590	282	284	201	301	240	308	295	252	163	284	204	148	237	215	190	278	154	274	283	226	317	317	266	355	236	228	273	267	265	327	300	465	288	258	157	246	246	306	182	162	336	263	236	253	236	322	228	304	274	305	315	249	260	323	273	210	217	261	268	302	332	301	336	287	176	300	241	239	314	314	147	187	220	411	70									
		40.05%	44.20%	46.94%	39.96%	35.88%	37.97%	49.68%	38.92%	40.58%	33.47%	38.90%	35.54%	34.34%	34.15%	30.50%	39.42%	40.06%	38.21%	37.48%	38.29%	35.15%	39.18%	40.59%	38.00%	45.17%	44.53%	40.57%	39.51%	38.47%	36.65%	42.14%	43.99%	56.92%	38.50%	40.82%	34.89%	38.56%	35.70%	41.58%	42.03%	35.22%	47.59%	36.73%	39.73%	44.86%	43.62%	43.45%	37.19%	40.00%	34.73%	41.33%	40.33%	35.22%	40.06%	37.25%	38.50%	45.26%	42.30%	37.99%	43.51%	41.31%	37.60%	41.86%	41.90%	39.48%	38.77%	42.55%	35.18%	50.10%	36.55%	39.35%	38.08%	39.37%	38.87%	47.51%	44.03%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	774	5	7	9	21	12	7	18	11	8	6	13	6	11	16	3	11	2	16	12	13	7	11	12	6	5	7	15	13	14	9	15	5	19	10	6	14	13	14	4	5	12	13	3	5	8	12	4	16	17	16	13	11	6	22	9	7	10	8	9	6	21	14	13	10	9	7	14	7	14	12	3	10	12	8	2									
		1.58%	0.78%	1.16%	1.79%	2.50%	1.90%	1.13%	2.37%	1.77%	1.64%	0.82%	2.26%	1.39%	1.59%	2.27%	0.62%	1.59%	0.50%	2.19%	1.62%	2.02%	0.87%	1.41%	1.71%	0.76%	0.94%	1.25%	2.17%	1.87%	1.94%	1.16%	2.20%	0.61%	2.54%	1.58%	1.33%	2.19%	1.89%	1.90%	0.92%	1.09%	1.70%	1.82%	0.51%	0.89%	1.48%	1.62%	0.65%	2.11%	2.15%	2.17%	1.66%	1.56%	0.92%	2.54%	1.27%	1.51%	1.95%	1.16%	1.46%	0.82%	2.38%	1.95%	1.62%	1.38%	1.98%	0.99%	2.04%	1.47%	1.63%	1.50%	0.78%	2.11%	2.12%	0.92%	1.26%									
24	"6. Политическая партия ""Гражданская Платформа"""	100	2	1	1	3	0	0	1	2	1	2	4	0	1	1	0	2	2	1	0	4	1	2	1	0	2	1	2	0	1	0	2	1	1	4	1	1	0	2	0	1	1	1	1	1	0	2	2	2	2	3	1	2	1	2	0	2	0	1	3	3	2	0	3	0	2	0	4	0	1	2	0	1	0	3	1									
		0.20%	0.31%	0.17%	0.20%	0.36%	0.00%	0.00%	0.13%	0.32%	0.21%	0.27%	0.70%	0.00%	0.14%	0.14%	0.00%	0.29%	0.50%	0.14%	0.00%	0.62%	0.12%	0.26%	0.14%	0.00%	0.38%	0.18%	0.29%	0.00%	0.14%	0.00%	0.29%	0.12%	0.13%	0.63%	0.22%	0.16%	0.00%	0.27%	0.00%	0.22%	0.14%	0.14%	0.17%	0.18%	0.00%	0.27%	0.33%	0.26%	0.25%	0.41%	0.13%	0.28%	0.15%	0.23%	0.00%	0.43%	0.00%	0.15%	0.49%	0.41%	0.23%	0.00%	0.37%	0.00%	0.44%	0.00%	0.58%	0.00%	0.12%	0.25%	0.00%	0.21%	0.00%	0.35%	0.63%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5675	93	72	72	104	65	49	67	82	53	69	74	48	80	74	42	84	52	75	97	62	87	84	67	90	70	78	111	84	101	87	76	69	92	71	48	68	70	106	43	62	74	90	64	59	55	67	55	75	92	86	90	81	82	97	74	46	71	86	77	94	118	116	99	83	62	64	69	48	107	79	52	52	80	135	18									
		11.60%	14.58%	11.90%	14.31%	12.40%	10.28%	7.90%	8.84%	13.20%	10.88%	9.45%	12.89%	11.14%	11.53%	10.50%	8.71%	12.10%	12.90%	10.26%	13.13%	9.64%	10.75%	10.76%	9.57%	11.45%	13.21%	13.88%	16.06%	12.10%	13.97%	11.21%	11.14%	8.45%	12.30%	11.23%	10.67%	10.66%	10.16%	14.40%	9.93%	13.48%	10.48%	12.57%	10.77%	10.46%	10.17%	9.04%	8.97%	9.87%	11.66%	11.65%	11.52%	11.46%	12.63%	11.19%	10.44%	9.91%	13.84%	12.52%	12.50%	12.86%	13.36%	16.13%	12.34%	11.42%	13.66%	9.08%	10.07%	10.06%	12.46%	9.90%	13.47%	10.95%	14.13%	15.61%	11.32%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	947	11	15	7	26	12	13	13	6	16	19	10	12	15	16	18	6	7	15	14	12	15	24	14	10	23	9	21	12	11	15	6	12	15	14	8	9	22	14	7	11	6	17	9	11	12	13	15	13	20	14	12	15	5	18	13	5	6	17	11	6	21	15	11	6	9	14	15	9	19	19	6	14	3	10	3									
		1.94%	1.72%	2.48%	1.39%	3.10%	1.90%	2.10%	1.72%	0.97%	3.29%	2.60%	1.74%	2.78%	2.16%	2.27%	3.73%	0.86%	1.74%	2.05%	1.89%	1.87%	1.85%	3.07%	2.00%	1.27%	4.34%	1.60%	3.04%	1.73%	1.52%	1.93%	0.88%	1.47%	2.01%	2.22%	1.78%	1.41%	3.19%	1.90%	1.62%	2.39%	0.85%	2.37%	1.52%	1.95%	2.22%	1.75%	2.45%	1.71%	2.53%	1.90%	1.54%	2.12%	0.77%	2.08%	1.83%	1.08%	1.17%	2.47%	1.79%	0.82%	2.38%	2.09%	1.37%	0.83%	1.98%	1.99%	2.19%	1.89%	2.21%	2.38%	1.55%	2.95%	0.53%	1.16%	1.89%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3665	35	44	31	72	53	33	55	32	41	62	63	37	66	75	47	48	31	67	61	50	82	59	54	65	25	47	43	56	62	51	55	54	53	58	50	48	69	47	34	43	34	58	39	36	42	43	49	59	61	60	54	60	40	63	53	32	32	57	25	45	69	47	47	45	34	52	71	31	55	73	28	30	41	34	8									
		7.49%	5.49%	7.27%	6.16%	8.58%	8.39%	5.32%	7.26%	5.15%	8.42%	8.49%	10.98%	8.58%	9.51%	10.64%	9.75%	6.92%	7.69%	9.17%	8.25%	7.78%	10.14%	7.55%	7.71%	8.27%	4.72%	8.36%	6.22%	8.07%	8.58%	6.57%	8.06%	6.61%	7.09%	9.18%	11.11%	7.52%	10.01%	6.39%	7.85%	9.35%	4.82%	8.10%	6.57%	6.38%	7.76%	5.80%	7.99%	7.76%	7.73%	8.13%	6.91%	8.49%	6.16%	7.27%	7.48%	6.90%	6.24%	8.30%	4.06%	6.16%	7.81%	6.54%	5.86%	6.19%	7.49%	7.38%	10.36%	6.50%	6.40%	9.15%	7.25%	6.32%	7.24%	3.93%	5.03%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	134	0	1	1	4	2	3	4	2	1	0	0	0	1	3	5	1	3	1	1	2	2	2	4	2	1	3	1	1	2	3	3	1	4	0	0	3	2	1	0	0	3	1	1	2	1	2	3	1	2	3	0	1	3	3	5	0	1	2	2	2	4	3	4	3	2	2	0	1	1	0	1	2	1	1	1									
		0.27%	0.00%	0.17%	0.20%	0.48%	0.32%	0.48%	0.53%	0.32%	0.21%	0.00%	0.00%	0.00%	0.14%	0.43%	1.04%	0.14%	0.74%	0.14%	0.14%	0.31%	0.25%	0.26%	0.57%	0.25%	0.19%	0.53%	0.14%	0.14%	0.28%	0.39%	0.44%	0.12%	0.53%	0.00%	0.00%	0.47%	0.29%	0.14%	0.00%	0.00%	0.42%	0.14%	0.17%	0.35%	0.18%	0.27%	0.49%	0.13%	0.25%	0.41%	0.00%	0.14%	0.46%	0.35%	0.71%	0.00%	0.19%	0.29%	0.32%	0.27%	0.45%	0.42%	0.50%	0.41%	0.44%	0.28%	0.00%	0.21%	0.12%	0.00%	0.26%	0.42%	0.18%	0.12%	0.63%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3828	37	40	32	55	41	37	60	52	57	66	56	48	71	92	52	58	20	75	68	62	67	68	52	40	43	34	45	71	55	56	47	36	47	43	40	51	72	56	26	47	46	57	41	44	36	40	59	76	83	41	54	67	32	62	66	28	43	65	37	63	84	66	67	38	36	44	67	27	78	77	36	26	28	34	5									
		7.83%	5.80%	6.61%	6.36%	6.56%	6.49%	5.97%	7.92%	8.37%	11.70%	9.04%	9.76%	11.14%	10.23%	13.05%	10.79%	8.36%	4.96%	10.26%	9.20%	9.64%	8.28%	8.71%	7.43%	5.09%	8.11%	6.05%	6.51%	10.23%	7.61%	7.22%	6.89%	4.41%	6.28%	6.80%	8.89%	7.99%	10.45%	7.61%	6.00%	10.22%	6.52%	7.96%	6.90%	7.80%	6.65%	5.40%	9.62%	10.00%	10.52%	5.56%	6.91%	9.48%	4.93%	7.15%	9.31%	6.03%	8.38%	9.46%	6.01%	8.62%	9.51%	9.18%	8.35%	5.23%	7.93%	6.24%	9.78%	5.66%	9.08%	9.65%	9.33%	5.47%	4.95%	3.93%	3.14%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5352	54	64	59	84	79	66	91	64	45	82	58	55	72	78	48	83	43	87	89	77	94	89	96	104	32	52	70	80	80	78	57	65	92	70	52	72	84	62	61	52	77	66	77	63	60	89	80	98	93	71	103	73	73	119	88	35	46	63	91	82	85	36	93	95	54	97	4	52	104	86	41	71	62	80	25									
		10.94%	8.46%	10.58%	11.73%	10.01%	12.50%	10.65%	12.01%	10.31%	9.24%	11.23%	10.10%	12.76%	10.37%	11.06%	9.96%	11.96%	10.67%	11.90%	12.04%	11.98%	11.62%	11.40%	13.71%	13.23%	6.04%	9.25%	10.13%	11.53%	11.07%	10.05%	8.36%	7.96%	12.30%	11.08%	11.56%	11.29%	12.19%	8.42%	14.09%	11.30%	10.91%	9.22%	12.96%	11.17%	11.09%	12.01%	13.05%	12.89%	11.79%	9.62%	13.19%	10.33%	11.25%	13.73%	12.41%	7.54%	8.97%	9.17%	14.77%	11.22%	9.63%	5.01%	11.60%	13.07%	11.89%	13.76%	0.58%	10.90%	12.11%	10.78%	10.62%	14.95%	10.95%	9.25%	15.72%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	282	1	2	7	10	5	3	2	1	1	4	1	3	7	2	3	1	4	3	0	2	5	7	2	3	2	3	3	2	1	1	7	2	3	5	1	6	3	5	1	0	2	4	3	1	3	4	5	8	2	6	3	7	2	0	5	2	3	8	2	8	3	8	9	5	3	2	2	5	9	10	4	2	8	10	0									
		0.58%	0.16%	0.33%	1.39%	1.19%	0.79%	0.48%	0.26%	0.16%	0.21%	0.55%	0.17%	0.70%	1.01%	0.28%	0.62%	0.14%	0.99%	0.41%	0.00%	0.31%	0.62%	0.90%	0.29%	0.38%	0.38%	0.53%	0.43%	0.29%	0.14%	0.13%	1.03%	0.24%	0.40%	0.79%	0.22%	0.94%	0.44%	0.68%	0.23%	0.00%	0.28%	0.56%	0.51%	0.18%	0.55%	0.54%	0.82%	1.05%	0.25%	0.81%	0.38%	0.99%	0.31%	0.00%	0.71%	0.43%	0.58%	1.16%	0.32%	1.09%	0.34%	1.11%	1.12%	0.69%	0.66%	0.28%	0.29%	1.05%	1.05%	1.25%	1.04%	0.42%	1.41%	1.16%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4136	61	36	39	70	55	54	76	64	56	61	35	36	78	61	29	62	37	61	54	78	72	57	67	57	40	49	49	51	61	75	55	55	70	41	33	58	55	60	31	43	52	73	72	48	46	64	51	60	64	60	69	73	77	71	65	52	38	60	34	64	72	49	62	71	37	65	56	22	67	61	29	36	53	65	16									
		8.46%	9.56%	5.95%	7.75%	8.34%	8.70%	8.71%	10.03%	10.31%	11.50%	8.36%	6.10%	8.35%	11.24%	8.65%	6.02%	8.93%	9.18%	8.34%	7.31%	12.13%	8.90%	7.30%	9.57%	7.25%	7.55%	8.72%	7.09%	7.35%	8.44%	9.66%	8.06%	6.73%	9.36%	6.49%	7.33%	9.09%	7.98%	8.15%	7.16%	9.35%	7.37%	10.20%	12.12%	8.51%	8.50%	8.64%	8.32%	7.89%	8.11%	8.13%	8.83%	10.33%	11.86%	8.19%	9.17%	11.21%	7.41%	8.73%	5.52%	8.76%	8.15%	6.82%	7.73%	9.77%	8.15%	9.22%	8.18%	4.61%	7.80%	7.64%	7.51%	7.58%	9.36%	7.51%	10.06%									
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
