Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
Наименование Избирательной комиссии:    Крымская																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК  2601	УИК  2602	УИК  2603	УИК  2604	УИК  2605	УИК  2606	УИК  2607	УИК  2608	УИК  2609	УИК  2610	УИК  2611	УИК  2612	УИК  2613	УИК  2614	УИК  2615	УИК  2616	УИК  2617	УИК  2618	УИК  2619	УИК  2620	УИК  2621	УИК  2622	УИК  2623	УИК  2624	УИК  2625	УИК  2626	УИК  2627	УИК  2628	УИК  2629	УИК  2630	УИК  2631	УИК  2632	УИК  2633	УИК  2634	УИК  2635	УИК  2636	УИК  2637	УИК  2638	УИК  2639	УИК  2640	УИК  2641	УИК  2642	УИК  2643	УИК  2644	УИК  2645	УИК  2646	УИК  2647	УИК  2648	УИК  2649	УИК  2650	УИК  2651	УИК  2652	УИК  2653	УИК  2654	УИК  2655	УИК  2656	УИК  2657	УИК  2658	УИК  2659	УИК  2660	УИК  2661	УИК  2662	УИК  2663					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	705	17	12	17	16	17	2	19	10	15	19	17	17	18	19	14	19	15	14	17	15	20	15	2	13	15	5	5	9	1	5	2	15	2	2	4	16	20	15	19	4	7	14	7	2	3	13	4	14	18	11	10	15	19	4	2	5	3	4	5	4	16	18	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	191	5	7	6	6	7	0	4	0	5	6	0	5	7	7	8	5	4	0	4	5	16	5	0	7	7	1	0	2	0	3	0	5	0	0	0	8	1	1	1	0	0	4	1	0	0	2	2	3	3	4	1	2	6	0	0	2	0	3	0	0	4	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	187	5	7	1	4	3	1	1	1	3	3	3	4	9	7	6	4	2	1	12	3	3	2	1	1	22	0	0	0	0	0	2	3	0	0	0	1	1	0	3	1	1	6	4	2	1	3	0	6	5	1	2	4	6	0	2	0	3	1	1	4	5	6	4					
14	Число погашенных открепительных удостоверений	514	12	5	11	10	10	2	15	10	10	13	17	12	11	12	6	14	11	14	13	10	4	10	2	6	8	4	5	7	1	2	2	10	2	2	4	8	19	14	18	4	7	10	6	2	3	11	2	11	15	7	9	13	13	4	2	3	3	1	5	4	12	12	9					
15	Число открепительных удостоверений выданных ТИК	30	0	0	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0	1	0	1	0	0	0	2	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	4	0	1	0	0	0	0	0	0	0	0	0	1	4	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	"1. ""ЕДИНЕНИЕ"""	477	4	4	6	8	3	2	8	10	11	8	10	6	13	12	3	5	9	5	7	5	17	8	3	12	4	3	5	13	0	9	2	16	0	0	3	22	12	24	12	8	4	5	6	3	8	10	4	10	11	3	9	10	17	5	2	9	5	4	4	4	13	16	3					
		1.09%	0.36%	0.51%	0.62%	0.85%	0.35%	1.49%	0.75%	2.0%	1.33%	0.67%	0.95%	0.58%	1.16%	1.10%	0.41%	0.43%	1.20%	0.77%	0.56%	0.52%	1.26%	0.99%	2.23%	1.57%	0.40%	0.92%	1.72%	2.26%	0.0%	2.31%	1.25%	1.50%	0.0%	0.0%	1.11%	2.28%	1.15%	2.56%	1.11%	3.79%	0.89%	0.48%	1.32%	2.75%	3.57%	1.32%	1.35%	1.06%	0.91%	0.47%	1.47%	1.11%	1.23%	1.57%	1.11%	2.47%	2.48%	1.6%	1.18%	1.39%	1.18%	1.30%	0.47%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	557	25	5	14	18	17	2	10	8	19	16	18	18	15	16	13	17	8	6	23	18	15	8	1	9	5	1	3	5	5	10	0	5	1	0	0	12	9	20	8	4	4	23	0	0	3	4	1	18	13	3	2	6	12	1	2	9	6	2	2	1	11	20	7					
		1.27%	2.29%	0.64%	1.44%	1.91%	1.99%	1.49%	0.94%	1.6%	2.30%	1.34%	1.72%	1.75%	1.34%	1.47%	1.80%	1.47%	1.06%	0.93%	1.85%	1.90%	1.11%	0.99%	0.74%	1.18%	0.50%	0.30%	1.03%	0.86%	3.12%	2.57%	0.0%	0.47%	0.76%	0.0%	0.0%	1.24%	0.86%	2.14%	0.74%	1.89%	0.89%	2.24%	0.0%	0.0%	1.33%	0.52%	0.33%	1.91%	1.08%	0.47%	0.32%	0.66%	0.86%	0.31%	1.11%	2.47%	2.98%	0.8%	0.59%	0.34%	1.00%	1.63%	1.10%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	881	16	18	19	23	10	3	17	11	27	34	19	18	26	27	11	36	13	18	17	27	12	7	4	6	15	6	0	5	3	18	4	16	6	2	9	21	30	10	13	7	15	23	8	2	5	15	3	23	29	13	8	13	27	5	2	7	2	1	7	9	40	29	11					
		2.01%	1.47%	2.32%	1.96%	2.44%	1.17%	2.23%	1.60%	2.2%	3.26%	2.85%	1.81%	1.75%	2.32%	2.48%	1.52%	3.11%	1.73%	2.79%	1.36%	2.85%	0.89%	0.86%	2.98%	0.78%	1.51%	1.85%	0.0%	0.86%	1.87%	4.63%	2.5%	1.50%	4.61%	1.72%	3.35%	2.18%	2.89%	1.07%	1.21%	3.31%	3.34%	2.24%	1.76%	1.83%	2.23%	1.98%	1.01%	2.44%	2.42%	2.05%	1.31%	1.45%	1.95%	1.57%	1.11%	1.92%	0.99%	0.4%	2.07%	3.14%	3.64%	2.36%	1.74%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1048	37	13	28	17	33	4	32	12	38	35	38	32	32	46	21	38	18	18	45	29	41	14	1	13	8	1	1	10	1	3	5	29	3	1	3	21	18	26	31	3	9	25	7	2	6	17	2	23	30	15	11	7	29	3	1	4	2	0	0	4	20	21	11					
		2.40%	3.40%	1.67%	2.89%	1.80%	3.86%	2.98%	3.01%	2.4%	4.60%	2.94%	3.63%	3.11%	2.85%	4.22%	2.91%	3.29%	2.40%	2.79%	3.62%	3.06%	3.04%	1.73%	0.74%	1.70%	0.80%	0.30%	0.34%	1.73%	0.62%	0.77%	3.12%	2.73%	2.30%	0.86%	1.11%	2.18%	1.73%	2.78%	2.88%	1.42%	2.00%	2.43%	1.54%	1.83%	2.67%	2.24%	0.67%	2.44%	2.50%	2.36%	1.80%	0.78%	2.10%	0.94%	0.55%	1.10%	0.99%	0.0%	0.0%	1.39%	1.82%	1.71%	1.74%					
22	"5. ""За Русь Святую"""	289	2	6	3	6	1	2	7	6	5	8	5	4	8	8	4	3	8	4	8	6	9	1	1	10	6	4	1	2	0	2	1	15	1	0	1	9	6	10	3	4	10	6	9	2	0	9	1	6	9	6	2	5	6	1	1	2	1	1	0	3	4	8	7					
		0.66%	0.18%	0.77%	0.31%	0.63%	0.11%	1.49%	0.65%	1.2%	0.60%	0.67%	0.47%	0.38%	0.71%	0.73%	0.55%	0.25%	1.06%	0.62%	0.64%	0.63%	0.66%	0.12%	0.74%	1.31%	0.60%	1.23%	0.34%	0.34%	0.0%	0.51%	0.62%	1.41%	0.76%	0.0%	0.37%	0.93%	0.57%	1.07%	0.27%	1.89%	2.22%	0.58%	1.98%	1.83%	0.0%	1.18%	0.33%	0.63%	0.75%	0.94%	0.32%	0.55%	0.43%	0.31%	0.55%	0.55%	0.49%	0.4%	0.0%	1.04%	0.36%	0.65%	1.10%					
23	"6. ""Объединенная Российская партия ""Русь"""	128	0	6	3	1	1	1	1	2	2	5	0	2	4	1	0	0	3	1	3	7	1	3	3	3	0	1	0	2	0	0	0	3	0	0	0	4	5	6	1	2	2	3	0	1	0	1	1	3	6	2	4	1	9	2	0	0	2	0	1	1	5	6	1					
		0.29%	0.0%	0.77%	0.31%	0.10%	0.11%	0.74%	0.09%	0.4%	0.24%	0.42%	0.0%	0.19%	0.35%	0.09%	0.0%	0.0%	0.40%	0.15%	0.24%	0.74%	0.07%	0.37%	2.23%	0.39%	0.0%	0.30%	0.0%	0.34%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.41%	0.48%	0.64%	0.09%	0.94%	0.44%	0.29%	0.0%	0.91%	0.0%	0.13%	0.33%	0.31%	0.50%	0.31%	0.65%	0.11%	0.65%	0.63%	0.0%	0.0%	0.99%	0.0%	0.29%	0.34%	0.45%	0.48%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	290	4	6	5	4	6	2	9	3	7	6	5	7	6	8	4	7	2	1	5	8	12	5	0	4	7	0	3	7	2	2	0	9	1	0	3	4	4	6	14	3	2	21	3	0	6	2	2	8	7	3	3	4	9	0	1	1	2	0	0	1	4	9	11					
		0.66%	0.36%	0.77%	0.51%	0.42%	0.70%	1.49%	0.84%	0.6%	0.84%	0.50%	0.47%	0.68%	0.53%	0.73%	0.55%	0.60%	0.26%	0.15%	0.40%	0.84%	0.89%	0.62%	0.0%	0.52%	0.70%	0.0%	1.03%	1.21%	1.25%	0.51%	0.0%	0.84%	0.76%	0.0%	1.11%	0.41%	0.38%	0.64%	1.30%	1.42%	0.44%	2.04%	0.66%	0.0%	2.67%	0.26%	0.67%	0.84%	0.58%	0.47%	0.49%	0.44%	0.65%	0.0%	0.55%	0.27%	0.99%	0.0%	0.0%	0.34%	0.36%	0.73%	1.74%					
25	"8. ""Народно-республиканская партия России"""	82	0	1	3	2	0	0	6	3	2	1	1	0	1	1	0	2	1	1	2	4	4	0	0	1	1	1	0	0	0	4	0	2	0	2	3	1	1	0	2	2	0	2	0	0	0	0	1	0	6	0	3	0	5	1	0	2	0	1	0	0	2	3	1					
		0.18%	0.0%	0.12%	0.31%	0.21%	0.0%	0.0%	0.56%	0.6%	0.24%	0.08%	0.09%	0.0%	0.08%	0.09%	0.0%	0.17%	0.13%	0.15%	0.16%	0.42%	0.29%	0.0%	0.0%	0.13%	0.10%	0.30%	0.0%	0.0%	0.0%	1.03%	0.0%	0.18%	0.0%	1.72%	1.11%	0.10%	0.09%	0.0%	0.18%	0.94%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.50%	0.0%	0.49%	0.0%	0.36%	0.31%	0.0%	0.55%	0.0%	0.4%	0.0%	0.0%	0.18%	0.24%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	131	5	3	1	1	5	0	2	2	3	5	2	4	7	4	1	2	8	1	1	1	7	1	0	2	1	0	2	3	0	0	0	1	0	0	0	3	6	5	2	0	2	0	0	0	0	5	1	6	6	4	0	1	3	1	0	1	1	0	3	1	3	1	1					
		0.30%	0.45%	0.38%	0.10%	0.10%	0.58%	0.0%	0.18%	0.4%	0.36%	0.42%	0.19%	0.38%	0.62%	0.36%	0.13%	0.17%	1.06%	0.15%	0.08%	0.10%	0.51%	0.12%	0.0%	0.26%	0.10%	0.0%	0.68%	0.52%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.31%	0.57%	0.53%	0.18%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.66%	0.33%	0.63%	0.50%	0.63%	0.0%	0.11%	0.21%	0.31%	0.0%	0.27%	0.49%	0.0%	0.89%	0.34%	0.27%	0.08%	0.15%					
27	"10. ""Аграрная партия России"""	1265	25	18	15	22	22	3	31	10	19	32	12	24	30	12	27	21	12	15	15	14	14	44	2	35	36	11	15	25	4	13	11	55	7	5	13	22	27	25	38	2	16	28	13	7	3	33	15	30	29	26	34	50	33	13	15	14	33	1	23	7	21	22	16					
		2.89%	2.29%	2.32%	1.55%	2.33%	2.57%	2.23%	2.92%	2.0%	2.30%	2.69%	1.14%	2.33%	2.68%	1.10%	3.75%	1.81%	1.60%	2.33%	1.20%	1.48%	1.03%	5.46%	1.49%	4.59%	3.63%	3.40%	5.17%	4.34%	2.5%	3.35%	6.87%	5.18%	5.38%	4.31%	4.85%	2.28%	2.60%	2.67%	3.54%	0.94%	3.56%	2.72%	2.86%	6.42%	1.33%	4.35%	5.06%	3.18%	2.42%	4.10%	5.57%	5.58%	2.39%	4.10%	8.37%	3.85%	16.41%	0.4%	6.82%	2.44%	1.91%	1.79%	2.53%					
28	"11. ""Истинные патриоты России"""	104	3	1	2	2	0	3	4	5	9	0	3	2	2	0	1	0	0	0	0	0	9	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	1	1	0	0	8	1	0	0	0	1	2	3	7	0	1	2	1	0	0	0	0	0	0	0	12	13	0					
		0.23%	0.27%	0.12%	0.20%	0.21%	0.0%	2.23%	0.37%	1.0%	1.08%	0.0%	0.28%	0.19%	0.17%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.09%	0.10%	0.0%	0.0%	1.78%	0.09%	0.0%	0.0%	0.0%	0.13%	0.67%	0.31%	0.58%	0.0%	0.16%	0.22%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	1.06%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	448	10	9	2	13	8	2	6	5	6	15	11	21	9	12	4	15	14	9	19	11	24	12	0	7	10	0	2	8	4	2	2	7	1	2	5	12	9	7	7	1	7	9	6	1	2	11	7	9	8	7	6	3	14	0	0	1	2	1	2	2	8	14	5					
		1.02%	0.91%	1.16%	0.20%	1.38%	0.93%	1.49%	0.56%	1.0%	0.72%	1.26%	1.05%	2.04%	0.80%	1.10%	0.55%	1.29%	1.86%	1.39%	1.52%	1.16%	1.78%	1.49%	0.0%	0.91%	1.01%	0.0%	0.68%	1.39%	2.5%	0.51%	1.25%	0.66%	0.76%	1.72%	1.86%	1.24%	0.86%	0.74%	0.65%	0.47%	1.55%	0.87%	1.32%	0.91%	0.89%	1.45%	2.36%	0.95%	0.66%	1.10%	0.98%	0.33%	1.01%	0.0%	0.0%	0.27%	0.99%	0.4%	0.59%	0.69%	0.72%	1.14%	0.79%					
30	"13. ""Демократическая партия России"""	78	2	0	1	1	3	2	4	1	4	0	2	2	1	0	0	3	2	1	2	0	3	1	0	1	1	1	0	2	0	0	0	1	0	0	3	1	3	0	4	0	1	3	1	0	0	3	0	1	1	0	2	1	5	1	0	0	1	1	0	0	3	1	1					
		0.17%	0.18%	0.0%	0.10%	0.10%	0.35%	1.49%	0.37%	0.2%	0.48%	0.0%	0.19%	0.19%	0.08%	0.0%	0.0%	0.25%	0.26%	0.15%	0.16%	0.0%	0.22%	0.12%	0.0%	0.13%	0.10%	0.30%	0.0%	0.34%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	1.11%	0.10%	0.28%	0.0%	0.37%	0.0%	0.22%	0.29%	0.22%	0.0%	0.0%	0.39%	0.0%	0.10%	0.08%	0.0%	0.32%	0.11%	0.36%	0.31%	0.0%	0.0%	0.49%	0.4%	0.0%	0.0%	0.27%	0.08%	0.15%					
31	"14. ""Великая Россия - Евразийский Союз"""	78	0	1	1	1	2	0	2	3	0	5	0	2	4	0	2	2	1	1	3	5	1	2	1	1	9	1	0	0	1	0	0	0	0	0	1	0	0	4	1	0	1	1	0	0	0	2	2	1	2	1	2	2	0	0	0	0	1	0	0	0	4	1	1					
		0.17%	0.0%	0.12%	0.10%	0.10%	0.23%	0.0%	0.18%	0.6%	0.0%	0.42%	0.0%	0.19%	0.35%	0.0%	0.27%	0.17%	0.13%	0.15%	0.24%	0.52%	0.07%	0.24%	0.74%	0.13%	0.90%	0.30%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.42%	0.09%	0.0%	0.22%	0.09%	0.0%	0.0%	0.0%	0.26%	0.67%	0.10%	0.16%	0.15%	0.32%	0.22%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.36%	0.08%	0.15%					
32	"15. ""Партия СЛОН"""	29	1	0	0	2	0	0	0	1	2	0	1	0	1	0	2	0	0	0	3	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0					
		0.06%	0.09%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.2%	0.24%	0.0%	0.09%	0.0%	0.08%	0.0%	0.27%	0.0%	0.0%	0.0%	0.24%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.88%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.31%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3950	90	66	93	106	86	7	89	41	48	117	113	92	131	141	71	115	72	74	131	109	138	63	12	85	72	21	19	55	2	24	11	82	3	7	21	82	97	91	89	20	43	102	35	7	25	73	19	87	92	43	35	86	141	18	15	21	19	14	22	22	76	103	66					
		9.04%	8.27%	8.52%	9.62%	11.26%	10.08%	5.22%	8.38%	8.2%	5.81%	9.84%	10.81%	8.96%	11.70%	12.95%	9.86%	9.95%	9.61%	11.50%	10.54%	11.53%	10.23%	7.82%	8.95%	11.16%	7.27%	6.50%	6.55%	9.56%	1.25%	6.18%	6.87%	7.73%	2.30%	6.03%	7.83%	8.51%	9.35%	9.74%	8.29%	9.47%	9.57%	9.94%	7.70%	6.42%	11.16%	9.64%	6.41%	9.23%	7.68%	6.79%	5.73%	9.59%	10.21%	5.67%	8.37%	5.78%	9.45%	5.6%	6.52%	7.69%	6.92%	8.40%	10.45%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	132	2	4	0	4	3	1	3	7	3	2	1	3	1	2	6	6	0	0	4	3	2	2	2	1	0	4	1	0	0	0	1	1	0	0	0	4	2	5	5	1	3	2	1	1	0	0	1	3	4	1	6	3	2	1	1	1	1	2	2	3	1	5	2					
		0.30%	0.18%	0.51%	0.0%	0.42%	0.35%	0.74%	0.28%	1.4%	0.36%	0.16%	0.09%	0.29%	0.08%	0.18%	0.83%	0.51%	0.0%	0.0%	0.32%	0.31%	0.14%	0.24%	1.49%	0.13%	0.0%	1.23%	0.34%	0.0%	0.0%	0.0%	0.62%	0.09%	0.0%	0.0%	0.0%	0.41%	0.19%	0.53%	0.46%	0.47%	0.66%	0.19%	0.22%	0.91%	0.0%	0.0%	0.33%	0.31%	0.33%	0.15%	0.98%	0.33%	0.14%	0.31%	0.55%	0.27%	0.49%	0.8%	0.59%	1.04%	0.09%	0.40%	0.31%					
35	"18. ""ЛДПР"""	6418	161	104	123	128	104	14	132	82	109	198	161	134	146	139	133	196	117	90	160	146	288	144	19	83	110	60	43	72	7	75	31	171	8	15	26	138	129	126	173	35	38	108	60	11	36	85	64	178	198	132	73	136	203	47	34	50	20	35	66	50	182	224	58					
		14.70%	14.81%	13.43%	12.73%	13.60%	12.19%	10.44%	12.44%	16.4%	13.19%	16.65%	15.40%	13.06%	13.04%	12.77%	18.47%	16.96%	15.62%	13.99%	12.88%	15.44%	21.36%	17.88%	14.17%	10.90%	11.11%	18.57%	14.82%	12.52%	4.37%	19.32%	19.37%	16.13%	6.15%	12.93%	9.70%	14.33%	12.43%	13.49%	16.12%	16.58%	8.46%	10.52%	13.21%	10.09%	16.07%	11.22%	21.62%	18.89%	16.54%	20.85%	11.96%	15.17%	14.71%	14.82%	18.99%	13.77%	9.95%	14.0%	19.58%	17.48%	16.59%	18.27%	9.19%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	629	9	9	17	16	13	0	3	5	15	9	32	16	19	15	11	12	12	10	17	18	17	13	8	12	18	6	6	6	1	9	0	27	1	4	1	11	9	16	22	0	3	12	9	0	1	15	4	8	13	11	12	17	20	1	1	4	2	5	2	4	20	12	8					
		1.44%	0.82%	1.16%	1.75%	1.70%	1.52%	0.0%	0.28%	1.0%	1.81%	0.75%	3.06%	1.55%	1.69%	1.37%	1.52%	1.03%	1.60%	1.55%	1.36%	1.90%	1.26%	1.61%	5.97%	1.57%	1.81%	1.85%	2.06%	1.04%	0.62%	2.31%	0.0%	2.54%	0.76%	3.44%	0.37%	1.14%	0.86%	1.71%	2.05%	0.0%	0.66%	1.16%	1.98%	0.0%	0.44%	1.98%	1.35%	0.84%	1.08%	1.73%	1.96%	1.89%	1.44%	0.31%	0.55%	1.10%	0.99%	2.0%	0.59%	1.39%	1.82%	0.97%	1.26%					
37	"20. ""Политическая партия ""Единая Россия"""	14985	350	223	307	343	297	45	402	165	318	400	328	309	338	347	222	365	274	242	383	293	425	294	49	297	407	111	84	171	69	121	60	327	21	40	130	319	420	315	430	48	123	360	158	37	89	270	98	282	459	215	207	303	437	99	46	110	45	110	130	115	413	480	310					
		34.33%	32.19%	28.81%	31.78%	36.45%	34.81%	33.58%	37.88%	33.0%	38.49%	33.64%	31.38%	30.11%	30.20%	31.89%	30.83%	31.60%	36.58%	37.63%	30.83%	31.00%	31.52%	36.52%	36.56%	39.02%	41.11%	34.36%	28.96%	29.73%	43.12%	31.18%	37.5%	30.84%	16.15%	34.48%	48.50%	33.12%	40.50%	33.72%	40.07%	22.74%	27.39%	35.08%	34.80%	33.94%	39.73%	35.66%	33.10%	29.93%	38.34%	33.96%	33.93%	33.81%	31.66%	31.23%	25.69%	30.30%	22.38%	44.0%	38.57%	40.20%	37.64%	39.15%	49.12%					
38	"21. ""Российская Конституционно-демократическая партия"""	104	2	0	1	1	0	3	2	1	0	2	1	3	6	3	2	2	2	1	2	1	1	4	0	3	1	0	0	1	1	0	0	5	0	2	1	1	2	8	1	0	1	0	0	4	0	10	1	1	3	3	2	3	3	0	0	1	1	0	1	0	1	2	1					
