Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																								
Дата голосования: 02.12.2007																																																																																																																																								
																																																																																																																																								
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																																																																																								
																																																																																																																																								
Сводная таблица результатов выборов																																																																																																																																								
																																																																																																																																								
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1623	УИК №1624	УИК №1626	УИК №1627	УИК №1628	УИК №1631	УИК №1633	УИК №1636	УИК №1637	УИК №1638	УИК №1640	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1689	УИК №1690	УИК №1692	УИК №1694	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2420	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	70	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	904	16	8	21	21	15	10	13	26	32	21	22	26	32	13	8	12	13	0	16	17	24	24	18	27	20	25	34	8	15	21	16	8	20	18	63	9	27	23	9	12	12	10	18	14	14	14	17	20	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	711	7	9	7	11	15	8	18	17	18	15	14	12	5	11	14	9	11	88	22	14	10	14	7	10	31	18	17	5	12	14	14	36	13	11	10	8	12	11	21	21	6	10	15	0	0	14	15	23	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	1516	34	42	29	29	35	40	37	24	18	29	28	24	18	37	42	38	37	0	34	33	26	26	32	23	30	25	16	42	35	29	34	42	30	32	7	41	23	27	41	38	38	40	32	36	36	36	33	30	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	16	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																								
18	1.Политическая партия «Аграрная партия России»	1274	28	18	13	30	15	27	28	22	28	29	28	30	43	26	24	20	35	19	34	31	41	35	31	26	21	19	27	27	40	35	14	23	21	18	23	17	34	32	23	24	23	21	16	22	26	22	19	25	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	2	3	1	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	3	1	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	2	0	1					
		2.17%	2.42%	2.13%	1.18%	3.03%	1.76%	2.49%	2.19%	1.61%	2.21%	2.51%	2.27%	2.36%	3.35%	2.59%	2.96%	1.60%	2.77%	7.17%	2.90%	2.67%	3.19%	2.74%	2.18%	1.52%	2.55%	2.24%	2.76%	2.90%	2.87%	2.63%	1.46%	2.13%	1.89%	1.44%	1.64%	2.24%	2.51%	2.64%	1.83%	1.81%	1.90%	2.05%	1.75%	1.85%	2.60%	2.34%	1.70%	2.34%	1.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.34%	0.00%	3.57%	0.00%	0.68%	1.07%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	3.45%	11.11%	1.69%	0.00%	0.00%	0.00%	9.68%	6.25%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.50%	0.00%	0.00%	0.00%	7.69%	0.00%	9.38%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	4.55%					
19	2.Всероссийская политическая партия «Гражданская Сила»	835	11	12	20	17	16	16	16	20	27	17	15	24	11	12	18	30	23	1	12	16	19	22	13	17	14	9	12	25	27	23	9	25	6	12	17	16	15	20	14	32	22	7	10	12	17	21	22	15	6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	3	0					
		1.42%	0.95%	1.42%	1.81%	1.72%	1.87%	1.48%	1.25%	1.46%	2.13%	1.47%	1.22%	1.89%	0.86%	1.20%	2.22%	2.40%	1.82%	0.38%	1.02%	1.38%	1.48%	1.72%	0.91%	0.99%	1.70%	1.06%	1.23%	2.68%	1.93%	1.73%	0.94%	2.31%	0.54%	0.96%	1.21%	2.11%	1.11%	1.65%	1.12%	2.42%	1.82%	0.68%	1.09%	1.01%	1.70%	2.23%	1.97%	1.41%	0.95%	0.00%	0.00%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.78%	0.00%	1.18%	0.00%	0.00%	0.00%	3.33%	3.33%	1.75%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	2.56%	0.00%	0.00%	3.85%	3.13%	3.13%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	11.11%	0.00%					
20	3.Политическая партия «Демократическая партия России»	126	1	1	2	0	0	3	3	3	2	2	2	2	5	3	0	0	2	0	2	2	2	1	7	8	1	2	3	2	2	2	1	1	3	2	4	1	3	4	1	2	1	5	2	2	4	5	4	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.21%	0.09%	0.12%	0.18%	0.00%	0.00%	0.28%	0.24%	0.22%	0.16%	0.17%	0.16%	0.16%	0.39%	0.30%	0.00%	0.00%	0.16%	0.00%	0.17%	0.17%	0.16%	0.08%	0.49%	0.47%	0.12%	0.24%	0.31%	0.21%	0.14%	0.15%	0.10%	0.09%	0.27%	0.16%	0.29%	0.13%	0.22%	0.33%	0.08%	0.15%	0.08%	0.49%	0.22%	0.17%	0.40%	0.53%	0.36%	0.09%	0.47%	0.00%	0.00%	0.00%	2.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.51%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6271	119	70	98	91	86	101	127	133	141	160	161	151	173	92	125	141	173	85	154	129	162	183	139	126	74	95	102	101	181	138	90	157	146	138	104	78	135	121	141	153	164	117	106	111	147	132	150	150	35	0	0	1	4	0	1	2	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	5	3	0	0	7	0	4	0	2	2	1	0	1	0	0	0	0	6	0	0	0	2	3	2	0	1	1	1	0	3	0	1	0	0	0	0	0	0	1	0	2	1	2	2	0	1	2	0	1	3	6	0	2	1	0	1	2	0					
		10.70%	10.30%	8.26%	8.89%	9.19%	10.07%	9.32%	9.95%	9.73%	11.11%	13.85%	13.08%	11.90%	13.49%	9.16%	15.41%	11.29%	13.71%	32.08%	13.15%	11.10%	12.62%	14.34%	9.77%	7.38%	8.98%	11.22%	10.43%	10.84%	12.97%	10.37%	9.41%	14.54%	13.12%	11.04%	7.42%	10.29%	9.96%	10.00%	11.24%	11.56%	13.55%	11.40%	11.57%	9.34%	14.69%	14.01%	13.45%	14.06%	5.52%	0.00%	0.00%	2.17%	11.43%	0.00%	2.17%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	8.33%	0.00%	1.18%	0.00%	17.24%	16.67%	0.00%	0.00%	4.09%	0.00%	14.29%	0.00%	0.68%	0.71%	1.28%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	27.27%	0.00%	0.00%	0.00%	6.90%	16.67%	3.39%	0.00%	3.70%	4.17%	3.23%	0.00%	0.85%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.50%	0.00%	2.38%	1.11%	7.69%	6.25%	0.00%	3.03%	2.33%	0.00%	1.06%	3.33%	8.57%	0.00%	8.33%	5.26%	0.00%	3.85%	7.41%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	646	16	18	15	16	13	19	19	35	9	13	15	30	19	12	8	12	15	1	8	13	24	12	14	16	7	9	16	17	20	14	10	14	11	8	6	8	12	9	10	14	14	10	5	11	6	14	12	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0					
		1.10%	1.39%	2.13%	1.36%	1.62%	1.52%	1.75%	1.49%	2.56%	0.71%	1.13%	1.22%	2.36%	1.48%	1.20%	0.99%	0.96%	1.19%	0.38%	0.68%	1.12%	1.87%	0.94%	0.98%	0.94%	0.85%	1.06%	1.64%	1.82%	1.43%	1.05%	1.05%	1.30%	0.99%	0.64%	0.43%	1.06%	0.89%	0.74%	0.80%	1.06%	1.16%	0.97%	0.55%	0.93%	0.60%	1.49%	1.08%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.13%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	178	6	2	3	2	3	3	5	5	1	3	7	3	5	1	2	4	4	1	4	5	6	5	2	5	3	4	6	2	5	4	4	2	2	2	0	2	5	1	7	5	4	2	0	0	0	6	9	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.30%	0.52%	0.24%	0.27%	0.20%	0.35%	0.28%	0.39%	0.37%	0.08%	0.26%	0.57%	0.24%	0.39%	0.10%	0.25%	0.32%	0.32%	0.38%	0.34%	0.43%	0.47%	0.39%	0.14%	0.29%	0.36%	0.47%	0.61%	0.21%	0.36%	0.30%	0.42%	0.19%	0.18%	0.16%	0.00%	0.26%	0.37%	0.08%	0.56%	0.38%	0.33%	0.19%	0.00%	0.00%	0.00%	0.64%	0.81%	0.37%	0.00%	0.00%	0.00%	2.17%	0.00%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.17%	0.00%	0.00%	0.00%	0.34%	1.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	8377	185	103	182	109	139	152	172	235	213	154	216	181	176	164	130	199	153	30	172	175	172	195	240	263	143	127	148	138	189	195	163	120	145	176	205	116	210	193	204	201	197	134	158	193	173	109	139	157	67	2	0	9	10	0	0	0	0	0	1	2	0	3	2	3	1	0	2	9	2	1	0	3	2	2	0	23	0	0	0	3	1	1	4	2	0	0	2	0	2	2	0	1	19	2	12	0	4	10	4	3	10	1	1	0	0	0	0	1	1	3	2	1	3	7	8	9	8	1	4	3	3	7	10	2	9	6	8	6	4					
