Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Норильская городская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665					
11	Число полученных открепительных  удостоверений	2920	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40					
12	Число выданных открепительных удостоверений	305	8	9	5	7	2	3	3	6	10	6	7	8	1	1	3	3	0	1	7	4	5	4	3	7	2	4	0	4	3	3	2	6	1	3	4	1	1	7	2	2	0	3	8	18	4	0	3	1	2	2	2	2	3	0	1	6	4	1	2	4	3	4	6	2	3	12	5	11	13	1	5	11	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	179	2	2	41	1	4	2	5	0	3	4	5	1	6	1	1	2	1	7	2	0	5	1	1	0	3	1	2	0	2	0	1	0	0	4	3	0	2	2	3	2	6	2	1	3	1	1	0	0	1	1	0	0	1	0	3	3	1	0	1	2	1	0	0	0	2	2	2	0	0	2	0	1	1	19					
14	Число неиспользованных открепительных удостоверений	2615	32	31	35	33	38	37	37	34	30	34	33	32	39	39	37	37	40	39	33	36	35	36	37	33	38	36	40	36	37	37	38	34	39	37	36	39	39	33	38	38	0	37	32	22	36	40	37	39	38	38	38	38	37	40	39	34	36	39	38	36	37	36	34	38	37	28	35	29	27	39	35	29	35	40					
15	"Число открепительных удостоверений, выданных в ТИК"	44	4	0	0	3	3	2	1	1	2	3	1	0	0	1	1	0	2	0	0	2	2	1	0	0	0	0	0	0	0	1	2	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																	
18	. Глазьев Сергей Юрьевич	3264	55	82	58	56	54	53	81	42	63	53	52	58	67	43	48	46	35	46	36	42	40	61	58	45	35	40	43	39	43	47	36	39	30	35	36	41	24	70	57	46	32	40	76	28	27	27	44	30	25	50	51	39	28	27	42	44	49	42	50	44	36	55	55	41	34	27	29	56	51	21	34	61	33	1					
		4.40%	4.54%	6.69%	5.27%	5.54%	4.81%	5.31%	6.08%	3.86%	5.72%	4.33%	4.43%	4.25%	5.34%	4.24%	4.57%	4.68%	4.76%	4.11%	3.28%	4.22%	5.08%	5.31%	5.10%	5.34%	3.95%	4.88%	4.96%	4.50%	4.70%	5.05%	3.46%	4.33%	3.68%	3.26%	3.51%	4.66%	5.56%	5.27%	4.50%	4.24%	5.70%	4.32%	5.70%	4.71%	3.33%	3.73%	4.21%	3.99%	4.10%	4.05%	5.90%	4.06%	2.85%	3.03%	4.16%	4.83%	5.19%	4.10%	5.32%	3.96%	4.29%	4.99%	5.54%	3.81%	3.85%	3.17%	3.13%	3.78%	3.38%	1.84%	2.87%	3.76%	3.53%	1.23%					
19	. Малышкин Олег Александрович	1345	15	17	27	16	24	22	33	14	24	14	25	15	21	14	19	11	10	15	17	14	24	27	23	7	23	13	15	16	15	13	21	10	19	20	22	10	9	24	21	16	17	16	30	6	15	10	16	17	4	16	18	17	15	17	24	27	18	26	9	18	21	17	21	18	19	22	28	28	24	30	24	18	22	2					
		1.81%	1.24%	1.39%	2.45%	1.58%	2.14%	2.20%	2.48%	1.29%	2.18%	1.14%	2.13%	1.10%	1.67%	1.38%	1.81%	1.12%	1.36%	1.34%	1.55%	1.41%	3.05%	2.35%	2.02%	0.83%	2.59%	1.59%	1.73%	1.85%	1.64%	1.40%	2.02%	1.11%	2.33%	1.86%	2.14%	1.14%	2.08%	1.81%	1.66%	1.47%	3.03%	1.73%	2.25%	1.01%	1.85%	1.38%	1.53%	2.26%	0.66%	1.30%	2.08%	1.77%	1.53%	1.91%	2.38%	2.96%	1.91%	2.54%	0.96%	1.62%	2.50%	1.54%	2.11%	1.67%	2.15%	2.58%	3.02%	1.89%	1.59%	2.63%	2.03%	1.11%	2.35%	2.47%					
20	. Миронов Сергей Михайлович	365	8	3	4	1	8	5	3	4	10	6	5	8	4	2	7	4	6	5	3	4	4	5	8	6	3	3	1	3	2	4	6	5	4	3	7	4	1	2	5	6	7	6	10	4	7	6	5	6	3	5	5	4	5	6	6	4	6	6	1	11	5	3	1	6	2	4	3	10	7	6	11	7	5	0					
		0.49%	0.66%	0.24%	0.36%	0.10%	0.71%	0.50%	0.23%	0.37%	0.91%	0.49%	0.43%	0.59%	0.32%	0.20%	0.67%	0.41%	0.82%	0.45%	0.27%	0.40%	0.51%	0.44%	0.70%	0.71%	0.34%	0.37%	0.12%	0.35%	0.22%	0.43%	0.58%	0.56%	0.49%	0.28%	0.68%	0.46%	0.23%	0.15%	0.39%	0.55%	1.25%	0.65%	0.75%	0.67%	0.86%	0.83%	0.48%	0.80%	0.49%	0.41%	0.58%	0.42%	0.51%	0.67%	0.59%	0.44%	0.64%	0.59%	0.11%	0.99%	0.60%	0.27%	0.10%	0.56%	0.23%	0.47%	0.32%	0.68%	0.46%	0.53%	0.93%	0.43%	0.53%	0.00%					
21	. Путин Владимир Владимирович	58888	938	923	831	769	877	739	1049	863	837	943	937	1092	971	798	820	768	576	872	906	809	609	910	894	666	705	659	684	692	710	745	822	725	671	885	816	706	329	1059	1009	892	446	757	1034	463	650	582	822	598	478	1000	688	780	787	701	812	700	770	824	748	868	674	902	803	858	729	694	765	1214	1224	943	946	1286	778	58					
		79.46%	77.46%	75.29%	75.48%	76.14%	78.16%	73.97%	78.69%	79.39%	76.02%	77.11%	79.88%	80.06%	77.37%	78.70%	78.10%	78.13%	78.37%	77.86%	82.59%	81.22%	77.28%	79.27%	78.56%	79.10%	79.48%	80.37%	78.89%	79.91%	77.68%	80.11%	78.96%	80.56%	82.33%	82.33%	79.45%	80.32%	76.16%	79.68%	79.64%	82.14%	79.50%	81.75%	77.51%	77.82%	80.25%	80.50%	78.66%	79.52%	78.36%	81.04%	79.54%	81.25%	80.06%	78.68%	80.40%	76.84%	81.57%	80.47%	79.66%	78.06%	80.24%	81.78%	80.87%	79.81%	82.47%	81.36%	82.52%	81.97%	81.06%	82.72%	79.90%	79.33%	83.21%	71.60%					
22	. Хакамада Ирина Муцуовна	3930	90	88	78	84	61	73	44	69	65	91	61	76	92	63	59	64	46	64	53	54	36	80	66	52	47	29	46	45	45	44	64	53	34	51	66	43	24	62	56	46	20	39	58	27	41	25	56	44	52	55	39	44	60	52	45	62	33	53	55	55	32	45	48	61	50	25	42	64	57	53	55	92	23	4					
		5.30%	7.43%	7.18%	7.08%	8.32%	5.44%	7.31%	3.30%	6.35%	5.90%	7.44%	5.20%	5.57%	7.33%	6.21%	5.62%	6.51%	6.26%	5.71%	4.83%	5.42%	4.57%	6.97%	5.80%	6.18%	5.30%	3.54%	5.31%	5.20%	4.92%	4.73%	6.15%	5.89%	4.17%	4.74%	6.43%	4.89%	5.56%	4.67%	4.42%	4.24%	3.57%	4.21%	4.35%	4.54%	5.06%	3.46%	5.36%	5.85%	8.52%	4.46%	4.51%	4.58%	6.10%	5.84%	4.46%	6.81%	3.50%	5.18%	5.86%	4.95%	3.81%	4.08%	4.83%	5.67%	5.66%	2.93%	4.53%	4.32%	3.77%	4.65%	4.65%	5.68%	2.46%	4.94%					
23	. Харитонов Николай Михайлович	2918	42	50	36	33	37	46	49	50	42	47	44	46	40	40	41	38	25	60	27	30	37	22	44	33	28	29	30	31	55	37	48	33	29	31	34	32	25	47	49	28	22	35	68	35	38	39	53	29	25	69	34	44	40	42	42	39	31	34	34	53	43	41	28	42	27	47	38	43	71	42	47	80	31	7					
		3.94%	3.47%	4.08%	3.27%	3.27%	3.30%	4.60%	3.68%	4.60%	3.81%	3.84%	3.75%	3.37%	3.19%	3.94%	3.90%	3.87%	3.40%	5.36%	2.46%	3.01%	4.70%	1.92%	3.87%	3.92%	3.16%	3.54%	3.46%	3.58%	6.02%	3.98%	4.61%	3.67%	3.56%	2.88%	3.31%	3.64%	5.79%	3.54%	3.87%	2.58%	3.92%	3.78%	5.10%	5.88%	4.69%	5.39%	5.07%	3.86%	4.10%	5.59%	3.93%	4.58%	4.07%	4.71%	4.16%	4.28%	3.28%	3.32%	3.62%	4.77%	5.12%	3.72%	2.82%	3.91%	3.05%	5.51%	4.10%	2.90%	4.70%	3.68%	3.97%	4.94%	3.32%	8.64%					
																																																																																	
24	Против всех	3088	60	60	63	47	51	56	71	43	52	66	48	64	55	51	55	49	33	52	50	35	32	37	44	29	40	42	41	34	39	40	42	34	25	49	44	43	13	56	70	47	16	29	55	31	29	29	45	22	21	35	30	28	45	38	36	28	34	32	38	58	23	35	31	39	23	28	19	61	71	45	59	72	34	7					
		4.17%	4.95%	4.89%	5.72%	4.65%	4.55%	5.61%	5.33%	3.96%	4.72%	5.40%	4.09%	4.69%	4.38%	5.03%	5.24%	4.98%	4.49%	4.64%	4.56%	3.51%	4.06%	3.22%	3.87%	3.44%	4.51%	5.12%	4.73%	3.93%	4.27%	4.30%	4.03%	3.78%	3.07%	4.56%	4.28%	4.89%	3.01%	4.21%	5.52%	4.33%	2.85%	3.13%	4.12%	5.21%	3.58%	4.01%	4.31%	2.93%	3.44%	2.84%	3.47%	2.92%	4.58%	4.26%	3.56%	3.07%	3.60%	3.12%	4.05%	5.22%	2.74%	3.17%	3.12%	3.63%	2.60%	3.28%	2.05%	4.12%	4.70%	3.95%	4.98%	4.44%	3.64%	8.64%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
