Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																														
Дата голосования: 04.12.2011																																																																																																														
																																																																																																														
Наименование Избирательной комиссии:    Уссурийская																																																																																																														
																																																																																																														
Сводная таблица результатов выборов																																																																																																														
																																																																																																														
		Сумма	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1090	15	11	13	8	25	16	11	11	16	7	6	11	12	10	7	11	18	15	17	14	11	4	24	3	9	6	10	10	14	7	13	7	0	4	5	6	24	11	12	12	22	4	12	10	6	29	8	12	0	13	13	24	15	15	15	23	20	9	15	8	15	15	7	16	3	8	12	6	0	30	5	3	5	2	4	6	4	5	3	5	10	3	8	10	4	10	5	4	0	4	4	5	8	8	5	3	89	5	4	7	10	4	7					
14	Число погашенных неиспользованных открепительных удостоверений	1144	21	15	15	4	11	8	0	10	4	4	6	1	10	11	20	11	26	5	11	6	18	17	11	9	25	18	16	0	10	12	16	13	11	8	14	8	24	11	6	15	15	0	4	17	19	14	4	9	12	7	7	16	0	34	21	11	24	10	10	9	12	105	6	18	14	3	0	0	0	0	0	0	20	0	0	2	0	27	0	10	0	26	8	13	21	0	0	2	9	10	9	0	0	10	17	0	0	13	8	32	6	13	26					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	10	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11506	223	169	195	194	52	39	159	197	129	156	132	54	57	111	230	201	290	266	180	119	203	115	90	13	110	96	130	205	225	153	185	161	164	210	280	15	185	191	155	325	207	72	64	100	51	139	75	132	148	43	154	155	220	143	132	49	265	27	130	48	142	181	39	204	79	115	29	14	5	20	50	11	11	40	25	32	17	125	41	19	150	118	56	162	130	65	20	15	30	29	6	41	30	19	17	68	36	11	60	147	209	128	42					
		15.73%	19.04%	14.82%	17.74%	18.80%	19.92%	13.27%	14.21%	17.50%	8.14%	12.42%	21.15%	6.43%	8.26%	18.97%	16.08%	22.33%	23.75%	18.29%	12.39%	10.15%	19.88%	18.31%	5.59%	13.83%	8.18%	18.90%	7.78%	12.95%	19.95%	25.50%	14.85%	24.32%	18.20%	20.10%	25.34%	18.75%	17.13%	18.33%	22.93%	25.47%	23.71%	21.49%	14.92%	25.00%	6.65%	20.26%	21.19%	16.62%	12.93%	17.92%	20.24%	18.95%	22.02%	15.87%	16.50%	5.46%	21.37%	5.50%	22.15%	6.75%	23.55%	14.67%	11.34%	16.39%	13.76%	15.95%	12.13%	13.33%	23.81%	4.75%	14.41%	11.46%	9.73%	13.79%	16.34%	23.19%	18.89%	20.76%	16.87%	15.32%	14.91%	14.22%	15.05%	21.23%	11.84%	12.62%	19.42%	22.73%	20.69%	15.26%	8.45%	19.07%	20.69%	16.24%	12.98%	19.10%	5.23%	8.66%	18.29%	13.50%	19.39%	19.57%	3.05%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	11621	214	242	237	162	59	76	148	116	164	302	119	59	43	96	214	159	212	243	109	60	110	101	145	17	308	104	143	275	195	93	170	131	98	183	197	16	239	169	104	247	154	48	86	67	53	164	70	104	88	49	133	178	229	180	96	52	229	29	145	18	102	285	13	154	27	159	33	27	3	212	64	15	21	29	33	8	13	108	35	16	161	159	38	136	170	97	8	12	27	52	8	39	17	29	25	87	43	28	51	249	221	150	206					
		15.89%	18.27%	21.23%	21.57%	15.70%	22.61%	25.85%	13.23%	10.30%	10.35%	24.04%	19.07%	7.02%	6.23%	16.41%	14.97%	17.67%	17.36%	16.71%	7.50%	5.12%	10.77%	16.08%	9.00%	18.09%	22.90%	20.47%	8.56%	17.37%	17.29%	15.50%	13.64%	19.79%	10.88%	17.51%	17.83%	20.00%	22.13%	16.22%	15.38%	19.36%	17.64%	14.33%	20.05%	16.75%	6.91%	23.91%	19.77%	13.10%	7.69%	20.42%	17.48%	21.76%	22.92%	19.98%	12.00%	5.80%	18.47%	5.91%	24.70%	2.53%	16.92%	23.10%	3.78%	12.37%	4.70%	22.05%	13.81%	25.71%	14.29%	50.36%	18.44%	15.63%	18.58%	10.00%	21.57%	5.80%	14.44%	17.94%	14.40%	12.90%	16.00%	19.16%	10.22%	17.82%	15.48%	18.83%	7.77%	18.18%	18.62%	27.37%	11.27%	18.14%	11.72%	24.79%	19.08%	24.44%	6.25%	22.05%	15.55%	22.87%	20.50%	22.94%	14.97%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	485	0	17	0	6	2	2	6	0	17	12	5	0	2	13	10	6	14	17	14	7	8	1	4	1	9	2	7	10	1	4	13	7	8	11	10	0	7	8	2	0	4	0	4	7	0	3	4	5	10	4	7	0	11	7	0	7	5	4	4	0	0	13	1	13	7	0	3	0	0	2	6	1	3	1	1	1	0	6	4	2	2	6	3	13	2	4	0	0	0	0	2	2	5	1	0	6	4	0	3	11	0	4	4					
		0.66%	0.00%	1.49%	0.00%	0.58%	0.77%	0.68%	0.54%	0.00%	1.07%	0.96%	0.80%	0.00%	0.29%	2.22%	0.70%	0.67%	1.15%	1.17%	0.96%	0.60%	0.78%	0.16%	0.25%	1.06%	0.67%	0.39%	0.42%	0.63%	0.09%	0.67%	1.04%	1.06%	0.89%	1.05%	0.90%	0.00%	0.65%	0.77%	0.30%	0.00%	0.46%	0.00%	0.93%	1.75%	0.00%	0.44%	1.13%	0.63%	0.87%	1.67%	0.92%	0.00%	1.10%	0.78%	0.00%	0.78%	0.40%	0.81%	0.68%	0.00%	0.00%	1.05%	0.29%	1.04%	1.22%	0.00%	1.26%	0.00%	0.00%	0.48%	1.73%	1.04%	2.65%	0.34%	0.65%	0.72%	0.00%	0.99%	1.65%	1.61%	0.20%	0.72%	0.81%	1.70%	0.18%	0.78%	0.00%	0.00%	0.00%	0.00%	2.82%	0.93%	3.45%	0.85%	0.00%	1.69%	0.58%	0.00%	0.91%	1.01%	0.00%	0.61%	0.29%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14138	303	260	249	265	48	55	231	273	353	186	141	90	111	122	271	238	314	334	192	93	232	166	140	23	138	144	125	288	292	167	227	165	109	268	275	24	265	257	174	308	172	80	105	82	135	126	74	125	180	69	190	280	269	166	186	66	342	52	102	120	140	213	63	309	34	190	53	32	2	13	40	14	18	39	6	16	20	75	49	22	122	165	47	195	142	109	20	7	21	20	5	29	35	22	35	66	39	28	95	252	315	143	41					
		19.33%	25.88%	22.81%	22.66%	25.68%	18.39%	18.71%	20.64%	24.25%	22.27%	14.81%	22.60%	10.71%	16.09%	20.85%	18.95%	26.44%	25.72%	22.97%	13.21%	7.94%	22.72%	26.43%	8.69%	24.47%	10.26%	28.35%	7.49%	18.19%	25.89%	27.83%	18.22%	24.92%	12.10%	25.65%	24.89%	30.00%	24.54%	24.66%	25.74%	24.14%	19.70%	23.88%	24.48%	20.50%	17.60%	18.37%	20.90%	15.74%	15.72%	28.75%	24.97%	34.23%	26.93%	18.42%	23.25%	7.36%	27.58%	10.59%	17.38%	16.88%	23.22%	17.26%	18.31%	24.82%	5.92%	26.35%	22.18%	30.48%	9.52%	3.09%	11.53%	14.58%	15.93%	13.45%	3.92%	11.59%	22.22%	12.46%	20.16%	17.74%	12.13%	19.88%	12.63%	25.56%	12.93%	21.17%	19.42%	10.61%	14.48%	10.53%	7.04%	13.49%	24.14%	18.80%	26.72%	18.54%	5.67%	22.05%	28.96%	23.14%	29.22%	21.87%	2.98%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1214	0	26	0	42	4	6	26	19	27	29	23	0	3	21	18	26	31	28	32	24	30	3	15	1	10	13	8	27	1	14	30	12	13	48	32	3	29	20	25	0	31	4	9	8	1	24	2	16	5	6	16	0	28	17	0	18	29	10	12	9	15	17	2	23	6	0	3	0	0	2	4	0	1	3	0	0	1	9	4	2	11	20	4	22	8	11	1	0	2	1	0	2	6	4	5	9	3	1	3	21	0	10	14					
		1.66%	0.00%	2.28%	0.00%	4.07%	1.53%	2.04%	2.32%	1.69%	1.70%	2.31%	3.69%	0.00%	0.43%	3.59%	1.26%	2.89%	2.54%	1.93%	2.20%	2.05%	2.94%	0.48%	0.93%	1.06%	0.74%	2.56%	0.48%	1.71%	0.09%	2.33%	2.41%	1.81%	1.44%	4.59%	2.90%	3.75%	2.69%	1.92%	3.70%	0.00%	3.55%	1.19%	2.10%	2.00%	0.13%	3.50%	0.56%	2.02%	0.44%	2.50%	2.10%	0.00%	2.80%	1.89%	0.00%	2.01%	2.34%	2.04%	2.04%	1.27%	2.49%	1.38%	0.58%	1.85%	1.05%	0.00%	1.26%	0.00%	0.00%	0.48%	1.15%	0.00%	0.88%	1.03%	0.00%	0.00%	1.11%	1.50%	1.65%	1.61%	1.09%	2.41%	1.08%	2.88%	0.73%	2.14%	0.97%	0.00%	1.38%	0.53%	0.00%	0.93%	4.14%	3.42%	3.82%	2.53%	0.44%	0.79%	0.91%	1.93%	0.00%	1.53%	1.02%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32398	431	395	405	325	87	105	525	516	876	534	173	637	472	208	660	250	333	525	874	857	412	240	1187	35	750	132	1238	752	414	157	419	172	474	294	285	20	328	365	195	396	279	131	150	129	527	201	124	385	685	64	239	205	221	352	366	669	332	367	176	516	204	493	215	513	414	257	100	29	11	136	171	51	57	169	83	75	39	263	100	58	528	331	208	216	622	215	54	31	60	79	37	94	49	39	42	104	547	58	105	381	333	197	1059					
		44.29%	36.81%	34.65%	36.85%	31.49%	33.33%	35.71%	46.92%	45.83%	55.27%	42.52%	27.72%	75.83%	68.41%	35.56%	46.15%	27.78%	27.27%	36.11%	60.15%	73.12%	40.35%	38.22%	73.68%	37.23%	55.76%	25.98%	74.13%	47.50%	36.70%	26.17%	33.63%	25.98%	52.61%	28.13%	25.79%	25.00%	30.37%	35.03%	28.85%	31.03%	31.96%	39.10%	34.97%	32.25%	68.71%	29.30%	35.03%	48.49%	59.83%	26.67%	31.41%	25.06%	22.12%	39.07%	45.75%	74.58%	26.77%	74.75%	29.98%	72.57%	33.83%	39.95%	62.50%	41.20%	72.13%	35.64%	41.84%	27.62%	52.38%	32.30%	49.28%	53.13%	50.44%	58.28%	54.25%	54.35%	43.33%	43.69%	41.15%	46.77%	52.49%	39.88%	55.91%	28.31%	56.65%	41.75%	52.43%	46.97%	41.38%	41.58%	52.11%	43.72%	33.79%	33.33%	32.06%	29.21%	79.51%	45.67%	32.01%	34.99%	30.89%	30.12%	76.96%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	336	0	8	0	13	0	5	3	0	9	10	2	0	1	3	4	5	5	8	27	4	6	0	3	1	4	1	3	7	0	4	11	0	3	8	4	0	6	8	4	0	3	0	2	2	0	4	0	5	5	1	3	0	5	12	0	10	8	2	3	0	0	6	2	9	7	0	1	1	0	2	3	0	0	3	0	0	0	4	1	0	8	4	0	3	3	1	0	1	1	0	1	2	2	0	2	3	2	0	1	11	0	3	4					
		0.46%	0.00%	0.70%	0.00%	1.26%	0.00%	1.70%	0.27%	0.00%	0.57%	0.80%	0.32%	0.00%	0.14%	0.51%	0.28%	0.56%	0.41%	0.55%	1.86%	0.34%	0.59%	0.00%	0.19%	1.06%	0.30%	0.20%	0.18%	0.44%	0.00%	0.67%	0.88%	0.00%	0.33%	0.77%	0.36%	0.00%	0.56%	0.77%	0.59%	0.00%	0.34%	0.00%	0.47%	0.50%	0.00%	0.58%	0.00%	0.63%	0.44%	0.42%	0.39%	0.00%	0.50%	1.33%	0.00%	1.11%	0.65%	0.41%	0.51%	0.00%	0.00%	0.49%	0.58%	0.72%	1.22%	0.00%	0.42%	0.95%	0.00%	0.48%	0.86%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.66%	0.41%	0.00%	0.80%	0.48%	0.00%	0.39%	0.27%	0.19%	0.00%	1.52%	0.69%	0.00%	1.41%	0.93%	1.38%	0.00%	1.53%	0.84%	0.29%	0.00%	0.30%	1.01%	0.00%	0.46%	0.29%					
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
