Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Боровичcкая																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74									
11	Число полученных открепительных  удостоверений	640	20	10	10	10	10	20	10	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10									
12	Число выданных открепительных удостоверений	231	13	4	8	2	3	16	4	7	7	1	1	4	2	8	0	3	5	5	1	1	6	0	4	10	7	4	2	10	4	10	6	3	6	5	0	0	4	0	0	3	3	3	8	0	0	3	1	3	2	6	7	3	2	3	0	4	1	0	1	2	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	213	7	1	5	6	2	2	2	6	3	3	3	4	3	9	4	0	10	7	4	2	0	2	2	10	1	5	0	5	3	3	1	10	3	3	3	0	4	4	1	1	3	5	5	2	4	4	4	2	1	3	2	6	2	3	1	3	4	5	5	2	1	2									
14	Число неиспользованных открепительных удостоверений	409	7	6	2	8	7	4	6	3	3	9	9	6	8	2	0	7	5	5	9	9	4	10	6	0	3	6	8	0	6	10	4	7	4	5	10	10	6	10	10	7	7	7	2	10	10	7	9	7	8	4	3	7	8	7	10	6	9	10	9	8	10	10									
15	Число открепительных удостоверений, выданных в ТИК	11	0	0	0	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																																																																									
18	. Глазьев Сергей Юрьевич	985	49	10	40	22	30	47	17	29	29	16	15	14	13	31	9	16	42	19	11	18	25	12	11	35	17	16	23	26	27	36	37	17	34	1	2	1	21	3	2	5	8	17	10	2	1	9	2	12	3	6	30	1	7	3	3	16	8	3	9	3	1	3									
		2.59%	3.92%	1.46%	4.75%	2.40%	2.92%	3.39%	2.49%	2.56%	3.44%	2.69%	2.79%	1.61%	2.65%	2.98%	4.09%	1.99%	3.47%	2.07%	3.01%	2.47%	2.29%	2.04%	1.98%	2.97%	2.50%	3.14%	3.25%	2.36%	2.61%	2.70%	3.27%	3.47%	3.16%	0.29%	1.23%	1.20%	3.16%	1.20%	1.08%	1.64%	2.23%	1.83%	1.76%	3.33%	0.53%	2.94%	0.88%	3.38%	1.45%	1.41%	3.16%	0.49%	1.67%	1.36%	4.69%	1.90%	1.61%	0.88%	2.58%	2.14%	1.15%	1.27%									
19	. Малышкин Олег Александрович	1109	39	18	32	27	35	35	19	28	11	29	24	30	16	26	3	19	30	37	10	19	43	16	12	34	17	15	19	31	30	50	37	14	30	5	2	1	28	5	1	1	9	29	13	5	9	6	14	14	8	10	34	2	9	5	3	28	7	7	10	2	3	4									
		2.92%	3.12%	2.63%	3.80%	2.94%	3.41%	2.52%	2.79%	2.48%	1.31%	4.87%	4.46%	3.45%	3.27%	2.50%	1.36%	2.36%	2.48%	4.03%	2.74%	2.60%	3.94%	2.72%	2.16%	2.88%	2.50%	2.94%	2.68%	2.81%	2.90%	3.75%	3.27%	2.86%	2.79%	1.46%	1.23%	1.20%	4.22%	2.01%	0.54%	0.33%	2.51%	3.11%	2.28%	8.33%	4.74%	1.96%	6.17%	3.94%	3.86%	2.34%	3.58%	0.98%	2.14%	2.26%	4.69%	3.33%	1.41%	2.06%	2.87%	1.43%	3.45%	1.69%									
20	. Миронов Сергей Михайлович	312	6	14	5	13	9	15	8	10	5	3	7	8	4	4	1	4	7	10	3	9	8	3	6	9	9	6	4	13	5	11	11	3	2	4	2	0	7	2	0	3	7	5	3	0	0	1	2	6	1	4	8	2	2	0	0	7	2	2	4	1	1	1									
		0.82%	0.48%	2.05%	0.59%	1.42%	0.88%	1.08%	1.17%	0.88%	0.59%	0.50%	1.30%	0.92%	0.82%	0.38%	0.45%	0.50%	0.58%	1.09%	0.82%	1.23%	0.73%	0.51%	1.08%	0.76%	1.32%	1.18%	0.56%	1.18%	0.48%	0.83%	0.97%	0.61%	0.19%	1.17%	1.23%	0.00%	1.05%	0.80%	0.00%	0.99%	1.95%	0.54%	0.53%	0.00%	0.00%	0.33%	0.88%	1.69%	0.48%	0.94%	0.84%	0.98%	0.48%	0.00%	0.00%	0.83%	0.40%	0.59%	1.15%	0.71%	1.15%	0.42%									
21	. Путин Владимир Владимирович	29586	941	530	626	652	758	1046	550	895	621	467	414	694	404	810	184	622	965	734	291	564	863	456	442	899	525	384	556	878	820	1036	883	388	850	280	135	63	520	208	164	237	285	699	460	33	154	219	189	240	169	312	724	177	361	183	49	652	393	277	266	118	72	199									
		77.88%	75.34%	77.49%	74.35%	71.10%	73.88%	75.41%	80.65%	79.13%	73.75%	78.49%	76.95%	79.77%	82.45%	77.81%	83.64%	77.27%	79.82%	80.04%	79.73%	77.26%	79.17%	77.42%	79.64%	76.19%	77.21%	75.29%	78.53%	79.53%	79.23%	77.78%	78.14%	79.18%	79.07%	81.87%	83.33%	75.90%	78.31%	83.53%	88.17%	77.96%	79.39%	75.08%	80.84%	55.00%	81.05%	71.57%	83.26%	67.61%	81.64%	73.07%	76.21%	86.76%	85.95%	82.81%	76.56%	77.53%	79.23%	81.47%	76.22%	84.29%	82.76%	84.32%									
22	. Хакамада Ирина Муцуовна	687	34	16	20	20	20	18	12	29	21	11	8	19	8	14	4	15	24	22	9	14	22	13	10	24	19	6	20	10	15	29	18	4	18	3	2	6	14	1	1	6	7	17	12	1	2	5	1	7	5	6	9	0	4	4	0	14	2	2	5	2	1	2									
		1.81%	2.72%	2.34%	2.38%	2.18%	1.95%	1.30%	1.76%	2.56%	2.49%	1.85%	1.49%	2.18%	1.63%	1.34%	1.82%	1.86%	1.99%	2.40%	2.47%	1.92%	2.02%	2.21%	1.80%	2.03%	2.79%	1.18%	2.82%	0.91%	1.45%	2.18%	1.59%	0.82%	1.67%	0.88%	1.23%	7.23%	2.11%	0.40%	0.54%	1.97%	1.95%	1.83%	2.11%	1.67%	1.05%	1.63%	0.44%	1.97%	2.42%	1.41%	0.95%	0.00%	0.95%	1.81%	0.00%	1.66%	0.40%	0.59%	1.43%	1.43%	1.15%	0.85%									
23	. Харитонов Николай Михайлович	4307	145	84	100	157	150	195	59	109	135	61	55	74	39	129	15	98	109	71	28	84	105	69	63	140	71	65	68	116	109	123	112	53	115	33	16	10	59	28	15	42	34	146	65	17	15	59	13	32	17	82	119	19	29	25	9	109	78	43	46	12	6	23									
		11.34%	11.61%	12.28%	11.88%	17.12%	14.62%	14.06%	8.65%	9.64%	16.03%	10.25%	10.22%	8.51%	7.96%	12.39%	6.82%	12.17%	9.02%	7.74%	7.67%	11.51%	9.63%	11.71%	11.35%	11.86%	10.44%	12.75%	9.60%	10.51%	10.53%	9.23%	9.91%	10.82%	10.70%	9.65%	9.88%	12.05%	8.89%	11.24%	8.06%	13.82%	9.47%	15.68%	11.42%	28.33%	7.89%	19.28%	5.73%	9.01%	8.21%	19.20%	12.53%	9.31%	6.90%	11.31%	14.06%	12.96%	15.73%	12.65%	13.18%	8.57%	6.90%	9.75%									
																																																																									
24	Против всех	750	27	12	18	22	19	26	12	24	16	6	12	26	4	22	3	30	25	19	9	14	20	19	9	32	19	11	15	27	25	42	25	8	20	10	0	2	12	1	2	6	8	14	4	1	3	5	6	4	2	4	23	1	4	0	0	10	3	1	4	1	1	0									
		1.97%	2.16%	1.75%	2.14%	2.40%	1.85%	1.87%	1.76%	2.12%	1.90%	1.01%	2.23%	2.99%	0.82%	2.11%	1.36%	3.73%	2.07%	2.07%	2.47%	1.92%	1.83%	3.23%	1.62%	2.71%	2.79%	2.16%	2.12%	2.45%	2.42%	3.15%	2.21%	1.63%	1.86%	2.92%	0.00%	2.41%	1.81%	0.40%	1.08%	1.97%	2.23%	1.50%	0.70%	1.67%	1.58%	1.63%	2.64%	1.13%	0.97%	0.94%	2.42%	0.49%	0.95%	0.00%	0.00%	1.19%	0.60%	0.29%	1.15%	0.71%	1.15%	0.00%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
