Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Кумторкалинская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225					
26	"9. ""Российская экологическая партия ""Зеленые"""	43	0	0	0	0	0	43	0	0					
		0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	6.64%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	115	19	27	0	4	44	21	0	0					
		1.30%	1.40%	2.14%	0.0%	0.22%	6.57%	3.24%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	195	9	23	0	28	54	81	0	0					
		2.21%	0.66%	1.82%	0.0%	1.60%	8.07%	12.51%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	42	13	17	0	0	0	12	0	0					
		0.47%	0.95%	1.34%	0.0%	0.0%	0.0%	1.85%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	10	2	5	0	0	0	3	0	0					
		0.11%	0.14%	0.39%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	37	14	15	0	0	0	8	0	0					
		0.42%	1.03%	1.19%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	17	5	10	0	0	0	2	0	0					
		0.19%	0.36%	0.79%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	59	22	4	0	0	11	22	0	0					
		0.67%	1.62%	0.31%	0.0%	0.0%	1.64%	3.40%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	10	5	0	0	0	6	0	0					
		0.23%	0.73%	0.39%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%					
35	"18. ""ЛДПР"""	53	32	2	0	0	0	19	0	0					
		0.60%	2.35%	0.15%	0.0%	0.0%	0.0%	2.93%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	5	0	3	0	0	0	2	0	0					
		0.05%	0.0%	0.23%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	6206	1059	616	1524	1402	509	132	630	334					
		70.57%	78.09%	48.88%	82.46%	80.20%	76.08%	20.40%	84.33%	64.35%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	6	2	0	0	0	0	0	0					
		0.09%	0.44%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	7	0	6	0	0	0	1	0	0					
		0.07%	0.0%	0.47%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	575	98	127	108	106	47	68	12	9					
		6.53%	7.22%	10.07%	5.84%	6.06%	7.02%	10.51%	1.60%	1.73%					
															
41	Против всех	59	17	0	0	0	4	33	0	5					
		0.67%	1.25%	0.0%	0.0%	0.0%	0.59%	5.10%	0.0%	0.96%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
