Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
"Наименование Избирательной комиссии:    Волгоград, Дзержинская"																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1800	43	37	37	31	37	37	37	37	37	31	31	43	31	25	37	37	37	37	31	31	31	37	27	37	37	31	37	37	43	31	37	37	37	43	37	37	37	31	37	37	37	37	31	31	31	31	25	31	37	31	31	25	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1345	23	19	25	21	21	37	34	20	32	23	24	29	31	21	25	22	28	19	13	31	31	27	18	23	27	22	36	34	36	29	36	24	25	33	33	33	31	26	22	22	36	36	27	23	18	19	18	19	37	24	15	7	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2520	29	55	21	78	19	15	21	12	9	6	8	23	20	69	7	110	15	37	54	21	18	15	32	60	25	28	17	15	23	10	7	9	27	76	38	50	12	37	58	100	57	46	48	10	129	90	21	19	12	7	5	12	40	291	447									
14	Число погашенных неиспользованных открепительных удостоверений	455	20	18	12	10	16	0	3	17	5	8	7	14	0	4	12	15	9	18	18	0	0	10	9	14	10	9	1	3	7	2	1	13	12	10	4	4	6	5	15	15	1	1	4	8	13	12	7	12	0	7	16	18	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	192	4	3	6	5	3	18	21	5	6	1	7	8	4	2	2	4	4	1	3	2	0	3	0	1	2	1	5	1	1	2	2	4	4	3	9	3	6	2	1	3	1	4	3	5	0	4	2	4	3	3	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	785	3	17	3	24	11	24	20	14	2	7	33	11	12	30	12	12	22	22	10	26	19	20	14	20	16	11	19	28	18	11	14	14	23	9	18	17	31	13	12	6	8	14	9	16	15	18	2	3	13	14	4	8	5	2	6									
		1.59%	0.37%	2.41%	0.33%	2.12%	1.55%	2.99%	2.29%	1.52%	0.21%	0.86%	4.74%	1.06%	1.61%	2.43%	1.20%	1.15%	2.86%	2.53%	1.28%	2.85%	1.92%	2.02%	1.78%	1.82%	1.50%	1.16%	1.85%	2.52%	1.81%	1.27%	1.40%	1.24%	2.41%	0.88%	1.74%	1.73%	3.32%	1.69%	1.29%	0.67%	0.86%	1.52%	0.85%	1.19%	1.68%	1.91%	0.43%	0.44%	1.48%	1.87%	0.75%	1.28%	0.90%	0.36%	0.71%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	768	14	12	18	9	12	15	23	10	20	8	12	5	10	17	28	7	15	9	11	10	25	21	10	26	24	2	15	18	21	14	11	15	16	6	27	11	14	6	18	9	12	11	18	13	20	32	4	2	9	16	14	8	10	5	20									
		1.56%	1.71%	1.70%	1.96%	0.80%	1.69%	1.87%	2.63%	1.08%	2.08%	0.99%	1.72%	0.48%	1.34%	1.38%	2.79%	0.67%	1.95%	1.03%	1.41%	1.10%	2.53%	2.12%	1.27%	2.37%	2.25%	0.21%	1.46%	1.62%	2.12%	1.61%	1.10%	1.33%	1.68%	0.59%	2.61%	1.12%	1.50%	0.78%	1.94%	1.01%	1.29%	1.19%	1.70%	0.97%	2.24%	3.40%	0.85%	0.29%	1.02%	2.13%	2.64%	1.28%	1.80%	0.91%	2.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	766	4	14	4	14	10	12	21	18	14	9	16	13	3	12	15	20	15	15	9	33	27	27	14	25	21	7	18	21	25	6	12	15	20	5	22	17	26	1	11	16	6	12	5	12	9	18	4	1	14	20	15	6	19	6	12									
		1.56%	0.49%	1.99%	0.44%	1.24%	1.41%	1.50%	2.40%	1.95%	1.45%	1.11%	2.30%	1.26%	0.40%	0.97%	1.50%	1.91%	1.95%	1.72%	1.15%	3.62%	2.73%	2.73%	1.78%	2.28%	1.97%	0.74%	1.75%	1.89%	2.52%	0.69%	1.20%	1.33%	2.10%	0.49%	2.12%	1.73%	2.78%	0.13%	1.19%	1.79%	0.65%	1.30%	0.47%	0.89%	1.01%	1.91%	0.85%	0.15%	1.59%	2.67%	2.83%	0.96%	3.42%	1.09%	1.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26798	573	368	554	742	368	381	396	550	590	637	266	598	445	609	489	695	331	466	462	362	356	388	497	400	409	716	698	663	378	639	580	661	478	535	406	421	333	459	564	521	555	558	573	671	471	405	292	460	530	339	245	375	326	396	618									
		54.44%	70.13%	52.27%	60.28%	65.66%	51.83%	47.51%	45.31%	59.65%	61.27%	78.64%	38.22%	57.83%	59.73%	49.39%	48.75%	66.44%	42.99%	53.50%	59.15%	39.69%	35.96%	39.23%	63.31%	36.43%	38.40%	75.37%	67.90%	59.68%	38.10%	73.53%	58.12%	58.76%	50.10%	52.40%	39.19%	42.96%	35.61%	59.77%	60.78%	58.34%	59.68%	60.52%	54.16%	49.96%	52.86%	43.04%	62.26%	67.45%	60.30%	45.20%	46.23%	60.10%	58.63%	71.87%	73.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	415	4	3	4	10	11	11	7	3	3	3	10	8	5	15	10	3	12	8	5	11	14	10	3	15	20	6	8	3	20	3	3	6	11	5	19	9	14	1	5	10	10	4	11	9	5	7	1	2	12	3	8	3	3	3	3									
		0.84%	0.49%	0.43%	0.44%	0.88%	1.55%	1.37%	0.80%	0.33%	0.31%	0.37%	1.44%	0.77%	0.67%	1.22%	0.99%	0.29%	1.56%	0.92%	0.64%	1.21%	1.41%	1.01%	0.38%	1.37%	1.88%	0.63%	0.78%	0.27%	2.02%	0.35%	0.30%	0.53%	1.15%	0.49%	1.83%	0.92%	1.50%	0.13%	0.54%	1.12%	1.08%	0.43%	1.04%	0.67%	0.56%	0.74%	0.21%	0.29%	1.37%	0.40%	1.51%	0.48%	0.54%	0.54%	0.36%									
24	"6. Политическая партия ""Гражданская Платформа"""	79	2	1	2	4	3	1	1	2	3	0	1	7	0	1	4	2	1	1	0	4	0	1	2	1	3	0	0	5	2	0	0	0	0	1	4	2	0	0	2	2	0	4	2	1	0	2	0	2	1	0	0	1	0	0	1									
		0.16%	0.24%	0.14%	0.22%	0.35%	0.42%	0.12%	0.11%	0.22%	0.31%	0.00%	0.14%	0.68%	0.00%	0.08%	0.40%	0.19%	0.13%	0.11%	0.00%	0.44%	0.00%	0.10%	0.25%	0.09%	0.28%	0.00%	0.00%	0.45%	0.20%	0.00%	0.00%	0.00%	0.00%	0.10%	0.39%	0.20%	0.00%	0.00%	0.22%	0.22%	0.00%	0.43%	0.19%	0.07%	0.00%	0.21%	0.00%	0.29%	0.11%	0.00%	0.00%	0.16%	0.00%	0.00%	0.12%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6682	91	112	118	106	80	127	119	122	132	45	138	97	88	282	156	76	100	102	123	137	141	153	80	168	162	86	86	101	174	64	89	111	184	177	178	189	143	109	85	123	120	137	186	244	120	154	64	108	69	153	105	65	63	65	75									
		13.57%	11.14%	15.91%	12.84%	9.38%	11.27%	15.84%	13.62%	13.23%	13.71%	5.56%	19.83%	9.38%	11.81%	22.87%	15.55%	7.27%	12.99%	11.71%	15.75%	15.02%	14.24%	15.47%	10.19%	15.30%	15.21%	9.05%	8.37%	9.09%	17.54%	7.36%	8.92%	9.87%	19.29%	17.34%	17.18%	19.29%	15.29%	14.19%	9.16%	13.77%	12.90%	14.86%	17.58%	18.17%	13.47%	16.37%	13.65%	15.84%	7.85%	20.40%	19.81%	10.42%	11.33%	11.80%	8.93%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	414	3	7	1	13	9	16	2	11	4	6	8	3	5	9	11	2	11	13	12	13	7	10	7	16	10	8	16	11	12	4	2	5	13	13	12	9	6	1	8	7	5	8	8	9	3	10	1	3	7	7	8	2	3	2	2									
		0.84%	0.37%	0.99%	0.11%	1.15%	1.27%	1.99%	0.23%	1.19%	0.42%	0.74%	1.15%	0.29%	0.67%	0.73%	1.10%	0.19%	1.43%	1.49%	1.54%	1.43%	0.71%	1.01%	0.89%	1.46%	0.94%	0.84%	1.56%	0.99%	1.21%	0.46%	0.20%	0.44%	1.36%	1.27%	1.16%	0.92%	0.64%	0.13%	0.86%	0.78%	0.54%	0.87%	0.76%	0.67%	0.34%	1.06%	0.21%	0.44%	0.80%	0.93%	1.51%	0.32%	0.54%	0.36%	0.24%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	518	3	5	3	10	14	12	11	16	9	5	11	15	6	7	12	9	14	13	12	18	20	16	8	24	19	11	10	12	14	4	12	8	16	8	10	12	9	5	9	4	7	3	9	6	4	9	7	0	11	9	3	4	3	4	3									
		1.05%	0.37%	0.71%	0.33%	0.88%	1.97%	1.50%	1.26%	1.74%	0.93%	0.62%	1.58%	1.45%	0.81%	0.57%	1.20%	0.86%	1.82%	1.49%	1.54%	1.97%	2.02%	1.62%	1.02%	2.19%	1.78%	1.16%	0.97%	1.08%	1.41%	0.46%	1.20%	0.71%	1.68%	0.78%	0.97%	1.22%	0.96%	0.65%	0.97%	0.45%	0.75%	0.33%	0.85%	0.45%	0.45%	0.96%	1.49%	0.00%	1.25%	1.20%	0.57%	0.64%	0.54%	0.73%	0.36%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	61	4	1	0	7	1	0	0	0	0	0	1	1	0	2	0	2	1	1	0	1	2	1	1	0	0	0	1	1	5	1	0	2	1	1	0	2	1	0	4	2	3	0	1	1	1	1	0	5	0	1	0	0	0	1	0									
		0.12%	0.49%	0.14%	0.00%	0.62%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.10%	0.00%	0.16%	0.00%	0.19%	0.13%	0.11%	0.00%	0.11%	0.20%	0.10%	0.13%	0.00%	0.00%	0.00%	0.10%	0.09%	0.50%	0.12%	0.00%	0.18%	0.10%	0.10%	0.00%	0.20%	0.11%	0.00%	0.43%	0.22%	0.32%	0.00%	0.09%	0.07%	0.11%	0.11%	0.00%	0.73%	0.00%	0.13%	0.00%	0.00%	0.00%	0.18%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1195	13	17	4	14	38	36	32	31	19	17	24	27	22	25	32	20	11	28	15	27	34	45	14	41	44	17	16	20	37	13	30	33	42	6	30	25	35	14	12	23	12	22	25	23	5	26	8	3	27	14	8	10	12	3	14									
		2.43%	1.59%	2.41%	0.44%	1.24%	5.35%	4.49%	3.66%	3.36%	1.97%	2.10%	3.45%	2.61%	2.95%	2.03%	3.19%	1.91%	1.43%	3.21%	1.92%	2.96%	3.43%	4.55%	1.78%	3.73%	4.13%	1.79%	1.56%	1.80%	3.73%	1.50%	3.01%	2.93%	4.40%	0.59%	2.90%	2.55%	3.74%	1.82%	1.29%	2.58%	1.29%	2.39%	2.36%	1.71%	0.56%	2.76%	1.71%	0.44%	3.07%	1.87%	1.51%	1.60%	2.16%	0.54%	1.67%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6634	75	118	156	123	98	132	148	113	105	49	126	175	92	118	151	120	157	126	42	163	206	190	77	205	205	57	66	194	170	64	144	165	58	156	184	153	194	113	81	93	126	90	118	179	128	160	55	59	112	104	76	102	65	45	53									
		13.48%	9.18%	16.76%	16.97%	10.88%	13.80%	16.46%	16.93%	12.26%	10.90%	6.05%	18.10%	16.92%	12.35%	9.57%	15.05%	11.47%	20.39%	14.47%	5.38%	17.87%	20.81%	19.21%	9.81%	18.67%	19.25%	6.00%	6.42%	17.46%	17.14%	7.36%	14.43%	14.67%	6.08%	15.28%	17.76%	15.61%	20.75%	14.71%	8.73%	10.41%	13.55%	9.76%	11.15%	13.33%	14.37%	17.00%	11.73%	8.65%	12.74%	13.87%	14.34%	16.35%	11.69%	8.17%	6.31%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	342	5	6	0	4	10	10	8	8	3	1	2	10	8	18	4	4	5	11	4	18	13	7	7	10	7	1	3	13	8	9	7	8	8	7	7	5	8	1	3	1	2	4	11	9	4	6	4	0	13	6	7	2	0	2	0									
		0.69%	0.61%	0.85%	0.00%	0.35%	1.41%	1.25%	0.92%	0.87%	0.31%	0.12%	0.29%	0.97%	1.07%	1.46%	0.40%	0.38%	0.65%	1.26%	0.51%	1.97%	1.31%	0.71%	0.89%	0.91%	0.66%	0.11%	0.29%	1.17%	0.81%	1.04%	0.70%	0.71%	0.84%	0.69%	0.68%	0.51%	0.86%	0.13%	0.32%	0.11%	0.22%	0.43%	1.04%	0.67%	0.45%	0.64%	0.85%	0.00%	1.48%	0.80%	1.32%	0.32%	0.00%	0.36%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3064	16	21	52	45	35	14	74	14	45	21	32	45	38	53	68	65	62	40	61	77	107	84	41	125	114	22	54	21	84	30	91	82	73	90	94	96	101	37	91	63	54	44	61	117	77	76	21	29	50	39	19	29	34	11	25									
		6.22%	1.96%	2.98%	5.66%	3.98%	4.93%	1.75%	8.47%	1.52%	4.67%	2.59%	4.60%	4.35%	5.10%	4.30%	6.78%	6.21%	8.05%	4.59%	7.81%	8.44%	10.81%	8.49%	5.22%	11.38%	10.70%	2.32%	5.25%	1.89%	8.47%	3.45%	9.12%	7.29%	7.65%	8.81%	9.07%	9.80%	10.80%	4.82%	9.81%	7.05%	5.81%	4.77%	5.77%	8.71%	8.64%	8.08%	4.48%	4.25%	5.69%	5.20%	3.58%	4.65%	6.12%	1.99%	2.98%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
