Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Оловяннинская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  667	УИК  668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	225	8	7	11	6	2	2	2	15	4	2	2	3	6	0	2	0	0	2	1	8	7	2	7	5	3	2	8	8	7	1	1	1	1	4	10	13	25	15	22					
		1.42%	2.42%	1.02%	3.26%	1.84%	1.28%	0.48%	1.69%	1.30%	1.14%	2.10%	0.75%	1.53%	2.31%	0.0%	3.77%	0.0%	0.0%	0.53%	1.13%	2.74%	7.0%	0.52%	0.84%	1.41%	0.65%	1.37%	3.03%	2.40%	1.97%	0.62%	0.72%	0.60%	0.27%	2.75%	2.53%	1.27%	1.51%	1.00%	1.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	185	3	7	1	1	2	4	0	15	3	0	0	1	1	1	0	0	0	2	1	0	2	0	2	0	1	0	0	13	4	0	0	0	1	3	1	4	22	50	40					
		1.17%	0.90%	1.02%	0.29%	0.30%	1.28%	0.96%	0.0%	1.30%	0.85%	0.0%	0.0%	0.51%	0.38%	0.99%	0.0%	0.0%	0.0%	0.53%	1.13%	0.0%	2.0%	0.0%	0.24%	0.0%	0.21%	0.0%	0.0%	3.91%	1.12%	0.0%	0.0%	0.0%	0.27%	2.06%	0.25%	0.39%	1.33%	3.34%	3.19%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	386	13	11	8	15	4	15	0	20	22	2	5	12	0	1	1	6	2	7	1	4	7	9	18	9	18	0	10	5	8	5	8	3	13	4	6	20	17	45	32					
		2.44%	3.93%	1.61%	2.37%	4.60%	2.56%	3.61%	0.0%	1.73%	6.28%	2.10%	1.87%	6.15%	0.0%	0.99%	1.88%	3.46%	4.44%	1.87%	1.13%	1.37%	7.0%	2.35%	2.17%	2.54%	3.93%	0.0%	3.78%	1.50%	2.25%	3.10%	5.79%	1.81%	3.52%	2.75%	1.52%	1.95%	1.03%	3.01%	2.55%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	178	8	18	5	2	3	8	2	12	2	2	3	1	0	0	0	2	0	2	0	1	0	4	14	3	10	0	2	2	3	4	2	2	5	1	1	3	11	27	13					
		1.12%	2.42%	2.63%	1.48%	0.61%	1.92%	1.92%	1.69%	1.04%	0.57%	2.10%	1.12%	0.51%	0.0%	0.0%	0.0%	1.15%	0.0%	0.53%	0.0%	0.34%	0.0%	1.04%	1.68%	0.84%	2.18%	0.0%	0.75%	0.60%	0.84%	2.48%	1.44%	1.21%	1.35%	0.68%	0.25%	0.29%	0.66%	1.80%	1.03%					
22	"5. ""За Русь Святую"""	47	2	4	0	3	1	1	0	5	1	0	1	3	0	1	0	1	0	0	0	0	1	3	4	2	0	0	1	0	0	0	2	0	1	0	1	3	2	0	4					
		0.29%	0.60%	0.58%	0.0%	0.92%	0.64%	0.24%	0.0%	0.43%	0.28%	0.0%	0.37%	1.53%	0.0%	0.99%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	1.0%	0.78%	0.48%	0.56%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	1.44%	0.0%	0.27%	0.0%	0.25%	0.29%	0.12%	0.0%	0.31%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	5	0	0	0	2	0	3	0	0	0	0	1	0	0	1	0	1	1	0	0	0	9	1	1					
		0.20%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	1.69%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.89%	0.0%	0.0%	0.0%	0.68%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.62%	0.0%	0.60%	0.27%	0.0%	0.0%	0.0%	0.54%	0.06%	0.07%					
24	"7. ""Новый курс - Автомобильная Россия"""	60	0	4	0	3	0	1	0	9	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	0	5	0	1	1	0	0	0	4	6	12	7					
		0.37%	0.0%	0.58%	0.0%	0.92%	0.0%	0.24%	0.0%	0.78%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.13%	0.0%	0.0%	0.26%	0.24%	0.0%	0.21%	0.0%	0.37%	0.0%	1.41%	0.0%	0.72%	0.60%	0.0%	0.0%	0.0%	0.39%	0.36%	0.80%	0.55%					
25	"8. ""Народно-республиканская партия России"""	18	2	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	2	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0					
		0.11%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.42%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.26%	0.12%	0.28%	0.21%	0.0%	0.37%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.25%	0.0%	0.06%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	31	0	3	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	1	0	4	2	0	0	0	0	0	1	0	0	0	0	1	1	3	1	3	4					
		0.19%	0.0%	0.43%	0.0%	0.0%	0.64%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.34%	0.0%	1.04%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.68%	0.25%	0.29%	0.06%	0.20%	0.31%					
27	"10. ""Аграрная партия России"""	871	12	23	10	13	4	22	8	22	33	10	24	27	88	9	8	20	1	30	1	60	7	53	26	46	14	7	34	49	0	0	2	4	23	11	23	27	28	55	37					
		5.50%	3.63%	3.37%	2.96%	3.98%	2.56%	5.30%	6.77%	1.91%	9.42%	10.52%	9.02%	13.84%	33.97%	8.91%	15.09%	11.56%	2.22%	8.02%	1.13%	20.61%	7.0%	13.87%	3.13%	13.03%	3.06%	4.82%	12.87%	14.75%	0.0%	0.0%	1.44%	2.42%	6.23%	7.58%	5.83%	2.64%	1.69%	3.67%	2.95%					
28	"11. ""Истинные патриоты России"""	20	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	9	1	1					
		0.12%	0.0%	0.0%	0.29%	0.30%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	1.21%	0.0%	0.0%	0.0%	0.09%	0.54%	0.06%	0.07%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	169	8	21	8	5	1	2	1	15	0	1	0	1	3	0	0	0	2	5	0	1	1	2	9	7	8	2	4	2	2	1	1	1	2	1	1	8	17	18	8					
		1.06%	2.42%	3.07%	2.37%	1.53%	0.64%	0.48%	0.84%	1.30%	0.0%	1.05%	0.0%	0.51%	1.15%	0.0%	0.0%	0.0%	4.44%	1.33%	0.0%	0.34%	1.0%	0.52%	1.08%	1.98%	1.75%	1.37%	1.51%	0.60%	0.56%	0.62%	0.72%	0.60%	0.54%	0.68%	0.25%	0.78%	1.03%	1.20%	0.63%					
30	"13. ""Демократическая партия России"""	37	0	1	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	1	4	0	1	6	4	8	1	0	0	0	2	0	0	2	0	0	0	0	1	0					
		0.23%	0.0%	0.14%	0.0%	0.0%	0.0%	0.48%	0.0%	0.26%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.13%	1.37%	0.0%	0.26%	0.72%	1.13%	1.75%	0.68%	0.0%	0.0%	0.0%	1.24%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	33	1	0	0	0	0	3	0	1	1	0	1	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	10	4	2	1					
		0.20%	0.30%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.08%	0.28%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.68%	1.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.75%	0.30%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.24%	0.13%	0.07%					
32	"15. ""Партия СЛОН"""	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%					
33	"16. ""Родина"" (народно-патриотический союз)"""	646	16	54	13	23	1	44	6	43	27	2	23	6	4	4	0	4	0	13	1	6	5	15	60	11	19	5	12	0	13	8	10	2	10	0	6	26	38	67	49					
		4.08%	4.84%	7.91%	3.85%	7.05%	0.64%	10.60%	5.08%	3.73%	7.71%	2.10%	8.64%	3.07%	1.54%	3.96%	0.0%	2.31%	0.0%	3.47%	1.13%	2.06%	5.0%	3.92%	7.23%	3.11%	4.15%	3.44%	4.54%	0.0%	3.67%	4.96%	7.24%	1.21%	2.71%	0.0%	1.52%	2.54%	2.30%	4.48%	3.91%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	52	0	1	2	3	0	1	0	2	1	1	2	0	0	1	1	0	1	0	0	3	2	1	2	0	2	1	2	3	1	0	1	1	1	0	1	7	5	2	1					
		0.32%	0.0%	0.14%	0.59%	0.92%	0.0%	0.24%	0.0%	0.17%	0.28%	1.05%	0.75%	0.0%	0.0%	0.99%	1.88%	0.0%	2.22%	0.0%	0.0%	1.03%	2.0%	0.26%	0.24%	0.0%	0.43%	0.68%	0.75%	0.90%	0.28%	0.0%	0.72%	0.60%	0.27%	0.0%	0.25%	0.68%	0.30%	0.13%	0.07%					
35	"18. ""ЛДПР"""	2700	44	135	52	56	46	77	19	287	34	11	40	11	19	8	1	30	10	45	4	22	17	36	115	45	74	10	24	8	49	39	31	43	80	18	76	196	321	303	264					
		17.07%	13.33%	19.79%	15.43%	17.17%	29.48%	18.55%	16.10%	24.95%	9.71%	11.57%	15.03%	5.64%	7.33%	7.92%	1.88%	17.34%	22.22%	12.03%	4.54%	7.56%	17.0%	9.42%	13.87%	12.74%	16.19%	6.89%	9.09%	2.40%	13.84%	24.22%	22.46%	26.06%	21.68%	12.41%	19.28%	19.19%	19.46%	20.26%	21.06%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	226	4	7	11	7	1	6	1	15	2	3	4	5	2	0	0	2	0	7	1	10	3	4	18	8	20	2	1	4	9	3	1	0	9	0	6	11	9	16	14					
		1.42%	1.21%	1.02%	3.26%	2.14%	0.64%	1.44%	0.84%	1.30%	0.57%	3.15%	1.50%	2.56%	0.77%	0.0%	0.0%	1.15%	0.0%	1.87%	1.13%	3.43%	3.0%	1.04%	2.17%	2.26%	4.37%	1.37%	0.37%	1.20%	2.54%	1.86%	0.72%	0.0%	2.43%	0.0%	1.52%	1.07%	0.54%	1.07%	1.11%					
37	"20. ""Политическая партия ""Единая Россия"""	7620	136	306	147	129	68	154	63	549	150	44	129	110	89	59	32	82	28	169	69	111	40	194	349	177	149	93	125	190	219	80	55	82	161	78	212	589	987	631	585					
		48.19%	41.21%	44.86%	43.62%	39.57%	43.58%	37.10%	53.38%	47.73%	42.85%	46.31%	48.49%	56.41%	34.36%	58.41%	60.37%	47.39%	62.22%	45.18%	78.40%	38.14%	40.0%	50.78%	42.09%	50.14%	32.60%	64.13%	47.34%	57.22%	61.86%	49.68%	39.85%	49.69%	43.63%	53.79%	53.80%	57.68%	59.85%	42.20%	46.68%					
38	"21. ""Российская Конституционно-демократическая партия"""	43	0	0	0	0	1	2	0	2	0	2	2	0	0	3	0	0	0	7	1	1	0	1	2	0	1	2	2	3	0	0	1	0	2	0	1	0	3	0	4					
		0.27%	0.0%	0.0%	0.0%	0.0%	0.64%	0.48%	0.0%	0.17%	0.0%	2.10%	0.75%	0.0%	0.0%	2.97%	0.0%	0.0%	0.0%	1.87%	1.13%	0.34%	0.0%	0.26%	0.24%	0.0%	0.21%	1.37%	0.75%	0.90%	0.0%	0.0%	0.72%	0.0%	0.54%	0.0%	0.25%	0.0%	0.18%	0.0%	0.31%					
39	"22. ""Развитие предпринимательства"""	33	0	2	1	0	1	1	0	3	1	1	0	0	1	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	3	0	1	0	0	0	2	3	0	7	1					
		0.20%	0.0%	0.29%	0.29%	0.0%	0.64%	0.24%	0.0%	0.26%	0.28%	1.05%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.26%	0.24%	0.28%	0.0%	0.0%	0.0%	0.0%	0.84%	0.0%	0.72%	0.0%	0.0%	0.0%	0.50%	0.29%	0.0%	0.46%	0.07%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1540	48	52	48	48	12	57	9	58	51	9	24	10	41	11	8	18	1	62	4	40	1	36	153	31	93	15	30	40	17	6	17	14	49	20	32	62	54	158	101					
		9.74%	14.54%	7.62%	14.24%	14.72%	7.69%	13.73%	7.62%	5.04%	14.57%	9.47%	9.02%	5.12%	15.83%	10.89%	15.09%	10.40%	2.22%	16.57%	4.54%	13.74%	1.0%	9.42%	18.45%	8.78%	20.35%	10.34%	11.36%	12.04%	4.80%	3.72%	12.31%	8.48%	13.27%	13.79%	8.12%	6.07%	3.27%	10.56%	8.06%					
																																														
41	Против всех	472	14	21	13	4	7	7	4	50	5	4	6	1	5	1	0	2	0	3	2	7	1	6	22	1	30	5	1	3	0	6	1	7	7	2	4	18	71	76	55					
		2.98%	4.24%	3.07%	3.85%	1.22%	4.48%	1.68%	3.38%	4.34%	1.42%	4.21%	2.25%	0.51%	1.93%	0.99%	0.0%	1.15%	0.0%	0.80%	2.27%	2.40%	1.0%	1.57%	2.65%	0.28%	6.56%	3.44%	0.37%	0.90%	0.0%	3.72%	0.72%	4.24%	1.89%	1.37%	1.01%	1.76%	4.30%	5.08%	4.38%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
