Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																	
Дата голосования: 02.12.2007																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Ишимбайская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237					
		0.17%	1.19%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.89%	0.00%	0.21%	0.00%	0.00%	0.31%	0.00%	0.16%	0.00%	0.00%	0.11%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.62%	0.43%	0.00%	0.00%	0.13%	0.00%	0.00%	0.66%	0.24%	0.23%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.40%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.59%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	42	1	2	1	1	0	0	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	1	1	0	0	1	0	0	3	15	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.07%	0.16%	0.08%	0.13%	0.00%	0.00%	0.00%	0.10%	0.00%	0.20%	0.00%	0.10%	0.00%	0.00%	0.10%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.25%	0.00%	0.10%	0.09%	0.00%	0.00%	0.13%	0.00%	0.00%	0.28%	1.19%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.17%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7327	166	211	269	123	98	17	161	187	55	198	136	115	205	205	103	286	179	153	140	161	178	53	197	93	188	180	269	165	156	160	140	142	124	49	159	209	120	113	183	50	42	9	0	52	55	78	10	16	58	85	34	18	71	119	44	21	25	13	4	12	81	28	35	19	9	36	4	57	20	62	39	33	21	21					
		12.54%	12.34%	17.11%	20.97%	15.85%	9.98%	10.24%	14.74%	18.70%	6.15%	19.58%	16.27%	11.86%	15.94%	16.94%	10.71%	17.88%	14.41%	13.27%	17.14%	17.91%	14.06%	4.42%	14.83%	9.19%	13.20%	12.38%	22.51%	13.65%	16.02%	13.85%	19.72%	14.50%	15.54%	4.09%	19.63%	19.70%	9.54%	8.69%	19.39%	12.59%	10.27%	5.33%	0.00%	8.62%	8.45%	14.72%	5.56%	6.30%	11.74%	10.80%	8.37%	6.47%	12.24%	10.65%	6.49%	2.43%	7.58%	2.50%	1.56%	4.15%	13.11%	8.46%	8.71%	9.05%	0.81%	5.94%	2.14%	12.05%	13.61%	9.64%	10.34%	9.71%	6.82%	3.88%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	89	2	2	2	2	0	0	0	3	0	4	0	2	0	0	3	1	2	2	1	6	2	0	2	1	0	7	3	0	3	9	2	0	1	0	0	3	2	3	2	2	0	0	0	0	0	0	0	0	0	3	0	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0					
		0.15%	0.15%	0.16%	0.16%	0.26%	0.00%	0.00%	0.00%	0.30%	0.00%	0.40%	0.00%	0.21%	0.00%	0.00%	0.31%	0.06%	0.16%	0.17%	0.12%	0.67%	0.16%	0.00%	0.15%	0.10%	0.00%	0.48%	0.25%	0.00%	0.31%	0.78%	0.28%	0.00%	0.13%	0.00%	0.00%	0.28%	0.16%	0.23%	0.21%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	1.03%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.27%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	50	1	3	1	0	0	0	0	0	0	0	0	3	0	0	2	1	2	0	0	0	2	0	0	2	1	0	6	0	3	2	0	0	1	0	0	0	3	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0					
		0.09%	0.07%	0.24%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.21%	0.06%	0.16%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.20%	0.07%	0.00%	0.50%	0.00%	0.31%	0.17%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.24%	0.23%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.17%	0.18%	0.15%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.27%	0.00%	0.32%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1381	83	98	0	2	0	13	0	18	0	52	63	1	0	0	41	3	3	34	0	13	9	5	69	9	62	34	18	6	88	96	5	49	5	0	0	72	34	72	85	3	7	3	0	0	12	0	0	7	5	10	12	7	25	46	9	6	4	5	0	6	0	9	4	2	6	5	2	0	0	12	7	2	2	21					
		2.36%	6.17%	7.95%	0.00%	0.26%	0.00%	7.83%	0.00%	1.80%	0.00%	5.14%	7.54%	0.10%	0.00%	0.00%	4.26%	0.19%	0.24%	2.95%	0.00%	1.45%	0.71%	0.42%	5.20%	0.89%	4.35%	2.34%	1.51%	0.50%	9.03%	8.31%	0.70%	5.01%	0.63%	0.00%	0.00%	6.79%	2.70%	5.53%	9.00%	0.76%	1.71%	1.78%	0.00%	0.00%	1.84%	0.00%	0.00%	2.76%	1.01%	1.27%	2.96%	2.52%	4.31%	4.12%	1.33%	0.69%	1.21%	0.96%	0.00%	2.08%	0.00%	2.72%	0.99%	0.95%	0.54%	0.83%	1.07%	0.00%	0.00%	1.87%	1.86%	0.59%	0.65%	3.88%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3272	87	90	87	32	101	0	56	77	0	125	57	67	60	75	32	108	102	26	0	62	23	0	100	72	83	55	12	115	67	76	12	76	57	0	109	125	30	26	55	19	25	26	14	95	62	31	0	7	6	14	14	12	20	68	28	53	19	11	27	6	20	11	18	2	21	55	4	25	9	123	46	8	11	25					
		5.60%	6.47%	7.30%	6.78%	4.12%	10.29%	0.00%	5.13%	7.70%	0.00%	12.36%	6.82%	6.91%	4.67%	6.20%	3.33%	6.75%	8.21%	2.25%	0.00%	6.90%	1.82%	0.00%	7.53%	7.11%	5.83%	3.78%	1.00%	9.51%	6.88%	6.58%	1.69%	7.76%	7.14%	0.00%	13.46%	11.78%	2.38%	1.99%	5.83%	4.79%	6.11%	15.38%	4.43%	15.75%	9.52%	5.85%	0.00%	2.76%	1.21%	1.78%	3.45%	4.32%	3.45%	6.09%	4.13%	6.13%	5.76%	2.11%	10.51%	2.08%	3.24%	3.32%	4.48%	0.95%	1.90%	9.08%	2.14%	5.29%	6.12%	19.13%	12.20%	2.35%	3.57%	4.62%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	148	10	6	1	1	0	0	0	1	0	4	0	2	8	0	6	0	2	0	0	0	1	0	3	0	1	0	6	1	9	5	0	0	1	0	0	9	15	5	5	1	0	0	0	0	2	0	3	0	2	2	2	0	1	8	4	7	1	0	0	0	0	0	1	0	0	2	0	0	0	2	4	2	0	2					
		0.25%	0.74%	0.49%	0.08%	0.13%	0.00%	0.00%	0.00%	0.10%	0.00%	0.40%	0.00%	0.21%	0.62%	0.00%	0.62%	0.00%	0.16%	0.00%	0.00%	0.00%	0.08%	0.00%	0.23%	0.00%	0.07%	0.00%	0.50%	0.08%	0.92%	0.43%	0.00%	0.00%	0.13%	0.00%	0.00%	0.85%	1.19%	0.38%	0.53%	0.25%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	1.67%	0.00%	0.40%	0.25%	0.49%	0.00%	0.17%	0.72%	0.59%	0.81%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.31%	1.06%	0.59%	0.00%	0.37%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	45040	941	783	913	602	780	136	869	700	840	594	576	774	1001	920	768	1186	929	923	676	639	1044	1140	943	828	1084	1152	860	907	606	778	543	705	603	1145	534	596	1016	924	582	309	326	123	302	438	504	421	166	213	412	646	330	237	444	831	577	770	276	469	221	254	517	273	339	181	1062	502	173	383	118	398	264	291	269	461					
		77.08%	69.96%	63.50%	71.16%	77.58%	79.43%	81.93%	79.58%	70.00%	93.85%	58.75%	68.90%	79.79%	77.84%	76.03%	79.83%	74.13%	74.80%	80.05%	82.74%	71.08%	82.46%	95.00%	71.01%	81.82%	76.12%	79.23%	71.97%	75.02%	62.22%	67.36%	76.48%	72.01%	75.56%	95.50%	65.93%	56.17%	80.76%	71.02%	61.65%	77.83%	79.71%	72.78%	95.57%	72.64%	77.42%	79.43%	92.22%	83.86%	83.40%	82.08%	81.28%	85.25%	76.55%	74.40%	85.10%	89.12%	83.64%	90.02%	85.99%	87.89%	83.66%	82.48%	84.33%	86.19%	96.02%	82.84%	92.51%	80.97%	80.27%	61.90%	70.03%	85.59%	87.34%	85.21%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	106	14	11	0	1	0	0	0	4	0	7	0	1	4	0	0	2	2	0	0	2	0	0	0	2	1	4	1	1	7	8	0	0	1	0	0	5	1	0	7	0	0	0	0	0	0	0	0	0	1	0	2	0	0	6	0	4	0	0	0	0	0	1	0	0	3	0	1	0	0	0	1	0	0	1					
		0.18%	1.04%	0.89%	0.00%	0.13%	0.00%	0.00%	0.00%	0.40%	0.00%	0.69%	0.00%	0.10%	0.31%	0.00%	0.00%	0.13%	0.16%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.20%	0.07%	0.28%	0.08%	0.08%	0.72%	0.69%	0.00%	0.00%	0.13%	0.00%	0.00%	0.47%	0.08%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.49%	0.00%	0.00%	0.54%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.27%	0.00%	0.53%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.18%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
