Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Новошахтинская городская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №2619									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1014	20	20	25	20	11	15	15	20	15	10	15	15	10	15	10	25	25	26	20	16	16	25	20	25	26	22	15	15	15	10	10	10	20	15	27	15	25	25	25	20	15	16	5	25	16	20	20	10	20	20	21	15	10	15	16	26	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	327	1	11	15	11	5	5	5	1	2	2	2	7	7	6	3	5	11	9	3	6	5	6	9	4	14	11	3	4	4	3	2	1	7	7	7	3	11	9	12	7	3	2	1	8	6	8	3	2	6	3	9	1	1	5	6	7	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	126	1	2	3	1	5	3	2	4	0	2	0	0	1	3	2	3	1	6	3	5	2	2	0	0	3	3	1	0	2	2	2	5	1	0	2	3	1	3	5	2	1	5	0	6	1	6	2	6	5	1	0	3	1	0	0	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	687	19	9	10	9	6	10	10	19	13	8	13	8	3	9	7	20	14	17	17	10	11	19	11	21	12	11	12	11	11	7	8	9	13	8	20	12	14	16	13	13	12	14	4	17	10	12	17	8	14	17	12	14	9	10	10	19	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	140	2	3	1	2	1	2	1	0	3	2	3	3	0	3	0	1	4	3	0	1	2	1	3	2	4	3	7	1	6	2	0	4	4	4	4	0	2	1	4	5	0	6	0	3	1	4	1	0	3	3	4	1	2	2	5	5	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	275	7	5	9	6	5	7	6	3	0	6	4	2	5	0	0	0	8	5	3	8	0	3	6	7	9	6	4	3	5	6	2	1	9	1	17	15	4	9	10	3	0	3	0	5	2	7	6	5	5	3	0	5	4	10	3	6	2									
		0.70%	0.78%	0.63%	0.93%	0.91%	0.80%	1.86%	1.79%	1.04%	0.00%	1.09%	0.66%	0.32%	1.15%	0.00%	0.00%	0.00%	1.21%	0.76%	0.50%	1.07%	0.00%	0.30%	0.68%	0.60%	1.03%	0.74%	0.66%	0.38%	0.74%	1.45%	0.39%	0.25%	1.25%	0.15%	1.67%	2.58%	0.41%	0.85%	0.96%	0.36%	0.00%	0.58%	0.00%	0.64%	0.32%	0.59%	0.74%	1.17%	0.52%	0.39%	0.00%	0.87%	1.01%	1.19%	0.73%	0.80%	0.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	540	13	13	17	13	11	10	5	12	10	3	9	7	6	9	1	10	16	12	3	11	0	12	8	7	17	8	7	10	4	8	8	5	8	4	27	7	22	12	12	2	10	6	2	16	7	15	9	7	13	8	3	7	3	15	16	17	7									
		1.38%	1.45%	1.65%	1.76%	1.98%	1.75%	2.65%	1.49%	4.15%	1.72%	0.55%	1.48%	1.12%	1.38%	1.73%	0.31%	1.91%	2.42%	1.83%	0.50%	1.48%	0.00%	1.18%	0.91%	0.60%	1.95%	0.99%	1.16%	1.26%	0.59%	1.93%	1.55%	1.25%	1.11%	0.60%	2.66%	1.20%	2.25%	1.14%	1.15%	0.24%	2.73%	1.16%	0.82%	2.05%	1.11%	1.26%	1.11%	1.63%	1.34%	1.03%	0.29%	1.22%	0.76%	1.78%	3.88%	2.26%	1.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	373	5	11	9	6	6	8	4	1	7	14	5	4	3	3	1	3	7	7	3	6	0	6	20	5	14	7	4	4	2	10	5	4	16	7	15	2	8	15	6	4	5	7	0	12	1	11	2	3	21	11	0	5	1	3	11	6	7									
		0.96%	0.56%	1.39%	0.93%	0.91%	0.96%	2.12%	1.19%	0.35%	1.20%	2.55%	0.82%	0.64%	0.69%	0.58%	0.31%	0.57%	1.06%	1.07%	0.50%	0.81%	0.00%	0.59%	2.27%	0.43%	1.60%	0.87%	0.66%	0.50%	0.30%	2.41%	0.97%	1.00%	2.22%	1.04%	1.48%	0.34%	0.82%	1.42%	0.58%	0.48%	1.37%	1.36%	0.00%	1.54%	0.16%	0.93%	0.25%	0.70%	2.17%	1.41%	0.00%	0.87%	0.25%	0.36%	2.67%	0.80%	1.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27580	691	582	650	398	411	254	183	142	420	429	446	457	315	293	227	309	377	508	411	540	791	750	670	879	578	485	474	584	489	273	391	292	496	554	675	416	652	749	751	670	220	331	196	496	492	908	553	274	674	512	863	447	321	589	217	405	420									
		70.69%	77.12%	73.67%	67.36%	60.58%	65.55%	67.37%	54.63%	49.13%	72.29%	78.00%	73.11%	73.12%	72.58%	56.45%	70.94%	59.08%	57.03%	77.32%	68.27%	72.48%	86.26%	73.89%	76.05%	75.91%	66.21%	60.17%	78.61%	73.37%	72.23%	65.78%	75.92%	73.18%	68.79%	82.44%	66.50%	71.48%	66.60%	71.06%	72.21%	80.53%	60.11%	64.15%	80.66%	63.59%	77.97%	76.56%	68.10%	63.87%	69.63%	65.73%	84.61%	77.87%	80.86%	69.95%	52.67%	53.93%	70.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	144	1	2	1	5	4	3	1	2	10	3	2	0	0	1	1	3	3	2	1	2	0	8	3	3	3	6	1	2	3	2	1	2	1	2	20	0	1	2	4	0	1	3	2	2	0	3	5	1	4	1	0	0	1	6	0	3	1									
		0.37%	0.11%	0.25%	0.10%	0.76%	0.64%	0.80%	0.30%	0.69%	1.72%	0.55%	0.33%	0.00%	0.00%	0.19%	0.31%	0.57%	0.45%	0.30%	0.17%	0.27%	0.00%	0.79%	0.34%	0.26%	0.34%	0.74%	0.17%	0.25%	0.44%	0.48%	0.19%	0.50%	0.14%	0.30%	1.97%	0.00%	0.10%	0.19%	0.38%	0.00%	0.27%	0.58%	0.82%	0.26%	0.00%	0.25%	0.62%	0.23%	0.41%	0.13%	0.00%	0.00%	0.25%	0.71%	0.00%	0.40%	0.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	44	0	0	1	1	1	0	2	0	1	0	2	0	0	0	2	0	1	2	0	2	0	0	0	4	0	0	0	0	2	0	1	0	0	0	8	0	1	0	4	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	4									
		0.11%	0.00%	0.00%	0.10%	0.15%	0.16%	0.00%	0.60%	0.00%	0.17%	0.00%	0.33%	0.00%	0.00%	0.00%	0.63%	0.00%	0.15%	0.30%	0.00%	0.27%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.19%	0.00%	0.00%	0.00%	0.79%	0.00%	0.10%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.17%	0.00%	0.00%	0.24%	0.00%	0.67%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4025	74	69	108	78	83	40	53	57	55	37	63	71	44	112	46	23	122	31	66	66	17	91	62	74	98	92	41	63	88	45	57	43	63	46	104	51	129	116	102	57	61	71	13	95	44	113	106	46	106	97	78	40	31	92	76	156	63									
		10.32%	8.26%	8.73%	11.19%	11.87%	13.24%	10.61%	15.82%	19.72%	9.47%	6.73%	10.33%	11.36%	10.14%	21.58%	14.38%	4.40%	18.46%	4.72%	10.96%	8.86%	1.85%	8.97%	7.04%	6.39%	11.23%	11.41%	6.80%	7.91%	12.99%	10.84%	11.07%	10.78%	8.74%	6.85%	10.25%	8.76%	13.18%	11.01%	9.81%	6.85%	16.67%	13.76%	5.35%	12.18%	6.97%	9.53%	13.05%	10.72%	10.95%	12.45%	7.65%	6.97%	7.81%	10.93%	18.45%	20.77%	10.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	106	3	1	4	4	0	0	1	3	4	3	0	1	0	2	0	3	1	1	3	7	0	4	0	3	0	2	4	2	1	2	3	2	1	1	7	2	7	1	7	0	1	0	2	1	0	0	0	0	3	1	0	0	1	2	1	2	2									
		0.27%	0.33%	0.13%	0.41%	0.61%	0.00%	0.00%	0.30%	1.04%	0.69%	0.55%	0.00%	0.16%	0.00%	0.39%	0.00%	0.57%	0.15%	0.15%	0.50%	0.94%	0.00%	0.39%	0.00%	0.26%	0.00%	0.25%	0.66%	0.25%	0.15%	0.48%	0.58%	0.50%	0.14%	0.15%	0.69%	0.34%	0.72%	0.09%	0.67%	0.00%	0.27%	0.00%	0.82%	0.13%	0.00%	0.00%	0.00%	0.00%	0.31%	0.13%	0.00%	0.00%	0.25%	0.24%	0.24%	0.27%	0.33%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	135	0	0	6	6	2	1	1	1	3	3	3	1	0	4	1	5	0	5	0	2	0	10	2	6	0	2	2	2	5	1	2	1	3	0	6	4	4	2	5	0	1	1	2	2	3	5	3	1	1	5	0	1	0	4	1	1	3									
		0.35%	0.00%	0.00%	0.62%	0.91%	0.32%	0.27%	0.30%	0.35%	0.52%	0.55%	0.49%	0.16%	0.00%	0.77%	0.31%	0.96%	0.00%	0.76%	0.00%	0.27%	0.00%	0.99%	0.23%	0.52%	0.00%	0.25%	0.33%	0.25%	0.74%	0.24%	0.39%	0.25%	0.42%	0.00%	0.59%	0.69%	0.41%	0.19%	0.48%	0.00%	0.27%	0.19%	0.82%	0.26%	0.48%	0.42%	0.37%	0.23%	0.10%	0.64%	0.00%	0.17%	0.00%	0.48%	0.24%	0.13%	0.50%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	0	2	0	2	0	2	2	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	0	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0									
		0.07%	0.00%	0.25%	0.00%	0.30%	0.00%	0.53%	0.60%	0.35%	0.17%	0.00%	0.00%	0.00%	0.00%	0.19%	0.31%	0.00%	0.15%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.17%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.26%	0.16%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	149	5	0	8	6	7	1	2	3	3	1	2	3	0	0	2	3	1	2	3	6	0	2	3	9	3	2	1	1	0	1	0	0	2	3	6	1	1	3	2	0	5	5	0	2	3	0	2	1	3	7	1	2	1	4	3	8	4									
		0.38%	0.56%	0.00%	0.83%	0.91%	1.12%	0.27%	0.60%	1.04%	0.52%	0.18%	0.33%	0.48%	0.00%	0.00%	0.63%	0.57%	0.15%	0.30%	0.50%	0.81%	0.00%	0.20%	0.34%	0.78%	0.34%	0.25%	0.17%	0.13%	0.00%	0.24%	0.00%	0.00%	0.28%	0.45%	0.59%	0.17%	0.10%	0.28%	0.19%	0.00%	1.37%	0.97%	0.00%	0.26%	0.48%	0.00%	0.25%	0.23%	0.31%	0.90%	0.10%	0.35%	0.25%	0.48%	0.73%	1.07%	0.67%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3826	73	83	93	97	61	38	47	39	50	34	52	53	35	56	26	79	86	29	30	70	39	86	55	109	110	103	57	80	64	55	30	31	83	40	93	63	112	103	102	82	48	78	21	91	54	90	97	72	81	97	54	52	23	104	56	115	65									
		9.81%	8.15%	10.51%	9.64%	14.76%	9.73%	10.08%	14.03%	13.49%	8.61%	6.18%	8.52%	8.48%	8.06%	10.79%	8.13%	15.11%	13.01%	4.41%	4.98%	9.40%	4.25%	8.47%	6.24%	9.41%	12.60%	12.78%	9.45%	10.05%	9.45%	13.25%	5.83%	7.77%	11.51%	5.95%	9.16%	10.82%	11.44%	9.77%	9.81%	9.86%	13.11%	15.12%	8.64%	11.67%	8.56%	7.59%	11.95%	16.78%	8.37%	12.45%	5.29%	9.06%	5.79%	12.35%	13.59%	15.31%	10.87%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	72	1	1	2	6	1	1	1	0	1	3	2	1	3	4	2	1	0	0	1	1	0	2	2	1	3	2	1	1	1	0	0	3	1	0	0	1	0	2	1	0	0	2	0	2	0	0	0	0	3	2	0	0	2	2	0	6	0									
		0.18%	0.11%	0.13%	0.21%	0.91%	0.16%	0.27%	0.30%	0.00%	0.17%	0.55%	0.33%	0.16%	0.69%	0.77%	0.63%	0.19%	0.00%	0.00%	0.17%	0.13%	0.00%	0.20%	0.23%	0.09%	0.34%	0.25%	0.17%	0.13%	0.15%	0.00%	0.00%	0.75%	0.14%	0.00%	0.00%	0.17%	0.00%	0.19%	0.10%	0.00%	0.00%	0.39%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.31%	0.26%	0.00%	0.00%	0.50%	0.24%	0.00%	0.80%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1239	19	19	47	15	20	7	19	23	10	13	7	18	22	34	8	15	27	24	8	17	70	31	28	51	32	86	6	32	9	9	14	7	27	14	28	16	30	32	28	14	7	8	5	34	20	29	29	13	45	18	21	10	3	11	13	20	17									
		3.18%	2.12%	2.41%	4.87%	2.28%	3.19%	1.86%	5.67%	7.96%	1.72%	2.36%	1.15%	2.88%	5.07%	6.55%	2.50%	2.87%	4.08%	3.65%	1.33%	2.28%	7.63%	3.05%	3.18%	4.40%	3.67%	10.67%	0.99%	4.02%	1.33%	2.17%	2.72%	1.75%	3.74%	2.08%	2.76%	2.75%	3.06%	3.04%	2.69%	1.68%	1.91%	1.55%	2.06%	4.36%	3.17%	2.45%	3.57%	3.03%	4.65%	2.31%	2.06%	1.74%	0.76%	1.31%	3.16%	2.66%	2.84%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
