Выборы Президента Российской Федерации																																																																							
																																																																							
Наименование Избирательной комиссии:    Анапская курортная																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264					
		1.48%	1.04%	1.74%	1.25%	1.56%	2.09%	1.44%	0.90%	1.05%	1.23%	1.09%	0.99%	1.54%	1.39%	1.48%	0.86%	1.63%	1.42%	0.60%	1.96%	1.50%	0.81%	1.39%	1.78%	0.63%	1.15%	2.02%	0.78%	5.32%	2.48%	2.60%	1.29%	1.19%	1.97%	2.51%	1.17%	0.37%	1.09%	0.40%	1.18%	1.66%	1.66%	2.54%	1.83%	1.58%	0.96%	2.69%	3.16%	3.75%	1.04%	1.27%	2.15%	1.97%	2.68%	3.30%	3.14%	2.10%	1.30%	1.42%	0.94%	1.13%	1.83%	1.57%	1.06%	0.92%					
20	. Миронов Сергей Михайлович	287	11	4	13	4	4	4	3	4	9	8	1	4	8	8	6	11	7	6	1	8	5	3	9	1	4	5	1	0	5	3	4	13	1	5	1	0	3	0	7	6	7	4	2	3	5	1	3	0	13	3	2	3	2	1	2	3	5	7	5	2	3	1	5	5					
		0.45%	0.67%	0.15%	0.54%	0.24%	0.35%	0.48%	0.27%	0.47%	1.11%	0.48%	0.08%	0.32%	0.51%	0.49%	0.51%	0.58%	0.50%	0.90%	0.39%	1.09%	0.45%	0.23%	0.85%	0.21%	0.42%	0.59%	0.39%	0.00%	1.03%	0.25%	0.27%	0.96%	0.07%	0.63%	0.23%	0.00%	0.55%	0.00%	0.52%	0.47%	0.51%	0.41%	0.92%	0.32%	0.80%	0.22%	0.79%	0.00%	0.80%	0.38%	0.61%	0.25%	0.41%	0.25%	0.45%	0.70%	0.72%	0.47%	0.47%	0.23%	0.32%	0.26%	0.53%	0.65%					
21	. Путин Владимир Владимирович	46128	1171	2233	2006	1125	834	582	760	614	609	1228	1001	897	1107	1140	821	1426	1069	523	194	531	806	921	769	358	676	609	182	120	311	796	1150	925	1022	607	303	1056	412	420	937	882	938	745	158	657	439	256	237	165	1258	546	255	794	373	287	297	328	491	1137	804	705	663	313	663	486					
		73.02%	71.32%	82.52%	83.90%	67.57%	72.65%	69.70%	68.41%	71.65%	75.00%	74.29%	76.53%	72.81%	70.06%	70.46%	70.41%	74.78%	75.65%	78.18%	76.08%	72.44%	72.35%	71.34%	72.21%	75.37%	70.93%	72.33%	71.37%	63.83%	64.26%	66.72%	77.97%	68.52%	69.38%	76.16%	71.13%	78.05%	74.91%	84.51%	68.95%	69.78%	67.82%	75.56%	72.48%	69.23%	70.47%	57.40%	62.37%	68.75%	77.27%	69.55%	78.22%	65.08%	76.91%	72.84%	66.59%	76.64%	71.06%	76.98%	75.21%	79.84%	71.52%	82.15%	70.53%	63.61%					
22	. Хакамада Ирина Муцуовна	2222	68	67	65	96	56	33	58	38	32	83	68	56	62	81	55	79	65	29	6	34	50	45	35	14	32	29	4	19	9	36	69	74	53	13	4	32	20	13	37	28	19	29	7	30	12	3	8	4	43	18	5	41	13	6	7	15	18	35	42	16	28	7	37	32					
		3.52%	4.14%	2.48%	2.72%	5.77%	4.88%	3.95%	5.22%	4.43%	3.94%	5.02%	5.20%	4.55%	3.92%	5.01%	4.72%	4.14%	4.60%	4.33%	2.35%	4.64%	4.49%	3.49%	3.29%	2.95%	3.36%	3.44%	1.57%	10.11%	1.86%	3.02%	4.68%	5.48%	3.60%	1.63%	0.94%	2.37%	3.64%	2.62%	2.72%	2.22%	1.37%	2.94%	3.21%	3.16%	1.93%	0.67%	2.11%	1.67%	2.64%	2.29%	1.53%	3.36%	2.68%	1.52%	1.57%	3.50%	2.60%	2.37%	3.93%	1.81%	3.02%	1.84%	3.94%	4.19%					
23	. Харитонов Николай Михайлович	8884	229	206	167	264	147	110	175	95	86	173	123	165	238	209	164	218	152	60	24	80	173	208	160	69	155	123	50	25	95	234	127	179	242	94	80	203	68	40	273	267	331	115	29	163	106	147	98	40	134	165	48	274	55	71	94	50	116	185	135	105	147	21	136	169					
		14.06%	13.95%	7.61%	6.98%	15.86%	12.80%	13.17%	15.75%	11.09%	10.59%	10.47%	9.40%	13.39%	15.06%	12.92%	14.07%	11.43%	10.76%	8.97%	9.41%	10.91%	15.53%	16.11%	15.02%	14.53%	16.26%	14.61%	19.61%	13.30%	19.63%	19.61%	8.61%	13.26%	16.43%	11.79%	18.78%	15.00%	12.36%	8.05%	20.09%	21.12%	23.93%	11.66%	13.30%	17.18%	17.01%	32.96%	25.79%	16.67%	8.23%	21.02%	14.72%	22.46%	11.34%	18.02%	21.08%	11.68%	16.79%	12.53%	12.63%	11.89%	15.86%	5.51%	14.47%	22.12%					
																																																																							
24	Против всех	1881	48	73	65	68	33	34	39	31	37	59	47	46	52	66	39	60	34	26	12	25	23	35	20	5	30	20	12	8	21	35	45	49	54	32	14	24	13	9	23	24	25	27	10	23	16	7	5	7	79	16	3	43	12	4	12	12	16	42	19	22	27	13	26	25					
		2.98%	2.92%	2.70%	2.72%	4.08%	2.87%	4.07%	3.51%	3.62%	4.56%	3.57%	3.59%	3.73%	3.29%	4.08%	3.34%	3.15%	2.41%	3.89%	4.71%	3.41%	2.06%	2.71%	1.88%	1.05%	3.15%	2.38%	4.71%	4.26%	4.34%	2.93%	3.05%	3.63%	3.67%	4.02%	3.29%	1.77%	2.36%	1.81%	1.69%	1.90%	1.81%	2.74%	4.59%	2.42%	2.57%	1.57%	1.32%	2.92%	4.85%	2.04%	0.92%	3.52%	2.47%	1.02%	2.69%	2.80%	2.32%	2.84%	1.78%	2.49%	2.91%	3.41%	2.77%	3.27%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
