Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Топкинская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	224	5	8	5	4	6	6	17	9	4	2	8	7	20	4	10	8	8	0	3	0	0	1	1	0	0	1	1	1	5	3	0	1	0	1	10	5	7	10	10	5	5	10	0	0	0	2	1	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	3	4	0	1	4	2	0	1	1	4	2	2	0	2	0	4	0	0	3	1	1	6	1	1	1	1	4	1	5	1	1	2	1	2	0	1	0	0	1	0	0	1	1	6	0	0	3	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	171	5	2	5	6	4	4	3	1	6	8	2	3	0	6	0	2	2	5	2	5	5	4	4	5	5	9	4	4	5	2	10	4	5	4	0	0	3	0	0	0	0	0	5	10	5	3	4	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	1	3	0	0	2	0	5	2	0	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	33	2	0	2	2	1	1	0	3	1	2	1	2	5	0	1	2	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.10%	0.13%	0.00%	0.15%	0.13%	0.06%	0.07%	0.00%	0.19%	0.08%	0.15%	0.07%	0.14%	0.36%	0.00%	0.07%	0.16%	0.23%	0.00%	0.30%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.53%	0.00%	0.86%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	32	7	0	0	0	2	0	0	2	1	2	1	1	2	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	2	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.10%	0.46%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.13%	0.08%	0.15%	0.07%	0.07%	0.15%	0.07%	0.07%	0.08%	0.23%	0.00%	0.30%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.22%	1.05%	0.15%	0.86%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	32	1	2	2	2	2	2	2	2	0	1	1	2	3	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.10%	0.07%	0.12%	0.15%	0.13%	0.13%	0.13%	0.13%	0.13%	0.00%	0.08%	0.07%	0.14%	0.22%	0.07%	0.07%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	1.58%	0.15%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27182	1340	1202	1094	1200	1250	1200	1280	1217	1072	1055	1080	1154	1114	1111	1159	1003	354	51	267	118	93	347	196	109	62	452	178	101	729	116	530	94	214	85	490	79	417	863	423	191	94	432	131	459	210	344	97	188	137									
		80.98%	88.39%	74.43%	81.16%	79.05%	80.13%	78.23%	82.47%	79.08%	81.27%	80.84%	80.90%	81.61%	81.02%	81.93%	80.99%	81.74%	82.52%	80.95%	80.91%	80.82%	86.11%	81.07%	89.91%	81.34%	81.58%	80.57%	80.91%	80.80%	80.91%	61.05%	81.92%	81.03%	80.75%	89.47%	80.86%	81.44%	80.97%	82.82%	81.66%	80.93%	94.00%	81.66%	81.37%	80.81%	81.40%	81.32%	82.91%	81.03%	81.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	1	2	1	2	2	2	2	2	0	2	1	2	2	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.10%	0.07%	0.12%	0.07%	0.13%	0.13%	0.13%	0.13%	0.13%	0.00%	0.15%	0.07%	0.14%	0.15%	0.29%	0.07%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.11%	1.05%	0.15%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	1	6	2	2	2	2	1	2	1	0	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0									
		0.10%	0.07%	0.37%	0.15%	0.13%	0.13%	0.13%	0.06%	0.13%	0.08%	0.00%	0.07%	0.07%	0.15%	0.07%	0.07%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	1.05%	0.15%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.39%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1814	87	68	72	70	77	83	64	83	72	70	72	75	73	118	77	64	21	3	23	8	6	22	14	7	4	30	12	7	49	32	33	6	14	6	33	6	28	50	28	13	3	29	9	30	14	22	6	12	9									
		5.40%	5.74%	4.21%	5.34%	4.61%	4.94%	5.41%	4.12%	5.39%	5.46%	5.36%	5.39%	5.30%	5.31%	8.70%	5.38%	5.22%	4.90%	4.76%	6.97%	5.48%	5.56%	5.14%	6.42%	5.22%	5.26%	5.35%	5.45%	5.60%	5.44%	16.84%	5.10%	5.17%	5.28%	6.32%	5.45%	6.19%	5.44%	4.80%	5.41%	5.51%	3.00%	5.48%	5.59%	5.28%	5.43%	5.20%	5.13%	5.17%	5.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	34	1	2	2	2	2	1	0	2	1	2	1	1	2	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0									
		0.10%	0.07%	0.12%	0.15%	0.13%	0.13%	0.07%	0.00%	0.13%	0.08%	0.15%	0.07%	0.07%	0.15%	0.59%	0.07%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.39%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	33	1	2	2	2	2	1	1	1	1	2	2	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	1	0	0	1	1	1	1	0	0	0									
		0.10%	0.07%	0.12%	0.15%	0.13%	0.13%	0.07%	0.06%	0.06%	0.08%	0.15%	0.15%	0.07%	0.15%	0.07%	0.07%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.15%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.19%	0.00%	0.42%	0.00%	0.00%	0.62%	0.18%	0.39%	0.24%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	32	0	4	1	0	2	1	2	0	0	1	1	2	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0									
		0.10%	0.00%	0.25%	0.07%	0.00%	0.13%	0.07%	0.13%	0.00%	0.00%	0.08%	0.07%	0.14%	0.15%	0.00%	0.07%	0.16%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.15%	0.00%	0.00%	0.00%	0.17%	0.00%	0.39%	0.19%	0.19%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	2	3	3	6	5	3	3	3	2	1	3	2	3	6	3	2	0	1	1	1	0	1	0	1	0	0	0	1	3	0	1	0	1	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0									
		0.20%	0.13%	0.19%	0.22%	0.40%	0.32%	0.20%	0.19%	0.19%	0.15%	0.08%	0.22%	0.14%	0.22%	0.44%	0.21%	0.16%	0.00%	1.59%	0.30%	0.68%	0.00%	0.23%	0.00%	0.75%	0.00%	0.00%	0.00%	0.80%	0.33%	0.00%	0.15%	0.00%	0.38%	0.00%	0.17%	0.00%	0.39%	0.10%	0.19%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2818	52	226	113	160	123	166	131	142	110	109	112	116	109	75	121	100	35	5	22	12	9	36	6	11	6	47	18	11	76	15	52	10	22	4	51	8	43	85	42	20	2	45	13	47	20	36	10	20	14									
		8.40%	3.43%	13.99%	8.38%	10.54%	7.88%	10.82%	8.44%	9.23%	8.34%	8.35%	8.39%	8.20%	7.93%	5.53%	8.46%	8.15%	8.16%	7.94%	6.67%	8.22%	8.33%	8.41%	2.75%	8.21%	7.89%	8.38%	8.18%	8.80%	8.44%	7.89%	8.04%	8.62%	8.30%	4.21%	8.42%	8.25%	8.35%	8.16%	8.11%	8.47%	2.00%	8.51%	8.07%	8.27%	7.75%	8.51%	8.55%	8.62%	8.28%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	0	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.10%	0.00%	0.12%	0.07%	0.07%	0.13%	0.13%	0.13%	0.13%	0.15%	0.08%	0.07%	0.07%	0.07%	0.07%	0.07%	0.08%	0.23%	1.59%	0.30%	0.68%	0.00%	0.23%	0.92%	0.75%	1.32%	0.18%	0.45%	0.80%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1309	17	96	53	69	86	70	64	68	52	52	52	54	55	25	56	47	16	2	12	5	0	18	0	5	3	25	9	4	34	10	24	4	10	0	24	4	20	39	21	9	0	21	6	22	10	16	4	9	7									
		3.90%	1.12%	5.94%	3.93%	4.55%	5.51%	4.56%	4.12%	4.42%	3.94%	3.98%	3.90%	3.82%	4.00%	1.84%	3.91%	3.83%	3.73%	3.17%	3.64%	3.42%	0.00%	4.21%	0.00%	3.73%	3.95%	4.46%	4.09%	3.20%	3.77%	5.26%	3.71%	3.45%	3.77%	0.00%	3.96%	4.12%	3.88%	3.74%	4.05%	3.81%	0.00%	3.97%	3.73%	3.87%	3.88%	3.78%	3.42%	3.88%	4.14%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
